| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| cheqa | cheqa | Root; no further decomposition established; "true, real, correct, straight" | true, real, genuine, correct, right | Used as an adjective or adverb to predicate truth or correctness of statements, and genuineness or authenticity of persons and things. Appears in constructions such as *cheqam* (it is true, with evidential suffix *-m/-mi*) and *cheqa runa* (a genuine/upright person). Used to predicate truth or genuineness of a statement, person, or thing. Functions as both adjective and predicate nominal. Participates in extensive derivation: *cheqakay* (to become true/real), *cheqanchay* / *cheqachiy* (to verify, to confirm). It is among the most frequently cited and documented lexical items in Quechua semantic studies, attested across Cusco-Collao and Ayacucho-Chanka varieties. | [CORE] |
| cheqam / cheqami | cheqam / cheqami | cheqa + validating evidential clitic *-m/-mi*; "it is true (I assert this directly)" | it is true, indeed, certainly, that is correct | A fixed assertive expression used to affirm the truth of a proposition with direct evidential commitment from the speaker. The evidential clitic *-mi* marks that the speaker has direct knowledge of what is asserted. Commonly used in discourse to confirm or validate a prior statement. | [CORE] |
| cheqanchay | cheqanchay | cheqa + -ncha- (causative/verbalizer) + -y (infinitive nominalizer) | to verify, to confirm, to establish as true, to correct | Used for the act of verifying or confirming the accuracy or correctness of something. Appears in administrative, legal, and everyday contexts where a claim or document is checked against reality. | [CORE] |
| cheqachiy | cheqachiy | cheqa + causative *-chi* + infinitive *-y*; "to cause to be true/correct, to verify" | to verify, to confirm, to prove, to correct | Used in contexts of verification, confirmation, or correction of a statement or situation. Can refer to the act of establishing that something is accurate or to correcting an error. Attested in legal and administrative Quechua contexts as well as everyday speech. | [CORE] |
| cheqaq | cheqaq | cheqa + -q (agentive/adjectival nominalizer); "one who is true, that which is true/real" | true, truthful, genuine, real, authentic, honest | Functions as an attributive adjective meaning 'true' or 'genuine', and can nominalize to mean 'one who is truthful'. Used to describe persons of integrity and statements that are factually accurate. Frequently used in moral evaluation of persons and in assertions about the truth of propositions. Attested in both Cusco and Ayacucho varieties. | [CORE] |
| cheqaqta | cheqaqta | cheqaq + *-ta* (accusative/adverbial case); "truly, in truth, genuinely" | truly, really, honestly, in truth | *Cheqaqta* is the adverbial form used to assert that something is genuinely the case or to emphasize the sincerity or accuracy of a statement. It commonly appears in discourse as an evidential-like reinforcer of a speaker's commitment to the truth of what they are saying. Widely attested in Southern Quechua. | [CORE] |
| cheqaqchay | cheqaqchay | cheqaq + *-chay* (causative/verbalizing suffix); "to make true, to verify, to confirm" | to verify, to confirm, to prove true, to authenticate | Used in contexts of verification or confirmation — establishing that something is indeed the case or that a claim is accurate. It appears in legal and testimonial contexts as well as in everyday speech when a speaker confirms a prior assertion. Attested in Southern Quechua documentation. | [CORE] |
| cheqaqsiy | cheqaqsiy | cheqaq + *-siy* (reflexive/reciprocal verbalizing suffix); "to make oneself true, to be verified" | to be confirmed, to turn out to be true, to prove oneself genuine | Describes the process by which something or someone is verified or proves to be genuine. Used in contexts where a claim or person's character is tested and found to be authentic. Less frequently attested than *cheqaqchay* but documented in Southern Quechua sources. | [UNCERTAIN] |
| cheqasqa | cheqasqa | cheqa + -sqa (past participial suffix, here adjectivalized) | verified, confirmed, established as true | Used to describe something that has been confirmed or verified, often in contexts of official or social validation. The participial form implies a completed process of verification. | [UNCERTAIN] |
| cheqan | cheqan | cheqa + *-n* (third-person possessive or nominalizing); "its truth, the right/correct one" | the truth, the correct one, what is right | Used to refer to the truth of a matter or the correct version of something. Appears in expressions like *cheqanta rimay* (to speak the truth). The possessive reading ("its truth") and the nominalizing reading overlap in usage. | [CORE] |
| cheqanta rimay | cheqanta rimay | cheqa-n-ta (truth-POSS-ACC) + rimay (to speak); "to speak the truth" | to tell the truth, to speak truthfully | A conventionalized verbal expression used in moral, legal, and everyday contexts to enjoin or describe truthful speech. Appears in testimony contexts and in moral instruction. Functions as a fixed collocation rather than a free compositional phrase. | [CORE] |
| chiqap | chiqap | Root or derived form; possibly related to *cheqa* by dialectal variation, or variant/related form of *chiqan*; "true, real, genuine, exact, correct, right, just" | truly, really, genuinely, in truth, true, real, genuine, exact, correct, right, just | Attested in Ayacucho-Chanka Quechua and some Southern Quechua sources as a near-synonym of *cheqa* with possible emphasis on exactness or precision, and in some sources as a form used in evaluative contexts of correctness and exactness, sometimes in legal and moral discourse. Functions primarily as an adverb or intensifier meaning 'truly' or 'really', used to assert the genuine nature of something. The relationship between *chiqap* and *cheqa*, and between *chiqap* and *chiqan*, and its precise distribution across varieties, is not fully established in available documentation. | [UNCERTAIN] |
| chiqan | chiqan | Root adjective; "straight, direct, correct, just, right" | straight, correct, just, right, direct | Used in Southern Quechua to evaluate conduct, paths, or statements as straight, correct, or just. Appears in moral and legal contexts to describe upright conduct or correct procedure, and in spatial contexts to mean "straight." Attested in Cusco and Ayacucho varieties. | [CORE] |
| chiqanchay | chiqanchay | chiqan + *-chay* (causative verbalizing suffix); "to straighten, to correct, to make right" | to correct, to straighten, to rectify, to make right | Used in contexts of correction and rectification — making something that was wrong or crooked into what it should be. Appears in moral, practical, and legal contexts where a wrong is being set right or an error corrected. Attested in Southern Quechua. | [CORE] |
| llulla | llulla | Root; "false, lying, deceptive" | lie, false, liar, deceptive, fake, untrue | The primary term for falsehood and deception, used as both noun ('a lie') and adjective ('false, deceptive') to characterize statements, persons, or representations as dishonest or counterfeit. Used of persons (a liar), statements (a false claim), and objects (a fake or counterfeit). Contrasts directly with *cheqa*. Productive: *llullakuy* (to lie, to deceive oneself or others), *llullaq* (liar). Widely attested across Southern Quechua varieties. | [CORE] |
