# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Swahili (sw)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| kweli | uongo | kweli / uongo | truth, true / lie, falsehood | Core lexical opposition between truth and falsehood. These terms represent the fundamental binary in propositional truth-value assessment, appearing frequently in contrastive constructions and moral discourse. | lexical | [CORE] |
| ukweli | uongo | ukweli / uongo | truth, reality, fact / lie, falsehood, untruth | Abstract nominal opposition parallel to kweli/uongo. Both terms use the u- abstract prefix, creating a symmetrical pair for discussing truth and falsehood as abstract concepts or states. | lexical | [CORE] |
| halisi | bandia | halisi / bandia | genuine, authentic, real / fake, artificial, counterfeit | Lexical opposition focused on authenticity and genuineness versus artificiality. Particularly common in commercial contexts for distinguishing real from counterfeit products, and in relational contexts for sincerity versus pretense. | lexical | [CORE] |
| sahihi | makosa | sahihi / makosa | correct, accurate / mistakes, errors | Opposition between correctness and error. While not perfectly symmetrical (sahihi is singular/adjectival, makosa is plural/nominal), these terms function contrastively in evaluative contexts of accuracy assessment. | lexical | [CORE] |
| haki | batili | haki / batili | right, justice, truth / wrong, falsehood, injustice | Moral and legal opposition between rightness/justice and wrongness/injustice. Attested in the fixed phrase "haki na batili" (right and wrong), common in moral and religious discourse. | lexical | [CORE] |
| ni + TRUTH-TERM | si + TRUTH-TERM | ni / si | is / is not | Morphological negation through copular alternation. The invariant negative copula si systematically contrasts with affirmative ni across all truth-domain predicates, creating the primary negation strategy for truth-value attribution. | morphological | [CORE] |
| kweli au uongo | (no contrasting construction) | kweli au uongo | true or false, truth or lies | Fixed contrastive coordination presenting binary truth-value choice. This construction itself embodies opposition through the disjunctive coordinator "au" (or), commonly used in evaluative and testing contexts. | constructional | [CORE] |
| halisi au bandia | (no contrasting construction) | halisi au bandia | genuine or fake, authentic or counterfeit | Fixed contrastive coordination for authenticity assessment. Parallel structure to kweli au uongo but focused on material genuineness rather than propositional truth. | constructional | [CORE] |
| ukweli wa ndani | ukweli wa nje | ukweli wa ndani / ukweli wa nje | inner truth, internal truth / external truth, outward truth | Spatial metaphorical opposition distinguishing subjective/internal from objective/external truth. Uses spatial terms ndani (inside) and nje (outside) to create epistemological contrast. | constructional | [MARGINAL] |
| uongo mkubwa | uongo mdogo | uongo mkubwa / uongo mdogo | big lie, serious lie / small lie, minor lie | Scalar opposition using size adjectives to indicate severity or significance of falsehoods. Creates gradation within the category of lies rather than binary opposition. | constructional | [CORE] |
| makosa makubwa | makosa madogo | makosa makubwa / makosa madogo | big mistakes, serious errors / small mistakes, minor errors | Parallel scalar opposition for errors, using size adjectives with class agreement. Functions to distinguish severity of mistakes in evaluative contexts. | constructional | [CORE] |
| bila ushahidi | (na/kwa) ushahidi | bila ushahidi / (na/kwa) ushahidi | without evidence / with evidence | Privative opposition created through the negative preposition bila (without) versus positive prepositions na/kwa (with). Common in legal and argumentative discourse for presence versus absence of evidence. | constructional | [CORE] |
| nina hakika | sina hakika | nina hakika / sina hakika | I am certain, I have certainty / I am not certain, I lack certainty | Morphological opposition through possessive verb negation. The negative prefix si- on the possessive verb creates epistemic contrast between certainty and uncertainty. | morphological | [CORE] |
| sema ukweli | sema uongo | sema ukweli / sema uongo | tell the truth, speak the truth / tell a lie, speak falsely | Constructional opposition using identical verb-object frame with contrasting objects. Both are highly conventionalized collocations representing opposed speech acts. | constructional | [CORE] |
| mtu wa kweli | mtu wa uongo | mtu wa kweli / mtu wa uongo | truthful person, genuine person / lying person, dishonest person | Constructional opposition using identical associative frame with contrasting quality nouns. Creates character-based opposition for moral evaluation of persons. | constructional | [CORE] |
| habari za kweli | habari za uongo | habari za kweli / habari za uongo | true news, accurate information / false news, fake news | Constructional opposition using identical associative frame with plural noun. Increasingly common in media discourse for distinguishing accurate from false information. | constructional | [CORE] |
| -a kweli | -a uongo | -a kweli / -a uongo | of truth, true, genuine / of falsehood, false, lying | Morphological opposition through associative construction with contrasting quality nouns. Both forms function adjectivally to modify nouns with opposed truth-values. | morphological | [CORE] |
| thibitisha | (no direct lexical opposite) | thibitisha | to confirm, to verify, to establish | While thibitisha (confirm/verify) has no single lexical antonym in the data, it contrasts functionally with terms like -danganya (deceive) or -potoka (err) in discourse contexts. The opposition is pragmatic rather than lexical. | (no clear opposition identified) | [UNCERTAIN] |
| adili | (dhalimu - not in P1 data) | adili | just, fair, equitable | While adili (just/fair) logically opposes terms like dhalimu (unjust/oppressive), such opposites are not attested in the provided P1-P4 data. The opposition exists in the language but is not documented in this dataset. | (no clear opposition identified) | [UNCERTAIN] |
| kamili | si kamili / -enye upungufu | kamili / si kamili | complete, perfect / not complete, incomplete | Opposition created through negation rather than lexical antonym. The negative copular construction "si kamili" is the attested way to express incompleteness, rather than a dedicated lexical opposite. | morphological | [CORE] |
| ukweli wote | ukweli fulani / sehemu ya ukweli | ukweli wote / ukweli fulani | the whole truth, all the truth / certain truth, part of the truth | Opposition between totality and partiality in truth-telling. While "ukweli wote" is well-attested, the partial opposite is expressed through various constructions (fulani = certain/some, sehemu = part) rather than a fixed form. | constructional | [MARGINAL] |
| ukweli pekee | ukweli na (mengine) | ukweli pekee / ukweli na... | only the truth, nothing but the truth / the truth and (other things) | Opposition between exclusivity and inclusion. "Pekee" (only/alone) contrasts with additive constructions using "na" (and), though the latter is not a fixed expression. | constructional | [MARGINAL] |
| kwa hakika | bila ya hakika | kwa hakika / bila ya hakika | with certainty, certainly / without certainty, uncertainly | Prepositional opposition between presence (kwa) and absence (bila) of certainty. Creates epistemic contrast in manner adverbials. | constructional | [CORE] |
