| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | Prediksi itu akhirnya menjadi kenyataan. | N/A | [CORE] | Fixed collocation; subject is typically a prediction, fear, or hope. |
| 2 | Mimpinya menjadi kenyataan. | N/A | [CORE] | Same construction; subject is an aspiration. Extremely common across all registers. |
| 3 | Hal yang semula diragukan ternyata menjadi benar. | N/A | [CORE] | *Menjadi benar* with *ternyata* marking the revelatory context. |
| 4 | Dugaan itu terbukti benar. | N/A | [CORE] | *Terbukti* + *benar* as predicate. Foregrounds the evidentiary process of becoming confirmed. Common in journalistic and legal registers. |
| 5 | Perkiraan para ahli terbukti benar. | N/A | [CORE] | Same pattern; subject is a claim or estimate. |
| 6 | Dugaan itu sudah terbukti benar. | N/A | [CORE] | *Sudah* marks completion of the evidential process. |
| 7 | Ternyata informasi itu benar. | N/A | [CORE] | *Ternyata* + predicate; introduces a revelation that something is the case. |
| 8 | Rancangan undang-undang itu akhirnya menjadi sah setelah disetujui. | N/A | [CORE] | *Menjadi sah* in explanatory register. |
| 9 | Pernikahan mereka baru menjadi sah setelah dicatatkan di kantor sipil. | N/A | [CORE] | Same construction; *baru* marks the delayed achievement of the state. |
| 10 | Lukisan itu terbukti asli setelah melalui uji forensik. | N/A | [CORE] | Resultative construction; the forensic process is the evidential basis. |
| 11 | Keaslian dokumen itu akhirnya diakui oleh pihak berwenang. | N/A | [CORE] | Recognition-of-existing-state construction; the authorities are the authorizing agent. |
| 12 | *Barang itu menjadi asli.* | N/A | [UNCERTAIN] | Not attested as a natural construction in the CONTEXT. |
| 13 | Mimpi itu akhirnya menjadi kenyataan. | N/A | [CORE] | Fixed collocation; subject is an aspiration. |
| 14 | Ancaman yang tadinya abstrak kini menjadi nyata. | N/A | [CORE] | *Menjadi nyata* as productive variant; *kini* marks the transition point. |
| 15 | Ia mulai menjadi lebih jujur setelah kejadian itu. | N/A | [CORE] | *Mulai* marks the initiation of the inchoative process; *lebih* marks gradation. |
| 16 | Lembaga itu berusaha menjadi terpercaya kembali di mata publik. | N/A | [CORE] | *Kembali* marks re-entry into a prior state. |
| 17 | Kebenaran akan terungkap pada akhirnya. | N/A | [CORE] | Conventionalized for truth-revelation contexts; subject is typically *kebenaran* or a concealed fact. |
| 18 | Kebohongannya akhirnya terungkap. | N/A | [CORE] | Same construction with *kebohongan* as subject. Common in journalistic and narrative registers. |
| 19 | Penyimpangan itu terungkap setelah penyelidikan. | N/A | [CORE] | *Penyimpangan* as subject of *terungkap*. |
| 20 | Mulai sekarang dia bersungguh-sungguh dalam belajar. | N/A | [CORE] | Inchoative reading achieved through temporal adverbials rather than a dedicated inchoative morpheme. |
| 21 | Dia mulai bersungguh-sungguh. | N/A | [CORE] | *Mulai* + *bersungguh-sungguh* as the standard inchoative frame. |
| 22 | Akhirnya dia berjujur. | N/A | [MARGINAL] | *Berjujur* is attested but marginal, restricted to informal or literary registers. |
| 23 | Dia akhirnya mengakui kesalahannya. | N/A | [CORE] | Standard expression for the transition from concealment to admission. |
| 24 | Dia belum bisa ikhlas. | N/A | [CORE] | Describes the state of not yet having achieved full acceptance. |
| 25 | Lama-lama dia bisa ikhlas juga. | N/A | [CORE] | *Lama-lama* marks the inchoative process. Common in everyday and emotional discourse. |
| 26 | Klaim yang selama ini diyakini akhirnya terbukti palsu. | N/A | [CORE] | Resultative; the evidential process is the basis for the state. |
| 27 | Informasi yang beredar terbukti tidak benar. | N/A | [CORE] | Parallel construction for propositional falsity. |
| 28 | Dokumen itu terbukti palsu. | N/A | [CORE] | *Terbukti* + *palsu*; frequent in legal and forensic contexts. |
| 29 | Klaim itu terbukti salah. | N/A | [CORE] | *Terbukti* + *salah* as predicate. Common in legal and journalistic registers. |
| 30 | Ternyata itu semua palsu. | N/A | [CORE] | *Ternyata* introduces the revelation of falsity. |
| 31 | Ternyata informasi itu tidak benar. | N/A | [CORE] | Same *ternyata* + negated predicate pattern. Common in journalistic corrections and retractions. |
| 32 | Kontrak itu menjadi tidak sah setelah salah satu pihak menarik diri. | N/A | [CORE] | *Menjadi tidak sah* in explanatory register. |
| 33 | Pernikahan itu dinyatakan tidak sah oleh pengadilan. | N/A | [CORE] | *Dinyatakan tidak sah*; the court as authorizing agent. |
| 34 | Pernikahan itu tidak sah. | N/A | [CORE] | Negated stative. |
| 35 | Tindakan itu tidak absah menurut hukum yang berlaku. | N/A | [CORE] | Documented in P2b under *absah*. |
| 36 | Ia tersesat dalam pemikiran yang salah. | N/A | [CORE] | *Tersesat* as stative resultative; figurative use. |
| 37 | Penilaian awal kami menjadi keliru setelah fakta baru terungkap. | N/A | [CORE] | *Menjadi keliru* as inchoative; the revelation of new facts triggers the transition. |
