| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | Taarifa hii inaaminika. | Taarifa hii inaaminika. | [CORE] | Within the supplied vocabulary, **kuaminika / aminika** is the clearest dynamic or state-change-compatible form for entering or holding a credibility state. It works naturally with reports, sources, evidence, institutions, and persons. A fully explicit “become credible” paraphrase can be expressed only loosely with available material; no separate common lexical item meaning specifically “become true/credible” beyond **kuaminika** is provided in the context. |
| 1 | Chanzo hicho hakiaminiki. | Chanzo hicho hakiaminiki. | [CORE] | Within the supplied vocabulary, **kuaminika / aminika** is the clearest dynamic or state-change-compatible form for entering or holding a credibility state. It works naturally with reports, sources, evidence, institutions, and persons. A fully explicit “become credible” paraphrase can be expressed only loosely with available material; no separate common lexical item meaning specifically “become true/credible” beyond **kuaminika** is provided in the context. |
| 2 | Kutoaminika kwa chanzo hicho ni dhahiri. | Kutoaminika kwa chanzo hicho ni dhahiri. | [CORE] | The context supports **kutoaminika**, **asiyeaminika**, and negative finite forms like **hakiaminiki**. These encode the opposed state to credibility. However, a dedicated common expression meaning specifically “become untrustworthy” is **not explicitly provided** in the context; what is clearly supported is the resulting non-credible state. |
| 2 | Mtu huyo haaminiki. | Mtu huyo haaminiki. | [CORE] | The context supports **kutoaminika**, **asiyeaminika**, and negative finite forms like **hakiaminiki**. These encode the opposed state to credibility. However, a dedicated common expression meaning specifically “become untrustworthy” is **not explicitly provided** in the context; what is clearly supported is the resulting non-credible state. |
| 3 | Hotuba yake ilitia imani. | Hotuba yake ilitia imani. | [MARGINAL] | This is the clearest causative-like expression in the supplied material. It does **not** literally mean “make true” or “make correct”; rather, it means causing confidence or trust. So for causation in the truth-related domain, Swahili here is best represented by a **periphrastic confidence-causing construction**, not by a dedicated causative verb for truth or correctness. |
| 3 | Kiongozi huyo anatia imani. | Kiongozi huyo anatia imani. | [MARGINAL] | This is the clearest causative-like expression in the supplied material. It does **not** literally mean “make true” or “make correct”; rather, it means causing confidence or trust. So for causation in the truth-related domain, Swahili here is best represented by a **periphrastic confidence-causing construction**, not by a dedicated causative verb for truth or correctness. |
| 4 | Sema ukweli. | Sema ukweli. | [CORE] | This is the ordinary dynamic verbal expression for producing truthful speech. Instead of a simple lexical verb “to truth,” Swahili uses a **light-verb construction** with **sema + ukweli**. This encodes an event or action, not just a static property. |
| 4 | Ninaamini kwamba atasema ukweli. | Ninaamini kwamba atasema ukweli. | [CORE] | This is the ordinary dynamic verbal expression for producing truthful speech. Instead of a simple lexical verb “to truth,” Swahili uses a **light-verb construction** with **sema + ukweli**. This encodes an event or action, not just a static property. |
| 5 | Alisema uongo. | Alisema uongo. | [CORE] | This is the direct dynamic opposite of **kusema ukweli** in the supplied data. It encodes the act of producing false speech. Again, the language here uses a **light-verb construction**, not a separate simple verb listed in the context. |
| 5 | Sema uongo. | Sema uongo. | [CORE] | This is the direct dynamic opposite of **kusema ukweli** in the supplied data. It encodes the act of producing false speech. Again, the language here uses a **light-verb construction**, not a separate simple verb listed in the context. |
| 6 | Yeye ni mkweli. | Yeye ni mkweli. | [CORE] | These forms encode relatively stable personal character rather than momentary truth events: **mkweli** = truthful/honest person; **mwongo** = liar; **mwaminifu** = trustworthy/faithful person. The context supports these as person-denoting nouns. A common expression specifically meaning “become a liar” or “become truthful” is **not explicitly provided**. |
| 6 | Yeye ni mwongo. | Yeye ni mwongo. | [CORE] | These forms encode relatively stable personal character rather than momentary truth events: **mkweli** = truthful/honest person; **mwongo** = liar; **mwaminifu** = trustworthy/faithful person. The context supports these as person-denoting nouns. A common expression specifically meaning “become a liar” or “become truthful” is **not explicitly provided**. |
| 6 | Yeye ni mwaminifu. | Yeye ni mwaminifu. | [CORE] | These forms encode relatively stable personal character rather than momentary truth events: **mkweli** = truthful/honest person; **mwongo** = liar; **mwaminifu** = trustworthy/faithful person. The context supports these as person-denoting nouns. A common expression specifically meaning “become a liar” or “become truthful” is **not explicitly provided**. |
| 7 | Usahihi wa taarifa | Usahihi wa taarifa | [CORE] | These nouns encode stable qualities or states: **ukweli** = truth; **usahihi** = correctness/accuracy; **uaminifu** = trustworthiness/faithfulness; **uhalisia** = reality/authenticity. They are useful for naming a state, but the context does **not** provide a common dedicated expression for “become truth,” “become accurate,” or “become authentic” built from these nouns. |
| 7 | Uaminifu kwa Mungu | Uaminifu kwa Mungu | [CORE] | These nouns encode stable qualities or states: **ukweli** = truth; **usahihi** = correctness/accuracy; **uaminifu** = trustworthiness/faithfulness; **uhalisia** = reality/authenticity. They are useful for naming a state, but the context does **not** provide a common dedicated expression for “become truth,” “become accurate,” or “become authentic” built from these nouns. |
| 7 | Ukweli wa mambo | Ukweli wa mambo | [CORE] | These nouns encode stable qualities or states: **ukweli** = truth; **usahihi** = correctness/accuracy; **uaminifu** = trustworthiness/faithfulness; **uhalisia** = reality/authenticity. They are useful for naming a state, but the context does **not** provide a common dedicated expression for “become truth,” “become accurate,” or “become authentic” built from these nouns. |
| 8 | Hii ni sahihi. | Hii ni sahihi. | [CORE] | The context strongly supports **static evaluation** with **sahihi** and **si sahihi**. However, **no common expression is explicitly provided** for: “X becomes correct”; “Y makes X correct”. So for **sahihi**, the available material mainly shows **state attribution**, not dynamic change or causation. |
| 8 | Jibu hili si sahihi. | Jibu hili si sahihi. | [CORE] | The context strongly supports **static evaluation** with **sahihi** and **si sahihi**. However, **no common expression is explicitly provided** for: “X becomes correct”; “Y makes X correct”. So for **sahihi**, the available material mainly shows **state attribution**, not dynamic change or causation. |
| 9 | Ni kweli. | Ni kweli. | [CORE] | These are result-like evaluative states: a claim is classified as true, false, or not true. But the context does **not** provide a common dedicated expression for: “X becomes true”; “X becomes false”; “Y makes X true/false”. So the language material here supports **state assignment**, but not a clearly attested change-of-state verb for **kweli/uongo**. |
| 9 | Ni uongo. | Ni uongo. | [CORE] | These are result-like evaluative states: a claim is classified as true, false, or not true. But the context does **not** provide a common dedicated expression for: “X becomes true”; “X becomes false”; “Y makes X true/false”. So the language material here supports **state assignment**, but not a clearly attested change-of-state verb for **kweli/uongo**. |
| 9 | Si kweli. | Si kweli. | [CORE] | These are result-like evaluative states: a claim is classified as true, false, or not true. But the context does **not** provide a common dedicated expression for: “X becomes true”; “X becomes false”; “Y makes X true/false”. So the language material here supports **state assignment**, but not a clearly attested change-of-state verb for **kweli/uongo**. |
| 10 | jina halisi | jina halisi | [CORE] | These forms clearly encode authenticity or non-authenticity as descriptive states. However, **no common expression is explicitly provided** for: “X becomes fake”; “X becomes genuine”; “Y makes X fake/genuine”. So in the supplied material, this domain is mainly **stative/descriptive**, not dynamic. |
| 10 | dawa bandia | dawa bandia | [CORE] | These forms clearly encode authenticity or non-authenticity as descriptive states. However, **no common expression is explicitly provided** for: “X becomes fake”; “X becomes genuine”; “Y makes X fake/genuine”. So in the supplied material, this domain is mainly **stative/descriptive**, not dynamic. |
| 10 | akaunti feki | akaunti feki | [CORE] | These forms clearly encode authenticity or non-authenticity as descriptive states. However, **no common expression is explicitly provided** for: “X becomes fake”; “X becomes genuine”; “Y makes X fake/genuine”. So in the supplied material, this domain is mainly **stative/descriptive**, not dynamic. |
| 10 | bidhaa ya asili | bidhaa ya asili | [CORE] | These forms clearly encode authenticity or non-authenticity as descriptive states. However, **no common expression is explicitly provided** for: “X becomes fake”; “X becomes genuine”; “Y makes X fake/genuine”. So in the supplied material, this domain is mainly **stative/descriptive**, not dynamic. |
| 11 | Ni batili. | Ni batili. | [CORE] | These are strong evaluative state predicates in formal, legal, and religious language. But again, **no common expression is explicitly provided** for: “become invalid”; “become lawful”; “become forbidden”; “make valid / invalidate” using only the supplied vocabulary. So the context supports **classification into a state**, not a dedicated dynamic transition verb. |
| 11 | Ni halali. | Ni halali. | [CORE] | These are strong evaluative state predicates in formal, legal, and religious language. But again, **no common expression is explicitly provided** for: “become invalid”; “become lawful”; “become forbidden”; “make valid / invalidate” using only the supplied vocabulary. So the context supports **classification into a state**, not a dedicated dynamic transition verb. |
| 11 | Ni haramu. | Ni haramu. | [CORE] | These are strong evaluative state predicates in formal, legal, and religious language. But again, **no common expression is explicitly provided** for: “become invalid”; “become lawful”; “become forbidden”; “make valid / invalidate” using only the supplied vocabulary. So the context supports **classification into a state**, not a dedicated dynamic transition verb. |
| 12 | Ni dhahiri. | Ni dhahiri. | [CORE] | **dhahiri** encodes manifestness or obviousness. It is an assessment of how plainly something is the case. The context does **not** provide a common expression for “become evident” or “make evident” using only the listed vocabulary. |
| 12 | Ni dhahiri kwamba ni uongo. | Ni dhahiri kwamba ni uongo. | [CORE] | **dhahiri** encodes manifestness or obviousness. It is an assessment of how plainly something is the case. The context does **not** provide a common expression for “become evident” or “make evident” using only the listed vocabulary. |
