| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| doğru | doğruluk | doğruluk | doğru + -luk | correctness; truthfulness; accuracy | Çok yaygın bir addır. Hem bilginin/ölçümün doğruluğu hem de kişinin sözünde dürüst olması anlamlarında kullanılabilir. | [CORE] |
| doğru | doğrulamak | doğrulamak | doğru + -la- + -mak | to verify; to confirm | Bilgi, iddia, haber, kimlik veya verinin doğru olup olmadığını kontrol etmek anlamında çok yaygındır. Bürokratik, teknik ve gazetecilik bağlamlarında sık geçer. | [CORE] |
| doğru | doğrulama | doğrulama | doğrula- + -ma | verification; confirmation | Özellikle dijital güvenlik, araştırma ve idari işlemlerde yerleşik bir addır. “Kimlik doğrulama”, “veri doğrulama” gibi kullanımları çok yaygındır. | [CORE] |
| doğru | doğrulanmak | doğrulanmak | doğru + -la- + -nmak | to be verified; to be confirmed | Bir iddia, haber veya bilginin sonradan teyit edilmesi anlamında kullanılır. Özellikle haber dilinde “henüz doğrulanmadı” türü kalıplarda yaygındır. | [CORE] |
| doğru | doğrulanabilir | doğrulanabilir | doğrula- + -nabilir | verifiable | Bilim, yöntem, gazetecilik ve belge değerlendirmesinde kullanılır. Bir iddianın kanıtla kontrol edilebilir olduğunu belirtir. | [CORE] |
| doğru | doğrulanabilirlik | doğrulanabilirlik | doğrulanabilir + -lik | verifiability | Daha çok metodoloji ve bilim felsefesi gibi alanlarda görülür. Gündelik dilde daha sınırlıdır ama yerleşik bir biçimdir. | [MARGINAL] |
| doğru | doğruca | doğruca | doğru + -ca | directly; straight | Gündelik dilde kullanılan bir zarftır. Daha çok yön/doğrudanlık anlamı taşır; doğruluk alanından kısmen uzaklaşmıştır. | [MARGINAL] |
| doğru | doğrudan | doğrudan | doğru + -dan | directly | Çok yaygın bir zarftır. Genellikle aracısızlık veya dolaysızlık bildirir; epistemik “doğru” anlamı ikincildir. | [MARGINAL] |
| gerçek | gerçekten | gerçekten | gerçek + -ten | really; truly; in fact | Çok yaygın bir zarftır. Hem olgusal vurgu hem de konuşma içi pekiştirme işleviyle kullanılır. | [CORE] |
| gerçek | gerçeklik | gerçeklik | gerçek + -lik | reality; realness | Felsefe, eleştiri, psikoloji ve genel yazı dilinde yaygındır. Bir şeyin gerçek oluşunu ya da “reality” kavramını adlandırır. | [CORE] |
| gerçek | gerçekçi | gerçekçi | gerçek + -çi | realistic; realist | Planlar, beklentiler, tasvirler ve sanat akımları için kullanılır. Gerçek koşullara uygunluk veya gerçekçi temsil anlamı taşır. | [CORE] |
| gerçek | gerçekçilik | gerçekçilik | gerçekçi + -lik | realism | Sanat, edebiyat, siyaset ve pratik değerlendirmelerde yerleşik bir addır. Hem estetik akımı hem de ayakları yere basan yaklaşımı anlatabilir. | [CORE] |
| gerçek | gerçek dışı | gerçek dışı | gerçek + dışı | unreal; untrue; detached from reality | İddia, tasvir veya beklentilerin olgusal gerçeklikle bağdaşmadığını belirtir. Gazetecilik ve eleştirel dilde yaygındır. | [CORE] |
| gerçek | gerçeküstü | gerçeküstü | gerçek + üstü | surreal; beyond reality | Sanat ve edebiyat bağlamında yerleşik bir sıfattır. Gündelik dilde de “acayip, rüya gibi” durumlar için mecazen kullanılabilir. | [MARGINAL] |
| gerçek | gerçeküstücü | gerçeküstücü | gerçeküstü + -cü | surrealist | Sanatçı, yazar veya eserleri nitelemek için kullanılır. Daha çok sanat tarihi ve eleştiri dilinde geçer. | [MARGINAL] |
| gerçek | gerçeküstücülük | gerçeküstücülük | gerçeküstü + -cülük | surrealism | Sanat ve edebiyat tarihinde yerleşik bir terimdir. Gündelik kullanım alanı sınırlıdır. | [MARGINAL] |
| hakikat | hakiki | hakiki | hakikat + adjectival formation | genuine; real; authentic | Bir şeyin sahte olmadığını veya özüne uygun olduğunu belirtir. “Hakiki deri”, “hakiki dost” gibi kullanımlarda yaygındır. | [CORE] |
| hakikat | hakikaten | hakikaten | hakikat + -en | really; truly; indeed | Konuşma ve yazıda kullanılan yerleşik bir zarftır. “Gerçekten”e göre biraz daha resmî veya eski tınlayabilir. | [CORE] |
| hakikat | hakikatli | hakikatli | hakikat + -li | substantial; genuine-minded | Tanıklığı vardır ancak çağdaş standart dilde yaygın değildir. Daha eski, bölgesel veya sınırlı bağlamlarda görülür. | [UNCERTAIN] |
