# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Sanskrit (sa)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| सत्य / satya | असत्य / asatya | satya vs. asatya | "true, truth, real" vs. "untrue, false, unreal" | Primary morphological opposition formed by negative prefix a-. Covers factual incorrectness, moral falsehood, and ontological non-existence depending on context. | morphological | [CORE] |
| सत्य / satya | मृषा / mṛṣā | satya vs. mṛṣā | "true, truth" vs. "falsely, in vain" | Lexical opposition between nominal/adjectival truth term and adverbial falsehood term. Mṛṣā specifically denotes false manner of action or speech. | lexical | [CORE] |
| सत्य / satya | मिथ्या / mithyā | satya vs. mithyā | "true, truth" vs. "falsely, erroneously, illusory" | Lexical opposition with mithyā functioning as adverb and in compounds. Particularly prominent in epistemological and Vedāntic contexts for error and illusion. | lexical | [CORE] |
| ऋत / ṛta | अनृत / anṛta | ṛta vs. anṛta | "cosmic order, truth, right" vs. "untruth, falsehood, wrong" | Morphological opposition with negative prefix a-. Archaic Vedic pair denoting cosmic/moral order versus disorder. Limited productivity in classical Sanskrit. | morphological | [CORE] (in Vedic contexts), [MARGINAL] (in classical contexts) |
| धर्म / dharma | अधर्म / adharma | dharma vs. adharma | "duty, righteousness, law, proper conduct" vs. "unrighteousness, wrong conduct, injustice" | Morphological opposition with negative prefix a-. Central ethical opposition in moral, legal, and religious contexts. Frequently appears in dvandva dual compounds (dharmādharmau). | morphological | [CORE] |
| युक्त / yukta | अयुक्त / ayukta | yukta vs. ayukta | "proper, fitting, appropriate, reasonable" vs. "improper, unfitting, inappropriate, unreasonable" | Morphological opposition with negative prefix a-. Denotes logical/practical propriety versus impropriety across multiple domains. | morphological | [CORE] |
| प्रमाण / pramāṇa | अप्रमाण / apramāṇa | pramāṇa vs. apramāṇa | "valid means of knowledge, proof, authority" vs. "invalid means, unreliable source, lack of proof" | Morphological opposition with negative prefix a-. Technical epistemological opposition between valid and invalid epistemic sources. | morphological | [CORE] |
| प्रमा / pramā | अप्रमा / apramā | pramā vs. apramā | "valid cognition, true knowledge" vs. "invalid cognition, false knowledge, error" | Morphological opposition with negative prefix a-. Technical epistemological opposition between valid and invalid cognition. Apramā includes doubt, error, and hypothetical cognition. | morphological | [CORE] |
| प्रमा / pramā | भ्रम / bhrama | pramā vs. bhrama | "valid cognition, correct knowledge" vs. "error, illusion, false notion, mistake" | Lexical opposition between valid cognition and cognitive error. Bhrama specifically denotes wandering/confusion leading to mistaken perception. | lexical | [CORE] |
| प्रमा / pramā | विपर्यय / viparyaya | pramā vs. viparyaya | "valid cognition" vs. "error, perversion, mistaken cognition, reversal" | Lexical opposition between valid cognition and reversed/inverted cognition. Viparyaya is one of five types of mental modifications in Yoga philosophy. | lexical | [CORE] |
| यथार्थ / yathārtha | विपर्यय / viparyaya | yathārtha vs. viparyaya | "true to fact, accurate, corresponding to reality" vs. "error, reversal, mistaken cognition" | Lexical opposition between correspondence to reality and reversal/error. Yathārtha emphasizes accurate representation of objects. | lexical | [CORE] |
| वस्तु / vastu | आभास / ābhāsa | vastu vs. ābhāsa | "thing, object, reality, substance, fact" vs. "appearance, semblance, false appearance" | Lexical opposition between actual reality/substance and mere appearance or semblance. Common in philosophical discussions distinguishing reality from appearance. | lexical | [CORE] |
| तत्त्व / tattva | आभास / ābhāsa | tattva vs. ābhāsa | "reality, truth, principle, essence" vs. "appearance, semblance, illusion" | Lexical opposition between ultimate reality/essence and mere appearance. Particularly prominent in Vedāntic metaphysics. | lexical | [CORE] |
| स्वरूप / svarūpa | आभास / ābhāsa | svarūpa vs. ābhāsa | "own nature, essential form, true character" vs. "appearance, semblance" | Lexical opposition between essential nature and apparent form. Svarūpa denotes intrinsic nature as opposed to superficial appearance. | lexical | [CORE] |
