# CLCA Protocol v3.4 — F4 Construction Table
# Language: Chinese (zh)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| **1. ATTRIBUTION** | 这是真的 | zhè shì zhēn de | This is true/real | Extremely common in everyday speech and writing. The nominalizer 的 (de) is obligatory with monosyllabic adjectives (真, 假) but may be omitted with disyllabic forms in formal registers (e.g., 这是事实 vs. ?这是事实的). | [CORE] |
| **1. ATTRIBUTION** | 他的话是假的 | tā de huà shì jiǎ de | His words are false | Extremely common in everyday speech and writing. The nominalizer 的 (de) is obligatory with monosyllabic adjectives (真, 假) but may be omitted with disyllabic forms in formal registers (e.g., 这是事实 vs. ?这是事实的). | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | 这不是真的 | zhè bù shì zhēn de | This is not true/real | Both patterns (不是 + Adj+的 and 不 + bare Adj) are fully productive. Choice depends on emphasis: copular negation (不是) emphasizes categorical denial, while direct negation (不) focuses on the property itself. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | 答案不对 | dá'àn bù duì | The answer is not correct | Both patterns (不是 + Adj+的 and 不 + bare Adj) are fully productive. Choice depends on emphasis: copular negation (不是) emphasizes categorical denial, while direct negation (不) focuses on the property itself. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | 真实的情况 | zhēnshí de qíngkuàng | the true/actual situation | Highly productive across all registers. The particle 的 is typically required for disyllabic modifiers but may be omitted in lexicalized compounds (真相, 实话) or when modifier and noun form tight semantic units. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | 正确的答案 | zhèngquè de dá'àn | the correct answer | Highly productive across all registers. The particle 的 is typically required for disyllabic modifiers but may be omitted in lexicalized compounds (真相, 实话) or when modifier and noun form tight semantic units. | [CORE] |
| **4. BECOME / INCHOATIVE** | 弄假成真 | nòng jiǎ chéng zhēn | what starts as pretense becomes real | The bare 变 + Adj pattern is productive but less common with truth-domain terms than with other semantic domains. Most attestations involve lexicalized idioms (弄假成真) or resultative compounds. The pattern 变得 + Adj is more natural in contemporary usage. | [MARGINAL] |
| **4. BECOME / INCHOATIVE** | 变得不正常 | biàn de bù zhèngcháng | become abnormal | The bare 变 + Adj pattern is productive but less common with truth-domain terms than with other semantic domains. Most attestations involve lexicalized idioms (弄假成真) or resultative compounds. The pattern 变得 + Adj is more natural in contemporary usage. | [CORE] |
| **5. CAUSATIVE** | 让事实说话 | ràng shìshí shuōhuà | let the facts speak | Periphrastic causatives (使/让 X V) are common but typically involve action verbs rather than direct state change. Resultative verb compounds (改正, 纠正, 证实) are strongly preferred for expressing causation of truth-domain states. | [CORE] |
| **5. CAUSATIVE** | 把错误改正 | bǎ cuòwù gǎizhèng | correct the mistakes | Periphrastic causatives (使/让 X V) are common but typically involve action verbs rather than direct state change. Resultative verb compounds (改正, 纠正, 证实) are strongly preferred for expressing causation of truth-domain states. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | 真实性 | zhēnshíxìng | authenticity, truthfulness | Highly productive in formal and academic registers. The suffix -性 creates abstract quality nouns; -度 creates measurable degree nouns. Both patterns are restricted to disyllabic bases (*真性, *假度 are unattested). | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | 准确度 | zhǔnquèdù | degree of accuracy | Highly productive in formal and academic registers. The suffix -性 creates abstract quality nouns; -度 creates measurable degree nouns. Both patterns are restricted to disyllabic bases (*真性, *假度 are unattested). | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | (no common expression identified) | N/A | N/A | No productive morphological pattern identified. Agentive meanings require periphrastic expression (说真话的人 "truth-teller"). The general suffix -者 exists but does not productively combine with truth-domain roots to create specialized agent nouns. | [UNCERTAIN] |
| **8. VERIFICATION / CONFIRMATION** | 是不是真的? | shì bu shì zhēn de? | Is it true or not? | Extremely common in spoken interaction. The A-not-A pattern is the unmarked yes/no question form in Mandarin. Both variants (是不是 Y and Y不Y) are fully productive, with the latter being more colloquial and direct. | [CORE] |
| **8. VERIFICATION / CONFIRMATION** | 对不对? | duì bu duì? | Right or not? / Is that correct? | Extremely common in spoken interaction. The A-not-A pattern is the unmarked yes/no question form in Mandarin. Both variants (是不是 Y and Y不Y) are fully productive, with the latter being more colloquial and direct. | [CORE] |
| **9. DEGREE MODIFICATION** | 很真实 | hěn zhēnshí | very authentic/realistic | Standard degree modification applies without restriction. Note that 很 (hěn) functions as default intensifier in predicative position and may carry minimal intensifying force. Stronger intensifiers (非常, 十分, 极其) provide clearer emphasis. | [CORE] |
| **9. DEGREE MODIFICATION** | 最正确 | zuì zhèngquè | most correct | Standard degree modification applies without restriction. Note that 很 (hěn) functions as default intensifier in predicative position and may carry minimal intensifying force. Stronger intensifiers (非常, 十分, 极其) provide clearer emphasis. | [CORE] |
| **10. COMPARATIVE CONSTRUCTIONS** | 这个比那个更真实 | zhège bǐ nàge gèng zhēnshí | This is more authentic than that | Standard comparative syntax applies productively. The intensifier 更 (gèng) is optional but common in comparative constructions. No specialized comparative forms exist for truth-domain terms. | [CORE] |
| **10. COMPARATIVE CONSTRUCTIONS** | 他和我一样诚实 | tā hé wǒ yīyàng chéngshí | He is as honest as I am | Standard comparative syntax applies productively. The intensifier 更 (gèng) is optional but common in comparative constructions. No specialized comparative forms exist for truth-domain terms. | [CORE] |
| **11. EVIDENTIAL / REPORTATIVE** | 据说是真的 | jùshuō shì zhēn de | It is said to be true | These are general reportative markers, not specialized for truth-domain. They indicate information source (hearsay) rather than epistemic stance toward truth value. Common in both spoken and written discourse. | [CORE] |
