# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Basque (eu)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| egia | gezur / gezurra | egia vs. gezur/gezurra | truth vs. lie/falsehood | Primary lexical opposition between truth and lying/falsehood. These terms function as direct semantic opposites across all contexts, from speech acts to abstract philosophical discourse. | lexical | [CORE] |
| egiazkoa | gezurrezko | egiazkoa vs. gezurrezko | true/genuine/authentic vs. false/fake/lying | Derived adjectival opposition parallel to egia/gezur. Used to distinguish authentic from false instances across multiple domains (documents, products, identities, statements). | lexical (derived) | [CORE] |
| zuzena | okerra | zuzena vs. okerra | correct/right/straight vs. wrong/incorrect/crooked | Polysemous opposition covering physical straightness vs. crookedness, epistemic correctness vs. error, and moral rightness vs. wrongness. Functions across spatial, evaluative, and ethical domains. | lexical | [CORE] |
| benetako / benetakoa | itxurazko | benetako/benetakoa vs. itxurazko | real/genuine vs. apparent/seeming/superficial | Opposition between reality and appearance. Marks contrast between what something actually is versus how it appears or seems on the surface. | lexical (derived) | [CORE] |
| ziurra | zalantza / zalantzagarria | ziurra vs. zalantza/zalantzagarria | certain/sure vs. doubt/doubtful/questionable | Epistemic opposition between certainty and doubt. Marks speaker's confidence level in knowledge or belief rather than evaluating truth itself. | lexical | [CORE] |
| fidagarria | (no clear lexical opposite identified) | fidagarria vs. — | reliable/trustworthy vs. — | While "fidagarria" (reliable/trustworthy) is well-attested, no dedicated lexical opposite meaning "unreliable" is documented in the data. Negation uses "ez da fidagarria" (is not reliable) rather than a positive antonym. | (no clear opposition identified) | [UNCERTAIN] |
| sinesgarria | sinesgaitza | sinesgarria vs. sinesgaitza | believable/credible vs. unbelievable/incredible | Opposition between what is worthy of belief and what is not. The negative form "sinesgaitza" uses the negative suffix -gaitz (unable to be) contrasting with -garri (worthy of/able to be). | morphological (derivational negation) | [CORE] |
| zintzoa / zintzo | (no clear lexical opposite identified) | zintzoa/zintzo vs. — | honest/sincere vs. — | While "zintzoa" (honest/sincere) is well-attested, no dedicated lexical opposite is documented. The concept of dishonesty is expressed through "gezurti" (liar) or "iruzurtia" (fraudulent), which are not direct opposites but related negative terms. | (no clear opposition identified) | [UNCERTAIN] |
| ageria | ezkutua / ezkutatua | ageria vs. ezkutua/ezkutatua | evident/obvious/manifest vs. hidden/concealed | Opposition between what is visible/evident and what is hidden. The verb "ezkutatu" (to hide) appears in constructions like "egia ezkutatu" (to hide the truth), suggesting the opposition between manifestness and concealment. | lexical | [CORE] |
| X da (predicative affirmation) | ez da X (predicative negation) | X da vs. ez da X | X is vs. X is not | Constructional opposition through obligatory preverbal negation. The negator "ez" precedes the copula to create the negative counterpart of any predicative truth-claim. | constructional (negation) | [CORE] |
| egia esan | gezurra esan | egia esan vs. gezurra esan | to tell the truth vs. to tell a lie | Light verb construction opposition. Both use the same verb "esan" (to say) with contrasting objects, creating the primary speech act opposition for truthful vs. false communication. | constructional (light verb with contrasting objects) | [CORE] |
| egiaren alde | egiaren aurka / egiaren kontra | egiaren alde vs. egiaren aurka/kontra | on the side of truth vs. against truth | Genitive + postposition construction opposition. Uses contrasting postpositions "alde" (side/favor) vs. "aurka/kontra" (against) to mark alignment with or opposition to truth. | constructional (contrasting postpositions) | [CORE] |
| zuzenean / zuzeneko | (no clear lexical opposite identified) | zuzenean/zuzeneko vs. — | directly/direct/live vs. — | While "zuzenean/zuzeneko" (directly/direct/live) is highly productive, no dedicated lexical opposite meaning "indirectly" is documented in the data. The concept of mediation or indirectness is expressed through other means (e.g., "bitarteko" = intermediary). | (no clear opposition identified) | [UNCERTAIN] |
| egia aurkitu | egia ezkutatu | egia aurkitu vs. egia ezkutatu | to find the truth vs. to hide the truth | Light verb construction opposition using contrasting verbs "aurkitu" (to find) vs. "ezkutatu" (to hide) with the same object "egia." Marks opposing actions regarding truth revelation vs. concealment. | constructional (light verb with contrasting verbs) | [CORE] |
| egia onartu | egia ukatu | egia onartu vs. egia ukatu | to accept the truth vs. to deny the truth | Light verb construction opposition using contrasting verbs "onartu" (to accept) vs. "ukatu" (to deny) with the same object "egia." Marks opposing stances toward acknowledging truth. | constructional (light verb with contrasting verbs) | [CORE] |
| egia ala gezurra | (disjunctive construction, not opposition per se) | egia ala gezurra | truth or lie | This is a disjunctive construction presenting binary alternatives rather than an opposition itself. It uses the already-opposed terms egia/gezurra in a comparative/contrastive frame with "ala" (or). | constructional (disjunctive frame) | [CORE] |
| zuzen ala oker | (disjunctive construction, not opposition per se) | zuzen ala oker | right or wrong / correct or incorrect | Disjunctive construction presenting binary alternatives using the already-opposed terms zuzen/oker with "ala" (or). Common in evaluative and educational contexts. | constructional (disjunctive frame) | [CORE] |
| egia bada | egia balitz | egia bada vs. egia balitz | if it is true (realis) vs. if it were true (irrealis) | Constructional opposition between realis conditional "bada" and irrealis/counterfactual conditional "balitz." Marks the difference between open conditions and counterfactual hypotheticals. | constructional (conditional mood) | [CORE] |
| egia hutsa | gezur hutsa | egia hutsa vs. gezur hutsa | pure truth/nothing but truth vs. pure lie/complete lie | Parallel intensified collocations using the same intensifier "hutsa" (pure/mere) with opposing base terms. Creates emphatic versions of the basic egia/gezur opposition. | constructional (parallel intensification) | [CORE] |
| egia garbia | gezur garbia | egia garbia vs. gezur garbia | plain truth/clear truth vs. outright lie/blatant lie | Parallel intensified collocations using the same intensifier "garbia" (clean/clear) with opposing base terms. Both emphasize obviousness or undeniability of the truth-value. | constructional (parallel intensification) | [CORE] |
| egiazko X (genuine/authentic X) | gezurrezko X (false/fake X) | egiazko X vs. gezurrezko X | true/genuine X vs. false/fake X | Productive adjectival modification pattern creating systematic oppositions across multiple noun types (dokumentua, produktua, identitatea, etc.). The same structural pattern applies the lexical opposition to any modified noun. | constructional (parallel modification pattern) | [CORE] |
| egiazkotasuna | (no clear lexical opposite identified) | egiazkotasuna vs. — | truthfulness/authenticity vs. — | While "egiazkotasuna" (truthfulness/authenticity) is well-attested, no parallel abstract nominal *gezurtasuna (falseness/mendacity) is documented. The asymmetry reflects limited derivational productivity of the "gezur" root. | (no clear opposition identified) | [UNCERTAIN] |
| zintzotasuna | (no clear lexical opposite identified) | zintzotasuna vs. — | honesty/sincerity vs. — | While "zintzotasuna" (honesty/sincerity) is well-attested, no dedicated abstract nominal for dishonesty is documented. The concept is expressed through other terms like "iruzurra" (fraud) which is not a direct derivational opposite. | (no clear opposition identified) | [UNCERTAIN] |
| zuzentasuna | okertasuna | zuzentasuna vs. okertasuna | correctness/rightness/justice vs. wrongness/crookedness/error | Abstract nominal opposition parallel to zuzen/oker. Both terms are attested and form a systematic derivational pair using the -tasun suffix. | lexical (derived abstract nominals) | [CORE] |
| ziurtasuna | zalantza | ziurtasuna vs. zalantza | certainty/security vs. doubt | Abstract nominal opposition between certainty and doubt. Note asymmetry: "ziurtasuna" uses -tasun suffix while "zalantza" is a basic noun, not a derived form. | lexical (asymmetric derivation) | [CORE] |
| zuzendu | okertu | zuzendu vs. okertu | to correct/straighten vs. to go wrong/become crooked | Verbal opposition parallel to zuzen/oker. Both use the verbalizing suffix -tu but with different semantic nuances: "zuzendu" is transitive (to correct something), "okertu" is typically intransitive (to go wrong). | lexical (derived verbs with asymmetric transitivity) | [CORE] |
| egiazkotu / egiaztatu | (no clear lexical opposite identified) | egiazkotu/egiaztatu vs. — | to verify/authenticate vs. — | While verification verbs are well-attested, no dedicated verb meaning "to falsify" derived from "gezur" exists (*gezurtu is not attested). Falsification is expressed through other verbs like "faltsutu" (to falsify, from borrowed "faltsu"). | (no clear opposition identified) | [UNCERTAIN] |
| egiazki | (no clear lexical opposite identified) | egiazki vs. — | truly/really/genuinely vs. — | While "egiazki" (truly/really) is well-attested, no parallel adverb *gezurki (falsely) is documented. The concept "falsely" is expressed through "gezurrez" (instrumental case) or other constructions. | (no clear opposition identified) | [UNCERTAIN] |
| benetan | itxuraz | benetan vs. itxuraz | really/truly/indeed vs. apparently/seemingly | Adverbial opposition between reality and appearance. "Benetan" (locative of bene-) marks actual reality while "itxuraz" (instrumental of itxura) marks appearance-based claims. | lexical (derived adverbials) | [CORE] |
| zalantzarik gabe | zalantzarekin / zalantzan | zalantzarik gabe vs. zalantzarekin/zalantzan | without doubt/undoubtedly vs. with doubt/doubtfully | Constructional opposition using contrasting postpositions/cases with the same noun "zalantza": partitive + "gabe" (without) vs. instrumental/locative (with/in doubt). | constructional (contrasting case/postposition) | [CORE] |
| egia dena | gezurra dena | egia dena vs. gezurra dena | that which is true vs. that which is a lie | Relative clause construction opposition. Same structural pattern (noun + relativized copula + article) applied to opposing base terms to create categorical references. | constructional (parallel relativization) | [CORE] |
| Egia da? | Gezurra da? | egia da? vs. gezurra da? | Is it true? vs. Is it a lie? | Interrogative construction opposition. Same structural pattern (predicate + copula + question intonation) applied to opposing predicates to create contrasting yes/no questions. | constructional (parallel interrogation) | [CORE] |
| gezurtia | egiazale | gezurtia vs. egiazale | liar vs. truth-lover | Agentive opposition using different derivational strategies: "gezurtia" uses -ti (characteristic agent, often pejorative) while "egiazale" uses -zale (enthusiast/lover). Asymmetric derivation reflects different conceptualizations. | lexical (asymmetric agentive derivation) | [CORE] |
