| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | Αποδείχτηκε αληθινό. | Apodhíchtike alithinó. | [CORE] | Natural and idiomatic for truth-value transitions; colloquial register variant |
| 2 | Αποδείχτηκε αληθής. | Apodhíchtike alithís. | [CORE] | Natural and idiomatic; formal register |
| 3 | Αποδείχτηκε σωστό. | Apodhíchtike sostó. | [CORE] | Natural and idiomatic; colloquial register |
| 4 | Αποδείχτηκε ορθό. | Apodhíchtike orthó. | [CORE] | Natural and idiomatic; formal register |
| 5 | Αποδείχτηκε ότι είχε δίκιο. | Apodhíchtike óti íche dhíkio. | [CORE] | Natural and idiomatic |
| 6 | Η υπόθεση αποδείχτηκε αληθινή. | I ipóthesi apodhíchtike alithiní. | [CORE] | Natural and idiomatic |
| 7 | Ο ισχυρισμός αποδείχθηκε αληθής. | O ishirismós apodíhthike alithís. | [CORE] | Natural and idiomatic; formal/legal register |
| 8 | Αποδείχθηκε αναξιόπιστος. | Apodíhthike anaksiópistos. | [CORE] | Natural and idiomatic |
| 9 | Αποδεικνύεται αληθές. | Apodiknívetai alithés. | [CORE] | Natural and idiomatic; present tense for ongoing/habitual transitions |
| 10 | Αποδεικνύεται αξιόπιστος στην πράξη. | Apodiknívetai aksiópistos stin práksi. | [CORE] | Natural and idiomatic |
| 11 | Ο ισχυρισμός αποδεικνύεται λανθασμένος. | O ischirismós apodikníete lanthazmenos. | [CORE] | Natural and idiomatic |
| 12 | Αποδεικνύω την αθωότητά μου. | Apodeiknío̱ tin athoótitá mu. | [CORE] | Natural and idiomatic |
| 13 | Η πληροφορία επαληθεύτηκε. | I pliroforía epalithéftike. | [CORE] | Restricted to formal, journalistic, and scientific registers |
| 14 | Η πρόβλεψη επαληθεύτηκε. | I próvlepsi epalithéftike. | [CORE] | Restricted to formal, journalistic, and scientific registers |
| 15 | Η υπόθεση επαληθεύτηκε. | I ipóthesi epalithéftike. | [CORE] | Restricted to formal, journalistic, and scientific registers |
| 16 | Διαπιστώθηκε ότι τα στοιχεία ήταν ακριβή. | Dhiapistóthike óti ta stoichía ítan akriví. | [CORE] | Common in official reports, medical contexts, and formal writing |
| 17 | Διαπιστώνεται ολοένα και περισσότερο ότι… | Dhiapistónete oloéna ke perissótero óti… | [CORE] | Common in official reports, medical contexts, and formal writing |
| 18 | Η κατάθεσή του κρίθηκε αληθής. | I katáthesí tu krítike alithís. | [CORE] | Legal register; foregrounds institutional/authoritative judgment |
| 19 | Η κατάθεσή του κρίθηκε αναξιόπιστη. | I katáthesí tu krítike anaksiópistos. | [CORE] | Legal register |
| 20 | Η ψήφος κρίθηκε έγκυρη. | I psífos krítike éngiri. | [CORE] | Electoral/legal register |
| 21 | Ο ισχυρισμός κρίθηκε ψευδής. | O ishirismós krítike psevdís. | [CORE] | Legal register |
| 22 | Δεν θεωρείται πλέον έγκυρο. | Den theoríte pléon éngiro. | [CORE] | Negated form with πλέον is the more frequently documented construction |
| 23 | ?Γίνεται αληθινό. | ?Yínete alithinó. | [Non-idiomatic] | Grammatical but noted as less natural for truth-value transitions specifically; not attested as a common expression |
| 24 | ?Γίνεται σωστό. | ?Yínete sostó. | [Non-idiomatic] | Grammatical but noted as less natural for truth-value transitions specifically; not attested as a common expression |
| 25 | Η κατάσταση γίνεται αμφίβολη. | I katástasi gínetai amfívoli. | [CORE] | γίνομαι more natural with αμφίβολος than with propositional truth adjectives |
| 26 | Η σύμβαση γίνεται άκυρη. | I símvasi gínetai ákiri. | [CORE] | Describes resulting state without specifying cause; ακυρώνεται is more precise for the specific legal act |
| 27 | Βγήκε αληθινό αυτό που είπε. | Vyíke alithinó aftó pu ípe. | [CORE] | Colloquial; used especially for predictions and claims |
| 28 | Βγήκε αλήθεια. | Vyíke alíthia. | [CORE] | Colloquial |
| 29 | Η αλήθεια βγαίνει πάντα στο φως. | I alíthia vgéni pánda sto fos. | [CORE] | Fixed idiomatic/proverbial construction |
| 30 | Η αλήθεια βγαίνει στο φως. | I alíthia vgéni sto fos. | [CORE] | Fixed idiomatic construction |
