# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|--------|
| 1.1 | Habari hiyo imekuwa kweli | habari hiyo i-me-kuwa kweli | [CORE] | Common construction for situations revealed to be true over time. Uses stative verb kuwa (to be/become) with perfect aspect marker -me-. Frequent in narrative contexts describing verification of claims or predictions coming true. |
| 1.2 | Jibu lake limekuwa sahihi | jibu lake li-me-kuwa sahihi | [CORE] | Used when something initially uncertain is confirmed as correct. Common in educational and verification contexts. Less frequent than kuwa kweli but well-attested. |
| 1.3 | Dhahabu hii imekuwa halisi | dhahabu hii i-me-kuwa halisi | [CORE] | Used when authenticity is established through testing or verification. Common in commercial and verification contexts. |
| 1.4 | Sasa nimekuwa na hakika | sasa ni-me-kuwa na hakika | [CORE] | Uses possessive construction (kuwa na "to have/possess"). Common for describing acquisition of certainty. Alternative: kuwa na uhakika (with abstract noun). |
| 1.5 | Ukweli umekuwa dhahiri | ukweli u-me-kuwa dhahiri | [CORE] | Common construction for truth becoming manifest or obvious. Frequent in revelatory contexts and arguments. |
| 1.6a | Taarifa imekuwa kamili | taarifa i-me-kuwa kamili | [CORE] | Pattern (a) kuwa + adjective. Used when information or processes reach completion. |
| 1.6b | Taarifa imekamilika | taarifa i-me-kamilika | [CORE] | Pattern (b) stative verb -kamilika. The stative verb form more common and natural. Used when information or processes reach completion. |
| 2.1 | Habari hiyo imekuwa uongo | habari hiyo i-me-kuwa uongo | [CORE] | Used when something initially believed true is revealed as false. Common in contexts of disconfirmation and revelation of deception. |
| 2.2a | Hati imekuwa batili | hati i-me-kuwa batili | [CORE] | Pattern (a) kuwa + adjective (less common). Used primarily in legal/administrative contexts for documents losing validity. |
| 2.2b | Hati imebatilika | hati i-me-batilika | [CORE] | Pattern (b) stative verb -batilika (more common). Used primarily in legal/administrative contexts for documents losing validity. |
| 2.3 | Matunda yamebovu | matunda ya-me-bovu | [CORE] | Inherent stative/inchoative verb; does not require kuwa. Used for both physical decay and moral corruption. Very common in both literal and metaphorical contexts. |
| 2.4 | Hesabu imekuwa si sahihi | hesabu i-me-kuwa si sahihi | [MARGINAL] | Uses negative copula si with kuwa. Less common than positive counterpart; more natural to say "discovered to be incorrect" using gundua or tambua. Grammatical but less natural than alternatives. |
| 2.5 | — | — | [UNCERTAIN] | While one can say "X imekuwa ya uongo" (X has become of falsehood), this is not a common or natural expression. More natural to use discovery verbs: "imegundulika kuwa ni ya uongo" (it has been discovered to be fake). Construction possible but not commonly attested. |
| 3.1 | Ninahakikisha ukweli wa habari | ni-na-hakikisha ukweli wa habari | [CORE] | Causative derivation from hakika (certain). Extremely common in instructions, procedures, and verification contexts. Can take clausal complement: hakikisha kwamba... (ensure that...). |
| 3.2 | Wathibitisha ukweli wa taarifa | wa-thibitisha ukweli wa taarifa | [CORE] | Causative derivation meaning "to cause to be established/firm." Very common in formal, administrative, and legal contexts for verification and confirmation. |
| 3.3 | Amekamilisha taarifa | a-me-kamilisha taarifa | [CORE] | Causative derivation from kamili (complete). Common in contexts of finishing tasks or bringing things to completion. Can mean both "complete" and "perfect." |
| 3.4 | Anadhihirisha ukweli | a-na-dhihirisha ukweli | [CORE] | Causative derivation from dhahiri (evident). Common in contexts of demonstration, revelation, and making things clear. Frequent in formal and explanatory discourse. |
| 3.5 | Ananyosha njia | a-na-nyosha njia | [CORE] | Causative/extended forms from -nyofu (straight). Used for both physical straightening and moral/procedural correction. Nyosha more common than nyofua. |
| 3.6 | Sahihisha makosa | sahihisha makosa | [MARGINAL] | Causative derivation from sahihi (correct). Used in educational and editorial contexts for making corrections. Less common than expected; often replaced by -rekebisha (to correct, fix). Grammatically possible but less frequent than alternatives. |
| 3.7 | — | — | [ABSENT] | There is no common causative derivation *kwelisha or similar. The concept is expressed periphrastically: "kufanya iwe kweli" (to make it be true) or through verification verbs like thibitisha, hakikisha. No dedicated causative form attested. |
| 4.1 | Mahakama imebatilisha hati | mahakama i-me-batilisha hati | [CORE] | Causative derivation from batili (invalid). Common in legal and administrative contexts for official cancellation or nullification of documents, decisions, or agreements. |
| 4.2a | Rushwa inaboza uadilifu | rushwa i-na-boza uadilifu | [CORE] | Verb boza — causative from -bovu (corrupt/rotten), specialized for moral corruption. Boza specifically used for moral/ethical corruption. |
| 4.2b | Rushwa inaharibu uadilifu | rushwa i-na-haribu uadilifu | [CORE] | Verb haribu — general verb "to spoil/ruin," more common. Both used for corruption. |
| 4.3 | — | — | [ABSENT] | No single common causative verb meaning "to falsify" derived from uongo or batili. Concept expressed through: (a) kubadilisha (to change/alter); (b) kutengeneza (to fabricate); (c) kughushi (to forge/counterfeit). Periphrastic: kufanya iwe ya uongo (to make it be false). No dedicated causative form; expressed through other verbs. |
| 4.4 | — | — | [ABSENT] | No attested causative *sisahihisha or similar. Concept expressed through: (a) kuharibu (to spoil/ruin); (b) kukosea (to make errors in); (c) kubadilisha (to change/alter). No dedicated causative form. |
| 5.1 | Ukweli unabaki kuwa kweli | ukweli u-na-baki kuwa kweli | [CORE] | Uses verb kubaki (to remain, stay) + infinitive kuwa. Common in philosophical and proverbial discourse about permanence of truth. Can be shortened to "kubaki kweli." |
| 5.2 | Jibu linabaki sahihi | jibu li-na-baki sahihi | [CORE] | Uses kubaki + adjective. Common in contexts where correctness is maintained despite challenges or changes. |
| 5.3a | Tunalinda ukweli | tu-na-linda ukweli | [CORE] | Verb linda — "to protect, defend" (more common). Both used for maintaining truth against threats or distortion. |
| 5.3b | Tunahifadhi ukweli | tu-na-hifadhi ukweli | [CORE] | Verb hifadhi — "to preserve, conserve" (more formal). Both used for maintaining truth against threats or distortion. |
| 5.4 | Serikali inalinda haki za raia | serikali i-na-linda haki za raia | [CORE] | Very common construction in human rights and legal discourse. Linda (protect) is the standard verb for rights protection. |
| 5.5 | Wanadumisha usahihi wa taarifa | wa-na-dumisha usahihi wa taarifa | [CORE] | Uses verb kudumisha (to maintain, sustain, preserve). Common in quality control and data management contexts. |
| 6.1 | Uchunguzi unafichua ukweli | uchunguzi u-na-fichua ukweli | [CORE] | Verb fichua (to uncover, reveal, expose). Very common in investigative and journalistic contexts. Implies bringing hidden truth to light. |
| 6.2 | Tuligundua ukweli | tu-li-gundua ukweli | [CORE] | Verb gundua (to discover, find out). Common in investigative narratives and contexts of revelation. Implies finding previously unknown truth. |
| 6.3a | Ushahidi unaonyesha ukweli | ushahidi u-na-onyesha ukweli | [CORE] | Verb onyesha — general "to show" (more common). Both used for making truth visible or clear. |
| 6.3b | Anadhihirisha ukweli | a-na-dhihirisha ukweli | [CORE] | Verb dhihirisha — causative "to make evident" (more formal). Both used for making truth visible or clear. |
| 7.1 | Anajaribu kuficha ukweli | a-na-jaribu ku-ficha ukweli | [CORE] | Verb ficha (to hide, conceal). Very common in accusations of deception and cover-ups. Implies deliberate concealment. |
| 7.2 | Wanafunika ukweli | wa-na-funika ukweli | [CORE] | Verb funika (to cover, cover up). Common in contexts of deliberate concealment and cover-ups. Similar to ficha but emphasizes covering over. |
| 7.3 | Wanapotosha ukweli | wa-na-potosha ukweli | [CORE] | Causative verb potosha (to cause to go astray, to distort). Common in media criticism and accusations of misrepresentation. Implies twisting or perverting truth. |
| 8.1 | Amekubali ukweli | a-me-kubali ukweli | [CORE] | Verb kubali (to accept, agree to). Common in contexts of acknowledgment and admission. Implies overcoming resistance or reluctance. |
| 8.2a | Alikiri ukweli | a-li-kiri ukweli | [CORE] | Verb kiri — "to confess, admit" (implies previous denial). Both common in contexts of admission. |
| 8.2b | Ametambua ukweli | a-me-tambua ukweli | [CORE] | Verb tambua — "to recognize, acknowledge" (more neutral). Both common in contexts of admission. |
| 8.3a | Anakana ukweli | a-na-kana ukweli | [CORE] | Verb kana — "to deny, refuse" (direct denial). Both common in contexts of rejection. |
| 8.3b | Anapinga ukweli | a-na-pinga ukweli | [CORE] | Verb pinga — "to oppose, object to" (active resistance). Both common in contexts of rejection. |
| 8.4 | Wanakataa ukweli | wa-na-kataa ukweli | [CORE] | Verb kataa (to refuse, reject). Common in contexts of willful rejection or refusal to accept truth. Implies deliberate choice. |
| 9.1 | Wanatafuta ukweli | wa-na-tafuta ukweli | [CORE] | Verb tafuta (to seek, search for). Very common in investigative, philosophical, and journalistic contexts. Implies active pursuit. |
| 9.2 | Tunasaka ukweli | tu-na-saka ukweli | [CORE] | Verb saka (to search, hunt for). Similar to tafuta but slightly more intensive. Common in investigative contexts. |
| 9.3 | Wanachunguza ili kupata ukweli | wa-na-chunguza ili ku-pata ukweli | [CORE] | Uses verb chunguza (to investigate, examine) + purpose clause with ili (in order to) + pata (get/find). Common in formal investigative contexts. |
| 10.1 | Ushahidi unathibitisha ukweli | ushahidi u-na-thibitisha ukweli | [CORE] | Causative verb thibitisha (to confirm, verify, establish). Very common in legal, scientific, and formal contexts for establishing truth through evidence. |
| 10.2 | Hoja zake zinathibitisha ukweli | hoja zake zi-na-thibitisha ukweli | [CORE] | Same as 10.1; thibitisha covers both "establish" and "prove." Alternative: onyesha (to show, demonstrate). Both common in argumentative contexts. |
