| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| αλήθεια | alítheia | un-hiddenness (α- privative + λήθω "to hide") | truth, reality, truthfulness | Used to denote truth as correspondence to facts or reality, and also sincerity or truthfulness in speech. Common in everyday discourse, philosophical texts, and religious contexts where it refers to ultimate reality or divine truth. | [CORE] |
| αληθινός | alithinós | true, genuine (derived from αλήθεια) | true, genuine, real, authentic | Describes something as genuine or authentic rather than false or imitation. Used for objects, statements, and persons to indicate they conform to what they claim or appear to be. | [CORE] |
| ψέμα | pséma | lie, falsehood | lie, falsehood, untruth | Refers to a deliberate false statement or deception. Common in everyday speech to denote intentional misrepresentation of facts. | [CORE] |
| ψεύτης | pséftis | liar (agent noun from ψεύδομαι "to lie") | liar | Denotes a person who tells lies or habitually deceives. Used in both casual and serious moral condemnation of dishonest persons. | [CORE] |
| σωστός | sostós | correct, right (from σῴζω "to save, preserve") | correct, right, proper, accurate | Indicates correctness in statements, answers, procedures, or conduct. Widely used in educational, technical, and everyday contexts to affirm accuracy or appropriateness. | [CORE] |
| λάθος | láthos | mistake, error | mistake, error, wrong | Refers to an error or incorrect statement, action, or belief. Used both as noun and adjective to indicate something is mistaken or incorrect. | [CORE] |
| ορθός | orthós | straight, upright, correct | correct, right, proper, orthodox | Denotes correctness, rightness, or propriety in beliefs, statements, or conduct. Common in formal and religious contexts, particularly in compound forms like ορθόδοξος (orthodox). | [CORE] |
| γνήσιος | gnísios | legitimate, genuine (from γένος "birth, kind") | genuine, authentic, legitimate | Describes something as authentic or legitimate, particularly in reference to objects, documents, or lineage. Used to distinguish genuine items from counterfeits or imitations. | [CORE] |
| πραγματικός | pragmatikós | real, actual (from πρᾶγμα "thing, deed") | real, actual, true, genuine | Indicates something is real or actual as opposed to imaginary, apparent, or false. Common in everyday and philosophical discourse to distinguish reality from appearance. | [CORE] |
| ακριβής | akrivís | exact, precise, accurate | accurate, precise, exact, meticulous | Denotes precision and accuracy in measurements, statements, or descriptions. Used in technical, scientific, and everyday contexts where exactness is valued. | [CORE] |
| δίκαιος | díkaios | just, righteous (from δίκη "justice") | just, fair, righteous, right | Describes persons, actions, or judgments as morally right or fair. Central to ethical and legal discourse, indicating conformity to principles of justice. | [CORE] |
| άδικος | ádikos | unjust, wrong (α- privative + δίκη) | unjust, unfair, wrong | Indicates injustice or wrongness in actions, persons, or situations. Used in moral and legal contexts to condemn violations of fairness or rights. | [CORE] |
| πλαστός | plastós | molded, fabricated, fake (from πλάσσω "to mold") | fake, false, counterfeit, forged | Describes something as fabricated or counterfeit rather than genuine. Used for documents, objects, or statements that are deliberately falsified. | [CORE] |
| κίβδηλος | kívdilos | counterfeit, adulterated | counterfeit, spurious, adulterated | Refers to something counterfeit or of debased quality, originally used for adulterated coins. Less common in modern usage but still understood in literary and formal contexts. | [MARGINAL] |
| αυθεντικός | afthentikós | authentic, original (from αὐθέντης "master, author") | authentic, genuine, original | Indicates something is authentic or original rather than copied or fake. Common in discussions of art, documents, and cultural artifacts. | [CORE] |
| ψευδής | psevdís | false, lying | false, untrue, lying | Describes statements, beliefs, or representations as false. More formal than ψέμα, often used in written or elevated discourse. | [CORE] |
| αληθεύω | alithévo | to tell the truth, to be truthful | to tell the truth, to be truthful, to speak truly | Verb indicating the act of telling truth or being truthful. Used in contexts emphasizing honest communication or accurate representation. | [CORE] |
| ειλικρινής | ilikrinís | sincere, genuine (etymology uncertain, possibly "judged in sunlight") | sincere, genuine, honest, frank | Describes persons or statements as sincere and honest, without deception or hidden motives. Emphasizes genuineness of intention and expression. | [CORE] |
| έγκυρος | énkyros | valid, legitimate (from ἐν + κῦρος "authority") | valid, legitimate, authoritative | Indicates validity or legitimacy, particularly of documents, arguments, or legal instruments. Common in formal, legal, and administrative contexts. | [CORE] |
| ακυρος | ákyros | invalid, void (α- privative + κῦρος) | invalid, void, null | Describes something as lacking validity or legal force. Used primarily in legal and administrative contexts for invalidated documents or decisions. | [CORE] |
| ψευδώνυμο | psevdónymo | false name (ψευδής + ὄνομα) | pseudonym, pen name, alias | Refers to a false or assumed name used instead of one's real name. Common in literary and legal contexts. | [CORE] |
| νόθος | nóthos | illegitimate, bastard, spurious | illegitimate, spurious, bastard, counterfeit | Describes something as illegitimate or not genuine, originally referring to illegitimate birth. Can apply to documents, claims, or objects of questionable authenticity. | [MARGINAL] |
| ορθότητα | orthótita | correctness, rightness (noun from ορθός) | correctness, accuracy, rightness, propriety | Refers to the quality of being correct or right. Used in discussions of linguistic correctness, moral rightness, or factual accuracy. | [CORE] |
| αξιόπιστος | axiópistos | trustworthy, reliable (ἄξιος "worthy" + πίστις "faith") | reliable, trustworthy, credible, dependable | Describes persons, sources, or information as worthy of trust or belief. Common in evaluating credibility of testimony, sources, or character. | [CORE] |
| αναληθής | analithís | untrue, false (ἀν- privative + αληθής) | untrue, false, inaccurate | Indicates something is not true or accurate. More formal than ψευδής, often used in written discourse or formal speech. | [CORE] |
| ψευδολογία | psevdología | lying, falsehood (ψευδής + λόγος "speech") | lying, mendacity, falsehood | Refers to the practice or act of lying. More formal or technical than ψέμα, used in moral or psychological discourse. | [MARGINAL] |
| απατηλός | apatilós | deceptive, misleading (from ἀπάτη "deception") | deceptive, misleading, deceitful | Describes something that deceives or misleads, whether intentionally or not. Used for appearances, statements, or persons that create false impressions. | [CORE] |
| βέβαιος | véveos | certain, sure, reliable | certain, sure, reliable, definite | Indicates certainty or reliability of knowledge, statements, or persons. Common in contexts requiring assurance or confirmation of truth. | [CORE] |
| αμφίβολος | amfívolos | doubtful, ambiguous (ἀμφί "both ways" + βάλλω "to throw") | doubtful, dubious, ambiguous, questionable | Describes something as uncertain, doubtful, or open to multiple interpretations. Used when truth or meaning is unclear or contested. | [CORE] |
| κατασκευασμένος | kataskevazménos | fabricated, constructed (participle from κατασκευάζω) | fabricated, made-up, concocted, constructed | Describes something as artificially constructed or fabricated, often implying falsification. Used for stories, evidence, or accusations that are invented rather than genuine. | [CORE] |
| αληθώς | alithós | αληθ- (true) + -ώς (adverbial suffix) | truly, really, indeed | Adverb used to emphasize the truth or reality of a statement in both everyday speech and formal writing. Common in confirmations and emphatic assertions. | [CORE] |
| αλήθω | alítho | αληθ- (true) + -ω (verb ending) | to tell the truth, to speak truthfully | Verb form used in everyday speech and writing to indicate truthful speaking. Less common than αληθεύω but still in regular use. | [CORE] |
| αληθοφανής | alithofanís | αληθ- (true) + φαίνομαι (to appear) | apparently true, plausible, verisimilar | Used in formal and literary contexts to describe something that appears true or has the semblance of truth, though actual truth may be uncertain. Common in critical analysis and rhetoric. | [CORE] |
| αληθολογώ | alithológo | αληθ- (true) + λόγος (speech) + -ω (verb) | to speak the truth, to tell the truth | Formal verb used in literary and elevated discourse to emphasize truthful speech. More emphatic than simple αληθεύω. | [MARGINAL] |
| αληθοφιλής | alithofilís | αληθ- (true) + φιλ- (love) | truth-loving, devoted to truth | Describes persons who value or love truth. Used in philosophical, moral, and character descriptions, particularly in formal or literary contexts. | [MARGINAL] |
| αλήθεια μου | alítheia mou | αλήθεια (truth) + μου (my) | my truth, honestly, truly (exclamation) | Colloquial expression used as an interjection to emphasize sincerity or truthfulness in everyday speech. Functions as "honestly!" or "really!" | [CORE] |
| στην αλήθεια | stin alítheia | στην (in the) + αλήθεια (truth) | in truth, actually, in fact | Common prepositional phrase used in everyday and formal speech to introduce a truthful statement or correction. Equivalent to "actually" or "in fact." | [CORE] |
| η αλήθεια είναι | i alítheia íne | η (the) + αλήθεια (truth) + είναι (is) | the truth is, actually | Fixed phrase used to introduce a frank or honest statement, often a correction or clarification. Very common in everyday discourse. | [CORE] |
| αλήθεια; | alítheia? | αλήθεια (truth) [interrogative intonation] | really? is that true? seriously? | Single-word question used colloquially to express surprise or seek confirmation. Extremely common in everyday conversation. | [CORE] |
| αληθινά | alithiná | αληθιν- (true) + -ά (neuter plural/adverbial) | truly, really, genuinely | Adverb used to emphasize genuineness or reality in everyday and formal speech. Interchangeable with αληθώς in many contexts. | [CORE] |
| αληθινότητα | alithinótita | αληθιν- (true) + -ότητα (abstract noun suffix) | genuineness, authenticity, truthfulness | Abstract noun referring to the quality of being genuine or authentic. Used in formal discourse, particularly in discussions of art, documents, or character. | [CORE] |
| αληθοφάνεια | alithofáneia | αληθ- (true) + φαίνομαι (to appear) + -εια (noun suffix) | verisimilitude, plausibility, appearance of truth | Formal noun used in literary criticism, rhetoric, and philosophical discourse to refer to the quality of appearing true or realistic. | [MARGINAL] |
| αληθολόγος | alithológos | αληθ- (true) + λόγος (speech) | truthful person, truth-teller | Formal or literary term for a person who speaks truth. Less common in everyday speech, more typical of elevated or archaic register. | [MARGINAL] |
| αληθής | alithís | αληθ- (true) + -ής (adjective suffix) | true, truthful, veracious | Adjective form used in formal and literary contexts, somewhat more elevated than αληθινός. Common in philosophical and formal writing. | [CORE] |
| αληθεύομαι | alithévome | αληθ- (true) + -εύομαι (passive/middle verb) | to be verified, to prove true, to turn out to be true | Passive/middle voice form indicating that something is verified or proves to be true. Used in formal and everyday contexts when predictions or claims are confirmed. | [CORE] |
| ψεύδομαι | psévdome | ψευδ- (false) + -ομαι (middle/passive verb) | to lie, to tell lies, to deceive | Primary verb for lying in Greek. Used in all registers from everyday conversation to formal discourse. The middle voice emphasizes the speaker's agency in deception. | [CORE] |
| ψευδώς | psevdós | ψευδ- (false) + -ώς (adverbial suffix) | falsely, untruthfully, mendaciously | Adverb used in formal and legal contexts to indicate that something is done or stated falsely. Common in accusations and formal denunciations. | [CORE] |
