| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| **1. ATTRIBUTION** — NP + *olla* + PRED-ADJ | *Se on tosi.* | Se on tosi. | "That is true." | The standard copular predication pattern; occurs across all registers from casual speech to formal writing. No observable restriction on which truth-domain adjectives appear in this slot. *Olla* + predicative adjective is the unmarked copular construction in Finnish. | [CORE] |
| **1. ATTRIBUTION** — NP + *olla* + PRED-ADJ (partitive) | *Se on totta.* | Se on totta. | "It is true." | Ubiquitous across all registers for truth-value and property attribution. The partitive *totta* is obligatory in this specific construction; substitution with nominative *\*tosi* is ungrammatical. | [CORE] |
| **1. ATTRIBUTION** — NP + *olla* + PRED-ADJ | *Väite on perusteeton.* | Väite on perusteeton. | "The claim is unfounded." | Standard evaluative construction in journalistic, legal, and academic registers. Nominative predicate adjective is the regular pattern for all adjectives other than *tosi*. Frequent in formal, journalistic, and legal discourse; fully productive across truth-domain adjectives. | [CORE] |
| **1. ATTRIBUTION** — NP + *olla* + PRED-ADJ | *Väite on epätosi.* | Väite on epätosi. | "The claim is false." | More formal than *Se on tosi*; *epätosi* is more characteristic of written and academic registers than spoken Finnish. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — negated copula (*ei pidä paikkaansa*) | *Se ei pidä paikkaansa.* | Se ei pidä paikkaansa. | "That is not true / does not hold." | The fixed expression *ei pidä paikkaansa* is the most colloquial and frequent form for propositional falsity; preferred in spoken and informal written Finnish over *ei ole tosi*. Idiomatic and preferred in evaluative assessment of specific claims; common in journalistic and academic registers. Fixed form; not productively decomposable in use. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — negated copula (*ei pidä paikkaansa*) | *Väite ei pidä paikkaansa.* | Väite ei pidä paikkaansa. | "The claim is not true / does not hold." | Common in journalistic and academic registers for evaluative assessment of specific claims. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — NP + *ei ole* + PRED-ADJ | *Tämä allekirjoitus ei ole aito.* | Tämä allekirjoitus ei ole aito. | "This signature is not genuine." | Standard negated copular construction; used in legal, forensic, and everyday contexts. Predicate adjective remains in nominative under negation. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — NP + *ei ole* + PRED-ADJ | *Kuvaus ei ole todenmukainen.* | Kuvaus ei ole todenmukainen. | "The description is not realistic." | Available for all adjectives; more frequent in spoken registers than *epä-* prefixation. No restriction on truth-domain adjectives in this slot. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** — *epä-* prefix, predicative | *Lähde on epäluotettava.* | Lähde on epäluotettava. | "The source is unreliable." | *Epä-* prefixation is productive and common in formal and written registers; preferred when a stable negative property is being attributed rather than a momentary negation. Characteristic of written and formal registers; *epä-* forms are fully lexicalized for most truth-domain adjectives. Preferred over periphrastic negation in journalistic and official contexts. | [CORE] |
| **3. ADNOMINAL MODIFICATION** — ADJ + NP | *luotettava lähde* | luotettava lähde | "a reliable source" | Fully productive and unrestricted; adjective precedes noun and agrees in case and number. Extremely frequent in journalistic and evaluative contexts. Agreement in oblique cases (e.g., *luotettavaa lähdettä*, *luotettavassa lähteessä*) is regular. No register restriction observed. | [CORE] |
| **3. ADNOMINAL MODIFICATION** — ADJ + NP | *perusteeton syytös* | perusteeton syytös | "an unfounded accusation" | Common in legal, journalistic, and administrative discourse; the pattern itself is the default attributive construction in Finnish. Full inflectional agreement is obligatory; no invariant attributive form exists in Finnish. | [CORE] |
| **3. ADNOMINAL MODIFICATION** — ADJ + NP | *todenmukainen kuvaus* | todenmukainen kuvaus | "a true-to-life / accurate description" | Standard attributive pattern across all registers; adjective precedes noun and inflects with it throughout the paradigm. No restriction on register or text type. | [CORE] |
| **3. ADNOMINAL MODIFICATION** — ADJ + NP | *virheellinen tieto* | virheellinen tieto | "incorrect information" | The standard attributive pattern in Finnish; all P1 adjectives occur productively in this position. Agreement throughout the case paradigm is obligatory and not register-restricted. | [CORE] |
| **4. BECOME / INCHOATIVE** — *osoittautua* + TRANSLATIVE | *Väite osoittautui epätodeksi.* | Väite osoittautui epätodeksi. | "The claim turned out to be false." | Productive general-purpose inchoative for truth-domain adjectives; common in journalistic and analytical discourse. Requires an animate or institutional agent as implicit evaluator. The translative complement is obligatory with *osoittautua*. | [CORE] |
| **4. BECOME / INCHOATIVE** — *osoittautua* + TRANSLATIVE | *Ennuste osoittautui oikeaksi.* | Ennuste osoittautui oikeaksi. | "The forecast turned out to be correct." | Standard inchoative construction for truth-domain adjectives and nouns; common in journalistic, scientific, and everyday narrative registers. Translative case is obligatory. | [CORE] |
| **4. BECOME / INCHOATIVE** — *osoittautua* + TRANSLATIVE (nominal complement) | *Maalaus osoittautui väärennökseksi.* | Maalaus osoittautui väärennökseksi. | "The painting turned out to be a forgery." | Frequent in legal, art-authentication, and investigative contexts. The translative nominal complement (*väärennökseksi*) follows the same case requirement as the adjectival complement. | [CORE] |
