# CLCA Protocol v3.4 — P4b CONSTRUCTION USAGE & CONSTRAINTS
**Language: English (en)**

---

## Construction Usage Table

| Construction Type | Example | Transliteration | Translation | Naturalness Rating | Usage Notes | Attested Alternates |
|---|---|---|---|---|---|---|
| **1. ATTRIBUTION** | *That is true.* | N/A | That statement corresponds to the facts. | [CORE] | Ubiquitous across all registers, spoken and written. No observable restriction on subject type (proposition, person, object) or register. | *That holds true.* (slightly more formal); *That is correct.* (preferred in formal/professional contexts) |
| **1. ATTRIBUTION** | *The document is genuine.* | N/A | The document is what it purports to be; it is not a forgery. | [CORE] | Common in legal, archival, and journalistic contexts. The adjective choice (*genuine* vs. *authentic*) is largely register- and domain-driven. | *The document is authentic.* (more formal/technical); *The document checks out.* (informal) |
| **2. NEGATIVE ATTRIBUTION** | *That is not true.* | N/A | That statement does not correspond to the facts. | [CORE] | The analytic negation form is the default in spoken and informal written registers. No restriction on subject type. | *That is false.* (more assertive, formal); *That is untrue.* (slightly more formal) |
| **2. NEGATIVE ATTRIBUTION** | *The contract is invalid.* | N/A | The contract lacks legal force. | [CORE] | Morphological negation (*invalid*, *inaccurate*, *dishonest*) is strongly preferred in formal and written registers, particularly legal and academic. | *The contract is not valid.* (analytic, more neutral); *The contract is void.* (legal term of art) |
| **3. ADNOMINAL MODIFICATION** | *A genuine concern was raised.* | N/A | A sincere, real concern was raised. | [CORE] | Freely used across all registers in prenominal position. No morphological change from predicative form. | *A real concern was raised.* (more informal); *A legitimate concern was raised.* (formal/professional) |
| **3. ADNOMINAL MODIFICATION** | *A spurious correlation appeared in the data.* | N/A | A statistically coincidental, non-meaningful correlation appeared in the data. | [CORE] | Restricted in practice to academic, scientific, and formal analytical registers; *spurious* is a learned Latinate adjective not common in everyday speech. | *A false correlation appeared.* (less precise, informal); *A misleading correlation appeared.* (journalistic) |
| **4. BECOME / INCHOATIVE** | *Her prediction came true.* | N/A | Her prediction was realized; what she anticipated actually happened. | [CORE] | Highly idiomatic and frequent; restricted to subjects that are wishes, predictions, dreams, or hopes. Not extensible to other truth-domain adjectives (*\*came genuine*, *\*came valid*). | *Her prediction was fulfilled.* (more formal); *Her prediction proved correct.* (formal variant) |
| **4. BECOME / INCHOATIVE** | *The report turned out to be false.* | N/A | The report was subsequently discovered to be inaccurate. | [CORE] | General-purpose inchoative frame for discovered truth-status; applies across the full range of truth-domain adjectives. Common in spoken and written narrative registers. | *The report proved false.* (more formal); *The report was found to be false.* (neutral, written) |
| **5. CAUSATIVE** | *The laboratory verified the results.* | N/A | The laboratory confirmed that the results were accurate. | [CORE] | Standard in scientific, academic, and professional registers. *Verify* is the most broadly distributed causative verb in this domain. | *The laboratory confirmed the results.* (slightly less specific); *The laboratory validated the results.* (emphasizes procedural approval) |
