# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Basque (eu)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| egia | egia esan | egia esan | to tell the truth | Standard light verb construction for speaking truthfully. The most common way to express the act of telling the truth in Basque. Used across all registers. | [CORE] |
| egia | egia atera | egia atera | to bring out the truth, to reveal the truth | Light verb construction with "atera" (to take out, bring out) used when truth is extracted or revealed through investigation or questioning. Common in investigative and legal contexts. | [CORE] |
| egia | egia aurkitu | egia aurkitu | to find the truth, to discover the truth | Light verb construction with "aurkitu" (to find) used when truth is discovered through search or investigation. Common in investigative and philosophical contexts. | [CORE] |
| egia | egia bilatu | egia bilatu | to seek the truth, to search for the truth | Light verb construction with "bilatu" (to search) describing the activity of truth-seeking. Common in philosophical, investigative, and intellectual contexts. | [CORE] |
| egia | egia ezkutatu | egia ezkutatu | to hide the truth, to conceal the truth | Light verb construction with "ezkutatu" (to hide) used when truth is deliberately concealed. Common in moral and investigative discourse about deception. | [CORE] |
| egia | egia ezagutu | egia ezagutu | to know the truth, to recognize the truth | Light verb construction with "ezagutu" (to know, recognize) used when someone knows or comes to recognize the truth. Common in epistemic and religious discourse. | [CORE] |
| egia | egia ikusi | egia ikusi | to see the truth | Light verb construction with "ikusi" (to see) used metaphorically for perceiving or understanding truth. Common in philosophical and everyday discourse. | [CORE] |
| egia | egia onartu | egia onartu | to accept the truth, to acknowledge the truth | Light verb construction with "onartu" (to accept) used when someone accepts or acknowledges truth, often reluctantly. Common in moral and interpersonal contexts. | [CORE] |
| egia | egia ukatu | egia ukatu | to deny the truth | Light verb construction with "ukatu" (to deny) used when someone refuses to accept or acknowledge truth. Common in moral and legal discourse. | [CORE] |
| egia | egiaren bila | egiaren bila | in search of truth | Genitive + postposition "bila" (in search of). Fixed phrase describing pursuit of truth. Common in philosophical and investigative contexts. | [CORE] |
| egia | egiaren alde | egiaren alde | on the side of truth, in favor of truth | Genitive + postposition "alde" (side, favor). Expression indicating alignment with truth. Common in moral and political discourse. | [CORE] |
| egia | egiaren aurkako | egiaren aurkako | against truth, contrary to truth | Genitive + postposition "aurka" (against) + relational suffix. Describes opposition to truth. Used in evaluative and critical discourse. | [CORE] |
| egia | egiaren kontrako | egiaren kontrako | against truth, contrary to truth | Genitive + postposition "kontra" (against) + relational suffix. Alternative to "aurkako" with similar meaning. Used in formal and critical discourse. | [CORE] |
| egia | egiari eusten | egiari eusten | holding to truth, maintaining truth | Dative + verb "eusten" (to hold, maintain). Describes steadfast commitment to truth. Used in moral evaluation of character. | [CORE] |
| egia | egiaz | egiaz | with truth, truthfully, truly | Instrumental case form functioning adverbially. Used to mark truthful manner or to emphasize truth. Common across registers. | [CORE] |
| egia | egiaren argia | egiaren argia | light of truth | Genitive + "argi" (light). Metaphorical expression linking truth with illumination. Common in religious and philosophical discourse. | [CORE] |
| egia | egiaren une | egiaren une | moment of truth | Genitive + "une" (moment). Expression for critical moment when truth is revealed or tested. Common in dramatic and competitive contexts. | [CORE] |
| egia | egia eta zuzentasuna | egia eta zuzentasuna | truth and justice/righteousness | Fixed binomial pairing truth with justice/righteousness. Common in legal, moral, and political discourse as paired ideals. | [CORE] |
| egia | egia hutsa | egia hutsa | pure truth, nothing but truth | Fixed collocation with "huts" (pure, mere). Emphatic expression for absolute truth. Common in legal contexts and emphatic assertions. | [CORE] |
| egia | egia gordina | egia gordina | raw truth, harsh truth | Fixed collocation with "gordin" (raw, crude). Expression for unpleasant truth stated bluntly. Common in everyday and moral discourse. | [CORE] |
| egia | egia garbiak | egia garbiak | plain truths, clear truths | Fixed collocation with "garbi" (clean, clear) in plural. Expression for obvious or undeniable truths. Common in argumentative discourse. | [CORE] |
| egia | egia sakona | egia sakona | deep truth, profound truth | Fixed collocation with "sakon" (deep). Expression for fundamental or profound truths. Common in philosophical and religious discourse. | [CORE] |
| egia | egia dena | egia dena | that which is true, what is true | Relative clause construction with "den" (is) + article "a." Used to refer to truth as a category or to true things generally. Common in philosophical and everyday discourse. | [CORE] |
| egia | egia bada | egia bada | if it is true | Conditional construction with "ba-" (if) + "da" (is). Used to introduce conditional clauses based on truth. Common in argumentative and analytical discourse. | [CORE] |
| egia | egia balitz | egia balitz | if it were true | Counterfactual conditional with "ba-" + "litz" (were). Used for hypothetical situations. Common in philosophical and everyday discourse. | [CORE] |
| egia | egia esan | egia esan | to tell the truth (discourse marker) | Functions as discourse marker introducing candid statements. Very common in conversational discourse to preface honest admissions. | [CORE] |
| egia | egia da | egia da | it is true (confirmation) | Simple predicative construction functioning as confirmation or agreement. Very common in conversational discourse. | [CORE] |
| egia | egia ez | egia ez | not true, not the truth | Simple negation construction. Used to deny truth of statements. Common across all registers. | [CORE] |
| egia | ez da egia | ez da egia | it is not true | Full predicative negation. Standard way to deny truth of propositions. Very common across all registers. | [CORE] |
| egia | egia da? | egia da? | is it true? | Simple yes/no question about truth. Very common in conversational discourse seeking confirmation. | [CORE] |
| egia | egia al da? | egia al da? | is it true? (polite/formal) | Yes/no question with interrogative particle "al." More formal or polite register than simple "egia da?" | [CORE] |
| egia | egia! | egia! | true! (exclamation) | Standalone exclamation expressing agreement or confirmation. Common in conversational discourse. | [CORE] |
| egiazkoa | egiazkoa dena | egiazkoa dena | that which is true/genuine | Relative clause construction referring to genuine or true things. Common in evaluative discourse. | [CORE] |
| egiazkoa | egiazko maitasuna | egiazko maitasuna | true love | Fixed collocation distinguishing genuine love from false affection. Very common in romantic and literary discourse. | [CORE] |
| egiazkoa | egiazko adiskidea | egiazko adiskidea | true friend | Fixed collocation for genuine friendship. Very common in everyday discourse about relationships. | [CORE] |
| egiazkoa | egiazko izaera | egiazko izaera | true nature, real character | Fixed collocation for essential nature or character. Common in philosophical and psychological discourse. | [CORE] |
| egiazkoa | egiazko arrazoia | egiazko arrazoia | true reason, real reason | Fixed collocation distinguishing actual from stated reasons. Common in explanatory discourse. | [CORE] |
| egiazkoa | egiazko historia | egiazko historia | true story | Fixed collocation marking narratives as factual. Common in journalistic and narrative contexts. | [CORE] |
| egiazkoa | egiazko balioa | egiazko balioa | true value, real worth | Fixed collocation for genuine value. Common in economic and moral evaluations. | [CORE] |
| egiazkoa | egiazko asmoa | egiazko asmoa | true intention, real purpose | Fixed collocation distinguishing genuine from stated intentions. Common in moral and legal discourse. | [CORE] |
| egiazkoa | egiazko egoera | egiazko egoera | real situation, actual state of affairs | Fixed collocation for actual circumstances. Common in analytical and investigative discourse. | [CORE] |
| egiazkoa | egiazko identitatea | egiazko identitatea | true identity, real identity | Fixed collocation for actual identity. Common in investigative and dramatic contexts. | [CORE] |
| egiazkoa | egiazko jatorria | egiazko jatorria | true origin, authentic source | Fixed collocation for actual origin or provenance. Common in historical and commercial contexts. | [CORE] |
| egiazkoa | egiazko artista | egiazko artista | true artist, genuine artist | Fixed collocation distinguishing authentic talent from pretenders. Common in aesthetic discourse. | [CORE] |
| egiazkoa | egiazko dokumentua | egiazko dokumentua | authentic document | Fixed collocation for verified documents. Common in legal and administrative contexts. | [CORE] |
| egiazkoa | egiazko produktua | egiazko produktua | genuine product | Fixed collocation for authentic goods. Common in commercial and consumer protection contexts. | [CORE] |
| gezurra | gezurra esan | gezurra esan | to tell a lie, to lie | Standard light verb construction for lying. The most common way to express the act of lying in Basque. Used across all registers. | [CORE] |
| gezurra | gezurra asmatu | gezurra asmatu | to invent a lie, to make up a lie | Light verb construction with "asmatu" (to invent) emphasizing the fabrication aspect of lying. Used when lies are deliberately created. | [CORE] |
| gezurra | gezurra eman | gezurra eman | to give the lie to, to prove false | Light verb construction with "eman" (to give) used when evidence contradicts and disproves a claim. More formal register than everyday speech. | [CORE] |
| gezurra | gezurra atera | gezurra atera | to expose a lie, to bring out the lie | Light verb construction with "atera" (to take out) used when lies are uncovered or exposed. Common in investigative contexts. | [CORE] |
| gezurra | gezurretan harrapatu | gezurretan harrapatu | to catch in lies | Locative plural + verb "harrapatu" (to catch). Expression for catching someone lying. Common in accusatory and investigative contexts. | [CORE] |
| gezurra | gezurretan ibili | gezurretan ibili | to go about in lies, to be engaged in lying | Locative plural + verb "ibili" (to walk, go about). Describes habitual lying behavior. Used in moral condemnation. | [CORE] |
| gezurra | gezur hutsa | gezur hutsa | pure lie, complete lie | Fixed collocation with "huts" (pure, mere). Emphatic expression for total falsehood. Common in dismissive statements. | [CORE] |
| gezurra | gezur garbia | gezur garbia | outright lie, blatant lie | Fixed collocation with "garbi" (clean, clear). Expression for obvious lies. Common when falsity is undeniable. | [CORE] |
| gezurra | gezur handia | gezur handia | big lie | Fixed collocation with "handi" (big). Expression for significant or consequential lies. Common in political and moral discourse. | [CORE] |
| gezurra | gezur txikia | gezur txikia | little lie, white lie | Fixed collocation with "txiki" (small). Expression for minor lies. Used to minimize moral weight of certain falsehoods. | [CORE] |
| gezurra | gezur-gezurra | gezur-gezurra | complete lie, utter lie | Emphatic reduplication of "gezur." Intensified expression for total falsehood. Common in emphatic dismissals. | [CORE] |
| gezurra | gezurra dena | gezurra dena | that which is a lie, what is false | Relative clause construction referring to false things. Common in evaluative discourse. | [CORE] |
| gezurra | gezurra bada | gezurra bada | if it is a lie | Conditional construction introducing clauses based on falsity. Common in argumentative discourse. | [CORE] |
| gezurra | gezurra da | gezurra da | it is a lie | Predicative construction asserting falsity. Common in accusations and denials. | [CORE] |
| gezurra | ez da gezurra | ez da gezurra | it is not a lie | Predicative negation defending against accusations of lying. Common in defensive discourse. | [CORE] |
| gezurra | gezurra da? | gezurra da? | is it a lie? | Yes/no question about falsity. Common in accusatory or skeptical discourse. | [CORE] |
| gezurra | gezurra! | gezurra! | lie! (exclamation) | Standalone exclamation expressing accusation or denial. Common in confrontational discourse. | [CORE] |
| gezurrezko | gezurrezko dokumentua | gezurrezko dokumentua | false document, forged document | Fixed collocation for fraudulent documents. Common in legal contexts. | [CORE] |
| gezurrezko | gezurrezko lekukotza | gezurrezko lekukotza | false testimony, perjury | Fixed legal collocation for lying under oath. Standard term in judicial contexts. | [CORE] |
| gezurrezko | gezurrezko salaketa | gezurrezko salaketa | false accusation | Fixed legal collocation for false charges. Common in legal discourse. | [CORE] |
| gezurrezko | gezurrezko identitatea | gezurrezko identitatea | false identity | Fixed collocation for assumed identity. Common in legal and security contexts. | [CORE] |
| gezurrezko | gezurrezko itxura | gezurrezko itxura | false appearance, deceptive appearance | Fixed collocation for misleading appearances. Common in evaluative discourse. | [CORE] |
| gezurrezko | gezurrezko alarma | gezurrezko alarma | false alarm | Fixed technical collocation for erroneous alarms. Common in security contexts. | [CORE] |
| gezurrezko | gezurrezko albistea | gezurrezko albistea | false news, fake news | Fixed collocation for fabricated news. Increasingly common in media discourse. | [CORE] |
| gezurrezko | gezurrezko promesa | gezurrezko promesa | false promise | Fixed collocation for insincere promises. Common in political and moral discourse. | [CORE] |
| gezurrezko | gezurrezko adiskidea | gezurrezko adiskidea | false friend | Fixed collocation for disloyal friends. Common in moral discourse. | [CORE] |
