| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | அது உண்மை ஆகிறது. | atu uṇmai ākiṟatu. | structurally possible; context more strongly supports emergence-type constructions | From the context, the most clearly established dynamic expressions are not primarily “become true” in a strict morphological sense, but rather **truth emerging or becoming known**: **உண்மை வெளிவரு**, **உண்மை தெரியவரு**. A form like **அது உண்மை ஆகிறது** is structurally possible using allowed vocabulary plus **ஆகு**, but the context more strongly supports the emergence-type constructions above. |
| 2 | பிறகு உண்மை தெரியவருகிறது. | piṟaku uṇmai teriyavarukiṟatu. | most clearly established | From the context, the most clearly established dynamic expressions are not primarily “become true” in a strict morphological sense, but rather **truth emerging or becoming known**: **உண்மை வெளிவரு**, **உண்மை தெரியவரு**. |
| 3 | இறுதியில் உண்மை வெளிவந்தது. | iṟutiyil uṇmai veḷivantatu. | most clearly established | From the context, the most clearly established dynamic expressions are not primarily “become true” in a strict morphological sense, but rather **truth emerging or becoming known**: **உண்மை வெளிவரு**, **உண்மை தெரியவரு**. |
| 4 | எல்லாம் சரி ஆகும். | ellām cari ākum. | one of the clearest and most natural dynamic patterns in the dataset | With **சரி**, Tamil readily encodes movement into a good, acceptable, corrected, or functioning state by using **ஆகு**. This pattern is broader than factual truth alone: it often means “become okay,” “be fixed,” or “come right.” |
| 5 | இது பிறகு சரி ஆகும். | itu piṟaku cari ākum. | one of the clearest and most natural dynamic patterns in the dataset | With **சரி**, Tamil readily encodes movement into a good, acceptable, corrected, or functioning state by using **ஆகு**. This pattern is broader than factual truth alone: it often means “become okay,” “be fixed,” or “come right.” |
| 6 | அந்தக் கூற்று பொய்யாகி போனது. | antak kūṟṟu poyyāki pōnatu. | strongest attested | This is the strongest attested “become non-truth” pattern in the context. It expresses retrospective falsification or failure of a claim, expectation, or report. The construction is more specific than simple negation: not just “is not true” but “turned out false.” |
| 7 | அது பொய்யாகி போயிற்று. | atu poyyāki pōyiṟṟu. | strongest attested | This is the strongest attested “become non-truth” pattern in the context. It expresses retrospective falsification or failure of a claim, expectation, or report. The construction is more specific than simple negation: not just “is not true” but “turned out false.” |
| 8 | இது சரி வரவில்லை. | itu cari varavillai. | Tamil often uses dynamic failure expressions rather than a neat opposite “become wrong” form | For **சரி**, Tamil often uses dynamic failure expressions rather than a neat opposite “become wrong” form: **சரி வரவில்லை** = “did not come out right”; **சரியில்லை / சரியல்ல** = resulting non-correct state. A direct common expression from the context equivalent to “X becomes தவறு” is **not clearly identified**. |
| 9 | அது சரியில்லை. | atu cariyillai. | resulting non-correct state | For **சரி**, Tamil often uses dynamic failure expressions rather than a neat opposite “become wrong” form: **சரி வரவில்லை** = “did not come out right”; **சரியில்லை / சரியல்ல** = resulting non-correct state. A direct common expression from the context equivalent to “X becomes தவறு” is **not clearly identified**. |
| 10 | பிழையை சரிசெய். | piḻaiyai caricey. | clearest causative-style pattern; strongly attested and highly natural | This is the clearest causative-style pattern in the correctness domain. Tamil uses a light-verb construction rather than a single dedicated verb meaning “make correct.” This is strongly attested and highly natural. |
| 11 | அதை சரி செய்து கொள். | atai cari ceytu koḷ. | clearest causative-style pattern; strongly attested and highly natural | This is the clearest causative-style pattern in the correctness domain. Tamil uses a light-verb construction rather than a single dedicated verb meaning “make correct.” This is strongly attested and highly natural. |
