# CLCA Protocol v3.4 — F2a Derivational Table
# Language: Quechua (qu)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| chiqan | chiqap | chiqap | chiqan + -p (adverbializer/genitive) | truly, really, indeed | Adverbial form used to emphasize the truth or reality of a statement. Functions as an intensifier in discourse to confirm veracity. | [CORE] |
| chiqan | chiqamanta | chiqamanta | chiqan + -manta (ablative: from/out of) | from truth, truly, genuinely | Ablative form emphasizing origin in truth. Used to indicate that something proceeds from or is grounded in truth rather than falsehood. | [CORE] |
| chiqan | chiqanchay | chiqanchay | chiqan + -cha- (causative/factitive) + -y (infinitive) | to verify, to authenticate, to make true, to confirm | Causative derivation indicating the action of making something true or establishing its truth. Common in administrative and legal contexts for verification. | [CORE] |
| chiqan | chiqanchakuy | chiqanchakuy | chiqan + -cha- (causative) + -ku- (reflexive/middle) + -y (infinitive) | to verify for oneself, to confirm personally, to ascertain | Reflexive-causative form emphasizing personal verification or self-directed confirmation. Used when someone personally establishes truth. | [CORE] |
| llulla | llullakuy | llullakuy | llulla + -ku- (reflexive/middle) + -y (infinitive) | to lie, to deceive, to tell falsehoods | Verbal derivation with reflexive suffix indicating the action of lying. The reflexive suggests action affecting the subject's own moral standing. | [CORE] |
| llulla | llullakuq | llullakuq | llulla + -ku- (reflexive) + -q (agentive/nominalizer) | liar, one who lies, deceiver | Agentive nominalization characterizing someone who habitually lies or deceives. Common in moral judgment and character evaluation. | [CORE] |
| llulla | llullayay | llullayay | llulla + -ya- (intensifier/continuative) + -y (infinitive) | to lie repeatedly, to be habitually deceitful | Intensified or continuative form describing ongoing or habitual lying behavior. Used to characterize persistent dishonesty. | [CORE] |
| llulla | llullachiy | llullachiy | llulla + -chi- (causative) + -y (infinitive) | to cause to lie, to make someone lie, to deceive | Causative derivation used when someone causes another to lie or when someone deceives another. Common in contexts of manipulation. | [CORE] |
| llulla | llullachakuy | llullachakuy | llulla + -cha- (causative) + -ku- (reflexive) + -y (infinitive) | to deceive oneself, to be self-deceived | Reflexive-causative form used when someone deceives themselves or refuses to acknowledge truth. Common in psychological discourse. | [CORE] |
| allin | allinyay | allinyay | allin + -ya- (inchoative/become) + -y (infinitive) | to become good, to improve, to get better | Inchoative derivation describing improvement or positive change. Common in contexts of healing, moral improvement, or general betterment. | [CORE] |
| allin | allinchay | allinchay | allin + -cha- (causative/factitive) + -y (infinitive) | to make good, to improve, to fix, to correct | Causative derivation used when making something better or correcting something. Common in practical contexts of repair and improvement. | [CORE] |
| allin | allinchakuy | allinchakuy | allin + -cha- (causative) + -ku- (reflexive) + -y (infinitive) | to improve oneself, to make oneself better, to prepare | Reflexive-causative form used when someone improves themselves or prepares properly. Common in contexts of self-improvement and preparation. | [CORE] |
| yachay | yachanayay | yachanayay | yacha- (know) + -naya- (potential/possibility) + -y (infinitive) | to be knowable, to be able to be known, to be ascertainable | Potential derivation indicating the possibility of something being known or verified. Used when discussing whether truth or knowledge about something can be established. | [MARGINAL] |
| pantay | pantasqa | pantasqa | panta- (err) + -sqa (past participle/resultative) | mistaken, erroneous, in error | Participial form describing something that contains error or someone who is mistaken. Commonly used to characterize incorrect statements or misguided actions. | [CORE] |
| rikch'ay | rikch'akuy | rikch'akuy | rikch'a- (resemble/appear) + -ku- (reflexive/middle) + -y (infinitive) | to seem, to appear, to give the impression | Reflexive form emphasizing subjective appearance or seeming. Used when something gives an impression that may or may not correspond to reality. | [CORE] |
