| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| 真 | zhēn | “real; true” | true; real; genuine | 真 is a very common adjective used to judge whether something is genuine or not, as in 真货 “genuine goods” or 这是真的 “this is true.” It also appears in contrasts like 真/假 and in compounds relating to authenticity, sincerity, or reality. | [CORE] |
| 假 | jiǎ | “false; fake” | false; fake; counterfeit | 假 is widely used for things judged not genuine, not real, or not true, including 假话 “lies/falsehoods,” 假货 “counterfeit goods,” and 假证 “false evidence.” In everyday and legal-commercial contexts, it often marks deception or lack of authenticity. | [CORE] |
| 真实 | zhēnshí | 真 “true, real” + 实 “solid, actual” | real; true; authentic | 真实 is commonly used for statements, reports, experiences, and representations that correspond to actual facts or conditions. It is frequent in journalism, law, and ordinary speech, for example in 真实情况 “the true situation” or 内容真实 “the content is truthful.” | [CORE] |
| 虚假 | xūjiǎ | 虚 “empty, unreal” + 假 “false” | false; fraudulent; bogus | 虚假 is common in formal and regulatory language for claims, advertising, documents, or testimony that are false or deceptive. Expressions like 虚假宣传 “false advertising” and 虚假信息 “false information” are especially frequent. | [CORE] |
| 正确 | zhèngquè | 正 “correct, proper” + 确 “certain, accurate” | correct; right; accurate | 正确 is a standard term for judgments about whether an answer, method, statement, or action is right. It is used in educational, practical, moral, and political contexts, such as 答案正确 “the answer is correct” or 做法正确 “the approach is right.” | [CORE] |
| 错误 | cuòwù | 错 “mistaken, wrong” + 误 “error, miss” | wrong; erroneous; mistaken; error | 错误 can describe both a mistaken judgment and the error itself, as in 错误观点 “erroneous view” or 犯错误 “commit an error.” It is broadly used for factual, logical, procedural, and moral wrongness. | [CORE] |
| 准确 | zhǔnquè | 准 “exact, standard” + 确 “certain, precise” | accurate; exact; precise | 准确 is commonly used when evaluating measurements, descriptions, predictions, wording, or data for precision and correctness. It often appears in phrases like 表达准确 “express accurately” and 数据准确 “the data are accurate.” | [CORE] |
| 属实 | shǔshí | 属 “belong to, be” + 实 “real, factual” | be true; be verified as true | 属实 is especially common in formal reporting, official statements, and legal-administrative contexts to indicate that an allegation or report has been confirmed as factual. Typical phrasing includes 情况属实 “the situation is true” and 经查属实 “verified upon investigation.” | [CORE] |
| 失实 | shīshí | 失 “lose, miss” + 实 “fact, reality” | inaccurate; not in accordance with the facts | 失实 is used mainly in formal contexts for reports, accounts, or descriptions that do not match the facts, whether by error or distortion. It is common in media criticism and official rebuttals, as in 报道失实 “the report is inaccurate.” | [CORE] |
| 可信 | kěxìn | 可 “can, may” + 信 “believe, trust” | credible; believable; trustworthy | 可信 is used to evaluate whether information, testimony, a source, or sometimes a person deserves belief. It often appears in phrases like 证词可信 “the testimony is credible” and 消息来源可信 “the source is trustworthy.” | [CORE] |
| 可靠 | kěkào | 可 “can” + 靠 “lean on, rely on” | reliable; dependable | 可靠 is widely used for persons, machines, information, methods, and evidence that can be depended on. Compared with 可信, it often emphasizes practical dependability or consistency rather than merely being believable. | [CORE] |
| 伪造 | wěizào | 伪 “false, forged” + 造 “make” | forge; counterfeit; falsify | 伪造 is a common verb in legal and forensic contexts for making false documents, signatures, artworks, or evidence. It directly concerns genuineness and fraud, as in 伪造证件 “forge documents.” | [CORE] |
| 仿真 | fǎngzhēn | 仿 “imitate” + 真 “real” | simulation; lifelike; realistic imitation | 仿真 is used for objects, models, images, or systems made to resemble reality closely, such as 仿真花 “artificial flowers that look real” or 仿真技术 “simulation technology.” It concerns resemblance rather than actual genuineness. | [CORE] |
| 逼真 | bīzhēn | 逼 “close to, approach” + 真 “real” | lifelike; vivid; realistic | 逼真 is common in aesthetic and representational contexts for paintings, acting, models, or digital images that closely resemble reality. It evaluates convincing resemblance, not actual truth or authenticity. | [CORE] |
| 名副其实 | míng fù qí shí | 名 “name” + 副 “match” + 其 “its” + 实 “reality” | be worthy of the name; truly live up to one’s name | This fixed expression is used when a title, reputation, or description genuinely matches the actual person or thing. It is common in both praise and evaluation, for example saying a place is 名副其实的旅游胜地 “a true tourist destination in every sense.” | [CORE] |
| 货真价实 | huò zhēn jià shí | 货 “goods” + 真 “genuine” + 价 “price” + 实 “solid, honest” | genuine and fairly priced; authentic and good value | This fixed expression is common in commercial and figurative use for goods that are genuine and worth their stated price. By extension, it can also describe a person, qualification, or achievement as solid and not inflated. | [CORE] |
| 如实 | rúshí | 如 “according to” + 实 “fact, reality” | truthfully; according to the facts | 如实 is a common adverb in legal, administrative, and everyday contexts meaning to report or state things as they really are. It appears in phrases like 如实反映 “reflect truthfully” and 如实陈述 “state truthfully.” | [CORE] |
| 失真 | shīzhēn | 失 “lose” + 真 “truth, reality” | distortion; lose fidelity; be distorted | 失真 is used for sound, images, data, and representations that no longer faithfully reproduce the original. It can also be extended to descriptions or narratives that become distorted and no longer reflect reality accurately. | [CORE] |
| 本质 | běnzhì | 本 “root, fundamental” + 质 “substance, quality” | essence; nature; substance | 本质 is widely used in philosophical, political, and ordinary analytical contexts for what something fundamentally is. It often appears in evaluative claims such as 问题的本质 “the essence of the problem” or 认识本质 “grasp the essence.” | [CORE] |
| 实质 | shízhì | 实 “real, actual” + 质 “substance” | substance; essence; actual nature | 实质 is common in formal and analytical language for the real content or substantive nature behind appearances, wording, or procedure. It often contrasts with form, as in 实质问题 “a substantive issue” or 具有实质意义 “have real significance.” | [CORE] |
| 正当 | zhèngdàng | 正 “proper, right” + 当 “appropriate” | proper; legitimate; justified | 正当 is used in legal, moral, and practical contexts to evaluate conduct, reasons, rights, or procedures as proper and justified. Common examples include 正当理由 “legitimate reason” and 正当防卫 “justifiable defense/self-defense.” | [CORE] |
| 不实 | bùshí | 不 “not” + 实 “real, factual” | untrue; unfounded; not factual | 不实 is frequent in formal written Chinese for allegations, reports, or statements that are not true or not supported by facts. It is common in phrases like 内容不实 “the content is untrue” and 不实之词 “false claims.” | [CORE] |
| 冒牌 | màopái | 冒 “pass off as” + 牌 “brand, label” | counterfeit; bogus; knockoff | 冒牌 is used for goods, identities, or credentials falsely presented as belonging to a recognized brand or status. It is common in consumer and social contexts, such as 冒牌产品 “counterfeit products” or 冒牌专家 “a fake expert.” | [CORE] |
| 原汁原味 | yuán zhī yuán wèi | 原 “original” + 汁 “juice” + 原 “original” + 味 “flavor” | authentic; in the original flavor/style | This fixed expression is common in food, culture, and translation-related contexts for something retaining its original character without dilution or distortion. It often evaluates authenticity of style, presentation, or cultural form rather than factual truth. | [CORE] |
| 道地 | dàodì | lexicalized; historically associated with “proper/original locality” | authentic; genuine; of true local/original type | 道地 is used especially for food, medicinal materials, and regional products judged authentic to their origin or traditional standard. It is attested in expressions like 道地药材 “genuine medicinal materials,” though its distribution is narrower than very general terms like 真 or 正宗. | [MARGINAL] |
