| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| אֱמֶת (*ʾemet*) | אֲמִתִּי | *ʾamiti* | root א-מ-ת + adjectival suffix *-i* | true, real, genuine, authentic | The standard adjectival form of *ʾemet*, used attributively and predicatively across all registers to describe persons, feelings, objects, or states as genuinely what they appear to be. Already documented as P1 item 7; cross-referenced here. | [CORE] |
| אֱמֶת (*ʾemet*) | אֲמִתִּיּוּת | *ʾamitiyyut* | *ʾamiti* (true, adjectival) + abstract noun suffix *-yut* | genuineness, authenticity, truthfulness, realness (as an abstract quality) | Abstract noun derived from the adjective *ʾamiti*, denoting the quality of being genuine or real. Used in philosophical, psychological, and everyday contexts to evaluate whether something possesses true or authentic character. Also used in literary discourse when a fully abstract nominal form is required. Less frequent than *ʾemet* itself. Already documented in P1b (Root א-מ-ת, item 19). | [MARGINAL] |
| אֱמֶת (*ʾemet*) | לְאַמֵּת | *leʾammet* | root א-מ-ת, Pi'el infinitive | to verify, to authenticate, to confirm | The standard modern Hebrew verb for verifying or authenticating a document, claim, or identity. Already documented in P1b (Root א-מ-ת, item 4). | [CORE] |
| אֱמֶת (*ʾemet*) | אִמּוּת | *immut* | root א-מ-ת, Pi'el verbal noun | verification, authentication, validation | The nominal form corresponding to *leʾammet*. Common in legal, administrative, and digital security contexts. Already documented in P1b (Root א-מ-ת, item 5). | [CORE] |
| אֱמֶת (*ʾemet*) | מְאֻמָּת | *meʾummat* | root א-מ-ת, Pu'al passive participle | verified, authenticated, confirmed | Adjectival form describing something that has been officially verified or authenticated. Common in legal and administrative Hebrew. Already documented in P1b (Root א-מ-ת, item 7). | [CORE] |
| אֱמֶת (*ʾemet*) | לְאַמִּתוֹ | *le-ʾamito* | *le-* ("to, in") + *ʾamit-* (construct form of root א-מ-ת) + *-o* (3ms possessive suffix); "to its truth" | in truth, in actual fact, truly | Appears in the fixed phrase *le-ʾamito shel daʾvar* ("in truth, to tell the truth about the matter"), documented in P1b. The construct form *ʾamito* is not used independently outside this fixed phrase. | [CORE] |
| אֱמֶת (*ʾemet*) | אֲמִתּוּת | *ʾamitut* | root א-מ-ת + adjectival stem *ʾamit-* + abstract noun suffix *-ut*; "the quality of being true/genuine" | genuineness, authenticity, truthfulness (as a quality) | An abstract noun derived from the adjective *ʾamiti*, used in philosophical and evaluative discourse to refer to the property of being genuine or true. Less common than *ʾemet* itself; appears in academic and literary registers. Overlaps with *ʾamitiyyut*. | [MARGINAL] |
| אֱמֶת (*ʾemet*) | בֶּאֱמֶת | *be-ʾemet* | *be-* (preposition "in/with") + *ʾemet* | truly, really, in truth, honestly | Extremely common adverbial phrase functioning as a sincerity marker or intensifier in everyday speech. Documented in P1b root expansion (א-מ-נ, item 3). | [CORE] |
| אֱמֶת (*ʾemet*) | אֱמֶת הַמִּדָּה | *ʾemet ha-middah* | *ʾemet* + *ha-middah* ("the measure/standard") | the standard, the benchmark, the true measure | Used in evaluative and critical discourse to refer to the genuine standard or criterion by which something is judged. Common in journalistic and intellectual writing. Documented in P1b root expansion (א-מ-נ, item 7). | [CORE] |
| אֱמֶת (*ʾemet*) | אֱמֶת לַאֲמִתָּהּ | *ʾemet le-ʾamittah* | *ʾemet* + *le-* ("to/of") + *ʾamittah* (feminine possessive form, "its truth") | the truth of the matter, the real truth, strictly speaking | A fixed phrase used in rabbinic and philosophical discourse to distinguish genuine or essential truth from a superficial or approximate version; also used in modern Hebrew to mean "strictly speaking." Documented in P1b root expansion (א-מ-נ, item 5). | [CORE] |
| אֲמִתִּי (*ʾamiti*) | אֲמִתִּיּוּת | *ʾamitiyyut* | *ʾamiti* (true, genuine) + abstract noun suffix *-yut* | genuineness, authenticity, truthfulness, realness (as an abstract quality) | Already documented under P1 item 1 (derivation 1.2) and in P1b. Cross-referenced here. | [MARGINAL] |
| אֲמִתִּי (*ʾamiti*) | אֲמִתִּית | *ʾamitit* | root א-מ-ת + adjectival suffix *-it* (feminine form of *-i*) | true, genuine, real (feminine agreement) | The feminine form of *ʾamiti*, used in grammatical agreement with feminine nouns, e.g., *ahavaʾh ʾamitit* ("genuine love"), *beʿayaʾh ʾamitit* ("a real problem"). Not a separate lexical item but a required inflectional form. | [CORE] |
| אֲמִתִּי (*ʾamiti*) | אֲמִתִּיִּים / אֲמִתִּיּוֹת | *ʾamitiyim* (m.pl.) / *ʾamitiyot* (f.pl.) | root א-מ-ת + adjectival stem + plural suffixes *-im* (m.) / *-ot* (f.) | true, genuine, real (plural agreement) | Plural forms of *ʾamiti* used in grammatical agreement with plural nouns, e.g., *reʿim ʾamitiyim* ("true friends"). Standard inflectional forms. | [CORE] |
| נָכוֹן (*nakhon*) | נְכוֹנוּת | *nekhonot* | *nakhon* (correct, right) + abstract noun suffix *-ut* (with vowel shift) | correctness, accuracy, rightness; also: readiness, willingness | An abstract noun with two distinct senses: (a) the quality of being correct or accurate, e.g., *nekhonot ha-netunim* ("the accuracy of the data"); and (b) readiness or willingness, e.g., *nekhonot le-shituʾf peʿulaʾh* ("willingness to cooperate"). Used in formal and written Hebrew to describe the correctness of a statement, procedure, or assessment. Less common in everyday speech than *nakhon* itself. Context disambiguates. Both senses are common. Documented in P1b root expansion (כ-ו-נ, item 2). | [CORE] |
| נָכוֹן (*nakhon*) | לֹא נָכוֹן | *lo nakhon* | *lo* (not) + *nakhon* (correct) | incorrect, wrong, not right | The standard negated form used in everyday Hebrew to indicate that something is incorrect or false. Extremely common as a response to an inaccurate statement. Documented in P1b root expansion (כ-ו-נ, item 3). | [CORE] |
| נָכוֹן (*nakhon*) | לְהַכִּין | *lehakhin* | root כ-ו-נ, Hif'il infinitive | to prepare, to set up, to establish | A verbal form from the same root כ-ו-נ, meaning to prepare or establish something. Noted here because it shares the root with *nakhon* but represents a distinct semantic branch of the root (preparation/establishment rather than correctness). Included to document the root's verbal productivity while flagging the semantic divergence. | [CORE] |
| נָכוֹן (*nakhon*) | נְכוֹנָה | *nekhonah* | root כ-ו-נ + feminine adjectival suffix *-ah* | correct, right, accurate (feminine agreement) | The feminine form of *nakhon*, used in grammatical agreement with feminine nouns, e.g., *teshuvah nekhonah* ("a correct answer"). Standard inflectional form; also used predicatively, e.g., *ze lo nekhonah* ("that is not right"). | [CORE] |
| נָכוֹן (*nakhon*) | נְכוֹנִים / נְכוֹנוֹת | *nekhonim* (m.pl.) / *nekhanot* (f.pl.) | root כ-ו-נ + plural suffixes | correct, right (plural agreement) | Plural forms of *nakhon* used in grammatical agreement, e.g., *teshuvot nekhanot* ("correct answers"). Standard inflectional forms. | [CORE] |
