| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| ATTRIBUTION | **Αυτό είναι αληθές.** | *Aftó eínai alithés.* | “This is true.” | Common predicative pattern for evaluating statements, claims, sources, and similar referents. Often used with adjectives such as **αληθής, σωστός, έγκυρος, αυθεντικός, ψευδής, ειλικρινής** and also with noun predicates like **είναι αλήθεια/ψέμα ότι...**. | [CORE] |
| ATTRIBUTION | **Η πηγή είναι έγκυρη.** | *I pigí eínai énkyri.* | “The source is reliable/valid.” | Very natural in factual, evaluative, and institutional contexts. Alternate attested construction: **είναι αλήθεια/ψέμα ότι...**. | [CORE] |
| NEGATIVE ATTRIBUTION | **Αυτό δεν είναι σωστό.** | *Aftó den eínai sostó.* | “This is not correct.” | Standard analytic negation for rejecting correctness, truth, or validity. Widely used in everyday correction, argumentation, and formal evaluation. | [CORE] |
| NEGATIVE ATTRIBUTION | **Ο ισχυρισμός αποδεικνύεται ψευδής.** | *O ischyrismós apodeiknýetai psevdís.* | “The claim proves false.” | Natural but more restricted to formal, evidential, or written styles where falsity is established by proof or review. Attested alternates: **δεν είναι + ADJ/N**, **μακριά από την αλήθεια**, **είναι ψέμα ότι...**. | [MARGINAL] |
| ADNOMINAL MODIFICATION | **αληθινή ιστορία** | *alithiní istoría* | “true story” | Highly natural and productive for modifying nouns across truth, correctness, validity, authenticity, and falsification domains. Common in both everyday and formal registers depending on the adjective-noun pairing. | [CORE] |
| ADNOMINAL MODIFICATION | **πλαστή υπογραφή** | *plastí ypografí* | “forged signature” | Very natural in legal, documentary, and forensic contexts. The pattern is broadly productive with other attested modifiers such as **αληθής δήλωση**, **σωστή απάντηση**, **έγκυρη πηγή**, **γνήσιο προϊόν**, **παραποιημένο έγγραφο**. | [CORE] |
| BECOME / INCHOATIVE | **Η υπογραφή αποδείχθηκε πλαστή.** | *I ypografí apodeíchthike plastí.* | “The signature turned out to be forged.” | Common when truth-status or authenticity is established after examination or later discovery. Often used with **αποδεικνύομαι/αποδείχθηκε** rather than a single dedicated inchoative verb. | [CORE] |
| BECOME / INCHOATIVE | **Αυτό που είπε αληθεύει.** | *Aftó pou eípe alithevi.* | “What he said is true / turns out to be true.” | Attested and natural, but more restricted and somewhat more formal or confirmatory than basic **είναι + ADJ/N**. Attested alternates: **γίνομαι + ADJ/N**, **αποδεικνύομαι/αποδείχθηκε**. | [MARGINAL] |
| CAUSATIVE (OR ABSENCE) | **παραποιώ τα στοιχεία** | *parapoió ta stoicheía* | “I falsify the data.” | Natural lexical verb for causing falsification or tampering, especially with documents, evidence, or records. Usage is subtype-specific rather than part of a general productive causative pattern. | [CORE] |
| CAUSATIVE (OR ABSENCE) | **πλαστογραφώ την υπογραφή** | *plastografó tin ypografí.* | “I forge the signature.” | Common in legal and documentary contexts for forged signatures and similar acts. Attested alternate within this restricted area: **παραποιώ**. | [CORE] |
| ABSTRACT NOMINALIZATION | **εγκυρότητα** | *enkyrótita* | “validity” | Very common in formal, academic, technical, and evaluative discourse. These abstract nouns readily appear in nominal constructions such as genitive phrases. | [CORE] |
| ABSTRACT NOMINALIZATION | **ειλικρίνεια** | *eilikríneia* | “sincerity” | Natural in both everyday and formal usage, especially for personal qualities and discourse evaluation. Attested alternates in the same pattern include **ορθότητα**, **αυθεντικότητα**, **γνησιότητα**, **πιστότητα**. | [CORE] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **ψεύτης** | *pséftis* | “liar” | Fully natural and lexicalized for a person who lies. The domain is asymmetric: there is no equally common everyday single-word counterpart for “truth-teller.” | [CORE] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **(no common expression identified)** |  |  | No common everyday single-word equivalent was identified for “truth-teller.” Ordinary usage instead prefers the attested verbal expression **λέει την αλήθεια**. | [UNCERTAIN] |
| VERBAL TRUTH / FALSEHOOD PREDICATION | **Λέω την αλήθεια.** | *Léo tin alítheia.* | “I’m telling the truth.” | Very common colloquial and general-purpose verbal expression for truthfulness in speech. Frequently used in direct interaction, defense, insistence, and clarification. | [CORE] |
| VERBAL TRUTH / FALSEHOOD PREDICATION | **Λέει ψέματα.** | *Léei psémata.* | “He/She is lying.” | Core everyday expression for falsehood in speech. Attested alternate within the same constructional area: **αληθεύει ότι...**, which is more formal/confirmatory. | [CORE] |
| DISCOURSE-FRAMING CONSTRUCTIONS | **Η αλήθεια είναι ότι άργησε.** | *I alítheia eínai óti árghise.* | “The truth is that he/she was late.” | Very natural as a discourse frame for candor, correction, or foregrounding what really happened. Common in spoken and written discourse. | [CORE] |
| DISCOURSE-FRAMING CONSTRUCTIONS | **Στην πραγματικότητα, δεν συμφωνούν.** | *Stin pragmatikótita, den symfonoún.* | “In reality, they do not agree.” | Common adverbial frame for contrast between appearance and reality or for corrective discourse. Attested alternates: **[Truth/reality/essence noun] + είναι ότι...**, **στην ουσία**, **κατ’ ουσίαν**. | [CORE] |
