| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | X menjadi benar / X terbukti benar / X ternyata benar | — | — | For ordinary truth of statements, Indonesian commonly uses **ternyata benar** and **terbukti benar** when something is later shown to be true. **Menjadi benar** is possible in a literal sense, but it is less natural for many cases than result-discovery expressions like **ternyata** or **terbukti**. A related dynamic expression from the same family is **membenarkan kabar / berita**, where an authority confirms that something is true rather than the proposition itself “becoming” true. |
| 2 | X menjadi tidak benar / X terbukti tidak benar | — | — | For reversal into falsity or failed truth, **terbukti tidak benar** and **ternyata tidak benar** are the most natural patterns in the provided vocabulary set. **Menjadi tidak benar** is structurally possible, but often sounds less idiomatic unless there is a clear change in circumstances or status. |
| 3 | Y membenarkan X / Y membenarkan anggapan bahwa ... / Y membenarkan kabar / berita | — | — | The main dynamic verb here is **membenarkan**. It does not simply mean “cause to become true”; rather, it commonly means **confirm as true** or **justify**. This is an important distinction. Also attested is **membenarkan diri**, which shifts from truth-confirmation to self-justification. |
| 4 | Y membetulkan X / Y melakukan pembetulan | — | — | **Membetulkan** is the clearest verb for causing something to move from an incorrect state toward a correct one. It is used for speech, writing, names, figures, and documents. It can also extend beyond truth-related meaning into physical fixing or straightening, so its dynamic meaning is broader than pure truth evaluation. |
| 5 | X menjadi tepat / X menjadi akurat / X lebih tepat / X lebih akurat | — | — | For **tepat** and **akurat**, change is commonly expressed with **menjadi** plus the predicate, often with **lebih**. No strongly established simple causative derivative from **akurat** is supported here; the P2a material explicitly marks **mengakuratkan** as uncertain. So if one wants to express causing greater accuracy, the natural strategy in this dataset is periphrastic, e.g. **membetulkan data** so that it **menjadi lebih akurat**. |
| 6 | X menjadi tidak tepat / X menjadi kurang tepat / X menjadi tidak akurat / X menjadi kurang akurat | — | — | This is a productive use of **menjadi** with the negative or softened negative forms already established in the context: **tidak tepat, kurang tepat, tidak akurat, kurang akurat**. |
| 7 | X menjadi tepat sasaran / X menjadi tidak tepat sasaran / X belum tepat sasaran | — | — | Within the **tepat** family, **tepat sasaran** is especially natural for dynamic evaluation of policy or distribution. The context also supports non-result states such as **belum tepat sasaran**, which is useful for unstable or incomplete targeting rather than completed change. |
| 8 | X menjadi sesuai dengan ... / X menjadi tidak sesuai dengan ... / X menyesuaikan X dengan ... | — | — | The **sesuai** family has a clear dynamic verb: **menyesuaikan** ‘to adjust; to make conform’. This is one of the strongest causative patterns in the dataset for conformity meanings. Related noun: **penyesuaian**, which often names the process that leads something to become **sesuai**. |
| 9 | Y menyesuaikan X dengan ... / ada penyesuaian | — | — | This is a central dynamic construction for the conformity domain. It does not mean “make true” in a narrow sense, but “make match” or “bring into accordance.” |
| 10 | Y mencocokkan X dengan Y / ada pencocokan | — | — | **Mencocokkan** is dynamic and strongly attested. It expresses causing or testing a match between two things. This is especially relevant in verification contexts, though it is about matching rather than truth in the narrow propositional sense. |
| 11 | X menjadi sah / X menjadi absah / X menjadi valid / X dinyatakan sah / X dianggap valid | — | — | For validity meanings, Indonesian often uses either: **menjadi + predicate** for change of state, or evaluative-passive expressions such as **dinyatakan sah**, **dianggap valid**. These are not identical. **Menjadi sah/valid** presents a change of status; **dinyatakan sah** presents an authoritative declaration; **dianggap valid** presents institutional acceptance. |
| 12 | X menjadi tidak sah / X menjadi tidak absah / X menjadi tidak valid / X belum valid | — | — | This pattern is clearly supported for **sah / absah / valid**. The context also supports **belum valid**, which is useful when validity has not yet been achieved rather than lost. |
| 13 | Y mengesahkan X / Y mengabsahkan X / Y memvalidasi X / ada pengesahan / pengabsahan / validasi | — | — | This is one of the clearest causative areas in the dataset: **mengesahkan**: make formally valid, ratify; **mengabsahkan**: validate, legitimize; **memvalidasi**: validate, especially technical/administrative; **pengesahan / pengabsahan / validasi**: the process or act. These verbs are domain-specific and should not be collapsed into one undifferentiated “make true” pattern. |
| 14 | X dipastikan asli / X masih asli | — | — | No common expression in the provided material clearly means “become asli” in the ordinary authenticity sense. Authenticity is usually treated as something checked or confirmed, not something newly acquired. So for this domain, **dipastikan asli** is more natural than **menjadi asli**. |
| 15 | X menjadi palsu / X diduga palsu / X terbukti palsu | — | — | For authenticity failure, **terbukti palsu** is especially natural. **Menjadi palsu** is possible when something is altered or falsified, but in many real contexts Indonesian prefers the causative verb **memalsukan** for the act and **terbukti palsu** for the result. |
| 16 | Y memalsukan X / ada pemalsuan | — | — | **Memalsukan** is the main causative verb for moving something into the **palsu** domain. This is a strong, lexicalized dynamic pattern. |
| 17 | X masih benar / masih sah / masih valid / masih asli; X tetap benar / tetap sah / tetap valid | — | — | With function words, Indonesian naturally marks stability through **masih** and **tetap**. Among the listed items, **masih asli** is explicitly supported in the context. Parallel uses such as **masih benar**, **masih sah**, and **masih valid** are natural extensions with the same predicate pattern. |
| 18 | X masih tidak tepat / masih tidak valid / masih palsu; X tetap tidak benar / tetap tidak sah | — | — | These are ordinary stability patterns built from the attested negative predicates. They are natural when a correction, validation, or verification process has not changed the status. |
| 19 | X menjadi andal / X menjadi tidak andal / Y mengandalkan X | — | — | For **andal**, the main dynamic verb in the dataset is not “make reliable” but **mengandalkan** ‘rely on’. A simple causative meaning “cause to be andal” has **NO COMMON EXPRESSION IDENTIFIED** in the provided material. Change of reliability is therefore best expressed periphrastically with **menjadi (lebih) andal / tidak andal**. |
