| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| ATTRIBUTION | **सत्यम् एतत्** | *satyam etat* | “This is true.” | Common predicative evaluation with neuter predicate terms such as **satyam, yathārtham, yuktam, ucitam**; used in ordinary assertion as well as scholastic evaluation. Alternate constructions attested in P4a: **युक्तं भवति** with overt copular/inchoative verb. | [CORE] |
| ATTRIBUTION | **युक्तं भवति** | *yuktaṃ bhavati* | “It is proper / reasonable.” | Natural especially where propriety or rational appropriateness is being judged rather than bare factual truth. Variation includes zero-copula or understood **asti/bhavati** as noted in P4a. | [CORE] |
| NEGATIVE ATTRIBUTION | **प्रमाणं नास्ति** | *pramāṇaṃ nāsti* | “There is no proof / valid evidence.” | A common analytic negation pattern, especially in argumentative or evidential contexts. Alternate constructions attested in P4a: **न युक्तम्** and lexical negative stems used predicatively. | [CORE] |
| NEGATIVE ATTRIBUTION | **न युक्तम्** | *na yuktam* | “It is not proper / not reasonable.” | Straightforward predicative negation, especially for rejecting suitability, propriety, or reasonableness. Variation includes **na / nāsti** negation and also lexical negatives such as **asatya, ayathārtha, apramāṇika**. | [CORE] |
| ADNOMINAL MODIFICATION | **तथ्यं वचनम्** | *tathyaṃ vacanam* | “a factual statement” | Very natural as a basic adjectival modification strategy, especially for statements, texts, descriptions, and similar nouns. Alternate constructions attested in P4a: other agreeing modifiers such as **satya-, yathārtha-, pramāṇika-, dharmya- + N**. | [CORE] |
| ADNOMINAL MODIFICATION | **प्रमाणिकः ग्रन्थः** | *pramāṇikaḥ granthaḥ* | “an authoritative text” | Especially natural in learned, textual, or evaluative contexts where authority or reliability of a source is at issue. Usage varies by adjective chosen, with some forms more factual (**tathya, yathārtha**) and others more authoritative (**pramāṇika**). | [CORE] |
| BECOME / INCHOATIVE | **सत्यतां गच्छति** | *satyatāṃ gacchati* | “It proves true / comes to be true.” | Usable in more formal or scholastic styles, but the notes already indicate no single dedicated inchoative pattern dominates. Alternate constructions attested in P4a: **X + bhavati / jāyate** and **प्रमा जायते**. | [MARGINAL] |
| BECOME / INCHOATIVE | **प्रमा जायते** | *pramā jāyate* | “Valid cognition arises.” | Natural in philosophical or epistemological prose, especially where the arising of valid cognition is under discussion. Variation includes **gacchati**, **bhavati**, and **jāyate**, with register and lexical choice affecting naturalness. | [CORE] |
| CAUSATIVE (OR ABSENCE) | **प्रमाणीकृतम्** | *pramāṇīkṛtam* | “authenticated / validated” | Attested and usable, but P4a explicitly notes that no single common productive causative meaning “make true” or “make valid” stands out as basic in this domain. Alternate constructions attested in P4a: **प्रमाणीकरणम्** as a lexicalized nominal formation. | [MARGINAL] |
| CAUSATIVE (OR ABSENCE) | **प्रमाणीकरणम्** | *pramāṇīkaraṇam* | “authentication / validation” | More natural as a technical or lexicalized expression for validation/authentication than as evidence for a broad productive causative construction. Restricted mainly to formal, scholastic, or procedural contexts. | [MARGINAL] |
| ABSTRACT NOMINALIZATION | **सत्यता** | *satyatā* | “truth / truthfulness” | A standard abstract formation, especially common in scholastic, ethical, and analytical registers. Alternate constructions attested in P4a: **-tva** formations and inherited family abstracts such as **prāmāṇya**. | [CORE] |
| ABSTRACT NOMINALIZATION | **यथार्थता** | *yathārthatā* | “accuracy / reality / truth” | Natural where accuracy, factuality, or correspondence to reality is being discussed in abstract terms. Variation depends on stem choice, with semantic nuance differing across **satya-, yathārtha-, pramāṇa** families. | [CORE] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **सत्यवादिन्** | *satyavādin* | “truth-speaker / truthful person” | A regular and idiomatic characterization term, especially in ethical, didactic, and narrative description. Alternate constructions attested in P4a: **-vādī**, **-bhāṣin**, and contrasting falsehood compounds such as **असत्यवादिन्**. | [CORE] |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **असत्यवादिन्** | *asatyavādin* | “speaker of falsehood / liar” | Natural as a personal characterization for habitual false speech. Usage is especially common in moral and narrative contexts, with variation in suffix choice as noted in P4a. | [CORE] |
| VERBAL COMPLEMENT WITH “SPEAK/SAY” | **सत्यं वद** | *satyaṃ vada* | “Speak the truth.” | One of the most basic and idiomatic constructions in the domain, especially in direct speech, injunction, and ethical instruction. Alternate constructions attested in P4a: use with **brū- / bhāṣ-**, and falsehood expressions such as **मिथ्या वदति**. | [CORE] |
| VERBAL COMPLEMENT WITH “SPEAK/SAY” | **मिथ्या वदति** | *mithyā vadati* | “He/she speaks falsely.” | Very natural for false speaking, with adverbial falsity forms especially common. Variation includes object-like neuter forms (**satyaṃ, asatyaṃ, anṛtaṃ**) and adverbials (**mithyā, mṛṣā**). | [CORE] |
| GENITIVE OF TRUTH / VALIDITY EVALUATION | **वाक्यस्य सत्यता** | *vākyasya satyatā* | “the truth of a statement” | A standard analytical pattern for evaluating the truth or correctness of some item, especially in commentary and formal discussion. Alternate constructions attested in P4a: **ज्ञानस्य प्रामाण्यम्** and similar genitive + abstract noun combinations. | [CORE] |
