| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|---|---|---|---|---|
| 1. Statements and reports treated as true or false | This grouping covers expressions used to affirm, question, or establish whether something said or reported is true. In the material, these forms appear in conversation, testimony, journalism, and investigation, often around claims, events, and “what really happened.” | - **totoo** — *totoo*<br>- **Totoo ba iyan?** — *Totoo ba iyan?*<br>- **Totoo iyan.** — *Totoo iyan.*<br>- **katotohanan** — *katotohanan*<br>- **ang katotohanan** — *ang katotohanan*<br>- **buong katotohanan** — *buong katotohanan*<br>- **katotohanan ng pangyayari** — *katotohanan ng pangyayari*<br>- **mga katotohanan** — *mga katotohanan*<br>- **totoong nangyari** — *totoong nangyari*<br>- **totoong balita** — *totoong balita*<br>- **nagkatotoo** — *nagkatotoo*<br>- **magkatotoo** — *magkatotoo* | - **tunay** — often overlaps, but in the material it leans more toward genuineness/authenticity with nouns.<br>- **tumpak** — can evaluate statements too, but with stronger emphasis on precision.<br>- **beripikado** — overlaps when truth is framed as having been checked institutionally. | In the material, these forms appear in conversation, testimony, journalism, and investigation, often around claims, events, and “what really happened.” |
| 2. Correctness in answers, wording, procedure, and formal practice | This grouping includes expressions used to judge whether something is correct, proper, or in the right form. In the material, these are especially common in school, editing, administration, technical instruction, and procedural settings. | - **tama** — *tama*<br>- **Tama ang sagot mo.** — *Tama ang sagot mo.*<br>- **Tama ba iyan?** — *Tama ba iyan?*<br>- **wasto** — *wasto*<br>- **wastong** — *wastong*<br>- **Wasto ba ang sagot na ito?** — *Wasto ba ang sagot na ito?*<br>- **wastong sagot** — *wastong sagot*<br>- **wastong gamit** — *wastong gamit*<br>- **wastong baybay** — *wastong baybay*<br>- **wastong gramatika** — *wastong gramatika*<br>- **wastong proseso** — *wastong proseso*<br>- **wastong pamamaraan** — *wastong pamamaraan*<br>- **wastong impormasyon** — *wastong impormasyon*<br>- **wastong datos** — *wastong datos*<br>- **wastuhin** — *wastuhin* | - **tama** — also extends into moral evaluation in the material.<br>- **akma / angkop** — overlap when “correctness” is really suitability to context.<br>- **tumpak** — overlaps where correctness depends on exact match rather than general propriety. | In the material, these are especially common in school, editing, administration, technical instruction, and procedural settings. |
| 3. Precision and exact match | This grouping covers expressions used when the point is not just that something is correct, but that it matches closely, exactly, or with precision. In the material, these appear with measurements, descriptions, timing, and answers. | - **tumpak** — *tumpak*<br>- **Tumpak ang sinabi mo.** — *Tumpak ang sinabi mo.*<br>- **tumpak na sagot** — *tumpak na sagot*<br>- **tumpak na paglalarawan** — *tumpak na paglalarawan*<br>- **eksakto** — *eksakto*<br>- **Eksakto ang sukat.** — *Eksakto ang sukat.*<br>- **Eksakto sa oras** — *Eksakto sa oras*<br>- **Eksakto!** — *Eksakto!*<br>- **wastong sukat** — *wastong sukat* | - **wasto** — can cover some of the same ground, especially in formal or instructional contexts.<br>- **tama** — may be used where speakers do not need to stress precision.<br>- **akmang paglalarawan** — overlaps when a description “fits” well rather than being exact in a narrow sense. | In the material, these appear with measurements, descriptions, timing, and answers. |
| 4. Certainty, assurance, and settledness | This grouping includes expressions used when speakers focus on whether something is certain, definite, or confidently expected. In the material, these forms are common in everyday conversation, news-like reporting, and decision contexts. | - **tiyak** — *tiyak*<br>- **Hindi pa tiyak ang resulta.** — *Hindi pa tiyak ang resulta.*<br>- **tiyak na impormasyon** — *tiyak na impormasyon*<br>- **Tiyak na darating siya.** — *Tiyak na darating siya.*<br>- **sigurado** — *sigurado*<br>- **Sigurado ka ba?** — *Sigurado ka ba?*<br>- **Sigurado akong tama siya.** — *Sigurado akong tama siya.*<br>- **siguradong panalo** — *siguradong panalo* | - **totoo** — overlaps when certainty is about whether a claim is true.<br>- **beripikado** — overlaps when certainty comes from checking or confirmation.<br>- **maaasahan / mapagkakatiwalaan** — overlap when certainty is grounded in dependable people or sources. | In the material, these forms are common in everyday conversation, news-like reporting, and decision contexts. |
| 5. Reliability and trustworthiness of people, sources, and information | This grouping covers expressions used to evaluate whether a person, witness, source, service, or body of information can be relied on. In the material, these are common in interpersonal, legal, media, and institutional contexts. | - **mapagkakatiwalaan** — *mapagkakatiwalaan*<br>- **mapagkakatiwalaang saksi** — *mapagkakatiwalaang saksi*<br>- **mapagkakatiwalaang kaibigan** — *mapagkakatiwalaang kaibigan*<br>- **mapagkakatiwalaang impormasyon** — *mapagkakatiwalaang impormasyon*<br>- **maaasahan** — *maaasahan*<br>- **maaasahang empleyado** — *maaasahang empleyado*<br>- **maaasahang datos** — *maaasahang datos*<br>- **Maaasahan mo siya sa oras ng pangangailangan.** — *Maaasahan mo siya sa oras ng pangangailangan.*<br>- **mapananaligan** — *mapananaligan* [marginal] | - **tapat / matapat** — overlap when reliability is tied to honesty of character.<br>- **tiyak / sigurado** — overlap when dependable information produces certainty.<br>- **beripikado** — overlaps when reliability is framed as checked or authenticated. | In the material, these are common in interpersonal, legal, media, and institutional contexts. |
| 6. Honesty, sincerity, and faithfulness in persons and speech | This grouping includes expressions used for people, statements, and intentions judged as honest, sincere, upright, or faithful. In the material, these appear in moral instruction, relationships, politics, and public service. | - **tapat** — *tapat*<br>- **Tapat siyang tao.** — *Tapat siyang tao.*<br>- **Maging tapat sa pagsasalita.** — *Maging tapat sa pagsasalita.*<br>- **Tapat sa tungkulin** — *Tapat sa tungkulin*<br>- **matapat** — *matapat*<br>- **matapat na lingkod-bayan** — *matapat na lingkod-bayan*<br>- **matapat na pahayag** — *matapat na pahayag*<br>- **Matapat siya sa kanyang asawa.** — *Matapat siya sa kanyang asawa.*<br>- **sa totoo lang** — *sa totoo lang* (as a candidness marker) | - **totoo / katotohanan** — overlap when honesty concerns saying what is true.<br>- **tunay / totoong kaibigan** — overlap when sincerity is framed as genuineness in relationships.<br>- **tapat** — also extends to loyalty, not only truthfulness. | In the material, these appear in moral instruction, relationships, politics, and public service. |
| 7. Genuineness, authenticity, and “real” identity or relation | This grouping covers expressions used to distinguish what is real or genuine from imitation, pretense, fiction, or superficial appearance. In the material, these are common with objects, names, people, relationships, stories, and reasons. | - **tunay** — *tunay*<br>- **Tunay na ginto** — *Tunay na ginto*<br>- **Tunay na kaibigan** — *Tunay na kaibigan*<br>- **Tunay na dahilan** — *Tunay na dahilan*<br>- **totoong** — *totoong*<br>- **totoong pangalan** — *totoong pangalan*<br>- **totoong tao** — *totoong tao*<br>- **totoong kuwento** — *totoong kuwento*<br>- **totoong buhay** — *totoong buhay*<br>- **totoong kaibigan** — *totoong kaibigan*<br>- **totoong pag-ibig** — *totoong pag-ibig* | - **totoong balita / totoong nangyari** — these also belong with truth of statements and events.<br>- **tapat / matapat** — overlap when “true friend” shades into sincerity or loyalty.<br>- **totohanan** — overlaps only loosely, since it shifts toward seriousness rather than authenticity. | In the material, these are common with objects, names, people, relationships, stories, and reasons. |
| 8. Fake, counterfeit, or false in objects, identity, and documents | This grouping includes expressions used to mark something as not genuine. In the material, these are especially common for products, documents, signatures, money, and identity. | - **peke** — *peke*<br>- **Peke iyan.** — *Peke iyan.*<br>- **Peke ang pirma.** — *Peke ang pirma.*<br>- **pekeng** — *pekeng*<br>- **pekeng dokumento** — *pekeng dokumento*<br>- **pekeng produkto** — *pekeng produkto*<br>- **huwad** — *huwad*<br>- **huwad na salapi** — *huwad na salapi*<br>- **huwad na pagkakakilanlan** — *huwad na pagkakakilanlan* | - **tunay / totoong** — natural contrast set with these forms.<br>- **beripikado / beripikahin** — overlap in contexts where authenticity is checked.<br>- **katotohanan** — only indirectly related when forged items become part of truth-establishing contexts. | In the material, these are especially common for products, documents, signatures, money, and identity. |
| 9. Suitability or fit to context, purpose, or situation | This grouping covers expressions used when the issue is whether something fits a context, role, occasion, or purpose. In the material, these forms appear with clothing, speech, punishment, description, and response. | - **akma** — *akma*<br>- **Akma ang parusa sa nagawang krimen.** — *Akma ang parusa sa nagawang krimen.*<br>- **Akmang paglalarawan** — *akmang paglalarawan*<br>- **Akma sa okasyon** — *Akma sa okasyon*<br>- **angkop** — *angkop*<br>- **angkop na kasuotan** — *angkop na kasuotan*<br>- **angkop na pananalita** — *angkop na pananalita*<br>- **Angkop sa edad** — *Angkop sa edad*<br>- **wastong panahon** — *wastong panahon*<br>- **wastong hakbang** — *wastong hakbang* | - **wasto** — often overlaps strongly, especially in formal guidance.<br>- **tama** — may also be used where the judgment is practical or moral rather than strictly factual.<br>- **tumpak / akmang paglalarawan** — overlap when a description both fits and accurately matches. | In the material, these forms appear with clothing, speech, punishment, description, and response. |
