| Construction Type | Example | Transliteration | Translation | Epistemic Status | Usage Notes |
|---|---|---|---|---|---|
| ATTRIBUTION | **Se on totta.** | — | “That is true.” | [CORE] | Common neutral way to evaluate a statement, fact, or situation as true/correct. Variation is visible between **totta** and **tosi**, while other predicates such as **epätosi**, **laillinen**, **uskottava**, and **luotettava** are more domain-specific. Alternate constructions attested: **X on tosi / epätosi / laillinen / oikea / uskottava / luotettava**. |
| ATTRIBUTION | **Väite on epätosi.** | — | “The claim is false.” | [CORE] | Natural in factual, formal, and evaluative contexts, especially with claims, reports, or legal/institutional language. Predicate choice is restricted by meaning: e.g. **epätosi** for falsity, **uskottava** for credibility, **laillinen** for legality. Alternate constructions attested: **X on totta / tosi / laillinen / oikea / uskottava / luotettava**. |
| NEGATIVE ATTRIBUTION | **Se ei ole tosi.** | — | “That is not true.” | [CORE] | Standard negated copular pattern for rejecting truth, credibility, or legality. It is broadly usable, but the predicate adjective still determines the semantic domain. Alternate constructions attested: **X ei ole totta / tosi / laillinen / uskottava**; **X ei pidä paikkaansa**. |
| NEGATIVE ATTRIBUTION | **Väite ei pidä paikkaansa.** | — | “The claim is not true.” | [CORE] | Very common for denying the factual correctness of a claim, rumor, or report. It is especially natural in argumentative, journalistic, and corrective contexts. Alternate constructions attested: **X ei ole totta / tosi / laillinen / uskottava**. |
| ADNOMINAL MODIFICATION | **aito nahka** | — | “genuine leather” | [CORE] | Natural attributive pattern inside noun phrases, especially for authenticity, originality, or genuineness. Adjective choice is lexically restricted by domain, so not all listed adjectives fit all nouns equally well. Alternate constructions attested: **aito / autenttinen / alkuperäinen / väärä / virheellinen / oikea / paikkansapitävä + N**. |
| ADNOMINAL MODIFICATION | **virheellinen tieto** | — | “erroneous information” | [CORE] | Common in descriptive and evaluative noun phrases, especially in formal, informational, and institutional language. Different adjectives specialize semantically, such as **virheellinen/väärä** for error and **paikkansapitävä** for factual accuracy. Alternate constructions attested: **aito / autenttinen / alkuperäinen / väärä / virheellinen / oikea / paikkansapitävä + N**. |
| BECOME / INCHOATIVE | **Uni tuli todeksi.** | — | “The dream came true.” | [CORE] | A common result/change-of-state expression, especially with hopes, dreams, and expectations. The translative form is characteristic here, and usage depends on the lexical verb used. Alternate constructions attested: **tulla todeksi**; **osoittautua epätodeksi**; **paljastua väärennökseksi**. |
| BECOME / INCHOATIVE | **Väite osoittautui epätodeksi.** | — | “The claim turned out to be false.” | [CORE] | Very natural in contexts of verification, investigation, or later discovery. This pattern is especially suited to retrospective evaluation after evidence emerges. Alternate constructions attested: **tulla todeksi**; **paljastua väärennökseksi**. |
| CAUSATIVE (OR ABSENCE) | **Hän teki tarinan uskottavaksi.** | — | “He/she made the story believable.” | [CORE] | Natural when expressing caused evaluation or result, especially with **tehdä** plus translative complement. The notes indicate there is no single general causative verb for the whole semantic domain, so usage is lexically distributed. Alternate constructions attested: **tehdä jokin uskottavaksi**; **oikeuttaa jokin**; **todistaa jokin**. |
| CAUSATIVE (OR ABSENCE) | **Todisteet todistavat väitteen oikeaksi.** | — | “The evidence proves the claim correct.” | [MARGINAL] | The general causative/result meaning is attested, but this area appears lexically restricted rather than fully productive. Use depends strongly on verbs like **todistaa** and **oikeuttaa**, rather than a broad uniform pattern. Alternate constructions attested: **tehdä jokin uskottavaksi**; **oikeuttaa jokin**; **todistaa jokin**. |
| ABSTRACT NOMINALIZATION | **Totuus tulee ilmi.** | — | “The truth comes out.” | [CORE] | Abstract nouns of this type are common in general, formal, and philosophical discourse. The derivational pattern is productive in the listed semantic area, though individual nouns differ in frequency and register. Alternate constructions attested: **totuus, todellisuus, aitous, oikeudenmukaisuus, luotettavuus, uskottavuus**. |
| ABSTRACT NOMINALIZATION | **Lähteen luotettavuus on tärkeä.** | — | “The reliability of the source is important.” | [CORE] | Very natural in evaluative and informational contexts, especially when discussing sources, evidence, or institutions. The nominalizations are well established, with some forms more typical of formal or analytical style. Alternate constructions attested: **totuus, todellisuus, aitous, oikeudenmukaisuus, luotettavuus, uskottavuus**. |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **Hän on totuudenetsijä.** | — | “He/she is a seeker of truth.” | [MARGINAL] | Attested and interpretable, but the notes indicate that agentive nouns in this area are specialized rather than forming a broad everyday pattern. There is no clearly supported simple single-word core equivalent for ‘truth-teller’ in the provided material. Alternate constructions attested: **totuudenetsijä**; **todistaja**; periphrastic **puhua totta**. |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **Todistaja saapui oikeuteen.** | — | “The witness arrived at court.” | [CORE] | Fully natural as a lexicalized noun in legal and institutional contexts. However, it is a specialized item rather than evidence for a broad productive “truth-teller” agentive pattern. Alternate constructions attested: **totuudenetsijä**; periphrastic **puhua totta**. |
