# CLCA Protocol v3.4 — P4b Construction Usage & Constraints
# Language: Hebrew (he)

---

## Construction Usage Table

| Construction Type | Example | Transliteration | Translation | Naturalness Rating | Usage Notes | Attested Alternates |
|---|---|---|---|---|---|---|
| **1. ATTRIBUTION** | חבר אמיתי | *ḥaver ʾamiti* | "a genuine friend" | [CORE] | Standard attributive pattern across all registers; obligatory gender/number agreement and definiteness concord are unmarked features of normal Hebrew NP syntax. No register restriction observed. | *ha-ʿed ha-meheymen* (definite form); *ʿedut meheymanah* (f.sg.); *meqorot meheymanim* (m.pl.) |
| **1. ATTRIBUTION** | עד מהימן | *ʿed meheymen* | "a credible witness" | [CORE] | Highly frequent in legal and journalistic registers; the specific collocation *ʿed meheymen* is formulaic in legal contexts. | See above |
| **2. NEGATIVE ATTRIBUTION** | המקור לא מהימן | *ha-meqor lo meheymen* | "the source is not reliable" | [CORE] | Standard predicative negation; the most natural way to negate a truth-domain quality in Hebrew. Restricted to predicative position; no productive negative attributive prefix is available. | *ḥoser kanut* ("lack of sincerity") — nominal alternative |
| **2. NEGATIVE ATTRIBUTION** | זה לא נכון | *ze lo nakhon* | "that is not correct" | [CORE] | Extremely frequent across all registers; *ze lo nakhon* is a formulaic correction phrase in both spoken and written Hebrew. | *ḥoser kanut* — nominal alternative |
| **3. ADNOMINAL MODIFICATION** | עדות שקר | *ʿedut sheker* | "false testimony" | [CORE] | Construct state (*smikhut*) with truth-domain noun is fully productive; *ʿedut sheker* is a fixed legal collocation. Primary pattern in formal and written registers. | *shel* periphrastic genitive (more common in spoken register); *ʾaminut ha-ʿed* (definite construct) |
| **3. ADNOMINAL MODIFICATION** | רגע האמת | *regaʿ ha-ʾemet* | "the moment of truth" | [CORE] | Widely attested as a fixed phrase; used in both literal and idiomatic senses across registers. The definite construct form is obligatory here. | *shel* periphrastic genitive |
| **4. BECOME / INCHOATIVE** | האמון התערער | *ha-ʾimun hitʿarer* | "the trust was shaken / eroded" | [CORE] | Natural and idiomatic; *hitʿarer* with *ʾimun* is a well-established collocation in journalistic and political discourse. Hitpaʿel binyan carries inchoative force productively. | *lehafokh le-* + noun; *lehikhanes le-safek*; *lehitgalaʾh ke-mezuyaf* |
| **4. BECOME / INCHOATIVE** | הספק גדל | *ha-safek gadal* | "the doubt grew" | [CORE] | Common in narrative and journalistic registers; intransitive verb *gadal* with abstract noun subject is a natural Hebrew pattern. Less morphologically marked than hitpaʿel forms. | *lehafokh le-* + noun |
| **5. CAUSATIVE** | להאמין | *lehaʾamin* | "to believe" | [CORE] | The standard verb for belief across all registers; the causative sense ("to cause to believe") is not available from this form and must be expressed periphrastically. Lexicalization has obscured the morphological causative meaning. | *lgaram le-mishehu lehaʾamin* (periphrastic causative) |
| **5. CAUSATIVE** | לאשר | *leʾasher* | "to confirm, to authorize" | [CORE] | Frequent in administrative, legal, and journalistic registers; the range of meanings (confirm, authorize, approve) reflects lexicalization across contexts. | *lgaram she-* + clause (periphrastic); *letsdiq* (legal domain) |
