| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|---|---|---|---|---|
| 1. Truth assertion and direct contradiction | This group covers expressions used to say that something is true, to insist on it, or to deny it directly. In usage, these forms are common in conversation, argument, rebuttal, and explanatory framing, especially around whether a statement matches the facts. | **kweli** — kweli; **ni kweli** — ni kweli; **kwa kweli** — kwa kweli; **kweli kabisa** — kweli kabisa; **kweli kweli** — kweli kweli; **kweli ni kwamba** — kweli ni kwamba; **ukweli** — ukweli; **ukweli ni kwamba** — ukweli ni kwamba; **ukweli wa mambo** — ukweli wa mambo; **ukweli mtupu** — ukweli mtupu; **si kweli** — si kweli; **kweli au si kweli** — kweli au si kweli; **kusema ukweli** — kusema ukweli; **sema ukweli** — sema ukweli | - **kwa kweli** often works more as an intensifier or discourse marker than as a literal truth claim.<br>- **kweli** and **-kweli** also extend into genuineness/authenticity, not only statement truth. | - **kwa kweli** often works more as an intensifier or discourse marker than as a literal truth claim.<br>- **kweli** and **-kweli** also extend into genuineness/authenticity, not only statement truth. |
| 2. Lying, false reports, and accusation of falsity | This group includes expressions used to label speech, reports, or claims as lies or falsehoods, and to describe the act of lying. In practice, these forms are common in accusation, moral correction, media talk, and public dismissal of reports. | **uongo** — uongo; **-ongo** — -ongo; **mwongo** — mwongo; **kusema uongo** — kusema uongo; **sema uongo** — sema uongo; **ni uongo** — ni uongo; **uongo mtupu** — uongo mtupu; **habari za uongo** — habari za uongo; **taarifa za uongo** — taarifa za uongo; **wa uongo** — wa uongo; **ya uongo** — ya uongo; **si ya kweli bali ya uongo** — si ya kweli bali ya uongo | - **-ongo** is less independent and often appears inside agreeing descriptive phrases.<br>- **ni uongo** overlaps with direct contradiction, but is typically stronger and more accusatory than **si kweli**. | - **-ongo** is less independent and often appears inside agreeing descriptive phrases.<br>- **ni uongo** overlaps with direct contradiction, but is typically stronger and more accusatory than **si kweli**. |
| 3. Genuineness, authenticity, and “real” identity or substance | This group gathers expressions used for things, persons, names, goods, or situations treated as genuine, real, original, or not merely apparent. In usage, these forms often contrast with imitation, superficiality, false identity, or counterfeit status. | **-kweli** — -kweli; **wa kweli** — wa kweli; **ya kweli** — ya kweli; **cha kweli** — cha kweli; **halisi** — halisi; **uhalisia** — uhalisia; **jina halisi** — jina halisi; **tukio halisi** — tukio halisi; **fedha halisi** — fedha halisi; **asili** — asili; **ya asili** — ya asili; **kwa asili** — kwa asili; **asili ya** — asili ya; **dawa ya asili** — dawa ya asili; **nywele za asili** — nywele za asili; **bidhaa ya asili** — bidhaa ya asili | - **-kweli** belongs here when used for genuine persons or things, but also belongs with truth assertion.<br>- **uhalisia** can refer either to reality itself or to realism/authenticity in representation.<br>- **ya asili** may mean “natural” in some contexts and “authentic/original” in others. | - **-kweli** belongs here when used for genuine persons or things, but also belongs with truth assertion.<br>- **uhalisia** can refer either to reality itself or to realism/authenticity in representation.<br>- **ya asili** may mean “natural” in some contexts and “authentic/original” in others. |
| 4. Counterfeit, fake, and imitation items | This group includes expressions used for objects, documents, accounts, or goods judged not genuine. In practice, these are especially common in legal, commercial, health, and digital contexts where authenticity is under question. | **bandia** — bandia; **feki** — feki; **dawa bandia** — dawa bandia; **pesa bandia** — pesa bandia; **bidhaa bandia** — bidhaa bandia; **cheti bandia** — cheti bandia; **akaunti bandia** — akaunti bandia; **bidhaa feki** — bidhaa feki; **akaunti feki** — akaunti feki; **habari feki** — habari feki | - **habari feki** overlaps with false-report language such as **habari za uongo**, but has a more contemporary and informal/media flavor.<br>- **bandia** and **feki** overlap strongly, though **feki** is more colloquial. | - **habari feki** overlaps with false-report language such as **habari za uongo**, but has a more contemporary and informal/media flavor.<br>- **bandia** and **feki** overlap strongly, though **feki** is more colloquial. |
| 5. Correctness, accuracy, and exact form | This group covers expressions used when checking whether an answer, spelling, record, translation, measurement, or piece of information is correct or accurate. These forms are especially common in school, administration, technical work, journalism, and editing. | **sahihi** — sahihi; **-sahihi** — -sahihi; **usahihi** — usahihi; **si sahihi** — si sahihi; **jibu sahihi** — jibu sahihi; **majibu sahihi** — majibu sahihi; **taarifa sahihi** — taarifa sahihi; **maelezo sahihi** — maelezo sahihi; **majina sahihi** — majina sahihi; **jina sahihi** — jina sahihi; **tahajia sahihi** — tahajia sahihi; **tafsiri sahihi** — tafsiri sahihi; **vipimo sahihi** — vipimo sahihi; **rekodi sahihi** — rekodi sahihi; **namba sahihi** — namba sahihi; **usahihi wa taarifa** — usahihi wa taarifa; **usahihi wa data** — usahihi wa data; **usahihi wa kisarufi** — usahihi wa kisarufi; **usahihi wa vipimo** — usahihi wa vipimo; **usahihi wa taarifa za habari** — usahihi wa taarifa za habari | - **taarifa sahihi** can overlap with credibility language, since accurate information is often also treated as dependable.<br>- **tafsiri sahihi** extends from factual correctness into fidelity of interpretation. | - **taarifa sahihi** can overlap with credibility language, since accurate information is often also treated as dependable.<br>- **tafsiri sahihi** extends from factual correctness into fidelity of interpretation. |
| 6. Proper method, placement, timing, and procedure | This group includes uses of **sahihi** where the issue is not mainly whether a statement is true, but whether something is done in the proper way, at the proper time, or in the proper place. These expressions are common in instruction, planning, medicine, administration, and practical advice. | **matumizi sahihi** — matumizi sahihi; **utaratibu sahihi** — utaratibu sahihi; **njia sahihi** — njia sahihi; **wakati sahihi** — wakati sahihi; **mahali sahihi** — mahali sahihi | - These expressions sit close to the correctness group, but in usage they often concern appropriateness or norm-following rather than factual accuracy.<br>- **njia sahihi** can also take on moral or strategic overtones depending on context. | - These expressions sit close to the correctness group, but in usage they often concern appropriateness or norm-following rather than factual accuracy.<br>- **njia sahihi** can also take on moral or strategic overtones depending on context. |
| 7. Trustworthiness, credibility, and dependable sources | This group covers expressions used to evaluate whether a person, source, witness, institution, report, or evidence can be trusted or believed. In usage, these forms are especially common in journalism, law, public discussion, and institutional evaluation. | **kuaminika** — kuaminika; **aminika** — aminika; **chanzo kinachoaminika** — chanzo kinachoaminika; **ushahidi unaoaminika** — ushahidi unaoaminika; **taarifa inayoaminika** — taarifa inayoaminika; **mtu anayeaminika** — mtu anayeaminika; **mashahidi waaminika** — mashahidi waaminika; **asiyeaminika** — asiyeaminika; **kutoaminika** — kutoaminika; **kuaminiwa** — kuaminiwa | - **aminika** may function as a shorter adjectival label, but relative-clause forms like **kinachoaminika** are often more explicit in actual use.<br>- **taarifa inayoaminika** overlaps with **taarifa sahihi**, but the first centers on trustworthiness, the second on correctness/accuracy. | - **aminika** may function as a shorter adjectival label, but relative-clause forms like **kinachoaminika** are often more explicit in actual use.<br>- **taarifa inayoaminika** overlaps with **taarifa sahihi**, but the first centers on trustworthiness, the second on correctness/accuracy. |
| 8. Belief, trust, and confidence relations | This group includes expressions built around believing, trusting, having faith, or lacking confidence. In usage, these forms range across everyday interpersonal trust, religious faith, ideological commitment, and psychological confidence. | **kuamini** — kuamini; **amini** — amini; **naamini** — naamini; **imani** — imani; **kuwa na imani** — kuwa na imani; **imani katika** — imani katika; **kuamini katika** — kuamini katika; **kuamini kwamba** — kuamini kwamba; **kuamini mtu** — kuamini mtu; **kuaminiana** — kuaminiana; **kutia imani** — kutia imani; **kukosa imani** — kukosa imani; **kutokuamini** — kutokuamini; **kujiamini** — kujiamini; **kujiamini kupita kiasi** — kujiamini kupita kiasi | - **kujiamini** and **kujiamini kupita kiasi** are about self-confidence rather than truth or source reliability.<br>- **imani** often belongs more to religious or motivational language than to factual evaluation. | - **kujiamini** and **kujiamini kupita kiasi** are about self-confidence rather than truth or source reliability.<br>- **imani** often belongs more to religious or motivational language than to factual evaluation. |
| 9. Moral character: honesty, faithfulness, loyalty | This group gathers expressions used to describe a person’s character as honest, faithful, loyal, or dependable over time. In practice, these forms are common in moral, religious, relational, and workplace evaluation, rather than in checking factual correctness. | **aminifu** — aminifu; **uaminifu** — uaminifu; **mwaminifu** — mwaminifu; **waaminifu** — waaminifu; **mtu aminifu** — mtu aminifu; **rafiki aminifu** — rafiki aminifu; **uaminifu kwa mume/mke** — uaminifu kwa mume/mke; **uaminifu kwa Mungu** — uaminifu kwa Mungu; **uaminifu kazini** — uaminifu kazini; **mkweli** — mkweli | - **mkweli** overlaps with truth-telling, but in many uses it evaluates character more broadly.<br>- **mwaminifu / waaminifu** can also mean “believer(s)” in religious contexts, not only “trustworthy person/people.” | - **mkweli** overlaps with truth-telling, but in many uses it evaluates character more broadly.<br>- **mwaminifu / waaminifu** can also mean “believer(s)” in religious contexts, not only “trustworthy person/people.” |
