# CLCA Protocol v3.4 — F2a Derivational Table
# Language: Finnish (fi)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| tosi | totuus | totuus | tosi + -uus (abstract noun suffix) | truth | Standard nominalization creating abstract noun from adjective. Highly productive pattern in Finnish (*korkea* → *korkeus* "height", *hyvä* → *hyvyys* "goodness"). | [CORE] |
| tosi | tosiasiallinen | tosiasiallinen | tosi-asia + -llinen (adjectival suffix) | actual, factual, de facto | Productive adjectival suffix creating quality adjectives from nouns. Common pattern (*laki* → *lakillinen* "legal"). | [CORE] |
| tosi | tosiasiassa | tosiasiassa | tosi-asia + -ssa (inessive case) | in fact, actually | Grammaticalized case form functioning as adverb. Common pattern for creating adverbials from nouns. | [CORE] |
| tosi | tosissaan | tosissaan | tosi + -ssa (inessive) + -an (3rd person possessive) | seriously, in earnest | Grammaticalized case + possessive construction functioning as adverb. Idiomatic expression. | [CORE] |
| tosi | tosikko | tosikko | tosi + -kko (agent/characteristic noun suffix) | overly serious person | Derivational suffix creating person nouns with characteristic quality, often with pejorative or diminutive connotation (*juoma* → *juomari* "drinker", *laula-* → *laulaja* "singer"). The -kko variant often carries negative or excessive meaning. | [MARGINAL] |
| todellinen | todellisuus | todellisuus | tode-lli-nen → tode-lli-suus (adjective + -suus abstract noun suffix) | reality | Standard nominalization from -llinen adjectives. Highly productive (*mahdollinen* → *mahdollisuus* "possibility"). | [CORE] |
| todellinen | todellistaa | todellistaa | tode-llista- + -a (causative/factitive verb suffix) | to realize, to actualize | Productive causative derivation from adjectives (*selkeä* → *selkeyttää* "to clarify"). The -sta- variant appears with -llinen adjectives. | [CORE] |
| todellistaa | todellistua | todellistua | tode-llistu- + -a (reflexive/inchoative verb suffix) | to come true, to be realized | Productive reflexive/inchoative derivation from causative verbs, indicating spontaneous or intransitive action (*avata* → *avautua* "to open (intrans.)"). | [CORE] |
| todistaa | todiste | todiste | todista- + -e (result noun suffix) | proof, evidence | Productive derivation creating result nouns from verbs (*rakentaa* → *rakennus* "building", *lausua* → *lause* "sentence"). The -e suffix often appears as -us/-ys. | [CORE] |
| todistaa | todistaja | todistaja | todista- + -ja (agent noun suffix) | witness | Highly productive agent noun derivation from verbs (*opettaa* → *opettaja* "teacher", *lukea* → *lukija* "reader"). | [CORE] |
| todistaa | todistus | todistus | todist- + -us (action/result noun suffix) | certificate, testimony, proof | Productive nominalization creating action or result nouns from verbs (*käyttää* → *käyttö* "use", *rakentaa* → *rakennus* "building"). | [CORE] |
| todistaa | todistettava | todistettava | todiste- + -tta- (passive) + -va (present participle) | provable, that can be proven | Productive passive participle formation indicating possibility or necessity (*syötävä* "edible", *nähtävä* "visible, must be seen"). | [CORE] |
| todistettava | todistettavasti | todistettavasti | todiste-tta-va + -sti (adverbial suffix) | provably, demonstrably | Highly productive adverb formation from adjectives and participles (*nopea* → *nopeasti* "quickly"). | [CORE] |
| todeta | toteamus | toteamus | totea- + -mus (action/result noun suffix) | statement, observation | Productive nominalization variant (alongside -us/-ys) creating action nouns (*lausua* → *lausuma* "statement"). | [CORE] |
| toteutua | toteutus | toteutus | toteut- + -us (action noun suffix) | realization, implementation | Standard nominalization from verbs. | [CORE] |
| toteutua | toteuttaa | toteuttaa | toteut- + -ta- (causative) + -a | to realize, to implement | Causative derivation from intransitive verb, creating transitive counterpart (*kasvaa* → *kasvattaa* "to grow (trans.)"). | [CORE] |
| toteuttaa | toteuttaminen | toteuttaminen | toteutta- + -minen (gerund suffix) | realization, implementation (process) | Highly productive gerund formation from verbs, creating action nouns (*lukea* → *lukeminen* "reading"). | [CORE] |
| todentaa | todentua | todentua | todent- + -u- (reflexive/inchoative) + -a | to be verified, to be confirmed | Reflexive/inchoative derivation from causative verb. | [CORE] |
| todentaa | todentaminen | todentaminen | todenta- + -minen (gerund) | verification, authentication | Standard gerund formation. | [CORE] |
| todennäköinen | todennäköisyys | todennäköisyys | toden-näköis- + -yys (abstract noun suffix) | probability, likelihood | Standard nominalization from -inen adjectives (*mahdollinen* → *mahdollisuus* "possibility"). | [CORE] |
| todennäköinen | todennäköisesti | todennäköisesti | toden-näköise- + -sti (adverbial suffix) | probably, likely | Standard adverb formation from adjectives. | [CORE] |
| oikea | oikeasti | oikeasti | oikea + -sti (adverbial suffix) | really, actually | Standard adverb formation from adjectives. Note: Finnish has two common adverbial patterns from oikea: *oikeasti* and *oikein*, with slightly different semantic ranges. | [CORE] |
| oikea | oikein | oikein | oikea + -in (adverbial suffix, archaic variant) | correctly, right; really, very | Older adverbial formation pattern, now lexicalized with dual function (manner adverb and intensifier). The -in suffix is no longer productive but appears in frozen forms (*kaunis* → *kauniin* archaic "beautifully"). | [CORE] |
| oikea | oikeellinen | oikeellinen | oikee- + -llinen (adjectival suffix) | correct, accurate | Productive adjectival derivation, often creating more formal or technical variants (*laki* → *lakillinen* "legal"). | [CORE] |
| oikeellinen | oikeellisuus | oikeellisuus | oikee-lli- + -suus (abstract noun suffix) | correctness, accuracy | Standard nominalization from -llinen adjectives. | [CORE] |
| oikea | oikeuttaa | oikeuttaa | oikeut- + -ta- (causative) + -a | to justify, to warrant | Causative verb derivation. Note: This derives from the noun *oikeus* "right, justice" rather than directly from the adjective *oikea*. | [CORE] |
| oikeuttaa | oikeutettu | oikeutettu | oikeute- + -ttu (past passive participle) | justified, warranted | Standard passive participle formation, often functioning as adjective (*rakennettu* "built", *kirjoitettu* "written"). | [CORE] |
| oikeuttaa | oikeutus | oikeutus | oikeut- + -us (action/result noun) | justification, authorization | Standard nominalization from verbs. | [CORE] |
| oikea | oikeus | oikeus | oikea + -us (abstract noun suffix) | right, justice, law, court | Standard nominalization, though semantically this has developed into a highly polysemous legal/moral term distinct from simple "correctness." | [MARGINAL] |
| oikeaoppinen | oikeaoppisuus | oikeaoppisuus | oikea-oppi- + -suus (abstract noun) | orthodoxy | Standard nominalization from compound adjective. | [CORE] |
| väärä | väärin | väärin | väärä + -in (adverbial suffix, archaic) | wrongly, incorrectly | Archaic adverbial formation pattern, now lexicalized. Parallel to *oikein* from *oikea*. | [CORE] |
| väärä | vääryys | vääryys | väär- + -yys (abstract noun suffix) | injustice, wrong | Standard nominalization from adjective (*korkea* → *korkeus* "height"). | [CORE] |
| väärä | vääristää | vääristää | vääriste- + -ä (causative verb suffix) | to distort, to falsify | Causative verb derivation from adjective. The -sta-/-stä- variant is common with certain adjective stems (*selvä* → *selvittää* "to clarify"). | [CORE] |
| vääristää | vääristyä | vääristyä | vääriste- + -y- (reflexive/inchoative) + -ä | to become distorted | Reflexive/inchoative derivation from causative verb, creating intransitive counterpart. | [CORE] |
| vääristyä | vääristymä | vääristymä | vääristy- + -mä (result noun suffix) | distortion, deformation | Result noun derivation from verbs, particularly intransitive/reflexive verbs (*kasvaa* → *kasvain* "growth/tumor", *paisua* → *paisuma* "swelling"). | [CORE] |
