# F5 Opposition Table — Quechua (qu)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| chiqaq | llulla | chiqaq / llulla | true, truthful / lie, false | Core lexical opposition between truth and falsehood. These terms contrast in evaluating correspondence to reality versus deviation from it, appearing in parallel constructions for speech evaluation (*chiqaq simi* vs *llulla simi*), character assessment (*chiqaq runa* vs *llulla runa*), and manner adverbials (*chiqaqta rimay* vs *llullata rimay*). | lexical | [CORE] |
| allin | mana allin | allin / mana allin | good, well / not good, bad | Primary opposition for moral and practical evaluation. The negative is formed compositionally with the negator *mana* rather than a suppletive antonym. This pair appears across multiple domains (character: *allin runa* vs *mana allin runa*; actions: *allin ruway* vs *mana allin ruway*; speech: *allin simi* vs *mana allin simi*). | morphological | [CORE] |
| yachay | mana yachay | yachay / mana yachay | to know, knowledge / to not know, ignorance | Epistemic opposition between knowledge and ignorance. The negative is formed with *mana* + verb/noun. This contrast is fundamental to epistemic evaluation and appears frequently in contexts distinguishing knowing from not knowing. | morphological | [CORE] |
| pantay | chiqan | pantay / chiqan | to err, to be mistaken / correct, exact | Opposition between error and correctness. While *pantay* focuses on deviation from correctness, *chiqan* emphasizes exact correspondence. These terms appear in complementary contexts evaluating accuracy of actions, statements, and measurements. | lexical | [CORE] |
| sut'i | (no clear lexical opposite attested) | sut'i | clear, evident | While *sut'i* "clear, evident" is well-attested, no dedicated lexical opposite for "unclear, obscure" appears in the data. Negation would use *mana sut'i*, but this is not explicitly attested. | (no clear opposition identified) | [UNCERTAIN] |
| hunt'a | ch'usaq | hunt'a / ch'usaq | full, complete / empty, void | Opposition between fullness/completeness and emptiness/lack. These terms contrast in evaluating whether something contains its proper content or lacks substance, appearing in both literal (containers) and metaphorical (speech, thought) contexts. | lexical | [CORE] |
| huch'uy | hatun | huch'uy / hatun | small, little / big, large, great | Size/magnitude opposition that extends to evaluating importance and seriousness. Particularly productive in modifying errors and faults (*huch'uy pantay* "small error" vs *hatun pantay* "big error"; *huch'uy huch'a* "small sin" vs *hatun huch'a* "great sin"). | lexical | [CORE] |
| sumaq | millay | sumaq / millay | beautiful, good, pleasant / ugly, disgusting, abominable | Aesthetic and affective opposition between beauty/pleasantness and ugliness/repugnance. These terms appear in parallel constructions for persons (*sumaq runa* vs *millay runa*), actions (*sumaq* vs *millay ruway*), and states (*sumaq kay* vs *millay kay*). | lexical | [CORE] |
| qhapaq | wakcha | qhapaq / wakcha | rich, powerful, noble / poor, orphan, lacking | Social status opposition between wealth/power and poverty/lack of support. These terms contrast in characterizing persons (*qhapaq runa* vs *wakcha runa*) and states (*qhapaq kay* vs *wakcha kay*), with associated inchoative and causative forms (*qhapaqyay* vs *wakchayay*). | lexical | [CORE] |
| chanin | mana chanin | chanin / mana chanin | valid, legitimate, having value / invalid, illegitimate, without value | Opposition in legitimacy and validity evaluation. The negative is formed with *mana* rather than a suppletive opposite. This contrast is crucial in legal and administrative contexts for evaluating the standing of claims, documents, and authority. | morphological | [CORE] |
| ch'ulla | (paired/complete - not explicitly lexicalized) | ch'ulla | single, odd, unpaired | *Ch'ulla* indicates lack of proper pairing or complement, but no dedicated lexical opposite for "paired, complete as a pair" is attested. The opposition would be with *hunt'a* "complete" or implicit paired state, but this is not explicitly lexicalized in the data. | (no clear opposition identified) | [UNCERTAIN] |
| tukuy | (partial/incomplete - not explicitly lexicalized) | tukuy | all, complete, whole | *Tukuy* indicates totality and completeness, but no dedicated lexical opposite for "partial, some" is attested in the evaluative domain. Opposition would be constructional (e.g., *tukuy* vs *huch'uy* "small" or *wakin* "some" if attested), but clear lexical antonym is not present in data. | (no clear opposition identified) | [UNCERTAIN] |
