| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| benar | benar bahwa ... | — | “it is true that ...” | A common formal and semi-formal construction used to affirm the truth of a proposition. It often appears in reporting, argumentation, and clarification. | [CORE] |
| benar | benar juga | — | “that’s true too”; “you’re right, actually” | Common in conversation when a speaker concedes that another person’s point is correct. It has a discourse-pragmatic flavor rather than a purely propositional one. | [CORE] |
| benar | memang benar | — | “it is indeed true”; “indeed” | Very common in speech and writing to strongly confirm a statement. It often introduces agreement while leaving room for further qualification. | [CORE] |
| benar | tidak benar bahwa ... | — | “it is not true that ...” | A standard way to deny the truth of a proposition, especially in formal rebuttals, journalism, and public statements. It is more explicit than simply saying *salah*. | [CORE] |
| benar | benar atau tidak | — | “whether true or not” | Common in discussion of rumors, claims, and uncertain information. It frames a proposition as pending verification. | [CORE] |
| benar | yang benar saja! | — | “come on!”; “seriously?!” | An idiomatic exclamation expressing disbelief, annoyance, or protest. Its meaning is no longer a straightforward truth judgment. | [CORE] |
| benar | benar-benar tidak ... | — | “really not ...”; “absolutely not ...” | This uses the reduplicated form in a larger construction as an intensifier. It is extremely common but semantically shifted away from literal truth evaluation. | [MARGINAL] |
| benar | sebenarnya ... | — | “actually ...”; “in fact ...” | Very common as a discourse-organizing construction introducing what is really the case. It often contrasts appearance, assumption, or prior wording with reality. | [CORE] |
| kebenaran | kebenaran tentang ... | — | “the truth about ...” | A common construction in journalism, history, law, and reflective writing. It frames truth as concerning a specific matter, event, or issue. | [CORE] |
| kebenaran | mencari kebenaran | — | “to seek the truth” | Widely used in legal, journalistic, philosophical, and moral contexts. It presents truth as something to be investigated or discovered. | [CORE] |
| kebenaran | mengungkap kebenaran | — | “to reveal the truth” | Common in reporting, legal discourse, and narrative contexts. It implies that the truth was hidden, disputed, or not yet publicly known. | [CORE] |
| kebenaran | membuktikan kebenaran | — | “to prove the truth (of something)” | Used in argumentation, law, religion, and scholarship. It emphasizes evidential support for a claim or doctrine. | [CORE] |
| kebenaran | demi kebenaran | — | “for the sake of truth” | A common elevated or formal expression in moral, legal, and rhetorical contexts. It presents truth as a guiding value or justification. | [CORE] |
| kebenaran | sesuai dengan kebenaran | — | “in accordance with the truth” | Used in formal and reflective prose when a statement, account, or action is said to match what is true. It is less idiomatic than some other entries but clearly natural. | [CORE] |
| membenarkan | membenarkan diri | — | “to justify oneself” | A common reflexive-like construction in moral criticism and interpersonal discourse. It often carries a negative nuance of self-excuse. | [CORE] |
| membenarkan | membenarkan anggapan bahwa ... | — | “to confirm the assumption that ...” | Common in reporting and analysis when evidence supports a prior suspicion or hypothesis. It is especially frequent in formal explanatory prose. | [CORE] |
| membenarkan | membenarkan kabar / berita | — | “to confirm news / a report” | Very common in journalism and official communication. It is used when an authority states that circulating information is true. | [CORE] |
| membenarkan | tidak ada yang membenarkan ... | — | “nothing justifies ...”; “there is nothing that can justify ...” | Common in moral and legal condemnation. It is used to deny that an action, decision, or harm has acceptable grounds. | [CORE] |
| betul | betul kan? | — | “right?”; “isn’t that correct?” | Very common in colloquial Indonesian as a confirmation-seeking tag. It is conversational and less formal than many *benar* constructions. | [CORE] |
| betul | betul begitu? | — | “is that correct?”; “is that really so?” | Used in conversation to check whether one has understood correctly. It is natural in spoken interaction and informal writing. | [CORE] |
| betul | memang betul | — | “that is indeed correct” | Common in speech and writing as an affirmative response or concession. It overlaps strongly with *memang benar* but often sounds slightly more conversational. | [CORE] |
| kebetulan | secara kebetulan | — | “by coincidence”; “coincidentally” | A common adverbial construction meaning that something happened by chance. This is semantically peripheral to truth/correctness. | [MARGINAL] |
| kebetulan | hanya kebetulan | — | “just a coincidence” | Used to deny intentionality, causation, or deeper significance. It is common in everyday explanation and argument. | [MARGINAL] |
| tepat | tepat untuk ... | — | “right/appropriate for ...” | Very common for suitability of a person, method, object, or action to a purpose. It extends from exactness into appropriateness. | [CORE] |
| tepat | tepat bagi ... | — | “appropriate for ...” | Common in formal and semi-formal Indonesian, especially in advice, policy, and evaluation. It often sounds slightly more formal than *tepat untuk*. | [CORE] |
| tepat | tepat pada waktunya | — | “right on time”; “at exactly the right time” | A natural timing construction used for arrivals, interventions, and events. It emphasizes exact or suitable timing. | [CORE] |
| tepat | kurang tepat untuk ... | — | “not quite appropriate for ...” | Very common as a softened criticism in formal and polite discourse. It is used for wording, actions, classifications, and decisions. | [CORE] |
| tepat | tidak tepat untuk ... | — | “not appropriate for ...”; “not correct for ...” | A broad evaluative construction used for mismatch with context, purpose, or fact. It is common in criticism and explanation. | [CORE] |
| tepat | dengan tepat | — | “accurately”; “precisely”; “correctly” | A very common adverbial construction used with verbs like identify, describe, calculate, and predict. It marks precision in performance. | [CORE] |
| tepat | secara tepat | — | “precisely”; “accurately” | Common in formal explanatory prose, especially academic and technical writing. It overlaps with *dengan tepat* but is somewhat more formal in tone. | [CORE] |
| tepat | tepat sekali | — | “exactly right”; “very accurate” | Common in conversation and evaluative writing to strongly affirm that a statement or judgment is fitting. It can also function as emphatic agreement. | [CORE] |
| ketepatan | ketepatan dalam ... | — | “accuracy/precision in ...” | Common in academic, technical, and evaluative writing. It specifies the domain in which exactness is being assessed, such as wording, measurement, or analysis. | [CORE] |
| ketepatan | tingkat ketepatan | — | “level of accuracy”; “degree of precision” | Frequent in technical evaluation, testing, and policy assessment. It frames accuracy as measurable or comparable. | [CORE] |
| tepat sasaran | agar tepat sasaran | — | “so that it is well-targeted” | Very common in policy, aid distribution, and planning discourse. It expresses the goal that an intervention reach the intended recipients or issue. | [CORE] |
| tepat sasaran | belum tepat sasaran | — | “not yet well-targeted” | Common in criticism of programs, subsidies, and public spending. It suggests partial failure without necessarily implying total misdirection. | [CORE] |
| tepat sasaran | kurang tepat sasaran | — | “insufficiently targeted” | A frequent softened evaluative construction in policy analysis and media commentary. It is milder than *tidak tepat sasaran*. | [CORE] |
| tepat sasaran | tidak tepat sasaran | — | “mistargeted”; “not on target” | Very common in criticism of aid, policy, argumentation, and interventions. It indicates that the intended target has been missed. | [CORE] |
| sesuai | sesuai dengan ... | — | “in accordance with ...”; “consistent with ...” | One of the most common constructions with *sesuai*. It is widely used in legal, bureaucratic, academic, and everyday contexts for conformity with rules, facts, or expectations. | [CORE] |
| sesuai | sesuai aturan / sesuai prosedur / sesuai fakta | — | “according to the rules / procedure / facts” | Highly productive with nouns naming standards or points of comparison. It is central in formal evaluation and compliance language. | [CORE] |
| sesuai | tidak sesuai dengan ... | — | “not in accordance with ...”; “not consistent with ...” | A standard negative construction in administration, auditing, law, and ordinary criticism. It marks mismatch with a norm, document, or reality. | [CORE] |
| sesuai | kurang sesuai | — | “less suitable”; “not quite appropriate” | Common as a softened evaluation in polite and formal discourse. It often concerns fit with context, audience, or purpose. | [CORE] |
| sesuai | sesuai harapan | — | “as expected”; “in line with expectations” | Common in evaluation of outcomes, performance, and experience. It compares reality with prior hopes or standards. | [CORE] |
| sesuai | sesuai kebutuhan | — | “according to need”; “as needed” | Very common in practical, administrative, and policy contexts. It frames action or provision as adjusted to actual needs. | [CORE] |
| kesesuaian | kesesuaian antara X dan Y | — | “the correspondence between X and Y” | A very common formal construction in auditing, research, and evaluation. It explicitly compares two items, such as data and evidence or practice and regulation. | [CORE] |
| kesesuaian | uji kesesuaian | — | “conformity test”; “fit test” | Used in technical, industrial, and evaluative contexts for testing whether something meets required standards. It is formal and domain-specific but well established. | [CORE] |
| cocok | cocok untuk ... | — | “suitable for ...” | Extremely common in everyday Indonesian for suitability to a person, purpose, or situation. It is less formal and more colloquial than many *sesuai* constructions. | [CORE] |
| cocok | cocok dengan ... | — | “to match ...”; “to go with ...”; “to be compatible with ...” | Very common for compatibility, resemblance, or matching between two things. It is used for clothing, personalities, data, and descriptions. | [CORE] |
| cocok | tidak cocok dengan ... | — | “not compatible with ...”; “doesn’t match ...” | A standard negative construction for mismatch in personality, style, evidence, or practical fit. It is common in both everyday and semi-formal usage. | [CORE] |
| cocok | kurang cocok | — | “less suitable”; “not quite a good fit” | Common as a softened negative judgment. It is especially frequent in interpersonal, consumer, and advisory contexts. | [CORE] |
| cocok | cocok sekali | — | “very suitable”; “fits perfectly” | Common in speech for strong positive evaluation of fit or compatibility. It is especially natural in everyday conversation. | [CORE] |
| kecocokan | kecocokan antara X dan Y | — | “compatibility between X and Y” | Common in formal and semi-formal evaluation of fit between people, categories, records, or characteristics. It is especially useful where compatibility is being assessed explicitly. | [CORE] |
| kecocokan | tingkat kecocokan | — | “degree of match”; “level of compatibility” | Used in technical matching, profiling, and evaluative contexts. It presents compatibility as gradable and measurable. | [CORE] |
| asli | asli atau palsu | — | “genuine or fake” | A very common contrastive construction in discussions of documents, goods, signatures, and identity. It frames authenticity as a binary practical question. | [CORE] |
| asli | dipastikan asli | — | “confirmed to be genuine” | Common in reporting and verification contexts for objects or documents whose authenticity has been checked. It often appears in passive, evidential style. | [CORE] |
| asli | masih asli | — | “still original”; “still genuine” | Common for parts, documents, buildings, or artifacts that remain in original condition. It can refer to authenticity or lack of alteration. | [CORE] |
| keaslian | keaslian dokumen / tanda tangan / karya | — | “the authenticity of a document / signature / work” | A common formal construction in legal, artistic, and academic contexts. It specifies the object whose genuineness is under evaluation. | [CORE] |
