# CLCA Protocol v3.4 — F4 Construction Table
# Language: Sanskrit (sa)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| **1. ATTRIBUTION** | एतत् सत्यम् (अस्ति) | etat satyam (asti) | this is true | Extremely common in all registers. Copula omission in present tense is standard, not marked. Explicit copula appears in past/future or for emphasis. | [CORE] |
| **1. ATTRIBUTION** | तद् वचनं मृषा | tad vacanaṃ mṛṣā | that statement is false | Adverbial predicates (mṛṣā, mithyā) function without copula across all tenses. No register restrictions observed. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | एतत् न सत्यम् | etat na satyam | this is not true | Particle negation is unmarked, neutral strategy. Used across all contexts without restriction. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | तद् असत्यम् अस्ति | tad asatyam asti | that is untrue | Morphological negation (a-satya) is categorical/definitional rather than simple denial. Copula more frequently explicit with negative-prefixed adjectives. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | सत्यं वचनम् | satyaṃ vacanam | true statement | Completely productive with all truth-domain terms. No restrictions on noun classes. Adjective-initial order slightly preferred but both orders fully acceptable. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | मिथ्या ज्ञानम् | mithyā jñānam | false knowledge | Adverbial forms (mithyā, mṛṣā) modify nouns without inflection, particularly common in philosophical texts. No register restrictions. | [CORE] |
| **4. BECOME / INCHOATIVE** | तत् सत्यं भवति | tat satyaṃ bhavati | that becomes true / proves true | Common in narrative and argumentative contexts expressing verification or revelation. No restrictions observed. | [CORE] |
| **4. BECOME / INCHOATIVE** | मिथ्या भूतम् | mithyā bhūtam | became false / proved illusory | Past participle bhūta frequently used for completed state changes. Particularly common in Vedāntic contexts for describing illusory nature. | [CORE] |
| **5. CAUSATIVE** | प्रमाणं करोति | pramāṇaṃ karoti | makes (it) authoritative, validates | Less grammaticalized than inchoative. Restricted primarily to technical/philosophical contexts. Light verb √kṛ construction not fully idiomatic for all truth-domain terms. | [MARGINAL] |
