| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| αληθής | alithís | from ἀ- (privative) + λήθη (concealment, forgetting); "unconcealed" | true, truthful, genuine, veridical | Used to predicate truth of statements, propositions, claims, and persons to indicate correspondence with reality or fact. Appears in both everyday and philosophical registers. Participates in a productive derivational family (αλήθεια, αληθινός, αληθεύω). | [CORE] |
| αλήθεια | alíthia | nominal form of αληθής; "the state of being unconcealed" | truth, truthfulness, reality | The primary noun for truth in Greek, used across everyday, legal, philosophical, and religious contexts. Can function as an exclamation ("αλήθεια;" = "Really?") and as a subject of predication ("η αλήθεια είναι ότι…"). Frequently appears in fixed expressions such as λέω την αλήθεια ("I tell the truth"). | [CORE] |
| αληθινός | alithinós | adjectival extension of αλήθεια / αληθής; "of the nature of truth" | true, real, genuine, authentic | Applied to persons, objects, feelings, and states of affairs to indicate that they are what they purport to be, as opposed to false or simulated. Often used to distinguish something genuine from a copy, imitation, or false version (e.g., αληθινός φίλος, "a true/genuine friend"). Slightly more colloquial than αληθής and more commonly used in modern spoken Greek. | [CORE] |
| γνήσιος | gníssios | from γένος (birth, kind); "of legitimate birth," hence "genuine" | genuine, authentic, legitimate, true, pure | Used of objects, documents, persons, and relationships to indicate authenticity or legitimacy of origin. Contrasts with νόθος (spurious, illegitimate). Common in legal contexts (e.g., γνήσιο αντίγραφο, "certified/genuine copy") and in evaluating artworks or products (e.g., γνήσιο προϊόν, "genuine product"). | [CORE] |
| αυθεντικός | afthentikós | from αυθέντης (one who acts on their own authority); "authoritative, original" | authentic, genuine, original | Used in aesthetic, legal, and everyday contexts to indicate that something is original rather than a copy or forgery. Also applied to persons to mean that they behave in a manner consistent with their true character, or to indicate sincerity or lack of pretense. Widely used in cultural, legal, and everyday contexts. | [CORE] |
| ακριβής | akrivís | from ἀ- (intensive) + κρίβανος or related to ἄκρος / ἀκριβόω; "exact, precise" | accurate, precise, exact, correct | Applied to measurements, descriptions, translations, and accounts to indicate that they correspond closely to what they represent or to the facts. Commonly used in scientific, journalistic, technical, and everyday evaluative contexts. Ακριβής μετάφραση means "accurate translation." | [CORE] |
| ορθός | orthós | "straight, upright, correct" | correct, right, proper, orthodox | Used to evaluate statements, procedures, beliefs, and conduct as conforming to a standard or norm. Appears in more formal, technical, and philosophical registers. Appears in compounds such as ορθογραφία (correct spelling/writing) and ορθόδοξος (right-believing/of correct opinion). In moral contexts it can indicate rightness of action. | [CORE] |
| σωστός | sostós | from σώζω (to save, preserve); "preserved intact," hence "correct, sound" | correct, right, proper, accurate, sound | The most common colloquial term for "correct" in modern Greek, used of answers, behavior, persons, procedures, and objects. Overlaps with ορθός but is more frequent in informal registers. Η σωστή απάντηση means "the correct answer." | [CORE] |
| λανθασμένος | lanthazmenos | past participle of λανθάνομαι (to be mistaken, to err) | wrong, mistaken, erroneous, incorrect | Applied to beliefs, statements, calculations, and actions to indicate that they are in error. Common in everyday and educational contexts as the standard antonym of σωστός. | [CORE] |
| έγκυρος | éngiros | from ἐν- (in) + κῦρος (authority, validity); "having authority" | valid, authoritative, reliable, credible, legitimate | Used in legal, administrative, and epistemic contexts to indicate that a document, argument, decision, or source carries recognized authority or meets formal requirements. A passport, contract, or election may be described as έγκυρος. Contrasts with άκυρος ("invalid, null"). Έγκυρο συμβόλαιο means "valid contract." | [CORE] |
| νόμιμος | nómimos | from νόμος (law); "according to law" | legal, lawful, legitimate | Indicates conformity with legal norms or established rules. Applied to persons, actions, and documents. Contrasts with παράνομος (illegal). | [CORE] |
| αξιόπιστος | aksiópistos | ἄξιος (worthy) + πίστις (trust, faith); "worthy of trust" | reliable, trustworthy, credible | Applied to persons, sources, institutions, and testimonies to indicate that they merit confidence and can be trusted or believed. Frequently used in journalistic and legal contexts when evaluating the credibility of witnesses or information sources. Αξιόπιστη πηγή means "reliable source." | [CORE] |
| αναξιόπιστος | anaksiópistos | privative ἀν- + αξιόπιστος; "not worthy of trust" | unreliable, untrustworthy, incredible | The direct negation of αξιόπιστος, applied to persons, sources, and claims. Used in evaluative contexts where credibility is at issue. | [CORE] |
| αξιόλογος | aksiólogos | ἄξιος (worthy) + λόγος (word, account, reason); "worthy of account" | noteworthy, significant, considerable, creditable, of merit | Used to evaluate persons, achievements, or works as deserving recognition or serious consideration. Applied to persons, works, or achievements to indicate that they are genuinely worthy of attention or merit. Carries a positive evaluative force and appears in both formal and informal registers, as well as academic and critical registers. | [CORE] |
| νόθος | nóthos | "of illegitimate birth," hence "spurious, counterfeit" | spurious, illegitimate, counterfeit, false, adulterated | Historically used of illegitimate children; extended to texts, documents, and objects to indicate that they are not what they claim to be. Used in philological and legal contexts (e.g., a νόθο κείμενο is a text of doubtful authenticity). In textual criticism, applied to works falsely attributed to an author. | [CORE] |
| πλαστός | plastós | from πλάσσω / πλάθω (to mold, fabricate); "fabricated, molded" | forged, counterfeit, fake, fabricated | Applied to documents, signatures, currency, and identities to indicate deliberate falsification. Implies deliberate fabrication. Πλαστή ταυτότητα is a forged identity document; πλαστό διαβατήριο means "forged passport." Commonly used in legal and criminal contexts. | [CORE] |
| ψεύτικος | psévtikos / pséftikos | from ψεύτης (liar) / ψεύδος (falsehood, lie); "of the nature of a lie, false" | false, fake, counterfeit, lying | A common colloquial adjective applied to objects, persons, and statements to indicate that they are not genuine or truthful. Less formal than πλαστός and broader in application. Contrasts with αληθινός and γνήσιος in everyday speech. | [CORE] |
| ψευδής | psevdís | from ψεύδος (falsehood); "characterized by falsehood" | false, untrue, mendacious, lying, spurious | More formal than ψεύτικος; used of statements, testimony, documents, and representations in legal and philosophical contexts to indicate falsity or deceptiveness. A ψευδής κατάθεση is false testimony. Participates in compounds such as ψευδώνυμο (pseudonym). | [CORE] |
| ψεύδος | psévdos | "falsehood, lie" | falsehood, lie, untruth | The primary noun for a falsehood or lie, used in philosophical, legal, and everyday contexts. Participates in a large derivational family: ψεύτης (liar), ψεύδομαι (to lie), ψευδής (false). Also appears in the compound ψευδώνυμο and in compounds such as ψευδοεπιστήμη ("pseudoscience"). In everyday speech the plural ψέματα is the colloquial form (λέω ψέματα, "I tell lies"). | [CORE] |
| αμφίβολος | amfívolos | ἀμφί (on both sides) + βάλλω (to throw); "thrown both ways, doubtful" | doubtful, dubious, questionable, ambiguous | Applied to persons, situations, claims, and cases whose reliability, truth, or quality is in question or uncertain. An αμφίβολη υπόθεση is a dubious case or affair. Used in both everyday and formal registers. | [CORE] |
| αμφισβητήσιμος | amfisvitiísimos | from αμφισβητώ (to dispute, contest); "disputable, contestable" | disputable, contestable, questionable, debatable | Applied to claims, titles, rights, and facts that are open to challenge or have not been definitively established. More formal than αμφίβολος and more specifically tied to the possibility of active contestation. Frequently used in legal and academic contexts to flag that a proposition or right is not settled. | [CORE] |
| αμφισβητώ | amfisviтó | ἀμφί (on both sides) + σβητός; conventionally "to dispute, contest" | to dispute, to contest, to challenge, to question | A verb used to indicate that a claim, right, or fact is being actively challenged. Used in legal proceedings (αμφισβητώ μια κατάθεση) and in everyday argument. Productive derivational base for αμφισβήτηση, αμφισβητήσιμος. | [CORE] |
| αδιαμφισβήτητος | adiamfisvitiitos | ἀ- (privative) + διαμφισβητέω (to dispute thoroughly); "not disputable" | indisputable, unquestionable, undeniable | Applied to facts, rights, and truths that are held to be beyond reasonable challenge. Used for emphasis in legal, rhetorical, and everyday contexts. | [CORE] |
| αποδεδειγμένος | apodedeignménos | perfect passive participle of ἀποδείκνυμι (to demonstrate, prove); "having been demonstrated" | proven, demonstrated, established | Applied to facts, claims, and propositions that have been shown to be true through evidence or argument. Used in legal, scientific, and everyday contexts. | [CORE] |
| τεκμηριωμένος | tekmirio̱ménos | from τεκμήριον (evidence, proof); "supported by evidence" | documented, evidenced, substantiated | Applied to claims, arguments, and positions that are backed by concrete evidence or documentation. Common in journalistic, academic, and legal registers. | [CORE] |
| επαληθεύω | epalithévo | ἐπί (upon, toward) + αληθεύω (to be true); "to verify, confirm as true" | to verify, to confirm, to validate, to corroborate | Used in scientific, journalistic, and administrative contexts to indicate the process of checking whether a claim, result, or document is accurate or genuine. The noun επαλήθευση is used for the act of verification. | [CORE] |
| επαλήθευση | epalíthefsi | nominal form of επαληθεύω; "the act of verifying" | verification, confirmation, validation | Used in scientific, legal, and administrative contexts to refer to the process or result of checking accuracy or truth. Appears in formal documents and procedures. | [CORE] |
| διαψεύδω | diapsévdo | διά (through, thoroughly) + ψεύδω (to deceive, to falsify); "to refute, to give the lie to" | to refute, to deny, to disprove, to contradict | Used when a claim, rumor, or allegation is officially or demonstrably shown to be false. Common in journalistic and official contexts (e.g., η κυβέρνηση διέψευσε τις φήμες, "the government denied/refuted the rumors"). | [CORE] |
| διαπίστωση | diapístoси | from διαπιστώνω (to ascertain, establish); "the act of ascertaining" | finding, ascertainment, determination, observation | Used to refer to the result of an investigation or observation that establishes a fact. Common in official reports, medical contexts, and everyday speech when someone states what they have found to be the case. | [CORE] |
| τεκμήριο | tekmírio | from τεκμαίρομαι (to infer, judge by signs); "sign, proof, evidence" | evidence, proof, indication, token | Used in legal and argumentative contexts to refer to a piece of evidence or an indicator that supports a conclusion. A τεκμήριο is typically indirect evidence from which a fact is inferred, distinguishing it from direct proof. | [CORE] |
| απόδειξη | apódhiksi | from αποδεικνύω (to demonstrate, prove); "demonstration, proof" | proof, evidence, receipt, demonstration | Used in logical, legal, and everyday contexts to refer to something that proves or demonstrates a claim. In commercial contexts it also means "receipt." The dual usage reflects the general sense of something that establishes a fact. | [CORE] |
| εικονικός | eikonikós / ikonikós | from εικόνα / εἰκών (image, icon); "of or like an image" | simulated, virtual, nominal, figurative; also: iconic | In modern usage, applied to simulated or nominal states of affairs (e.g., εικονική πραγματικότητα = virtual reality). Can also mean "nominal" or "token" in legal and financial contexts, indicating something that resembles but is not the real thing. In legal contexts, an εικονική πράξη is a sham transaction. The evaluative force is that something appears to be what it is not. | [CORE] |
| φαινομενικός | fenomenikós | from φαινόμενον (that which appears); "of or pertaining to appearance" | apparent, seeming, ostensible | Applied to qualities or states that appear to be the case but may not correspond to underlying reality. Φαινομενική επιτυχία means "apparent success." | [CORE] |
