# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|-------|
| 1.1a | तत् सत्यं भवति | tat satyaṃ bhavati | [CORE] | Standard construction for acquiring truth-status or being verified. Bhavati serves inchoative function. Context disambiguates stative vs. dynamic reading. |
| 1.1b | वचनं सत्यं जायते | vacanaṃ satyaṃ jāyate | [MARGINAL] | Jāyate emphasizes origination. Less common than bhavati. Restricted to contexts emphasizing fulfillment of predictions/promises. |
| 1.1c | (compound verb satyī-bhū) | — | [UNCERTAIN] | Theoretically possible but not attested in corpus. Sanskrit prefers predicative adjective + bhavati. |
| 1.2a | कथा तथ्यं भवति | kathā tathyaṃ bhavati | [CORE] | Used when narrative/testimony is verified as factual. Emphasizes correspondence to actual events. |
| 1.2b | ज्ञानं यथार्थं भवति | jñānaṃ yathārthaṃ bhavati | [CORE] | Describes cognition achieving correspondence to reality. Yathārtha functions adverbially or predicatively. |
| 1.3a | ज्ञानं प्रमा जायते | jñānaṃ pramā jāyate | [CORE] | Standard epistemological construction for genesis of valid cognition. Jāyate preferred for epistemic states. |
| 1.3b | बुद्धिः प्रमा भवति | buddhiḥ pramā bhavati | [CORE] | Alternative to jāyate. Bhavati emphasizes result/state rather than process. Both constructions productive. |
| 2.1a | वचनम् असत्यं भवति | vacanam asatyaṃ bhavati | [CORE] | Describes statement being revealed as false. Parallel construction to satyaṃ bhavati. |
| 2.1b | ज्ञानं मिथ्या भवति | jñānaṃ mithyā bhavati | [CORE] | Common in Vedāntic contexts for characterizing empirical knowledge as ultimately illusory. |
| 2.1c | जगत् मिथ्या प्रतीयते | jagat mithyā pratīyate | [CORE] | Passive construction emphasizing appearance/cognition of falsity. Common in Advaita Vedānta. |
| 2.2a | ज्ञानं भ्रमः भवति | jñānaṃ bhramaḥ bhavati | [CORE] | Describes cognition being revealed as erroneous. Bhrama emphasizes cognitive mistake. |
| 2.2b | बुद्धिः अप्रमा भवति | buddhiḥ apramā bhavati | [CORE] | Technical epistemological construction for cognition failing to achieve validity. |
| 2.3 | प्रत्ययः अयथार्थं भवति | pratyayaḥ ayathārthaṃ bhavati | [CORE] | Describes cognition losing/lacking correspondence to reality. Parallel to yathārthaṃ bhavati. |
| 3.1a | स तद् वचनं सत्यं करोति | sa tad vacanaṃ satyaṃ karoti | [CORE] | Used for fulfilling promises, realizing predictions. Emphasizes agent's role in bringing about truth-status. |
| 3.1b | स प्रतिज्ञां सत्यीकरोति | sa pratijñāṃ satyīkaroti | [CORE] | Compound causative more emphatic than simple karoti. Common for promise-fulfillment. Modern usage extends to "verify, authenticate." |
