| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|---|---|---|---|---|---|---|
| 真 | 真正 | zhēnzhèng | 真 “real” + 正 “proper; actual” | genuine; real; truly | Very common in speech and writing for distinguishing what is actual or genuine from what is only apparent or nominal. It can function adjectivally or adverbially, as in 真正的问题 “the real problem.” | [CORE] |
| 真 | 真相 | zhēnxiàng | 真 “true” + 相 “appearance; aspect” | truth; the real facts | Common for the actual facts behind an event, rumor, or dispute. Frequent in journalism, legal discussion, and public commentary. | [CORE] |
| 真 | 真伪 | zhēnwěi | 真 “true” + 伪 “false” | authenticity; true or false | Used especially in appraisal, law, and commerce for determining whether something is genuine. Often appears in phrases like 辨别真伪. | [CORE] |
| 真 | 真假 | zhēnjiǎ | 真 “true” + 假 “false” | true and false; authenticity | Common in everyday speech for asking or judging whether something is real or fake. Slightly more colloquial than 真伪. | [CORE] |
| 真 | 真品 | zhēnpǐn | 真 “genuine” + 品 “item; product” | genuine article; authentic item | Common in commerce and collecting for authentic goods, artworks, or branded items. It contrasts naturally with 假货 or 仿品. | [CORE] |
| 真 | 真迹 | zhēnjì | 真 “authentic” + 迹 “trace; writing” | authentic work; original handwriting | Used especially for calligraphy, painting, and manuscripts to indicate an original work by the actual creator. Common in art history and appraisal. | [CORE] |
| 真 | 真话 | zhēnhuà | 真 “true” + 话 “speech” | truth; truthful words | Very common in everyday speech for words that correspond to fact or honest belief. Often contrasted with 假话. | [CORE] |
| 真 | 真知 | zhēnzhī | 真 “true” + 知 “knowledge” | true knowledge | Used in reflective, philosophical, and educational contexts for genuine understanding rather than superficial opinion. It is less colloquial but well established. | [CORE] |
| 真 | 真知灼见 | zhēn zhī zhuó jiàn | 真知 “true knowledge” + 灼见 “penetrating view” | true knowledge and penetrating insight | Fixed formal expression used to praise insightful analysis or judgment. Common in essays, speeches, and evaluations of scholarship or policy. | [CORE] |
| 真 | 真名实姓 | zhēn míng shí xìng | 真 “real” + 名 “name” + 实 “actual” + 姓 “surname” | real name and surname; true identity | Used for actual personal identity as opposed to pseudonym or alias. Common in administration, online discourse, and policing contexts. | [CORE] |
| 真 | 真本事 | zhēn běnshi | 真 “real” + 本事 “ability” | real ability | Common colloquial expression for genuine competence rather than bluff or appearance. Often used in praise or challenge. | [CORE] |
| 真 | 真功夫 | zhēn gōngfu | 真 “real” + 功夫 “skill; effort” | real skill; genuine mastery | Used for actual expertise acquired through practice. Common in performance, craftsmanship, sports, and figurative evaluation. | [CORE] |
| 假 | 假话 | jiǎhuà | 假 “false” + 话 “speech” | lie; falsehood | Very common in everyday speech for words that are untrue or deceptive. It is the natural counterpart to 真话. | [CORE] |
| 假 | 假货 | jiǎhuò | 假 “fake” + 货 “goods” | counterfeit goods; fake product | Extremely common in consumer, legal, and media contexts for counterfeit merchandise. It is one of the most established commercial derivatives of 假. | [CORE] |
| 假 | 假证 | jiǎzhèng | 假 “false” + 证 “certificate; evidence” | forged certificate; false evidence | Used in legal, administrative, and policing contexts for fake credentials or false documentary proof. The exact referent depends on context. | [CORE] |
| 假 | 真假 | zhēnjiǎ | 真 “true” + 假 “false” | true and false; authenticity | Common in everyday speech for distinguishing real from fake. It is a standard paired form involving 假. | [CORE] |
| 真实 | 真实性 | zhēnshíxìng | 真实 “real; true” + 性 “-ness; property” | authenticity; truthfulness; realism | Common in formal evaluation of reports, representations, records, and artistic depiction. It refers to the quality of being true to reality. | [CORE] |
| 真实 | 真实感 | zhēnshígǎn | 真实 “real” + 感 “sense; feeling” | sense of reality; realism | Used for images, narratives, performances, or environments that give a strong impression of reality. Common in aesthetic and media contexts. | [CORE] |
| 虚假 | 虚假性 | xūjiǎxìng | 虚假 “false” + 性 “-ness; property” | falsity; deceptive character | Used in formal analysis, regulation, and legal argument for the quality of being false or deceptive. It is less common than bare 虚假 but clearly attested. | [MARGINAL] |
| 虚假 | 虚假化 | xūjiǎhuà | 虚假 “false” + 化 “-ize; become” | falsification; becoming false/deceptive | Attested in formal critical writing for a process by which content, data, or representation becomes false or distorted. It is not a high-frequency everyday form. | [UNCERTAIN] |
| 正确 | 正确性 | zhèngquèxìng | 正确 “correct” + 性 “-ness; property” | correctness | Very common in academic, technical, and evaluative writing for the property of being correct. Frequently used for arguments, methods, decisions, and data processing. | [CORE] |
| 错误 | 错误地 | cuòwù de | 错误 “wrong; erroneous” + 地 adverbial marker | wrongly; erroneously | Common adverbial use in formal and general writing, as in 错误地理解 “to misunderstand wrongly.” This is a regular syntactic derivation and fully attested. | [CORE] |
| 错误 | 错误性 | cuòwùxìng | 错误 “error; erroneous” + 性 “-ness; property” | erroneousness; errorfulness | Used in formal analysis for the property of being erroneous, though less common than 正确性. It appears in academic and technical discussion. | [MARGINAL] |
| 准确 | 准确性 | zhǔnquèxìng | 准确 “accurate” + 性 “-ness; property” | accuracy | Very common in technical, scientific, educational, and media contexts. It refers to the degree to which data, statements, or measurements are accurate. | [CORE] |
| 准确 | 准确地 | zhǔnquè de | 准确 “accurate” + 地 adverbial marker | accurately | Common adverbial form used for speaking, measuring, describing, or predicting accurately. It is frequent in both formal and general usage. | [CORE] |
| 属实 | 经查属实 | jīng chá shǔshí | 经 “after; through” + 查 “investigate” + 属实 “be verified as true” | verified as true upon investigation | Fixed official formula in administrative, disciplinary, and legal reporting. It is highly conventional but phrase-level rather than a free productive derivation. | [CORE] |
| 属实 | 查证属实 | cházhèng shǔshí | 查证 “investigate and verify” + 属实 “be true” | verified to be true | Common in formal reporting and official statements. Like 经查属实, it is a set collocational extension rather than a broad morphological family. | [CORE] |
| 失实 | 失实性 | shīshíxìng | 失实 “inaccurate; not factual” + 性 “-ness; property” | inaccuracy; nonfactual character | Used in formal criticism of reports, statements, or representations. It is attested but less frequent than the base adjective. | [MARGINAL] |
| 可信 | 可信度 | kěxìndù | 可信 “credible” + 度 “degree” | credibility | Very common in media studies, law, science, and public discourse for the degree to which information or a source deserves belief. It is one of the most established derivatives of 可信. | [CORE] |
| 可信 | 可信性 | kěxìnxìng | 可信 “credible” + 性 “-ness; property” | credibility; believability | Common in formal and academic writing, often overlapping with 可信度. It emphasizes the property rather than the degree of being believable. | [CORE] |
| 可靠 | 可靠性 | kěkàoxìng | 可靠 “reliable” + 性 “-ness; property” | reliability | Very common in engineering, science, management, and general evaluation. It refers to the dependability of systems, methods, evidence, or persons. | [CORE] |
| 可靠 | 可靠地 | kěkào de | 可靠 “reliable” + 地 adverbial marker | reliably | Attested in formal writing for carrying out a process or producing a result in a dependable way. Less lexicalized than 可靠性 but fully normal. | [CORE] |
| 伪造 | 伪造者 | wěizàozhě | 伪造 “forge; falsify” + 者 “person; agent” | forger; falsifier | Common in legal, forensic, and journalistic contexts for a person who forges documents, signatures, artworks, or evidence. | [CORE] |
