# CLCA Protocol v3.2 — F1 Vocabulary Table
# Language: Hebrew (he)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| אמת | emet | truth, faithfulness | truth, true, truthfulness | The primary term for truth in Hebrew, used across all registers from biblical to modern contexts. Functions as both a noun and in adjectival constructions (be-emet "in truth, truly"). Appears in moral, legal, religious, and everyday evaluative contexts. | [CORE] |
| שקר | sheker | falsehood, deception | lie, falsehood, deception, false | The standard antonym of emet, denoting falsehood or deception. Used in moral condemnation, legal testimony contexts, and everyday speech to characterize statements or representations as false. Common in the phrase davar sheker "false statement." | [CORE] |
| נכון | nakhon | correct, established, firm (from root k-w-n) | correct, right, true, accurate | Widely used in modern Hebrew to affirm correctness of statements, answers, or assessments. Functions as both adjective and interjection ("Right!" "Correct!"). Less morally weighted than emet, more focused on factual accuracy. | [CORE] |
| אמיתי | amiti | true, genuine (adjectival form derived from emet) | true, real, genuine, authentic | Adjectival form used to characterize objects, persons, or statements as genuine or authentic. Common in phrases like sippur amiti "true story" or ohev amiti "true friend." Emphasizes genuineness rather than mere factual accuracy. | [CORE] |
| אמין | amin | reliable, trustworthy (from root '-m-n) | reliable, trustworthy, credible, dependable | Describes persons, sources, or information as reliable or trustworthy. Commonly used in evaluating testimony, sources of information, or character. Related to the root of emet but focuses on reliability rather than truth per se. | [CORE] |
| מהימן | meheyман | trustworthy, reliable (hif'il participle from '-m-n) | reliable, trustworthy, credible, authentic | Overlaps significantly with amin but often used in more formal or literary contexts. Frequently applied to sources, documents, or testimony in legal and academic settings. Can also describe persons of reliable character. | [CORE] |
| צודק | tsodek | right, just (from root ts-d-k) | right, correct, just | Used to affirm that someone is right in their statement or position, or that an action is just. Common in conversational Hebrew ("ata tsodek" = "you're right"). Carries connotations of both correctness and moral rightness. | [CORE] |
| צדק | tsedek | justice, righteousness | justice, righteousness, rightness | Abstract noun denoting justice or righteousness, used in moral, legal, and philosophical discourse. Appears in fixed expressions like mishpat tsedek "just judgment" and in evaluations of conduct and social arrangements. | [CORE] |
| דומה | domeh | resembling, similar (from root d-m-h) | similar, resembling, like | Used to express resemblance or similarity between objects, persons, or situations. Functions as both verb and adjective. Common in comparative evaluations and descriptions of likeness. | [CORE] |
| מדויק | meduyak | precise, exact (pu'al participle from d-y-k) | precise, exact, accurate | Emphasizes precision and exactness in statements, measurements, or representations. Commonly used in technical, scientific, and formal contexts where accuracy of detail is evaluated. Stronger than nakhon in implying exactitude. | [CORE] |
| מזויף | mezuyaf | forged, falsified (pu'al participle from z-y-f) | fake, forged, counterfeit, falsified | Applied to objects, documents, or representations that are deliberately made to deceive. Common in legal contexts and in evaluating authenticity of artifacts, documents, or currency. Implies intentional deception. | [CORE] |
| מציאותי | metsi'uti | real, realistic (adjectival form from metsi'ut "reality") | real, realistic, actual | Used to characterize something as real or realistic, as opposed to imaginary or idealistic. Common in philosophical discourse and everyday evaluation of plans, expectations, or representations. Can mean both "real" and "realistic/feasible." | [CORE] |
| באמת | be-emet | in truth | truly, really, in truth, actually | Fixed adverbial expression used to emphasize the truth or reality of a statement. Functions as an intensifier or to express genuine agreement or confirmation. Very common in spoken Hebrew. | [CORE] |
| כן | ken | yes, so, thus | yes, right, correct, so | Basic affirmative particle used to confirm truth or correctness of statements. Can function as simple "yes" or as "that's right/correct." Extremely common in all registers of Hebrew. | [CORE] |
| לא נכון | lo nakhon | not correct | incorrect, wrong, not true | Standard negation of nakhon, used to deny correctness or accuracy of statements. Common in corrections, disagreements, and evaluations. Less morally charged than sheker. | [CORE] |
| טעות | ta'ut | error, mistake | error, mistake, wrong | Denotes an error or mistake, whether in statement, judgment, or action. Used to characterize something as wrong without necessarily implying moral fault or deliberate deception. Common in legal contexts (ta'ut be-mekakh "error in transaction"). | [CORE] |
| מוטעה | mut'eh | mistaken, erroneous (huf'al participle from t-'-h) | mistaken, wrong, erroneous | Describes persons or beliefs as mistaken or in error. Often used to characterize someone's understanding or position as incorrect without harsh moral judgment. Common in argumentative and corrective contexts. | [CORE] |
