# CLCA Protocol v3.4 — F4 Construction Table
# Language: English (en)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| Subject + BE + truth-domain adjective | That statement is true. | That statement is true. | "The claim corresponds to reality." | The unmarked, most frequent construction for truth-domain predication. Used across all registers and contexts without restriction. | [CORE] |
| Subject + BE + NEG + truth-domain adjective | The document is not authentic. | The document is not authentic. | "The document lacks authenticity." | Standard analytic negation, fully productive with all truth-domain adjectives. No restrictions observed. | [CORE] |
| Subject + BE + negative-prefixed adjective | The claim is untrue. | The claim is untrue. | "The claim is false." | Synthetic negation available for many but not all adjectives. Lexically determined which adjectives permit negative prefixes (un-, in-, dis-). | [CORE] |
| Truth-domain adjective + Noun | a true statement | a true statement | "a statement that corresponds to reality" | Strict prenominal position required in English. Fully productive with all truth-domain adjectives and compatible nouns. | [CORE] |
| Truth-domain adjective + Noun | false testimony | false testimony | "testimony that does not correspond to reality" | Same construction as above. Some truth-domain terms appear primarily or exclusively in adnominal position (e.g., "spurious," "fallacious"). | [CORE] |
| Subject + become/turn/prove + truth-domain adjective | The rumor became true. | The rumor became true. | "The rumor was realized as fact." | General inchoative construction using change-of-state verbs. "Become" is neutral; "turn" is more colloquial; "prove" emphasizes evidential basis. | [CORE] |
| Subject + come true | Her prediction came true. | Her prediction came true. | "Her prediction was realized in reality." | Specialized idiomatic construction limited to predictions, wishes, dreams, and similar future-oriented propositions. Not productive beyond these contexts. | [CORE] |
| Agent + make + Object + truth-domain adjective | The evidence made his claim true. | The evidence made his claim true. | "The evidence caused his claim to be true." | Standard analytic causative construction. "Make" is neutral register, fully productive with truth-domain adjectives. | [CORE] |
| Agent + render + Object + truth-domain adjective | The forgery rendered the document invalid. | The forgery rendered the document invalid. | "The forgery caused the document to become invalid." | Formal register variant of analytic causative. More common in written and technical contexts than in speech. | [CORE] |
| truth-domain adjective + -ness/-ity/-cy/-th | the truthfulness of his statement | the truthfulness of his statement | "the quality of his statement being truthful" | Productive nominalization through suffixation. Choice of suffix is lexically determined and not predictable from adjective form alone. | [CORE] |
| truth-domain adjective + -ness/-ity/-cy/-th | the authenticity of the painting | the authenticity of the painting | "the quality of the painting being authentic" | Same construction. Latin-derived adjectives typically take -ity; Germanic roots take -ness or -th. | [CORE] |
| Bare noun forms | truth, error, lie | truth, error, lie | — | Independent lexical items not derived synchronically from adjectives. Highly frequent in the truth domain. | [CORE] |
