# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Chinese (zh)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| 真 (zhēn) | 假 (jiǎ) | zhēn vs. jiǎ | "true, real, genuine" vs. "false, fake, counterfeit" | This is the fundamental lexical opposition in the Chinese truth domain, contrasting genuine/authentic items and true statements with counterfeit/fake items and false statements. The opposition appears across multiple semantic domains: propositional truth (真的说法 "true statement" vs. 假话 "false statement"), material authenticity (真金 "real gold" vs. 假货 "fake goods"), and identity (真人 "real person" vs. 假装 "pretend"). | Lexical | [CORE] |
| 对 (duì) | 错 (cuò) | duì vs. cuò | "correct, right" vs. "wrong, mistaken, error" | This opposition evaluates correctness of judgments, answers, decisions, or actions rather than factual correspondence. It appears prominently in educational contexts (right/wrong answers), practical decision-making, and evaluations of whether actions were performed properly, with extensive productivity in resultative compounds (说对/说错 "say correctly/wrongly", 做对/做错 "do correctly/wrongly"). | Lexical | [CORE] |
| 实 (shí) | 虚 (xū) | shí vs. xū | "solid, real, actual" vs. "empty, void, false, unreal" | This opposition contrasts substance and actuality with emptiness and lack of substance. It appears in evaluations of whether things have real content versus mere appearance (华而不实 "showy but lacking substance", 徒有虚名 "have an undeserved reputation"), and in the fixed expression 弄虚作假 "practice fraud" which combines both terms to emphasize deceptive falsification. | Lexical | [CORE] |
| 真实 (zhēnshí) | 虚假 (xūjiǎ) | zhēnshí vs. xūjiǎ | "real, true, authentic" vs. "false, fake, fraudulent" | This compound-level opposition emphasizes both truthfulness and actuality (真实) versus deliberate falseness and deception (虚假). The contrast is stronger and more formal than simple 真 vs. 假, with 虚假 carrying implications of intentional deception or fraudulence beyond mere falsity. | Lexical | [CORE] |
| 客观 (kèguān) | 主观 (zhǔguān) | kèguān vs. zhǔguān | "objective, impartial" vs. "subjective, personal" | This opposition distinguishes perspectives, judgments, or claims based on independence from personal bias (objective) versus influence by personal viewpoint (subjective). It appears prominently in academic and analytical discourse to qualify epistemic status of claims, with productive derivations in both terms (客观性/主观性 "objectivity/subjectivity", 客观地/主观地 "objectively/subjectively"). | Lexical | [CORE] |
| 诚实 (chéngshí) | 欺骗 (qīpiàn) | chéngshí vs. qīpiàn | "honest, truthful" vs. "deceive, cheat" | This opposition contrasts honest character and truthful behavior with deliberate acts of deception. While 诚实 is an adjective describing character traits, 欺骗 is a verb describing deceptive actions, creating an asymmetric opposition between a state/quality and an action, though both relate to the moral dimension of truth-telling versus lying. | Lexical | [CORE] |
| 真话 (zhēnhuà) | 假话 (jiǎhuà) / 谎言 (huǎngyán) | zhēnhuà vs. jiǎhuà / huǎngyán | "truth, truthful words" vs. "lies, false words" | This opposition contrasts truthful speech with lies at the level of speech acts. The term 真话 opposes both 假话 (false words) and 谎言 (lies), with 谎言 carrying stronger implications of deliberate deception. Common in everyday discourse about honesty in communication (说真话 "tell the truth" vs. 说假话/说谎 "tell lies"). | Lexical | [CORE] |
| 符合 (fúhé) | 不符合 (bù fúhé) | fúhé vs. bù fúhé | "conform to, accord with" vs. "not conform to, contradict" | This is a morphological negation expressing correspondence versus non-correspondence between claims and reality. The opposition appears in formal contexts evaluating factual accuracy (符合事实 "conform to facts" vs. 不符合事实 "not conform to facts"), with the variant construction 与...相符/不符 providing an alternative structural frame. | Morphological | [CORE] |
| 名副其实 (míng fù qí shí) | 名不副实 (míng bù fù shí) | míng fù qí shí vs. míng bù fù shí | "worthy of the name, live up to reputation" vs. "unworthy of the name, not live up to reputation" | This fixed expression opposition contrasts cases where reality matches name/reputation with cases where it falls short. The negation is morphological (insertion of 不), creating a direct antonymic pair used to evaluate whether things live up to their designations or claims. | Morphological (within fixed expression) | [CORE] |
| 表里如一 (biǎo lǐ rú yī) | 表里不一 (biǎo lǐ bù yī) | biǎo lǐ rú yī vs. biǎo lǐ bù yī | "the same inside and out, consistent" vs. "inconsistent in word and deed" | This idiomatic opposition contrasts consistency between appearance and reality (如一 "like one, unified") with inconsistency (不一 "not one, divided"). It evaluates alignment between outward expression and inner reality, commonly used in character evaluation and moral judgment. | Morphological (within fixed expression) | [CORE] |
