| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| totoo | Totoo ba iyan? | Totoo ba iyan? | Is that true? | Very common interrogative construction for checking the truth of a statement, report, or claim. Natural in everyday conversation and also usable in more serious discussion. | [CORE] |
| totoo | Totoo iyan. | Totoo iyan. | That is true. | Basic predicative construction affirming truth or reality. It is one of the most ordinary ways to confirm a claim in Tagalog. | [CORE] |
| totoo | Sa totoo lang, hindi ako kumbinsido. | Sa totoo lang, hindi ako kumbinsido. | To tell the truth, I’m not convinced. | Fixed discourse-marking expression used to introduce a candid opinion, admission, or correction. Extremely common in speech and informal writing. | [CORE] |
| totoo | Sa katotohanan, mas mahirap ang nangyari kaysa sa inaakala nila. | Sa katotohanan, mas mahirap ang nangyari kaysa sa inaakala nila. | In fact, what happened was more difficult than they thought. | Formal to semi-formal discourse marker used to introduce clarification, correction, or emphasis. More formal than *sa totoo lang*. | [CORE] |
| totoo | Ang katotohanan ay mahalaga sa usaping ito. | Ang katotohanan ay mahalaga sa usaping ito. | The truth is important in this matter. | Common nominal construction referring to “the truth” as a definite issue or value. Frequent in legal, journalistic, moral, and formal discussion. | [CORE] |
| totoo | Buong katotohanan ang sinabi niya. | Buong katotohanan ang sinabi niya. | He told the whole truth. | Fixed emphatic construction stressing completeness of truth, not just truthfulness in part. Common in testimony, confession, and rhetorical assertion. | [CORE] |
| totoo | Katotohanan ng pangyayari ang hinahanap ng imbestigasyon. | Katotohanan ng pangyayari ang hinahanap ng imbestigasyon. | The investigation is seeking the truth of what happened. | Formal construction used in legal, investigative, and journalistic contexts. It focuses on establishing actual events rather than rumor or interpretation. | [CORE] |
| totoo | Katotohanan ng buhay na hindi laging madali ang pagbabago. | Katotohanan ng buhay na hindi laging madali ang pagbabago. | It is a truth of life that change is not always easy. | Common reflective construction used for general realities or hard facts about life. More literary or rhetorical than plain factual confirmation. | [CORE] |
| totoo | Sana magkatotoo ang hiling mo. | Sana magkatotoo ang hiling mo. | I hope your wish comes true. | Very common periphrastic construction for hopes, predictions, or fears becoming real. Although it contains a derived verb, the whole expression is a common multi-word construction in use. | [CORE] |
| totoo | Nagkatotoo ang kanyang hinala. | Nagkatotoo ang kanyang hinala. | His suspicion turned out to be true. | Common construction for expectations, suspicions, or predictions later being confirmed. Natural in both everyday and formal narrative. | [CORE] |
| totoo | Huwag mong totohanin ang biro. | Huwag mong totohanin ang biro. | Don’t take the joke seriously. | Common colloquial construction where the meaning shifts from factual truth to seriousness or earnestness. It is especially used in playful, confrontational, or cautionary interaction. | [CORE] |
| totoo | Totohanin mo na ito. | Totohanin mo na ito. | Take this seriously now. / Do this for real now. | Colloquial imperative construction marking a shift from play or hesitation to seriousness. It is natural but narrower in use than truth-evaluating constructions. | [CORE] |
| totoo | Sa totohanan, ayaw na niyang umatras. | Sa totohanan, ayaw na niyang umatras. | Seriously / For real, he no longer wants to back out. | Colloquial expression used to mark seriousness rather than factual truth. Less central and less broadly usable than *sa totoo lang*. | [MARGINAL] |
| katotohanan | Ang katotohanan ay lumabas din sa huli. | Ang katotohanan ay lumabas din sa huli. | The truth came out in the end. | Common formal and narrative construction with *ang katotohanan*. It is used when truth is treated as something eventually revealed or established. | [CORE] |
| katotohanan | Mga katotohanan ang inilatag sa ulat. | Mga katotohanan ang inilatag sa ulat. | Facts were laid out in the report. | Common plural nominal construction in expository and journalistic contexts. It refers to multiple facts or truths under discussion. | [CORE] |
| katotohanan | Sa katotohanan, wala pang pinal na pasya. | Sa katotohanan, wala pang pinal na pasya. | In fact, there is no final decision yet. | Fixed discourse expression introducing correction, clarification, or stronger assertion. It is especially natural in formal and semi-formal registers. | [CORE] |
| tama | Tama ang sagot mo. | Tama ang sagot mo. | Your answer is correct. | Very common predicative construction for evaluating answers, judgments, or statements as correct. It is one of the most ordinary correctness constructions in Tagalog. | [CORE] |
| tama | Hindi tama ang ginawa niya. | Hindi tama ang ginawa niya. | What he did was not right. | Common evaluative construction that can refer either to factual/procedural incorrectness or moral wrongness depending on context. Very frequent in everyday speech. | [CORE] |
| tama | Tama ba iyan? | Tama ba iyan? | Is that correct? | Natural interrogative construction for checking correctness. Broadly usable for answers, statements, procedures, and judgments. | [CORE] |
| wasto | Wasto ba ang sagot na ito? | Wasto ba ang sagot na ito? | Is this answer correct? | Common evaluative question in instructional and formal settings. More formal in tone than *Tama ba ito?* | [CORE] |
| wasto | Wasto ang paggamit ng terminong iyon. | Wasto ang paggamit ng terminong iyon. | The use of that term is correct. | Predicative construction used for correctness in language, procedure, and formal practice. It is especially natural in educational and editorial contexts. | [CORE] |
| wasto | Wastong gamit ng gamot ang ipinaliwanag ng nars. | Wastong gamit ng gamot ang ipinaliwanag ng nars. | The nurse explained the proper use of the medicine. | Fixed noun phrase common in education, manuals, and public guidance. It often concerns language, tools, medicine, or equipment. | [CORE] |
| wasto | Wastong baybay ang itinuro sa klase. | Wastong baybay ang itinuro sa klase. | Correct spelling was taught in class. | Common educational construction for orthographic correctness. Very natural in school and language-learning contexts. | [CORE] |
| wasto | Wastong gramatika ang kailangan sa pormal na sulatin. | Wastong gramatika ang kailangan sa pormal na sulatin. | Correct grammar is needed in formal writing. | Common in language teaching and editing. It emphasizes formal correctness of language use. | [CORE] |
| wasto | Wastong sagot ang hinahanap sa pagsusulit. | Wastong sagot ang hinahanap sa pagsusulit. | The correct answer is being sought in the test. | Common school and testing construction. Slightly more formal than *tamang sagot*. | [CORE] |
| wasto | Wastong proseso ang dapat sundin. | Wastong proseso ang dapat sundin. | The proper process must be followed. | Common in administration, law, governance, and technical instruction. It emphasizes procedural correctness rather than mere outcome. | [CORE] |
| wasto | Wastong pamamaraan ang mahalaga sa eksperimentong ito. | Wastong pamamaraan ang mahalaga sa eksperimentong ito. | The proper method is important in this experiment. | Common in education, science, health, and technical guidance. It refers to the correct way of doing something. | [CORE] |
| wasto | Wastong asal ang inaasahan sa loob ng silid-aralan. | Wastong asal ang inaasahan sa loob ng silid-aralan. | Proper behavior is expected inside the classroom. | Common moral and educational construction. This extends beyond factual correctness into conduct and social propriety. | [CORE] |
| wasto | Wastong pag-uugali ang itinuturo sa mga bata. | Wastong pag-uugali ang itinuturo sa mga bata. | Proper behavior is taught to children. | Common in school, parenting, and civic instruction. It is close in meaning to *wastong asal* but somewhat broader. | [CORE] |
| wasto | Wastong impormasyon ang kailangan ng publiko. | Wastong impormasyon ang kailangan ng publiko. | The public needs correct information. | Common in media, health campaigns, and public advisories. It refers to informational accuracy and reliability. | [CORE] |
| wasto | Wastong datos ang batayan ng pag-aaral. | Wastong datos ang batayan ng pag-aaral. | Accurate data are the basis of the study. | Common in research, administration, and technical reporting. It emphasizes data accuracy. | [CORE] |
| wasto | Wastong sukat ang kailangan sa paggawa nito. | Wastong sukat ang kailangan sa paggawa nito. | The correct measurement is needed to make this. | Common in tailoring, engineering, cooking, and manufacturing. It refers to exact or appropriate measurement. | [CORE] |
| wasto | Wastong panahon ang hinintay nila bago magsalita. | Wastong panahon ang hinintay nila bago magsalita. | They waited for the proper time before speaking. | Common in advice, planning, and rhetoric. It emphasizes appropriateness of timing. | [CORE] |
| wasto | Wastong hakbang ang kailangan sa ganitong sitwasyon. | Wastong hakbang ang kailangan sa ganitong sitwasyon. | The proper step is needed in this kind of situation. | Common in policy, procedure, and practical instruction. It refers to the right action to take. | [CORE] |
