# CLCA Protocol v3.4 — F2a Derivational Table
# Language: Indonesian (id)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| benar | membenarkan | membenarkan | meN- + benar + -kan | to confirm, to verify, to justify, to correct | Causative verb form. Used when someone confirms the truth of a statement, justifies an action, or corrects something to make it right. Functions across formal and informal registers. | [CORE] |
| benar | kebenaran | kebenaran | ke- + benar + -an | truth, correctness, the truth | Nominalization creating abstract noun for truth as concept or specific truths. Used in philosophical, religious, legal, and everyday contexts. | [CORE] |
| benar | sebenarnya | sebenarnya | se- + benar + -nya | actually, in fact, in truth, really | Adverbial form used to introduce what is actually the case, often contrasting with appearances or previous statements. Very frequent in everyday speech. | [CORE] |
| benar | benar-benar | benar-benar | benar + benar (reduplication) | really, truly, genuinely, very | Reduplication creating intensifier that emphasizes genuineness or degree. Can intensify both truth claims and unrelated adjectives. | [CORE] |
| benar | pembenaran | pembenaran | peN- + benar + -an | justification, vindication, confirmation | Nominalization of action/process. Refers to the act or process of justifying, confirming, or vindicating. Common in legal, moral, and argumentative contexts. | [CORE] |
| benar | dibenarkan | dibenarkan | di- + benar + -kan | to be confirmed, to be justified, to be allowed | Passive voice form indicating something is confirmed as true or permitted. Common in formal and administrative language. | [CORE] |
| benar | membenar | membenar | meN- + benar | to be correct, to be right | Intransitive verb form indicating being in a state of correctness. Less common than membenarkan; appears in regional or dialectal variation. | [MARGINAL] |
| benar | terbenar | terbenar | ter- + benar | most correct, truest; accidentally correct | Can function as superlative or indicate accidental correctness depending on context. Limited usage. | [MARGINAL] |
| benar | membenarkan diri | membenarkan diri | meN- + benar + -kan + diri (self) | to justify oneself, to vindicate oneself | Reflexive construction using causative verb with "diri" (self). Used when someone defends or justifies their own actions or position. | [CORE] |
| salah | kesalahan | kesalahan | ke- + salah + -an | mistake, error, fault, wrongdoing | Nominalization creating abstract noun for error or mistake. Used across all contexts from minor errors to serious moral transgressions. | [CORE] |
| salah | menyalahkan | menyalahkan | meN- + salah + -kan | to blame, to fault, to accuse | Causative verb form used when attributing fault or blame to someone. Common in interpersonal conflicts and legal contexts. | [CORE] |
| salah | tersalah | tersalah | ter- + salah | accidentally wrong, mistakenly | Indicates accidental or unintentional error using ter- prefix. Less common than kesalahan. | [MARGINAL] |
| salah | disalahkan | disalahkan | di- + salah + -kan | to be blamed, to be faulted | Passive voice form indicating someone receives blame. Common in discussions of responsibility and accountability. | [CORE] |
| salah | menyalahi | menyalahi | meN- + salah + -i | to violate, to transgress, to go against | Applicative/locative verb form used when someone violates rules, norms, or agreements. Common in legal and regulatory contexts. | [CORE] |
| salah | kesalahpahaman | kesalahpahaman | ke- + salah + paham (understand) + -an | misunderstanding, miscommunication | Compound nominalization combining "salah" with "paham" (understand). Very common in interpersonal and diplomatic contexts. | [CORE] |
| salah | salah-salah | salah-salah | salah + salah (reduplication) | if by any chance wrong, lest, in case of error | Reduplication expressing caution or warning about potential error. Common in conditional warnings. | [CORE] |
| salah | penyalahgunaan | penyalahgunaan | peN- + salah + guna (use) + -an | abuse, misuse | Complex nominalization of compound "salah guna" (misuse). Formal noun for abuse or misuse, especially of power, drugs, or resources. Common in legal and policy discourse. | [CORE] |
| betul | kebetul-betulan | kebetul-betulan | ke- + betul-betul (reduplication) + -an | for real, seriously, genuinely | Complex derivation with reduplication and affixation. Emphasizes genuineness or seriousness, often in contrast to joking or pretense. Colloquial register. | [CORE] |
| betul | membetulan | membetulan | meN- + betul + -an | to correct, to fix, to rectify | Causative verb form with -an suffix (variant of -kan). Used for correcting errors or fixing things. Regional variation exists. | [MARGINAL] |
| betul | betul-betul | betul-betul | betul + betul (reduplication) | really, truly, very | Reduplication creating intensifier parallel to "benar-benar". Common in colloquial speech. | [CORE] |
| betul | sebetulnya | sebetulnya | se- + betul + -nya | actually, in fact | Adverbial form parallel to "sebenarnya". Used to introduce actual state of affairs. Colloquial register. | [CORE] |
| bohong | kebohongan | kebohongan | ke- + bohong + -an | lie, falsehood, deception | Nominalization creating abstract noun for lies or deception. Used for both individual lies and general dishonesty. | [CORE] |
| bohong | membohongi | membohongi | meN- + bohong + -i | to lie to, to deceive | Applicative verb form indicating lying to someone. The -i suffix marks the target of deception. Very common in everyday speech. | [CORE] |
| bohong | pembohong | pembohong | peN- + bohong | liar, deceiver | Agentive nominalization creating noun for person who lies. Common in character descriptions and accusations. | [CORE] |
| bohong | dibohongi | dibohongi | di- + bohong + -i | to be lied to, to be deceived | Passive voice form indicating someone is the target of deception. Common in narratives of betrayal. | [CORE] |
| bohong | berbohong | berbohong | ber- + bohong | to lie, to tell lies | Intransitive verb form indicating the act of lying. Common alternative to using "bohong" as verb alone. | [CORE] |
| bohong | bohong-bohongan | bohong-bohongan | bohong + bohong (reduplication) + -an | fake, pretend, not serious | Reduplication with -an suffix indicating pretense or non-serious nature. Used for play-acting or non-genuine situations. | [CORE] |
| bohong | pembohongan | pembohongan | peN- + bohong + -an | deception, act of deceiving | Nominalization of action/process. Refers to the act or process of deceiving. More formal than "kebohongan". | [CORE] |
| jujur | kejujuran | kejujuran | ke- + jujur + -an | honesty, truthfulness, integrity | Nominalization creating abstract noun for the quality or virtue of honesty. Central term in moral and character evaluation. | [CORE] |
| jujur | berjujur | berjujur | ber- + jujur | to be honest, to act honestly | Intransitive verb form indicating the practice or state of being honest. Less common than using "jujur" as adjective alone. | [MARGINAL] |
| jujur | sejujurnya | sejujurnya | se- + jujur + -nya | honestly, to be honest, frankly | Adverbial form used to introduce honest statements, often admissions or frank opinions. Very common in conversational speech. | [CORE] |
| jujur | ketidakjujuran | ketidakjujuran | ke- + tidak (not) + jujur + -an | dishonesty, untruthfulness | Nominalization with negation incorporated. Formal term for dishonesty. Common in moral and legal discourse about character defects. | [CORE] |
| palsu | kepalsuan | kepalsuan | ke- + palsu + -an | falseness, fakeness, counterfeit nature | Nominalization creating abstract noun for the quality of being fake or counterfeit. Used for both objects and character traits. | [CORE] |
| palsu | memalsu | memalsu | meN- + palsu | to forge, to counterfeit, to fake | Verb form indicating the act of creating counterfeits or fakes. Common in legal contexts regarding forgery. | [CORE] |
| palsu | memalsukan | memalsukan | meN- + palsu + -kan | to falsify, to forge, to counterfeit | Causative verb form with similar meaning to "memalsu" but potentially emphasizing the transformation of something genuine into fake. Common in legal and forensic contexts. | [CORE] |
| palsu | pemalsu | pemalsu | peN- + palsu | forger, counterfeiter | Agentive nominalization creating noun for person who forges or counterfeits. Common in legal and criminal contexts. | [CORE] |
| palsu | pemalsuan | pemalsuan | peN- + palsu + -an | forgery, counterfeiting, falsification | Nominalization of action/process. Refers to the act or process of forging or counterfeiting. Legal and formal register. | [CORE] |
| palsu | dipalsu | dipalsu | di- + palsu | to be forged, to be counterfeited | Passive voice form indicating something is forged or counterfeited. Common in forensic and legal descriptions. | [CORE] |
| palsu | dipalsukan | dipalsukan | di- + palsu + -kan | to be falsified, to be forged | Passive voice of causative form. Similar to "dipalsu" with potential emphasis on transformation process. | [CORE] |
