| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| totta | Se on totta. | — | “That is true.” | This is the basic predicative construction for affirming the truth of a statement or proposition. It is extremely common in both speech and writing. | **[CORE]** |
| totta | On totta, että asia on vaikea. | — | “It is true that the matter is difficult.” | This clause-taking construction is common in formal and neutral registers. It presents a proposition as true in a somewhat more explicit or discursive way. | **[CORE]** |
| totta | pitää jotakin totena | — | “to consider something true” | This is a standard complement construction used for belief, acceptance, or doctrinal commitment. It is common in philosophy, religion, argumentation, and general prose. | **[CORE]** |
| totta | Totta kai. | — | “Of course.” | This is an extremely common conversational expression of ready agreement, confirmation, or polite assent. Its meaning often extends beyond literal truth evaluation. | **[CORE]** |
| totta | Totta puhuen, en tiedä. | — | “Truth be told, I don’t know.” | This discourse-marker construction introduces a candid or frank statement. It is common in both speech and writing. | **[CORE]** |
| totta | tulla todeksi | — | “to come true” | This is a very common resultative construction used especially with hopes, fears, dreams, and predictions. The form **todeksi** is the translative of the same lexical family. | **[CORE]** |
| totta | ei ole totta! | — | “That can’t be true!” / “No way!” | In conversation this often functions as an exclamation of disbelief or surprise, not only as a literal denial of truth. It is very common in spoken Finnish. | **[CORE]** |
| tosi | Onko se tosi? | — | “Is it true?” | This is a basic interrogative construction for checking whether something is true. It is common in everyday speech and writing. | **[CORE]** |
| tosi | Se ei ole tosi. | — | “That is not true.” | This is a straightforward predicative negation used for denying the truth of a claim. It is common in both colloquial and standard Finnish. | **[CORE]** |
| tosi | liian hyvää ollakseen totta | — | “too good to be true” | This is a well-established idiomatic construction used when something seems implausibly good or favorable. It is common in everyday and journalistic language. | **[CORE]** |
| tosi | Jos tämä on tosi, tilanne on vakava. | — | “If this is true, the situation is serious.” | This conditional truth-evaluation pattern is common in argumentation and reporting. It frames consequences relative to the truth of a proposition. | **[CORE]** |
| tosi | tarina perustuu tositapahtumiin | — | “the story is based on true events” | This is a common formula in media, publishing, and film contexts. It marks a relation between representation and real events. | **[CORE]** |
| totuus | puhua totta | — | “to tell the truth” | This is one of the most basic Finnish truth-related expressions. It is common in everyday speech, moral instruction, and legal or interpersonal contexts. | **[CORE]** |
| totuus | kertoa totuus | — | “to tell the truth” | This construction focuses on revealing or stating the truth as content. It is common in everyday, journalistic, and legal contexts. | **[CORE]** |
| totuus | paljastaa totuus | — | “to reveal the truth” | This is common when truth is presented as hidden, suppressed, or discovered. It appears in journalism, crime narratives, and public discourse. | **[CORE]** |
| totuus | etsiä totuutta | — | “to seek the truth” | This is a standard expression in philosophy, journalism, law, and reflective prose. It presents truth as the object of inquiry. | **[CORE]** |
| totuus | totuus tulee ilmi | — | “the truth comes out” | This is a very common construction for eventual disclosure of what is really the case. It is frequent in everyday speech and narrative contexts. | **[CORE]** |
| totuus | totuus sattuu | — | “the truth hurts” | This is a well-known idiomatic statement used when an unpleasant fact is painful to hear. It is common in speech and popular writing. | **[CORE]** |
| totuus | asian totuus | — | “the truth of the matter” | This noun phrase is common in careful written Finnish and formal discussion. It refers to the actual facts behind a matter. | **[CORE]** |
| todellinen | todellinen syy | — | “the real reason” | This is a very common attributive construction contrasting actual cause with apparent or stated cause. It is frequent in everyday and analytical language. | **[CORE]** |
| todellinen | todellinen ongelma | — | “the real problem” | This construction is common when distinguishing the central or actual issue from secondary ones. It is widely used in speech and writing. | **[CORE]** |
| todellinen | todellisessa elämässä | — | “in real life” | This is a very common adverbial expression contrasting reality with fiction, theory, games, or online settings. It is frequent in everyday speech and media discourse. | **[CORE]** |
| todellinen | ei ole todellinen vaara | — | “is not a real danger” | This predicative use is common in risk evaluation and public discussion. It distinguishes actual threat from imagined or exaggerated threat. | **[CORE]** |
| todellisuus | vastata todellisuutta | — | “to correspond to reality” | This is a standard evaluative construction for claims, images, descriptions, and models. It is common in journalism, criticism, and academic prose. | **[CORE]** |
| todellisuus | perustua todellisuuteen | — | “to be based on reality” | This construction is common for stories, beliefs, fears, and representations. It evaluates whether something has grounding in the real world. | **[CORE]** |
| todellisuus | irtautua todellisuudesta | — | “to lose touch with reality” / “to detach from reality” | This is a common figurative construction in psychology, criticism, and political commentary. It suggests disconnection from actual conditions. | **[CORE]** |
| todellisuus | todellisuudessa | — | “in reality” / “actually” | This inessive adverbial form is very common as a discourse-organizing expression contrasting appearance with fact. It is frequent in both speech and writing. | **[CORE]** |
| aito | aito nahka | — | “genuine leather” | This is a very common commercial and everyday expression distinguishing real leather from imitation materials. It is highly conventionalized. | **[CORE]** |
| aito | aito ilo | — | “genuine joy” | This construction is common for sincere emotion rather than performed or superficial feeling. It appears in everyday and literary language. | **[CORE]** |
