1. **αλήθεια**  
   **Transliteration:** alítheia  
   **Literal meaning / morphology:** ancient formation; conventionally understood as “truth”  
   **Typical English translations:** truth, reality

   **Usage:** Used for the truth of a statement, but also more broadly for what is real or genuine. It appears in everyday speech, journalism, religion, and philosophy, including contrasts such as *αλήθεια ή ψέμα* “truth or lie.”  
   **Epistemic status:** [CORE]

2. **αληθινός**  
   **Transliteration:** alithinós  
   **Literal meaning / morphology:** from *αλήθεια*; “true, real”  
   **Typical English translations:** true, real, genuine

   **Usage:** Commonly describes something as real or genuine rather than fake, as in a person’s feelings, a story, or an object. It is also used evaluatively for authenticity in personal and aesthetic contexts, e.g. *αληθινός φίλος* “a true friend.”  
   **Epistemic status:** [CORE]

3. **αληθής**  
   **Transliteration:** alithís  
   **Literal meaning / morphology:** learned/adjectival form related to *αλήθεια*  
   **Typical English translations:** true, truthful, correct

   **Usage:** More formal and learned than *αληθινός*, often used for propositions, claims, or statements. It is common in formal writing, logic, law, and academic contexts, especially in phrases like *αληθής δήλωση* or *αληθές/ψευδές*.  
   **Epistemic status:** [CORE]

4. **σωστός**  
   **Transliteration:** sostós  
   **Literal meaning / morphology:** “right, correct”  
   **Typical English translations:** correct, right, proper

   **Usage:** Very common in everyday Greek for correctness, appropriateness, or rightness. It can evaluate answers, behavior, decisions, procedures, and even moral conduct, depending on context.  
   **Epistemic status:** [CORE]

5. **ορθός**  
   **Transliteration:** orthós  
   **Literal meaning / morphology:** “straight, upright”  
   **Typical English translations:** correct, proper, right, orthodox

   **Usage:** A more formal or elevated term than *σωστός*, often used in technical, academic, legal, and institutional language. It can refer to correct reasoning, proper procedure, or right form, and survives in many fixed expressions.  
   **Epistemic status:** [CORE]

6. **ορθότητα**  
   **Transliteration:** orthótita  
   **Literal meaning / morphology:** from *ορθός* + abstract suffix; “correctness”  
   **Typical English translations:** correctness, accuracy, propriety

   **Usage:** Used for the correctness of language, reasoning, procedure, or representation. It is frequent in formal discussion, especially where one evaluates whether something conforms to accepted standards.  
   **Epistemic status:** [CORE]

7. **ακρίβεια**  
   **Transliteration:** akríveia  
   **Literal meaning / morphology:** “precision, exactness”  
   **Typical English translations:** accuracy, precision, exactness

   **Usage:** Refers to factual or technical accuracy, as in measurements, descriptions, reporting, or reproduction. It is common in scientific, journalistic, and practical contexts where exact correspondence matters.  
   **Epistemic status:** [CORE]

8. **ακριβής**  
   **Transliteration:** akrivís  
   **Literal meaning / morphology:** adjectival form of *ακρίβεια*  
   **Typical English translations:** accurate, precise, exact

   **Usage:** Describes statements, data, instruments, depictions, or descriptions that are exact or accurate. It is widely used in both technical and ordinary contexts, often where factual fidelity is being assessed.  
   **Epistemic status:** [CORE]

9. **έγκυρος**  
   **Transliteration:** énkyros  
   **Literal meaning / morphology:** “valid, authoritative”  
   **Typical English translations:** valid, authoritative, reliable

   **Usage:** Used for sources, information, documents, arguments, and institutions that are recognized as valid or trustworthy. In legal and administrative contexts it often means formally valid; in public discourse it can mean reputable or authoritative.  
   **Epistemic status:** [CORE]

10. **εγκυρότητα**  
    **Transliteration:** enkyrótita  
    **Literal meaning / morphology:** from *έγκυρος* + abstract suffix; “validity”  
    **Typical English translations:** validity, soundness, reliability

    **Usage:** Common in legal, academic, and technical language for the validity of a claim, method, document, or inference. It often concerns whether something holds up under recognized criteria rather than merely seeming plausible.  
    **Epistemic status:** [CORE]

11. **έγκριτος**  
    **Transliteration:** énkritos  
    **Literal meaning / morphology:** historically “approved/distinguished”  
    **Typical English translations:** reputable, distinguished, respected

    **Usage:** Typically used for persons, institutions, or publications regarded as reputable or authoritative. It does not directly mean “true,” but often supports evaluations of reliability or credibility in public and professional contexts.  
    **Epistemic status:** [CORE]

12. **αυθεντικός**  
    **Transliteration:** afthentikós  
    **Literal meaning / morphology:** from *αυθεντία/αυθεντικός* tradition; “authentic”  
    **Typical English translations:** authentic, genuine

    **Usage:** Used for objects, works, styles, experiences, and persons judged to be genuine rather than imitation or artificial. It is common in art, commerce, food, tourism, and personal evaluation.  
    **Epistemic status:** [CORE]

13. **αυθεντικότητα**  
    **Transliteration:** afthentikótita  
    **Literal meaning / morphology:** from *αυθεντικός* + abstract suffix; “authenticity”  
    **Typical English translations:** authenticity, genuineness

    **Usage:** Refers to the quality of being genuine, original, or true to itself. It appears in discussions of art, identity, heritage, and interpersonal sincerity.  
    **Epistemic status:** [CORE]

14. **γνήσιος**  
    **Transliteration:** gnísios  
    **Literal meaning / morphology:** “genuine, legitimate by origin”  
    **Typical English translations:** genuine, authentic, true

    **Usage:** Used for genuine products, documents, emotions, or character, often with emphasis on legitimacy or non-counterfeit status. It can also describe a person as sincere or a trait as truly representative.  
    **Epistemic status:** [CORE]

15. **γνησιότητα**  
    **Transliteration:** gnisiótita  
    **Literal meaning / morphology:** from *γνήσιος* + abstract suffix; “genuineness”  
    **Typical English translations:** genuineness, authenticity

    **Usage:** Used especially in formal or evaluative contexts concerning whether something is genuine, original, or not forged. It is common in discussions of documents, artifacts, signatures, and also personal sincerity.  
    **Epistemic status:** [CORE]

16. **πραγματικός**  
    **Transliteration:** pragmatikós  
    **Literal meaning / morphology:** from *πράγμα* “thing”; “real, actual”  
    **Typical English translations:** real, actual, genuine

    **Usage:** Used to distinguish what is real or actual from what is apparent, fictional, nominal, or merely alleged. It is common in everyday speech and also in philosophical or legal contrasts involving what something fundamentally is.  
    **Epistemic status:** [CORE]

17. **πραγματικότητα**  
    **Transliteration:** pragmatikótita  
    **Literal meaning / morphology:** from *πραγματικός* + abstract suffix; “reality”  
    **Typical English translations:** reality, actuality

    **Usage:** Refers to reality as opposed to appearance, illusion, or representation. It is frequent in ordinary speech and in philosophical, political, and media discourse when discussing what is actually the case.  
    **Epistemic status:** [CORE]

18. **ουσία**  
    **Transliteration:** ousía  
    **Literal meaning / morphology:** “essence, substance”  
    **Typical English translations:** essence, substance, core nature

    **Usage:** Used for what something fundamentally is, especially in philosophical, theological, and reflective contexts. In broader usage it can also mean the essential point or substance of a matter, as opposed to superficial form.  
    **Epistemic status:** [CORE]

19. **ουσιώδης**  
    **Transliteration:** ousiódis  
    **Literal meaning / morphology:** from *ουσία*; “essential”  
    **Typical English translations:** essential, substantial, fundamental

    **Usage:** Describes features, distinctions, or elements that belong to the essence or are fundamentally important. It is common in formal writing, law, philosophy, and serious public discourse.  
    **Epistemic status:** [CORE]

20. **πιστός**  
    **Transliteration:** pistós  
    **Literal meaning / morphology:** related to *πίστη* “faith, trust”  
