| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|---|---|---|---|---|
| 1. **Factual truth / saying what is actually the case** | These expressions are used when speakers talk about whether a statement, account, or report matches reality. In practice they appear in everyday honesty talk, journalism, argument, and testimony, and they often contrast with concealment, distortion, or fabrication. | **doğru** — doğru<br>**gerçek** — gerçek<br>**hakikat** — hakikat<br>**doğruluk** — doğruluk<br>**gerçeği söylemek** — gerçeği söylemek<br>**doğruyu söylemek** — doğruyu söylemek<br>**hakikati söylemek** — hakikati söylemek<br>**gerçeği yansıtmak** — gerçeği yansıtmak<br>**gerçeği çarpıtmak** — gerçeği çarpıtmak<br>**hakikati gizlemek** — hakikati gizlemek<br>**hakikatten uzak olmak** — hakikatten uzak olmak<br>**acı gerçek** — acı gerçek | **dürüst / dürüstlük** — often overlaps with moral honesty, not only factual truth<br>**gerçekten / hakikaten** — often work as discourse emphasis, not only truth marking<br>**doğru söz** — can also praise aptness or candor |  |
| 2. **Verification, confirmation, and checkability** | This cluster is used where truth is not just asserted but checked, confirmed, or left pending. It is especially common in journalism, administration, science, digital systems, and document handling. | **doğrulamak** — doğrulamak<br>**doğrulama** — doğrulama<br>**doğrulanmak** — doğrulanmak<br>**doğrulanabilir** — doğrulanabilir<br>**doğrulanabilirlik** — doğrulanabilirlik<br>**doğru çıkmak** — doğru çıkmak<br>**doğruluğunu kontrol etmek** — doğruluğunu kontrol etmek<br>**doğruluğu kanıtlanmak** — doğruluğu kanıtlanmak<br>**doğru kabul etmek** — doğru kabul etmek<br>**doğru bilmek** — doğru bilmek | **güvenilir / güvenilirlik** — often support verification contexts, but focus more on source quality than direct confirmation<br>**inandırıcı / inandırıcılık** — may appear nearby, but these concern persuasive force rather than verification itself |  |
| 3. **Reliability, credibility, and trust in sources or accounts** | These forms are used when evaluating whether a person, source, witness, institution, or body of information is dependable or believable. In actual usage, they often appear before full truth is established, especially in media, law, research, and public communication. | **güvenilir** — güvenilir<br>**güvenilirlik** — güvenilirlik<br>**güvenilir bir kaynak** — güvenilir bir kaynak<br>**güvenilir bilgi** — güvenilir bilgi<br>**güvenilir bir tanık** — güvenilir bir tanık<br>**inandırıcı** — inandırıcı<br>**inandırıcılık** — inandırıcılık<br>**inandırıcı olmak** — inandırıcı olmak<br>**inandırıcı gelmek** — inandırıcı gelmek<br>**inandırıcı bir açıklama** — inandırıcı bir açıklama<br>**inandırıcılık kazanmak** — inandırıcılık kazanmak<br>**inandırıcılığını yitirmek** — inandırıcılığını yitirmek | **gerçekçi** — can contribute to plausibility judgments, especially in art or planning<br>**doğruluk** — sometimes used for measured accuracy rather than source reliability<br>**dürüst** — may support credibility judgments through character evaluation |  |
| 4. **Validity, applicability, and accepted standing** | These expressions are used where something counts as acceptable, in force, applicable, or procedurally sound. They are especially common for documents, rules, arguments, reasons, tests, and official processes rather than for raw factual truth. | **geçerli** — geçerli<br>**geçerlilik** — geçerlilik<br>**geçersiz** — geçersiz<br>**geçersizlik** — geçersizlik<br>**geçerli olmak** — geçerli olmak<br>**geçerli saymak** — geçerli saymak<br>**geçerli bir neden** — geçerli bir neden<br>**geçerli bir belge** — geçerli bir belge<br>**geçerlilik süresi** — geçerlilik süresi<br>**geçerlilik kazanmak** — geçerlilik kazanmak | **doğru** — sometimes used where Turkish also allows **geçerli**, but the usage focus differs<br>**meşru / meşruiyet** — overlap in institutional acceptance, but usually with stronger legal-political or moral overtones |  |
| 5. **Legitimacy, justification, and being in the right** | This group covers expressions used for actions, claims, reactions, authorities, and positions judged justified, rightful, or acceptable. In practice these are common in disputes, politics, law-adjacent talk, and moral evaluation, not just in factual assessment. | **meşru** — meşru<br>**meşruiyet** — meşruiyet<br>**meşru görmek** — meşru görmek<br>**meşru saymak** — meşru saymak<br>**meşru müdafaa** — meşru müdafaa<br>**meşru zemin** — meşru zemin<br>**meşruiyet kazanmak** — meşruiyet kazanmak<br>**meşruiyetini yitirmek** — meşruiyetini yitirmek<br>**meşruiyet krizi** — meşruiyet krizi<br>**haklı** — haklı<br>**haklılık** — haklılık<br>**haklı olmak** — haklı olmak<br>**haklı bulmak** — haklı bulmak<br>**haklı çıkmak** — haklı çıkmak<br>**haksız / haksızlık** — haksız / haksızlık | **yerinde** — often overlaps when a reaction or decision is judged appropriate<br>**doğru karar** — can belong here when “right” means justified rather than factually correct<br>**hak** family items from root expansion are related, but many are more about rights/entitlements than truth-language proper |  |
| 6. **Appropriateness, aptness, and hitting the mark** | These items are used when a comment, diagnosis, decision, criticism, or reaction is judged fitting, well-judged, or on target. They do not primarily say that something is “true” in a strict factual sense; instead they often evaluate contextual fit or precision. | **yerinde** — yerinde<br>**yerindelik** — yerindelik<br>**isabetli** — isabetli<br>**isabetlilik** — isabetlilik<br>**isabetsiz** — isabetsiz<br>**isabetsizlik** — isabetsizlik<br>**yerinde bir karar** — yerinde bir karar<br>**yerinde bir tespit** — yerinde bir tespit<br>**yerinde olmak** — yerinde olmak<br>**isabetli bir tespit** — isabetli bir tespit<br>**isabetli bir karar** — isabetli bir karar<br>**isabetli olmak** — isabetli olmak<br>**doğru tespit** — doğru tespit | **doğru** — often overlaps strongly here<br>**haklı** — may overlap when a reaction is judged justified<br>**gerçekçi** — sometimes joins this group in planning and expectation contexts |  |
| 7. **Genuineness, authenticity, and not being fake** | These expressions are used for things presented as real, genuine, original, or not counterfeit. In practice they appear with products, materials, people, feelings, relationships, artistic works, and identity-related talk, often in contrast with **sahte**, **taklit**, or **uydurma**. | **hakiki** — hakiki<br>**sahici** — sahici<br>**gerçek** — gerçek<br>**özgün** — özgün<br>**özgünlük** — özgünlük<br>**sahicilik** — sahicilik<br>**hakiki deri** — hakiki deri<br>**hakiki dost** — hakiki dost<br>**sahici bir duygu** — sahici bir duygu<br>**sahici bir ilişki** — sahici bir ilişki<br>**özgün bir eser** — özgün bir eser<br>**özgün bir fikir** — özgün bir fikir<br>**özgün bir tasarım** — özgün bir tasarım<br>**gerçek ad / gerçek isim** — gerçek ad / gerçek isim<br>**gerçek olmak** — gerçek olmak | **asıl** — often points to the real/original version, but also to the main/essential one<br>**sadık / aslına uygun** — overlap when authenticity is judged by closeness to an original<br>**gerçekçi** — not about genuineness itself, but about realism or plausibility |  |
| 8. **Fake, fabricated, imitation, and baselessness** | This cluster gathers expressions used to reject something as counterfeit, invented, copied, or unsupported. In usage they are common for documents, money, products, stories, excuses, news, accusations, and online identities. | **sahte** — sahte<br>**sahtelik** — sahtelik<br>**taklit** — taklit<br>**taklitçi** — taklitçi<br>**taklitçilik** — taklitçilik<br>**uydurma** — uydurma<br>**uydurma haber** — uydurma haber<br>**uydurma bir hikâye** — uydurma bir hikâye<br>**uydurma gerekçe** — uydurma gerekçe<br>**sahte kimlik** — sahte kimlik<br>**sahte para** — sahte para<br>**sahte haber** — sahte haber<br>**sahte hesap** — sahte hesap<br>**sahte belge** — sahte belge<br>**taklit ürün** — taklit ürün<br>**taklit mal** — taklit mal<br>**asılsız** — asılsız<br>**asılsızlık** — asılsızlık<br>**gerçek dışı** — gerçek dışı | **taklit etmek** — can be neutral imitation in some contexts, not always counterfeit<br>**gerçek dışı** — may mean implausible or detached from reality, not always deliberate fabrication<br>**haksız** — negative evaluation, but not part of fake/fabricated usage |  |
| 9. **Faithfulness to an original, source, or essence** | These expressions are used when something is judged by how closely it follows an original text, model, source form, or core nature. They are especially common in translation, restoration, adaptation, representation, and also in personal or artistic self-description. | **sadık** — sadık<br>**sadakat** — sadakat<br>**aslına uygun** — aslına uygun<br>**aslına sadık** — aslına sadık<br>**sadık kalmak** — sadık kalmak<br>**aslına uygun olarak** — aslına uygun olarak<br>**aslına uygun biçimde restore etmek** — aslına uygun biçimde restore etmek<br>**aslına uygun bir kopya** — aslına uygun bir kopya<br>**kendine sadık** — kendine sadık<br>**özüne uygun** — özüne uygun<br>**özüne dönmek** — özüne dönmek | **özgün / özgünlük** — may contrast with imitation rather than with fidelity<br>**hakiki / sahici** — may overlap when “genuine” means true to what something really is<br>**asıl** — can point either to original source or to main/essential point |  |
