# F3 — Semantic Groups Table

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| Factual Correctness and Accuracy | This group includes expressions used to evaluate whether statements, claims, or representations correspond to facts or reality. These terms are used when assessing the accuracy of information, the correctness of descriptions, or the truthfulness of assertions. They appear in contexts where verification, confirmation, or factual evaluation is at stake. | òtítọ́ (truth, truthfulness), tọ́ (to be correct, to be true), irọ́ (lie, falsehood), purọ́ (to lie, to be false), ṣe déédé (to be exact, to be accurate), pé (to be complete, to be exact), ọ̀rọ̀ tọ́ (true word, correct statement), ìró tọ́ (true report, accurate news), ìwé tọ́ (correct writing, accurate document), kò tọ́ (to be incorrect, to be wrong), àṣìṣe (error, mistake), ṣìṣe (to err, to make a mistake) | nitootọ́ / ní tòótọ́ (truly, truthfully) — overlaps with emphasis/assertion group; ṣe bẹ́ẹ̀ (to be so, to be the case) — overlaps with confirmation group; dájú (to be certain) — overlaps with epistemic certainty group | òtítọ́ (truth) appears in factual correctness, moral character, speech acts, and proverbial groups; tọ́ (to be correct) spans factual correctness, appropriateness, and moral character groups; ṣe bẹ́ẹ̀ (to be so) functions in factual correctness and confirmation contexts; pé (to be complete, exact) overlaps between factual correctness and correspondence groups |
| Correspondence and Matching | This group contains expressions used to evaluate whether things align, match, or correspond to each other. These terms assess the degree of fit between different entities, statements, or expectations. They are commonly used in comparative contexts, verification processes, and when checking whether something meets a standard or matches a description. | bá mu (to correspond, to match), ìbámu (correspondence, agreement, conformity), jọ (to resemble, to be similar), ìjọ (resemblance, similarity), jọra (to resemble each other), ìjọra (mutual resemblance), bá mu pọ̀ (to correspond greatly), kò bá mu (to not correspond, to not match), àìbámu (non-correspondence, disagreement), ìbámu pẹ̀lú (correspondence with), bá mu gẹ́gẹ́ bí (to correspond according to), ìbámu pípé (complete correspondence) | ṣe déédé bẹ́ẹ̀ (to be exactly so) — overlaps with factual correctness group; pé (to be complete, exact) — overlaps with factual correctness group | pé (to be complete, exact) overlaps between factual correctness and correspondence groups |
| Genuineness and Authenticity | This group includes expressions that distinguish the real from the fake, the genuine from the imitation, or the authentic from the counterfeit. These terms are used when evaluating whether objects, persons, or situations are what they claim or appear to be, rather than being false representations or imitations. | gidi (genuine, real, authentic), ṣe gidi (to be genuine, to be real), wúrà gidi (genuine gold), ọmọ gidi (genuine person) | òtítọ́ (truth) — can be used for authenticity but primarily factual; tọ́ (to be correct) — can evaluate authenticity but broader usage | |
| Moral Character and Conduct | This group contains expressions used to evaluate the moral quality of persons, their behavior, and their character. These terms assess whether conduct is virtuous or vicious, whether character is good or bad, and whether actions are just or unjust. They appear in moral discourse, character evaluation, and ethical instruction. | ìwà rere (good character, good conduct), ìwà búburú (bad character, bad conduct), òdodo (justice, righteousness, fairness), ṣe òdodo (to do justice, to act righteously), ọmọ òtítọ́ (child of truth, truthful person), ẹni òtítọ́ (person of truth), tọ́ ọkàn / ọkàn tọ́ (straight heart, sincere), ọkàn méjì (two hearts, duplicitous), ọkàn kan (one heart, sincere), tọ́ lọ́nà (to be on the right path), ọ̀nà tọ́ (straight path, right way) | òtítọ́ (truth) — used in moral contexts but also factual; purọ́ (to lie) — moral evaluation but also factual incorrectness; apurọ́ (liar) — character designation but based on factual behavior | òtítọ́ (truth) appears in factual correctness, moral character, speech acts, and proverbial groups; tọ́ (to be correct) spans factual correctness, appropriateness, and moral character groups |
| Epistemic Certainty and Belief | This group includes expressions used to indicate the degree of confidence, certainty, or belief that a speaker has regarding claims or propositions. These terms assess whether something is known with certainty, believed with confidence, or held with doubt. They appear in contexts of knowledge claims, belief statements, and epistemic evaluation. | ìdájú (certainty, assurance, confidence), dájú (to be certain, to be sure), dájúdájú (very certain, absolutely sure), ìdánilójú (assurance, confirmation), ìgbàgbọ́ (belief, faith, trust), gbàgbọ́ (to believe, to trust), agbàgbọ́ (believer), gbígbàgbọ́ (believing, the act of believing), ìmọ̀ (knowledge), mọ̀ (to know, to be clear), àìmọ̀ (ignorance, lack of knowledge) | dájú pé ó tọ́ (certain that it is true) — overlaps with factual correctness; gbàgbọ́ pé ó tọ́ (believe that it is true) — overlaps with factual correctness; ṣe é mọ̀ (to be clear, to be known) — overlaps with clarity/understanding | dájú (to be certain) belongs to epistemic certainty but also relates to verification processes and factual correctness; dájú (to be certain) is result of verification rather than process |
| Appropriateness and Fittingness | This group contains expressions used to evaluate whether actions, statements, or situations are fitting, proper, or appropriate in their context. These terms assess contextual suitability rather than factual accuracy, focusing on what is proper, seemly, or right for particular circumstances or persons. They appear in normative discourse about proper conduct and situational appropriateness. | yẹ (to be fitting, to be appropriate, to be proper), ìyẹ (fittingness, appropriateness), àìyẹ (unfittingness, inappropriateness), tọ́ sí (to be right for, to be appropriate for), ó yẹ kó ṣe bẹ́ẹ̀ (it is fitting that it be so), ó yẹ ọ́ (it befits you), kò yẹ (it is not fitting) | tọ́ (to be correct) — can indicate appropriateness but broader; ṣe pàtàkì (to be important) — relevance overlaps with appropriateness | tọ́ (to be correct) spans factual correctness, appropriateness, and moral character groups |
| Possibility and Feasibility | This group includes expressions used to evaluate whether something can occur, be done, or be accomplished. These terms assess the possibility or impossibility of states of affairs, actions, or events. They appear in contexts of practical reasoning, planning, and modal evaluation. | ṣe é ṣe (to be possible, can be done), kò ṣe é ṣe (to be impossible, cannot be done), ó ṣe é ṣe kí ó tọ́ (it is possible that it is true) | None clearly identified — this group is relatively distinct | |
| Importance and Significance | This group contains expressions used to evaluate the weight, relevance, or significance of matters, statements, or situations. These terms assess whether something matters, is important, or deserves attention. They appear in contexts of prioritization, relevance evaluation, and significance assessment. | ṣe pàtàkì (to be important, to be significant), ó ṣe pàtàkì púpọ̀ (it is very important), kò ṣe pàtàkì (it is not important, it doesn't matter) | ṣe ìdí (to be the reason) — causally important but different sense | |
| Speech Acts and Assertion | This group includes expressions used when making statements, telling, speaking, or asserting things. These terms focus on the act of communication itself and the manner in which information is conveyed. They appear in contexts of testimony, declaration, and communicative acts. | sọ òtítọ́ (to tell the truth), pa irọ́ (to tell a lie), sọ irọ́ (to speak a lie), òtítọ́ ọ̀rọ̀ (true word, truthful statement), ọ̀rọ̀ tọ́ (true word, correct statement), ọ̀rọ̀ òfo (empty word, vain statement), nitootọ́ (truly, truthfully, in truth), sísọ (speaking, saying), ṣe ìjẹ́rìí (to bear witness, to testify) | òtítọ́ (truth) — the content rather than the act; irọ́ (lie) — the content rather than the act | òtítọ́ (truth) appears in factual correctness, moral character, speech acts, and proverbial groups |
