| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| **1. ATTRIBUTION** (*ni* + truth predicate) | *Hii ni kweli.* | Hii ni kweli. | "This is true." | Used across all registers — conversational, journalistic, legal, and religious. No agreement morphology on the predicate; *ni* is invariant regardless of subject noun class. No attested restriction on subject type. | [CORE] |
| **1. ATTRIBUTION** (*ni* + truth predicate) | *Habari hii ni kweli.* | Habari hii ni kweli. | "This news is true." | Extremely common across all registers — conversational, journalistic, legal. | [CORE] |
| **1. ATTRIBUTION** (*ni* + truth predicate) | *Habari hii ni sahihi.* | Habari hii ni sahihi. | "This news is accurate." | *Sahihi* in this slot is particularly associated with news, reports, and factual claims; more common in formal/written contexts (e.g., journalism, official documents). | [CORE] |
| **1. ATTRIBUTION** (*ni* + truth predicate) | *Hati hii ni halisi.* | Hati hii ni halisi. | "This document is genuine." | Frequent in commercial and legal contexts when authenticating documents or goods. | [CORE] |
| **1. ATTRIBUTION** (*ni* + truth predicate) | *Taarifa hii ni sahihi.* | Taarifa hii ni sahihi. | "This report is accurate." | Frequent in formal and institutional contexts (journalism, administration, academic writing). The frame is the default predication strategy for truth-domain adjectives. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** (*si* + truth predicate) | *Si kweli.* | Si kweli. | "It is not true. / That is false." | Primary propositional denial formula; subject-drop is common and natural in spoken Swahili. Used across all registers. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** (*si* + truth predicate) | *Hii si kweli.* | Hii si kweli. | "This is not true." | The canonical denial frame in everyday speech and public discourse. *Si kweli* functions as a fixed evaluative phrase and is highly frequent in spoken Swahili. Direct negation of attribution; fully parallel to *ni* construction. Occurs in all registers including informal speech. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** (*si* + truth predicate) | *Jibu lako si sahihi.* | Jibu lako si sahihi. | "Your answer is not correct." | Common in educational and evaluative contexts. The *ni/si* opposition is the primary binary truth-evaluation frame; no alternate negation strategy is attested for this construction. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** (*si* + truth predicate + *kabisa*) | *Si sahihi kabisa.* | Si sahihi kabisa. | "It is not correct at all. / This is completely inaccurate." | The postposed intensifier *kabisa* is itself a high-frequency item; the combination is idiomatic and attested in both spoken and written registers. No restriction on which truth-domain predicate *kabisa* can follow. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** (*si* + truth predicate, contrastive) | *Bidhaa hizi si halisi; ni bandia.* | Bidhaa hizi si halisi; ni bandia. | "These goods are not genuine; they are fake." | The contrastive pairing *halisi … bandia* is characteristic of commercial and legal discourse; the two-clause structure reinforces the denial with a positive counter-assertion. | [CORE] |
| **3a. ADNOMINAL MODIFICATION — bare adjective modifier** (Head + postposed adjective) | *jibu sahihi* | jibu sahihi | "correct answer" | Standard noun-phrase pattern; *sahihi* in this slot is extremely frequent in educational and administrative contexts. No agreement morphology required on the adjective. Post-nominal attributive position is the default for adjectives in Swahili; no pre-nominal variant is attested for this domain. | [CORE] |
| **3a. ADNOMINAL MODIFICATION — bare adjective modifier** (Head + postposed adjective) | *bidhaa bandia* | bidhaa bandia | "fake goods / counterfeit products" | *Bandia* in this slot is the standard term in commercial and legal contexts for counterfeit goods; the phrase is formulaic and widely attested. | [CORE] |
| **3a. ADNOMINAL MODIFICATION — bare adjective modifier** (Head + postposed adjective) | *dhahabu halisi* | dhahabu halisi | "genuine gold" | Frequent in commercial and everyday contexts. | [CORE] |
| **3b. ADNOMINAL MODIFICATION — genitive modifier** (Head + *wa/ya/la/za* + noun) | *Shahidi wa uongo* | Shahidi wa uongo | "A false witness." | Required when the modifier is a noun rather than a bare adjective-type item; linker (*wa/ya/la/za* etc.) must agree with the head noun's class. Frequent in legal and religious discourse. | [CORE] |
| **3b. ADNOMINAL MODIFICATION — genitive modifier** (Head + *wa* + noun) | *ukweli wa jambo* | ukweli wa jambo | "the truth of the matter" | The *X wa kweli* pattern is highly productive across registers. The associative particle varies by head noun class (*wa*, *ya*, *la*, etc.); *wa* predominates in this domain. | [CORE] |
| **4. BECOME / INCHOATIVE** (*-ika/-eka* stative-intransitive) | *Ukweli ulidhihirika.* | Ukweli ulidhihirika. | "The truth became evident. / The truth came to light." | *Kudhihirika* is fully lexicalized and common in narrative, journalistic, and formal registers. The *-ika* inchoative is the primary device for agentless "coming to light" readings. Restricted to bases that admit the *-ika/-eka* derivation; not attested for *kweli* or *halisi* directly. | [CORE] |
| **4. BECOME / INCHOATIVE** (*-ika/-eka* stative-intransitive) | *Ukweli ulidhihirika baada ya uchunguzi.* | Ukweli ulidhihirika baada ya uchunguzi. | "The truth became evident after the investigation." | Common in narrative and journalistic contexts where a state of affairs is presented as emerging without foregrounding an external agent. | [CORE] |
| **4. BECOME / INCHOATIVE** (*-ika/-eka* stative-intransitive) | *Alidanganyika kwa urahisi.* | Alidanganyika kwa urahisi. | "He/she was easily taken in / became deceived." | Presents the subject as entering a state of deception without specifying an agent; common in narrative contexts. Distinct from the passive (*kudanganywa*), which foregrounds an external agent. The *-ika* suffix implies susceptibility or unintended entry into a state. | [CORE] |
| **4. BECOME / INCHOATIVE** (*-ika/-eka* stative-intransitive) | *Alidanganyika.* | Alidanganyika. | "He/she was deceived / fell for it." | Used in conversational and narrative contexts. The *-ika* suffix here implies susceptibility or unintended entry into a state, distinct from the agentive passive *-wa*. | [CORE] |
| **4. BECOME / INCHOATIVE** (periphrastic *kuwa na* + nominal) | *Imani yake ilianza kuwa na uhakika.* | Imani yake ilianza kuwa na uhakika. | "His/her belief began to have certainty. / He/she became certain." | This periphrastic form is less frequent than the *-ika* construction and appears where no lexicalized *-ika* form exists; it is grammatically well-formed but stylistically marked relative to *nina/sina uhakika*. | [MARGINAL] |
| **5. CAUSATIVE** (*-sha/-isha* + truth-domain base) | *Tafadhali thibitisha taarifa hii.* | Tafadhali thibitisha taarifa hii. | "Please confirm / verify this report." | *Kuthibitisha* is the standard verb for confirmation and verification in formal, journalistic, and official contexts; the imperative with *tafadhali* is a common polite request formula. | [CORE] |
| **5. CAUSATIVE** (*-sha/-isha* + truth-domain base) | *Hakikisha mlango umefungwa.* | Hakikisha mlango umefungwa. | "Make sure the door is closed. / Ensure the door is closed." | *Kuhakikisha* is extremely frequent across all registers and has extended into procedural contexts not strictly related to truth evaluation; the imperative form is a common everyday directive. | [CORE] |
| **5. CAUSATIVE** (*-sha/-isha* + truth-domain base) | *Mwalimu alisahihisha makosa ya wanafunzi.* | Mwalimu alisahihisha makosa ya wanafunzi. | "The teacher corrected the students' errors." | Standard in educational and editorial contexts. The causative suffix is productive across truth-domain bases that admit an external agent. No causative from *kweli* itself is attested. | [CORE] |
| **5. CAUSATIVE** (*-sha/-isha* + truth-domain base) | *Serikali inahalalisha mkataba huo.* | Serikali inahalalisha mkataba huo. | "The government is legitimizing that contract." | Characteristic of legal and political discourse; the causative construction foregrounds the agent's authority to bring about a legitimate state. *Kuthibitisha* functions similarly in verification contexts. | [CORE] |
| **5. CAUSATIVE** (*-sha/-isha* + truth-domain base) | *Matendo yake yalidhihirisha tabia yake.* | Matendo yake yalidhihirisha tabia yake. | "His actions revealed / made evident his character." | Frequent in argumentative, journalistic, and literary registers. *Kudhihirisha* is well-established as a lexicalized causative; the pattern is productive for roots that permit verbal derivation. | [CORE] |
| **5. CAUSATIVE** (*-sha/-isha* + truth-domain base) | *Sahihisha makosa kabla ya kuwasilisha.* | Sahihisha makosa kabla ya kuwasilisha. | "Correct the errors before submitting." | Common in instructional, editorial, and academic contexts. *Kusahihisha* is a fully lexicalized form; *kweli* and *halisi* do not show well-attested causative forms in common usage. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** (*u-* prefix) | *ukweli* | ukweli | "truth, truthfulness" | *Ukweli* is the primary abstract nominal for truth across all registers; it is the expected form in philosophical, legal, journalistic, and everyday discourse. The *u-* nominalization pattern is fully productive in this domain. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** (*u-* prefix) | *Ukweli wa jambo hili haujulikani.* | Ukweli wa jambo hili haujulikani. | "The truth of this matter is not known." | Highly productive pattern; *u-* nominals are the standard form for abstract reference to truth-domain properties. Appear as heads of genitive phrases specifying domain. Common across all formal registers. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** (*u-* + causative stem + *-o*) | *uthibitisho* | uthibitisho | "confirmation, verification, proof" | *Uthibitisho* is standard in formal and official registers (legal, journalistic, administrative); the *-o* result nominal pattern is productive but more restricted to formal contexts than the simple *u-* nominals. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** (*u-* prefix) | *Uhalali wa uchaguzi unapingwa mahakamani.* | Uhalali wa uchaguzi unapingwa mahakamani. | "The legitimacy of the election is being contested in court." | Characteristic of legal and political discourse; *uhalali* is the standard nominal for legitimacy claims in formal contexts. The genitive phrase specifying domain (*wa uchaguzi*) is a regular and frequent extension. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** (*u-* prefix) | *Usahihi wa taarifa unahitajika.* | Usahihi wa taarifa unahitajika. | "The accuracy of the report is required." | Frequent in formal, institutional, and written registers. The *u-* prefix is the primary and highly productive nominalizing strategy for abstract properties across this domain. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** (*u-* prefix) | *Udanganyifu wake ulifunuliwa hadharani.* | Udanganyifu wake ulifunuliwa hadharani. | "His/her deception was exposed publicly." | Common in journalistic, legal, and moral discourse. The *-fuwa* suffix variant (*uthibitisho*, *udhihirisho*) nominalizes verbal actions and is attested alongside the basic *u-* form. | [CORE] |
| **7a. AGENTIVE NOMINALIZATION** (*m-/wa-* + stem) | *mdanganyifu / wadanganyifu* | mdanganyifu / wadanganyifu | "deceiver / deceivers, liar / liars" | *Mdanganyifu* is the standard agentive nominal for a habitual liar/deceiver; the *m-/wa-* class assignment is regular. Used in both spoken and written registers. | [CORE] |
| **7a. AGENTIVE NOMINALIZATION** (*m-/wa-* + causative stem + *-aji*) | *msahihishaji / wasahihishaji* | msahihishaji / wasahihishaji | "examiner-marker / examiner-markers, corrector / correctors" | This form is restricted to formal and educational registers; it is morphologically regular but less frequent than the simpler *m-/wa-* + stem pattern. The concept of "truth-teller" has no direct agentive nominal and requires a periphrastic form (*mtu anayesema ukweli*). | [MARGINAL] |
| **7a. AGENTIVE NOMINALIZATION** (*m-/wa-* + stem, lexicalized) | *Yeye ni muongo wa hali ya juu.* | Yeye ni muongo wa hali ya juu. | "He/she is a consummate liar." | Lexicalized agentive nominals (*muongo*, *mwaminifu*, *mdanganyifu*) are common and idiomatic. The *-fu* suffix marks habitual or characterological quality. Plural formed by *wa-* replacement (*waongo*, *waaminifu*). | [CORE] |
| **7a. AGENTIVE NOMINALIZATION** (*m-/wa-* + stem, lexicalized) | *Yeye ni mwongo — hasemi ukweli kamwe.* | Yeye ni mwongo — hasemi ukweli kamwe. | "He/she is a liar — never speaks the truth." | Common across all registers for characterizing persons. *Mwongo/waongo* is fully lexicalized. No fixed agentive nominal for "truth-teller" is attested; the concept is expressed periphrastically as *mtu wa kweli*. | [CORE] |
