| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| **benar** | **tidak benar** | — | “true/correct” vs “not true/incorrect” | This is a directly attested positive vs negated truth judgment. The context explicitly gives *benar* and *tidak benar* as a basic opposition for statements and reports. | morphological | [CORE] |
| **benar bahwa ...** | **tidak benar bahwa ...** | — | “it is true that ...” vs “it is not true that ...” | This is an explicitly attested propositional contrast used in clarification, rebuttal, and reporting. It opposes affirmation and denial of a full proposition. | constructional | [CORE] |
| **benar** | **kurang benar** | — | “true/correct” vs “not quite correct” | The context explicitly lists *kurang benar* as a softened negative counterpart to *benar*. The contrast is not absolute falsity, but full correctness versus partial or mitigated incorrectness. | morphological | [CORE] |
| **tepat** | **tidak tepat** | — | “accurate/precise/appropriate” vs “inaccurate/inappropriate” | This is a directly attested opposition in the *tepat* family. It contrasts successful exactness or fit with failure of accuracy or appropriateness. | morphological | [CORE] |
| **tepat** | **kurang tepat** | — | “accurate/appropriate” vs “not quite accurate/somewhat inappropriate” | The context repeatedly gives *kurang tepat* as a softened evaluative opposite to *tepat*. It marks partial mismatch rather than outright error. | morphological | [CORE] |
| **tepat sasaran** | **tidak tepat sasaran** | — | “well-targeted/on target” vs “mistargeted/not on target” | This is an explicitly attested opposition in policy and evaluation language. It contrasts an intervention reaching the intended target with missing that target. | morphological | [CORE] |
| **tepat sasaran** | **kurang tepat sasaran** | — | “well-targeted” vs “insufficiently targeted” | The context supports this as a milder contrast within the same expression family. It opposes successful targeting to only partial or inadequate targeting. | morphological | [CORE] |
| **tepat sasaran** | **belum tepat sasaran** | — | “well-targeted” vs “not yet well-targeted” | This contrast is explicitly attested in the construction inventory. It opposes achieved targeting with a still-unreached or pending state of proper targeting. | morphological | [CORE] |
| **sesuai dengan ...** | **tidak sesuai dengan ...** | — | “in accordance with ...” vs “not in accordance with ...” | This is a central attested conformity contrast. It opposes matching a rule, fact, or standard with failing to match it. | constructional | [CORE] |
| **sesuai** | **kurang sesuai** | — | “appropriate/in accordance” vs “not quite appropriate” | The context explicitly lists *kurang sesuai* as a softened negative counterpart. The contrast is between adequate conformity and only partial suitability. | morphological | [CORE] |
| **cocok dengan ...** | **tidak cocok dengan ...** | — | “matches/is compatible with ...” vs “does not match/is not compatible with ...” | This is a directly attested everyday fit/compatibility opposition. It contrasts successful matching or compatibility with mismatch. | constructional | [CORE] |
| **cocok** | **kurang cocok** | — | “suitable/fitting” vs “not quite suitable/not a very good fit” | The context explicitly supports this as a softened negative evaluation. It contrasts good fit with weaker or imperfect fit. | morphological | [CORE] |
| **asli** | **palsu** | — | “genuine/authentic” vs “fake/false/counterfeit” | This is one of the clearest lexical oppositions in the dataset. It contrasts genuineness with falsification in documents, goods, signatures, and identity. | lexical | [CORE] |
| **asli atau palsu** | **palsu atau asli** | — | “genuine or fake” vs “fake or genuine” | Both orderings are explicitly attested as a practical binary contrast. The opposition itself is lexical, while the two constructions show the same contrast framed in reverse order. | constructional | [CORE] |
| **dipastikan asli** | **diduga palsu** | — | “confirmed to be genuine” vs “suspected to be fake” | The context supports these as contrasting evaluative-passive outcomes in authenticity assessment. They oppose confirmed genuineness and suspected falsity, though with different evidential strength. | constructional | [CORE] |
| **dipastikan asli** | **terbukti palsu** | — | “confirmed to be genuine” vs “proven to be fake” | This is an attested contrast between two opposed authenticity outcomes under evidential evaluation. One yields confirmed authenticity, the other established falsity. | constructional | [CORE] |
| **sah** | **tidak sah** | — | “valid/legitimate” vs “invalid/illegitimate” | This is a central validity opposition in legal, administrative, and religious contexts. It contrasts recognized validity with lack of valid standing. | morphological | [CORE] |
| **absah** | **tidak absah** | — | “valid/legitimate” vs “invalid/not legitimate” | The context explicitly gives this more formal validity contrast. It parallels *sah ~ tidak sah* but in a more technical register. | morphological | [CORE] |
| **valid** | **tidak valid** | — | “valid” vs “invalid/not valid” | This is a directly attested formal and technical opposition. It contrasts acceptability under relevant standards with failure to meet those standards. | morphological | [CORE] |
| **valid** | **belum valid** | — | “valid” vs “not yet valid” | The context explicitly lists *belum valid* for pending or incomplete validation. This contrasts achieved validity with a provisional, not-yet-validated status. | morphological | [CORE] |
| **sah secara hukum** | **tidak sah secara hukum** | — | “legally valid” vs “legally invalid” | This is an explicitly attested legal constructional opposition. It contrasts positive and negative legal standing under law. | constructional | [CORE] |
| **sah menurut hukum** | **sah menurut agama** | — | “valid according to law” vs “valid according to religion” | The context explicitly notes these as distinct normative frames of validity. The contrast is not validity vs invalidity, but legal validity versus religious validity as different standards. | constructional | [CORE] |
| **akurat** | **tidak akurat** | — | “accurate” vs “inaccurate” | This is a directly attested opposition for information, reporting, and measurement. It contrasts factual precision with failure to match facts. | morphological | [CORE] |
| **akurat** | **kurang akurat** | — | “accurate” vs “less accurate/not quite accurate” | The context explicitly supports this as a softened negative counterpart. It contrasts full accuracy with partial or limited accuracy. | morphological | [CORE] |
| **andal** | **tidak andal** | — | “reliable” vs “unreliable” | This is a directly attested opposition in evaluating systems, methods, sources, or persons. It contrasts dependability with lack of dependability. | morphological | [CORE] |
| **andal** | **kurang andal** | — | “reliable” vs “less reliable” | The context explicitly gives this as a softened reliability contrast. It opposes strong dependability to weaker or inconsistent dependability. | morphological | [CORE] |
| **mirip** | **tidak mirip** | — | “similar/resembling” vs “not similar/not resembling” | This is an attested resemblance contrast in identification and comparison. It opposes perceived similarity with absence of resemblance. | morphological | [CORE] |
| **patut** | **tidak patut** | — | “proper/fitting” vs “improper/inappropriate” | This is a directly attested moral-social evaluative opposition. It contrasts conduct or judgment that fits norms with conduct or judgment that violates them. | morphological | [CORE] |
| **patut** | **kurang patut** | — | “proper/fitting” vs “not quite proper” | The context explicitly supports this as a softened negative evaluation. It contrasts full propriety with a milder sense of inappropriateness. | morphological | [CORE] |
| **dianggap valid** | **tidak valid** | — | “considered valid” vs “invalid/not valid” | The context supports both forms, though one is evidential/evaluative and the other direct negation. Together they contrast institutional acceptance of validity with explicit invalidity. | constructional | [CORE] |
| **diduga palsu** | **terbukti palsu** | — | “suspected to be fake” vs “proven to be fake” | This is an attested evidential contrast within the same negative authenticity outcome. It opposes provisional suspicion and established proof. | constructional | [CORE] |
| **diduga palsu** | **dipastikan asli** | — | “suspected to be fake” vs “confirmed to be genuine” | The context supports both constructions as opposite evaluative outcomes in authenticity checking. They contrast suspicion of falsity with confirmation of genuineness. | constructional | [CORE] |
