| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| totta | — | ‘true’; related to **tosi** | true, correct, right | **Totta** is a very common predicate adjective and adverbial response in evaluating whether a statement matches reality. It is used in everyday speech, argumentation, and formal contexts, as in *Se on totta* ‘That is true’ or *Totta kai* ‘of course’. | [CORE] |
| tosi | — | ‘true, real’ | true, real, genuine | **Tosi** is common in both colloquial and standard Finnish, though in colloquial use it also functions as an intensifier. In evaluative contexts it can refer to truth, authenticity, or realness, as in *tosi tarina* ‘a true story’ or *onko tämä tosi?* ‘is this true?’. | [CORE] |
| totuus | — | ‘truth’; from **tosi/totta** + nominal suffix **-uus** | truth | **Totuus** is the standard noun for ‘truth’ in ordinary, philosophical, moral, and legal discussion. It is used for both abstract truth and the truth of a matter, as in *puhua totuutta* ‘tell the truth’ and *asian totuus* ‘the truth of the matter’. | [CORE] |
| todellinen | — | ‘real, actual’; from **tode-** / **tosi** family + adjectival suffix **-llinen** | real, actual, genuine | **Todellinen** is used when distinguishing what is actual or genuine from what is apparent, fictional, or merely supposed. It appears in everyday, philosophical, and legal language, for example in *todellinen syy* ‘the real reason’ or *todellinen omistaja* ‘beneficial/actual owner’. | [CORE] |
| todellisuus | — | ‘reality’; from **todellinen** + **-uus** | reality | **Todellisuus** refers to reality as opposed to illusion, appearance, or representation. It is frequent in general language and in philosophical or critical discussion, especially when evaluating whether something corresponds to the real world. | [CORE] |
| aito | — | ‘genuine, authentic’ | genuine, authentic, real | **Aito** is widely used for objects, feelings, style, and persons when evaluating genuineness rather than falseness or imitation. Typical uses include *aito nahka* ‘genuine leather’ and *aito ilo* ‘genuine joy’. | [CORE] |
| aidosti | — | ‘genuinely, authentically’; **aito** + adverbial **-sti** | genuinely, authentically, truly | **Aidosti** evaluates the manner or sincerity of an action, feeling, or representation. It is common in speech and writing, for example in *aidosti kiinnostunut* ‘genuinely interested’. | [CORE] |
| autenttinen | — | loanword ‘authentic’ | authentic | **Autenttinen** is used especially in cultural, aesthetic, academic, and commercial contexts for authenticity of experience, style, document, or object. Compared with **aito**, it is somewhat more formal or specialized in tone. | [CORE] |
| väärennös | — | ‘forgery, fake’; from **väärentää** ‘to forge/falsify’ + noun suffix **-nös/-nnös** | forgery, counterfeit, fake | **Väärennös** is used for forged documents, artworks, signatures, money, and similar items whose genuineness is denied. It is common in legal, journalistic, and everyday contexts involving authenticity and deception. | [CORE] |
| väärä | — | ‘wrong, false’ | wrong, false, incorrect | **Väärä** is a basic adjective for factual incorrectness, moral wrongness, or mismatch with what is proper or intended. It is highly frequent in expressions like *väärä tieto* ‘false information’, *väärä vastaus* ‘wrong answer’, and *väärä teko* ‘wrong act’. | [CORE] |
| virheellinen | — | ‘erroneous’; from **virhe** ‘error’ + **-ellinen** | erroneous, incorrect, faulty | **Virheellinen** is common in formal and semi-formal contexts for statements, data, reasoning, procedures, and representations that contain error. It is especially typical in administrative, technical, and academic language. | [CORE] |
| oikea | — | ‘right, correct, proper’ | right, correct, proper, genuine | **Oikea** is a very broad and frequent adjective used for correctness, appropriateness, legitimacy, and sometimes genuineness. It appears in factual, moral, practical, and legal evaluations, as in *oikea vastaus* ‘correct answer’ and *oikea menettely* ‘proper procedure’. | [CORE] |
| oikein | — | adverb from **oikea** | correctly, properly, right | **Oikein** is used to evaluate whether something is done or understood correctly. It is common in instruction, assessment, and moral or practical judgment, for example *tehdä oikein* ‘do the right thing / do correctly’. | [CORE] |
| oikeus | — | ‘rightness, justice, right’; from **oikea** + **-us** | justice, right, legality, entitlement | **Oikeus** is a central noun in legal and moral contexts, covering justice, rights, and what is rightful. Depending on context it can refer to normative rightness, legal entitlement, or the judicial sphere. | [CORE] |
| oikeudenmukainen | — | ‘justice-minded’; **oikeuden** ‘of justice’ + **mukainen** ‘in accordance with’ | just, fair | **Oikeudenmukainen** is used for persons, decisions, laws, and treatment judged to accord with justice or fairness. It is common in moral, political, educational, and legal discussion. | [CORE] |
| laillinen | — | ‘legal, lawful’; from **laki** ‘law’ + **-llinen** | legal, lawful | **Laillinen** evaluates conduct, status, or procedure in relation to the law. It is standard in legal and administrative language and also common in public discussion, as in *laillinen oikeus* ‘legal right’ or *laillinen menettely* ‘lawful procedure’. | [CORE] |
| lainmukainen | — | ‘in accordance with law’; **lain** ‘of the law’ + **mukainen** ‘according to’ | lawful, in accordance with the law, legal | **Lainmukainen** is a formal adjective used especially for actions, decisions, and procedures that conform to legal rules. It is common in official and juridical texts, often with a narrower compliance sense than everyday **laillinen**. | [CORE] |
| epäaito | — | ‘not genuine’; **epä-** ‘un-, non-’ + **aito** | inauthentic, fake, ungenuine | **Epäaito** is used for things, expressions, or performances judged not to be genuine or sincere. It occurs in criticism, psychology, and everyday evaluation, though less frequently than **aito**. | [CORE] |
| epätosi | — | ‘untrue’; **epä-** ‘un-, non-’ + **tosi** | untrue, false | **Epätosi** is the standard opposite of **tosi** in logic, argumentation, and general statement evaluation. It is common in formal and semi-formal contexts, such as *väite on epätosi* ‘the claim is false’. | [CORE] |
| paikkansapitävä | — | ‘holding its place’; from expression **pitää paikkansa** ‘to be true, to hold’ | true, accurate, valid | **Paikkansapitävä** is used especially of information, claims, reports, and descriptions that are factually accurate. It is common in journalism, administration, and careful written Finnish. | [CORE] |
| pitää paikkansa | — | ‘to hold its place’ | be true, hold true, be correct | This fixed expression is a very common way to say that a statement or report is true or accurate. It is used in both speech and writing, often in forms like *Se pitää paikkansa* ‘That is true / That checks out’. | [CORE] |
| luotettava | — | ‘trustable’; from **luottaa** ‘to trust’ + **-tava** | reliable, trustworthy | **Luotettava** is used for persons, sources, methods, machines, and information judged dependable. It is central when evaluating reliability rather than truth alone, and is common in everyday, technical, and institutional contexts. | [CORE] |
| luotettavuus | — | ‘reliability, trustworthiness’; from **luotettava** + **-uus** | reliability, trustworthiness | **Luotettavuus** is the standard noun for reliability in relation to testimony, systems, measurements, and persons. It is frequent in academic, technical, media, and administrative evaluation. | [CORE] |
| uskottava | — | ‘believable’; from **uskoa** ‘to believe’ + **-ttava** | believable, credible, plausible | **Uskottava** evaluates whether a claim, explanation, performance, or person appears credible. It does not necessarily imply truth, but rather persuasive or plausible appearance, and is common in both everyday and critical discourse. | [CORE] |
| uskottavuus | — | ‘credibility’; from **uskottava** + **-uus** | credibility | **Uskottavuus** is used for the credibility of a speaker, institution, narrative, or account. It is common in politics, media analysis, law, and rhetoric. | [CORE] |
| alkuperäinen | — | ‘original’; from **alku** ‘beginning, origin’ + **perä** ‘source, basis’ + adjectival **-inen** | original, authentic | **Alkuperäinen** is used for original documents, versions, works, and objects as opposed to copies or later modifications. It is common in legal, archival, artistic, and everyday contexts involving provenance and authenticity. | [CORE] |
