# G5 — Cross-Language Construction Comparison

## 1. Main Recurring Constructional Functions

Working from the F4 tables across all eight languages, the following constructional functions recur with sufficient cross-language evidence to warrant comparison. These are identified from the data, not imposed from outside.

**A. Attributing a truth-domain property to a subject** — stating that something is true, false, correct, genuine, valid, etc.

**B. Negating a truth-domain attribution** — stating that something is not true, not correct, not genuine, etc.

**C. Modifying a noun with a truth-domain adjective** — using truth-domain terms as prenominal or postnominal modifiers.

**D. Expressing change into a truth-domain state (inchoative)** — stating that something becomes true, becomes correct, turns out to be genuine, etc.

**E. Causing a truth-domain state (causative)** — stating that an agent makes something true, verifies it, corrects it, authenticates it, or makes it false/invalid.

**F. Deriving abstract nouns from truth-domain bases** — forming nouns that refer to the quality or state itself (truthfulness, correctness, reliability, etc.).

**G. Deriving agent nouns from truth-domain bases** — forming nouns that refer to persons characterized by truth-domain properties (liar, verifier, honest person, etc.).

**H. Forming manner adverbials from truth-domain terms** — expressing that an action is done truthfully, honestly, correctly, accurately, etc.

**I. Introducing propositional complements with truth-domain predicates** — constructions of the form "it is true that…," "it is certain that…," "it is evident that…"

**J. Forming questions about truth-domain properties** — asking whether something is true, correct, genuine, etc.

**K. Expressing degree or intensity of truth-domain properties** — constructions that intensify, grade, or compare truth-domain properties.

**L. Expressing comparison of truth-domain properties** — stating that one thing is more true/accurate/reliable than another.

**M. Marking the source or basis of a truth claim (evidential)** — indicating whether a claim is based on direct observation, hearsay, inference, etc.

**N. Expressing verbal actions related to truth (truth-telling, lying, verifying, concealing)** — constructions where truth-domain nouns appear as objects of speech, cognition, or action verbs.

**O. Discourse-marking uses of truth vocabulary** — grammaticalized expressions that frame utterances as honest, frank, or corrective.

**P. Expressing stability or continuation of a truth-domain state** — stating that something remains true, stays correct, continues to be valid.

**Q. Expressing reciprocal or mutual truth-related action** — stating that parties are honest with each other, argue with each other, etc.

---

## 2. Comparison Table

| Constructional Function | Common Realization Patterns | Languages | Notes on Variation, Restrictions, or Gaps |
|---|---|---|---|
| **A. Attribution** | Copula + truth-domain predicate (nominal or adjectival) | zh, he, sa, el, en, tl, sw, qu | **Widely attested — all 8 languages.** Major variation in copula behavior: zh uses 是…的 (emphatic) or bare adjective predicate (informal); he uses zero copula in present tense (default), overt copula only in past/future or for emphasis; sa uses zero copula in present tense (standard); el uses είναι (obligatory); en uses "be" (obligatory); tl uses predicate-initial order with no copula morpheme, topic marker ang on subject; sw uses invariant ni (affirmative) or si (negative) without agreement; qu uses zero copula with evidential suffix on predicate (-mi, -si, -cha obligatory). The zero-copula pattern (he, sa, tl, qu) contrasts with obligatory copula (el, en). Swahili's invariant copula (no agreement) contrasts with Greek's agreeing copula. Quechua's obligatory evidential suffix on the predicate is unique. |
| **A. Attribution (demonstrative subject)** | Demonstrative pronoun + truth-domain predicate | zh, he, el, en, tl, sw, qu | **Widely attested — 7 of 8 languages.** Demonstrative subjects (this is true, that's a lie, ze nakhon, αυτό είναι αλήθεια, kayqa chiqaqmi) are the most frequent pattern for evaluating propositions in conversation across languages. Hebrew F4 notes demonstrative subjects are "particularly frequent in evaluative contexts." Greek F4 notes this is "the most natural way to evaluate propositions in conversation." Sanskrit shows less documentation of this specific pattern. |
| **A. Attribution (copula + nominal predicate)** | Subject + copula + truth-domain noun | zh, he, el, en, tl, sw, qu | **Widely attested — 7 of 8 languages.** Nominal predicates (it's a lie, ze sheker, αυτό είναι ψέμα, ni uongo) are used alongside adjectival predicates. In Chinese, 是…的 frame is standard for nominal predicates. In Swahili, ni uongo uses the same invariant copula as adjectival predicates. In Quechua, nominal predicates also take evidential suffixes. |
| **B. Negative attribution** | Negator + copula + truth-domain predicate | zh, he, sa, el, en, tl, sw, qu | **Widely attested — all 8 languages.** Major variation in negation strategy: zh uses 不是 (not-be) or direct 不 before adjective; he uses lo (colloquial) or ein/eino (formal) before predicate; sa uses na before predicate; el uses δεν before copula; en uses "not" after copula; tl uses hindi or di- before predicate; sw uses si (negative copula replacing ni); qu uses mana before predicate. Swahili's strategy of replacing the affirmative copula ni with the negative copula si is typologically distinctive. Hebrew has a formal/colloquial split (lo vs. ein/eino). Sanskrit's na is the standard negator. |
| **B. Negative attribution (morphological negation)** | Negative prefix on truth-domain adjective | zh, he, sa, el, en, sw | **Moderately attested — 6 of 8 languages.** zh: 不真实, 不可靠; he: bilti amin (lexicalized prefix negation); sa: a-satya, a-dharma, a-pramāṇa (most systematic, single prefix a-); el: α-ναληθής, ά-κυρος; en: un-true, in-correct, dis-honest, il-legitimate; sw: (less productive as prefix; si copula replacement is primary). Tagalog and Quechua use analytic negation (hindi, mana) rather than morphological prefixes. Sanskrit's a- prefix is the most systematic, applying uniformly across the domain. English shows the most varied prefix inventory (un-, in-, dis-, il-) with distribution conditioned by etymology. |
| **C. Adnominal modification** | Truth-domain adjective + noun (prenominal or postnominal) | zh, he, sa, el, en, tl, sw, qu | **Widely attested — all 8 languages.** Word order varies: zh prenominal with 的 linker (真实的情况); he postnominal N-Adj order (sipur amiti); sa prenominal or postnominal (both orders acceptable); el postnominal N-Adj (standard); en prenominal (standard); tl prenominal with -ng/-na linker (tunay na kaibigan, tamang sagot); sw postnominal N-Adj (standard for Bantu adjectives; Arabic loans like sahihi follow noun without agreement); qu prenominal (chiqaq simi, allin runa). Agreement requirements differ: he adjectives agree in gender/number; el adjectives agree in gender/number/case; en adjectives do not agree; tl uses linker -ng/-na; sw Bantu adjectives agree in noun class but Arabic loans do not; qu adjectives do not agree. |
| **C. Adnominal modification (construct state / associative)** | Noun + associative marker + truth-domain noun | he, sa, sw, tl | **Moderately attested — 4 of 8 languages.** he: ed sheker (witness of falsehood), amat midah (measure of truth); sa: satya-vākya (true statement, compound); sw: rafiki wa kweli (friend of truth), habari za uongo (news of falsehood), haki za binadamu (human rights); tl: (less common; linker construction used instead). Swahili's -a associative marker is highly productive across noun classes. Hebrew construct state formations are lexicalized fixed compounds. |
| **D. Inchoative (become true/correct/genuine)** | Change-of-state verb + truth-domain predicate | zh, he, sa, el, en, tl, sw, qu | **Widely attested — all 8 languages, but with significant restrictions.** zh: 变成真的, 变得可靠; he: hitgalah (be revealed), hitbarar (become clear) — revelation verbs preferred over direct "become"; sa: satyaṃ bhavati (become true, √bhū); el: γίνεται σωστό (becomes correct) — unnatural with ψέμα (lie); en: become true, turn out to be true, prove true; tl: magkatotoo (mag-ka- inchoative: come true); sw: kuwa kweli (become true); qu: chiqaqyay (-ya- inchoative: become true), allinyay (become good). **Key restriction documented in multiple languages:** inchoative constructions are more natural for positive truth-domain states (become true, become correct) than for negative ones (become false, become wrong). Greek F6 explicitly notes γίνομαι is unnatural with ψέμα. Quechua F6 notes no *llullayay (become false) exists. Hebrew F6 notes "the thing became true" constructions are marginal; revelation verbs are preferred. |
| **D. Inchoative (specialized: come true for predictions/wishes)** | Specialized inchoative restricted to predictions, wishes, dreams | zh, en, tl | **Weakly attested as a distinct specialized construction — 3 languages.** zh: 梦想成真 (dream come true); en: "come true" (restricted to predictions, wishes, dreams — not productive with other subjects); tl: magkatotoo (come true, used for predictions and dreams). English F4 explicitly notes "come true" is "not productive beyond these contexts." This is a lexicalized or semi-lexicalized construction in these languages. |
