| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|---|---|---|---|---|---|
| chiqaq | chiqaq | ‘true, real, genuine’ | true; real; genuine; correct | A common evaluative adjective for statements, reports, and also for things judged to be genuine rather than fake or merely apparent. It is also used in moral or emphatic contexts to mean ‘truly’ or ‘really’ when stressing sincerity or actuality. | [CORE] |
| chiqap | chiqap | adverbial/derived form related to *chiqaq* | truly; really; in truth | Used adverbially to reinforce that something is actually the case or that a statement is not deceptive. It commonly appears in discourse where a speaker insists on the truth or seriousness of what is being said. | [CORE] |
| chiqaq kay | chiqaq kay | ‘true being’ / ‘real being’ (*chiqaq* ‘true, real’ + *kay* ‘being, existence; to be’) | truth; reality; true nature | This fixed combination is used in reflective, philosophical, or elevated discourse for truth or reality as such, and also for the real nature of something. It can be used when contrasting appearance with what something fundamentally is. | [MARGINAL] |
| chiqan | chiqan | ‘different, distinct, separate’ | different; distinct; other | Although not itself ‘true’, it is relevant in evaluations of resemblance and identity, especially when saying that something is not the same as what it claims or seems to be. It is used for distinguishing one thing, person, or account from another. | [CORE] |
| pantay | pantay | ‘error, mistake’; verbal base ‘to err’ | error; mistake; to be mistaken | A basic term for factual or practical error, used for wrong statements, wrong judgments, and mistaken actions. It applies both to ordinary misunderstanding and to more serious misjudgment. | [CORE] |
| pantasqa | pantasqa | participial form from *pantay*, ‘mistaken, erroneous’ | mistaken; wrong; incorrect | Used of a statement, belief, answer, or action that is judged to be wrong. It is a common descriptive form when identifying something as incorrect rather than true or proper. | [CORE] |
| allin | allin | ‘good, well, proper’ | good; right; proper; correct | A very common evaluative adjective covering moral goodness, practical adequacy, and correctness. In many contexts it is the ordinary way to say that an action, answer, or way of doing something is right or proper. | [CORE] |
| allinmi | allinmi | *allin* + evidential/assertive enclitic *-mi* | it is right; it is good indeed; correct | This is a frequent discourse form used to affirm that something is acceptable, correct, or in good order. It often functions as a direct evaluative response to a proposal, answer, or behavior. | [CORE] |
| mana allin | mana allin | ‘not good’ | bad; wrong; improper; not right | A conventional negative evaluative expression for conduct, decisions, and sometimes statements or representations judged improper or incorrect. It is widely usable in moral, social, and practical criticism. | [CORE] |
| sumaq | sumaq | ‘beautiful, fine, excellent’ | beautiful; fine; excellent; proper | Primarily aesthetic, but also used more broadly for something judged excellent or admirable in quality. In some contexts it can overlap with evaluations of appropriateness or worth rather than mere visual beauty. | [CORE] |
| llulla | llulla | ‘lie, falsehood; liar; false’ | lie; false; liar; deceitful | A central term for falsehood and deception, used both for untrue statements and for persons characterized by lying. It is strongly moral in force and often contrasts directly with truthful or upright conduct. | [CORE] |
| llullakuy | llullakuy | reflexive/intransitive verbal form from *llulla* | to lie; to tell lies; to deceive | Used for the act of lying or engaging in deception. It is common in moral instruction and everyday accusation when evaluating the reliability or honesty of a speaker. | [CORE] |
| llullasqa | llullasqa | participial form from *llulla/llullay*, ‘false, lied, deceptive’ | false; deceptive; lied-about | Used for something judged false or deceitful, such as a report, claim, or representation. It can also characterize a person or account as marked by deception. | [MARGINAL] |
| qampa | qampa | ‘just, exact, fitting, proper’ | exact; precise; proper; fitting | This adjective is used for exactness, aptness, or proper fit, especially where something matches correctly or is done in the right way. It is relevant to judgments of precision, appropriateness, and correctness. | [UNCERTAIN] |
| chanin | chanin | ‘value, worth; proper measure’ | value; worth; proper; fair | Used for worth, value, and in some contexts fairness or proper measure. It can be applied when evaluating whether something is appropriate, deserved, or of genuine worth. | [CORE] |
| chaninnaq | chaninnaq | derived from *chanin*, ‘valuable, worthy, proper’ | valuable; worthy; proper | This derived form is used for persons, objects, or actions considered worthy or of real value. It can extend from economic worth to moral or social esteem. | [MARGINAL] |
| iñiy | iñiy | ‘to believe, trust’ | believe; trust; have faith in | A common verb for accepting something as true or for trusting a person as reliable. It is central in evaluating credibility, testimony, and personal trustworthiness. | [CORE] |
| iñisqa | iñisqa | participial form from *iñiy*, ‘believed, trusted’ | believed; trusted; credible | Used of a person, statement, or report that is accepted or trusted. In context it can imply that something is regarded as credible or reliable. | [MARGINAL] |
| yupaychay | yupaychay | ‘to esteem, respect, honor’ | respect; honor; esteem | Primarily a term of esteem and reverence, but relevant where a person or representation is judged worthy of recognition or honor. It is common in social and religious contexts rather than narrow factual evaluation. | [CORE] |
| riqsiy | riqsiy | ‘to know, recognize’ | know; recognize; identify | Used when identifying what something or someone really is, or recognizing a person, object, or fact correctly. It is important in contexts where correct identification or acknowledgment of true nature is at issue. | [CORE] |
| rikch’akuy | rikch’akuy | from a base meaning ‘to resemble, appear like’ | resemble; look like; seem | Used when evaluating resemblance or apparent identity between persons or things. It is especially relevant where one distinguishes mere appearance from actual identity or nature. | [MARGINAL] |
| kikin | kikin | ‘same, self, identical’ | same; identical; selfsame | A common form used to assert identity or exact sameness. It is relevant in judgments about whether a representation, copy, or person is the very same one or truly identical. | [CORE] |
| kuska | kuska | ‘together; equal; corresponding’ | equal; corresponding; matching | Used in contexts of matching, correspondence, or equality, including whether two things align properly. It can be relevant when evaluating fit, agreement, or resemblance. | [CORE] |
| hucha | hucha | ‘fault, guilt, sin, offense’ | fault; guilt; sin; offense | A major moral and legal-religious term for wrongdoing, culpability, or offense. It is used when conduct is judged wrong in a serious ethical or normative sense. | [CORE] |
| huchayuq | huchayuq | *hucha* ‘fault, guilt’ + *-yuq* ‘having’ | guilty; culpable; sinful | Used of a person who bears guilt, fault, or sin. It is especially relevant in moral and quasi-legal evaluation of responsibility and blame. | [CORE] |
