# CLCA Protocol v3.2 — F1 VOCABULARY TABLE
# Language: Tamil (ta)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|-----------------|-----------------|---------------------|-------------------|------------------|
| உண்மை | uṇmai | that which exists/is | truth, reality, fact, genuineness | Used broadly for truth in factual, moral, and existential contexts. Can refer to truthfulness of statements, authenticity of objects, or sincerity of persons. Common in both everyday speech and formal discourse. | [CORE] |
| பொய் | poy | falsehood, lie | lie, falsehood, untruth, fake | Primary term for falsehood, lies, and inauthenticity. Used for false statements, counterfeit objects, and deceptive behavior. Direct antonym of uṇmai in most contexts. | [CORE] |
| மெய் | mey | body, reality, truth | truth, reality, genuine, real | Literary and formal term for truth and reality, often with connotations of ultimate or essential truth. More elevated register than uṇmai, frequently used in philosophical and religious contexts. | [CORE] |
| நேர்மை | nērmai | straightness, directness | honesty, integrity, uprightness, straightforwardness | Refers to moral honesty and integrity of character. Applied to persons and their conduct rather than statements alone. Emphasizes ethical dimension of truthfulness. | [CORE] |
| சரி | cari | correct, right, equal | correct, right, okay, proper | Common term for correctness in statements, actions, and judgments. Used colloquially for agreement or confirmation. Applies to factual accuracy and appropriateness of conduct. | [CORE] |
| தப்பு | tappu | mistake, error | wrong, mistake, error, fault | Everyday term for incorrectness, mistakes, and wrongness. Used for factual errors, moral wrongs, and inappropriate actions. Direct opposite of cari in colloquial usage. | [CORE] |
| பொருத்தம் | poruttam | fitness, suitability | appropriateness, suitability, compatibility, correctness | Refers to appropriateness, fit, or correctness in context. Used for matching, compatibility, and contextual rightness. Common in assessments of suitability and proper correspondence. | [CORE] |
| நியாயம் | niyāyam | (from Sanskrit nyāya) justice, logic | justice, fairness, rightness, reasonableness | Used for moral and legal rightness, fairness, and justification. Applies to judgments about what is just or reasonable. Common in ethical and legal discourse. | [CORE] |
| நம்பகம் | nampakam | trustworthiness (from nampuka "to trust") | reliability, trustworthiness, credibility | Refers to reliability and trustworthiness of persons, sources, or information. Used in evaluating credibility and dependability. Formal register term. | [CORE] |
| உண்மையான | uṇmaiyāṉa | that which is true/real (adjectival form) | true, real, genuine, authentic | Adjectival form used to modify nouns, indicating genuineness or authenticity. Applied to objects, statements, and persons. Productive derivational form from uṇmai. | [CORE] |
| பொய்யான | poyyāṉa | that which is false (adjectival form) | false, fake, untrue, counterfeit | Adjectival form indicating falseness or inauthenticity. Used to describe false statements, fake objects, or insincere behavior. Productive derivational form from poy. | [CORE] |
| சத்தியம் | cattiyam | (from Sanskrit satya) truth, reality | truth, oath, vow, reality | Formal and religious term for truth, often used in oaths and solemn declarations. Carries weight of sacred or absolute truth. Common in religious and legal contexts. | [CORE] |
| தவறு | tavaṟu | deviation, mistake | mistake, error, fault, wrong | Refers to errors, mistakes, and deviations from correctness. Used for both factual errors and moral wrongs. Slightly more formal than tappu. | [CORE] |
| சரியான | cariyāṉa | that which is correct (adjectival form) | correct, right, proper, accurate | Adjectival form indicating correctness or rightness. Applied broadly to statements, actions, and objects. Productive derivational form from cari. | [CORE] |
| நிஜம் | nijam | (from Sanskrit/Persian) reality, truth | truth, reality, fact, actual | Colloquial term for truth and reality, often used for emphasis or confirmation. Common in everyday speech to assert factuality. Borrowed but fully integrated into Tamil. | [CORE] |
| ஒப்பு | oppu | agreement, resemblance | resemblance, similarity, agreement, match | Refers to resemblance, similarity, or correspondence between things. Used in comparisons and assessments of likeness. Can indicate agreement or matching. | [CORE] |
