| Construction Type | Example | Transliteration | Translation | Epistemic Status | Usage Notes |
|---|---|---|---|---|---|
| 1. Attribution | chiqaqmi | chiqaqmi | "it's true (I affirm)" | [CORE] | Predicative use of bare quality root plus evidential enclitic (*-mi*) is the typical means of value/truth attribution; copula *kay* appears overtly mainly in nominalized abstractions. Alternate: copular *chiqap kay* in abstraction contexts. |
| 2. Negative Attribution | mana allin | mana allin | "bad, not good, improper" | [CORE] | Conventionalized *mana* + quality word; polarity depends on the base — *mana* + ADJ yields negative polarity, *mana* + AGENTIVE yields positive polarity (*mana llullaq* "honest"). Alternate: *mana* + STEM + *-q* (agentive negation). |
| 3. Adnominal Modification | chiqaq simi | chiqaq simi | "true word, truthful speech" | [CORE] | Fixed modifier-head order (quality precedes noun, no linker); productive across truth-domain roots with recurrent frames [QUALITY + simi/sunqu/kawsay]. Minimal contrast pair: *chiqaq simi* vs. *llulla simi*. |
| 4. Become / Inchoative | (none attested) | (none attested) | (none attested) | [UNCERTAIN] | No dedicated intransitive "become X" construction documented in P1–P3 for these roots. Change-of-state is covered transitively via causative *-cha-* (see #5). |
| 5. Causative | allinchay | allinchay | "to make good, improve, repair" | [CORE] | *-cha-* is the dominant, broadly productive causative across the domain (chiqachay, chiqanchay, sut'inchay, kikinchay). Alternate: *-chi-* (*llullachiy*) [MARGINAL], narrower, marking external causation of a third party. |
| 6. Abstract Nominalization | chiqap kay | chiqap kay | "truth, reality" | [CORE] | Most cross-cutting nominalizing template [X + kay], spanning truth/goodness/falsehood poles (*allin kay*, *llulla kay*). Word order/form somewhat variable, bordering between compounding and free combination. |
| 7. Agentive Nominalization | llullakuq | llullakuq | "liar, deceiver" | [CORE] | Agentive *-q* productive (llullakuq, rikch'akuq, iñiq). Note asymmetry: true-teller expressed negatively (*mana llullaq*), no dedicated positive agentive. Alternate: *-sapa* (*llullasapa* "habitual liar") [MARGINAL] intensifies the trait. |
| 8. Adverbial (Manner / Truth-Intensification) | chiqaqta | chiqaqta | "truly, really, rightly" | [CORE] | *-ta* derives manner/affirmation adverbs from evaluative roots (*allinta* "well, properly"). Alternate: certainty enclitic *-puni* (*chiqaqpuni*) [MARGINAL], borderline grammatical, marks heightened certainty. |
| 9. Interrogative Truth-Confirmation | chiqaqchu | chiqaqchu | "is it true? really?" | [MARGINAL] | Interrogative *-chu* attached to truth root forms fixed conversational confirmation formulas; borderline between inflected word and fixed phrase. Alternate: *chiqaptachu* (with intervening *-ta*). |
| 10. Comparison / Resemblance | kikin hina | kikin hina | "just the same, exactly alike" | [CORE] | Postposed particle *hina* for equivalence/likeness; productive rather than idiomatic. Alternate: case-marked verbal construction *X-man rikch'akuy* "to resemble X (in appearance)" [CORE], a distinct resemblance strategy. |
