| Construction Type | Example | Transliteration | Translation | Epistemic Status | Usage Notes |
|---|---|---|---|---|---|
| ATTRIBUTION | Bu bilgi **doğru**. | *Bu bilgi doğru.* | “This information is correct/true.” | [CORE] | Very common in everyday evaluation of information, claims, documents, and persons/sources. Present-tense predication normally appears without an overt copula; related alternants attested in P4a include **X gerçek / haklı / geçerli / güvenilir (olmak)**. |
| ATTRIBUTION | Bu belge **geçerli** değil. | *Bu belge geçerli değil.* | “This document is not valid.” | [CORE] | Common especially in administrative, legal, and institutional contexts for validity judgments. This belongs to the same broad predicative pattern, with alternants attested in P4a such as **X doğru / gerçek / haklı / güvenilir (olmak)**. |
| NEGATIVE ATTRIBUTION | Bu iddia **doğru değil**. | *Bu iddia doğru değil.* | “This claim is not true.” | [CORE] | A very natural way to negate truth-related predicates in general discourse. P4a also attests lexical alternants for negative evaluation, including **X sahte / asılsız / geçersiz**. |
| NEGATIVE ATTRIBUTION | Bu haber **asılsız**. | *Bu haber asılsız.* | “This report is baseless.” | [CORE] | Common in media, public statements, and formal denial contexts; lexical negatives can sound more categorical than **A değil**. Attested alternants in P4a include **X doğru / gerçek / geçerli değil** and lexical negatives such as **sahte, geçersiz, haksız**. |
| ADNOMINAL MODIFICATION | **güvenilir kaynak** | *güvenilir kaynak* | “reliable source” | [CORE] | Highly natural in noun phrases evaluating sources, evidence, institutions, and testimony. P4a attests several alternate modifiers in the same slot: **doğru, gerçek, hakiki, sahici, özgün, geçerli, sahte, uydurma**. |
| ADNOMINAL MODIFICATION | **sahte belge** | *sahte belge* | “fake/forged document” | [CORE] | Very common for authenticity/falsity judgments, especially with documents, goods, and representations. Alternate attested modifiers in P4a include **güvenilir, gerçek, hakiki, sahici, özgün, geçerli, uydurma**. |
| BECOME / INCHOATIVE | Hikâye daha **inandırıcı oldu**. | *Hikâye daha inandırıcı oldu.* | “The story became more convincing.” | [CORE] | **X olmak** is the regular and productive way to express change of state in this semantic area. P4a notes limited alternate inchoatives in **-leş-**. |
| BECOME / INCHOATIVE | İlişkileri zamanla **sahteleşti**. | *İlişkileri zamanla sahteleşti.* | “Their relationship became artificial/fake over time.” | [MARGINAL] | The **-leş-** strategy is attested but more lexically restricted and less general than **X olmak**. P4a gives alternants such as **Adj/N + ol-** and mentions other limited **-leş-** forms like **özgünleşmek**. |
| CAUSATIVE (OR ABSENCE) | Haberi henüz **doğrulamadılar**. | *Haberi henüz doğrulamadılar.* | “They have not verified the news yet.” | [CORE] | This is a very natural causative/verification expression in journalism, administration, and factual checking. P4a indicates that Turkish often uses lexical verbs here rather than a single general causative pattern; attested alternants include **X-i doğrulamak** and limited **Adj + -leş-tir-** causatives. |
| CAUSATIVE (OR ABSENCE) | Bu söylem olayı **sahteleştiriyor**. | *Bu söylem olayı sahteleştiriyor.* | “This discourse makes the event seem artificial/fake.” | [MARGINAL] | Attested but more restricted and stylistically marked than **doğrulamak**-type verbs. P4a notes only limited causatives of this kind, with **-leştir-** not broadly available across the whole domain. |
| ABSTRACT NOMINALIZATION | Raporun **doğruluğu** tartışılıyor. | *Raporun doğruluğu tartışılıyor.* | “The accuracy/truth of the report is being discussed.” | [CORE] | Very common in formal, academic, bureaucratic, and evaluative discourse. P4a attests productive alternants in **-lık/-lik/-luk/-lük**, including **gerçeklik, güvenilirlik, geçerlilik, dürüstlük, sahicilik**, plus lexical nouns such as **hakikat, meşruiyet**. |
| ABSTRACT NOMINALIZATION | Ölçümün **güvenilirliği** düşük. | *Ölçümün güvenilirliği düşük.* | “The reliability of the measurement is low.” | [CORE] | Especially common in technical, scientific, and assessment contexts. Alternate attested nominalizations in P4a include **doğruluk, gerçeklik, geçerlilik, meşruiyet, dürüstlük, sahicilik**. |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | **yalancı** gerçeği sakladı. | *yalancı gerçeği sakladı.* | “The liar hid the truth.” | [CORE] | **yalancı** is a common lexical agent noun in ordinary speech and narrative contexts. P4a, however, notes no equally central direct agentive pair from the core truth adjectives; attested alternants are descriptive phrases like **dürüst biri** and **doğruyu söyleyen kişi**. |
| AGENTIVE NOMINALIZATION (LIAR, TRUTH-TELLER) | Herkes ona **dürüst biri** der. | *Herkes ona dürüst biri der.* | “Everyone calls him an honest person.” | [CORE] | This descriptive phrase is natural for positive character evaluation, especially where no compact lexical counterpart to “liar” is preferred. P4a also attests **doğruyu söyleyen kişi** as an alternate descriptive construction. |
