# F3 — SEMANTIC GROUPS TABLE

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: Factual Correspondence Terms | This group contains expressions used to mark statements, information, or representations as corresponding (or failing to correspond) to actual states of affairs. These terms are primarily used in contexts where the accuracy or factuality of claims is at issue, rather than moral evaluation or authenticity of objects. They frequently appear in investigative, journalistic, academic, and everyday discourse when verifying or asserting what is actually the case. | 사실 (sasil) "fact", 진실 (jinsil) "truth", 실제 (silje) "reality, actuality", 실상 (silsang) "actual situation", 실정 (siljeong) "actual conditions", 실태 (siltae) "actual state", 정확하다 (jeonghwakhada) "to be accurate", 맞다 (matda) "to be correct", 틀리다 (teullida) "to be wrong", 확실하다 (hwaksilhada) "to be certain", 명백하다 (myeongbaekhada) "to be obvious", 사실을 확인하다 (sasireul hwaginhada) "to verify facts", 진실을 밝히다 (jinsireul balkhida) "to reveal the truth", 실제로는 (siljero-neun) "in reality, actually" | 진위 (jinwi) "truth or falsehood" — specifically used for determining factual status, bridges this group and authentication contexts; 진상 (jinsang) "truth, real situation" — overlaps with investigative contexts but functions similarly to 사실; 본질 (bonjil) "essence" — while about fundamental nature, often used in analytical contexts to determine what something actually is | 진실 (jinsil) appears in this group for its primary usage but also relevant to Group 2 (Deliberate Deception) as what is concealed or revealed, and overlaps with Group 9 (Investigative) in contexts of truth-seeking. 실제 (silje) has primary membership here but also belongs to Group 8 (Practical Reality) when emphasizing practice vs. theory. 정확하다 (jeonghwakhada) overlaps with Group 5 (Correctness Evaluation). 실상 (silsang), 실정 (siljeong), 실태 (siltae) overlap with Group 8 but emphasize practical circumstances. |
| GROUP 2: Deliberate Deception Terms | This group comprises expressions specifically marking intentional false representation or lying. These terms emphasize the deliberate nature of misrepresentation and are used primarily in moral, interpersonal, and legal contexts where the speaker's or actor's intent to deceive is relevant. They contrast with mere error or mistake and often carry moral disapproval. | 거짓 (geojit) "falsehood, false", 거짓말 (geojinmal) "lie", 거짓말을 하다 (geojinmareul hada) "to tell a lie", 거짓말쟁이 (geojinmaljjaengi) "liar", 허위 (heowi) "falsehood", 거짓증언 (geojitjeungeon) "false testimony", 거짓진술 (geojitjinsul) "false statement", 허위로 진술하다 (heowiro jinsulhada) "to testify falsely", 거짓말을 꾸미다 (geojinmareul kkumida) "to fabricate a lie", 진실을 숨기다 (jinsireul sumgida) "to hide the truth", 새빨간 거짓말 (saeppalgan geojinmal) "blatant lie", 하얀 거짓말 (hayan geojinmal) "white lie", 거짓없이 (geojiteobsi) "without lies, truthfully" | 거짓정보 (geojitjeongbo) "false information" — may or may not imply deliberate intent; 거짓뉴스 (geojinnyuseu) "fake news" — contemporary term that may emphasize deliberateness or simply falsity | Terms for deliberate deception are less numerous than terms for truth and factuality (Group 1), but show rich derivational patterns. |
| GROUP 3: Authenticity and Genuineness Terms | This group contains expressions used to evaluate whether objects, artifacts, products, or identities are genuine originals versus copies, counterfeits, or imitations. These terms are primarily used in commercial, artistic, and authentication contexts where the provenance or originality of physical items is at issue, rather than the truth of statements or moral character. | 진짜 (jinjja) "real, genuine", 가짜 (gajja) "fake, counterfeit", 진본 (jinbon) "authentic original", 모조 (mojo) "imitation, counterfeit", 모조품 (mojopum) "imitation product, counterfeit goods", 진품 (jinpum) "genuine article", 진짜인지 가짜인지 (jinjjainji gajjainji) "whether real or fake", 진본과 모조품 (jinbongwa mojopum) "authentic original and imitation", 진짜배기 (jinjjabaegi) "the real deal, genuine article", 가짜를 구별하다 (gajjareul gubyeolhada) "to distinguish fakes", 모조품을 판별하다 (mojopumeul panbyeolhada) "to identify imitations" | 진정 (jinjeong) "genuine, sincere" — can apply to both objects and feelings/intentions; 참 (cham) "true, real" — used both for authenticity and for truth of statements | Authenticity terms form a relatively small, specialized group compared to the extensive factual correspondence vocabulary. Group includes highly colloquial terms (진짜, 가짜). 진정 (jinjeong) appears here for objects and also in Group 4 (Honest Character) for feelings and intentions. 참 (cham) spans this group and Group 1 (Factual Correspondence). |
| GROUP 4: Honest Character and Conduct Terms | This group includes expressions that evaluate moral character or communicative behavior in terms of truthfulness, straightforwardness, and integrity. These terms focus on the disposition or habitual conduct of persons rather than the truth-value of specific statements. They appear primarily in character evaluation, moral instruction, and interpersonal contexts where trustworthiness and openness are valued. | 정직 (jeongjik) "honesty, integrity", 정직하다 (jeongjikada) "to be honest", 정직한 사람 (jeongjikhan saram) "honest person", 솔직 (soljik) "frankness, candor", 솔직하다 (soljikada) "to be frank", 진심 (jinsim) "sincerity, genuine heart", 진정 (jinjeong) "genuineness, sincerity", 정직하게 말하다 (jeongjikage malhada) "to speak honestly", 솔직히 말하면 (soljiki malhamyeon) "frankly speaking", 솔직하게 털어놓다 (soljikage teoreonota) "to confess frankly", 진심으로 (jinsimeuro) "sincerely", 진정으로 (jinjeongeuro) "genuinely", 부정직하다 (bujeongjikada) "to be dishonest" | 진실성 (jinsilseong) "truthfulness" — can refer to both character quality and statement quality; 참되다 (chamdoeda) "to be true, genuine" — can apply to both character and statements | This group evaluates persons rather than their statements or products. Involves moral or normative evaluation. Evaluates stable character traits. |
| GROUP 5: Correctness Evaluation Terms | This group comprises expressions used to evaluate whether answers, judgments, procedures, or actions are correct versus incorrect according to established standards, rules, or norms. These terms are particularly common in educational, procedural, and evaluative contexts where conformity to standards is being assessed, and they often contrast with moral rightness or factual truth. | 맞다 (matda) "to be correct, right", 틀리다 (teullida) "to be wrong, incorrect", 옳다 (olda) "to be right, correct", 그르다 (geureuda) "to be wrong", 옳고 그름 (olgo geureum) "right and wrong", 맞는 답 (manneun dap) "correct answer", 틀린 답 (teullin dap) "wrong answer", 맞는지 틀리는지 (manneunji teullineunji) "whether right or wrong", 옳은 일 (oleun il) "the right thing, correct action", 맞게 하다 (matge hada) "to do correctly", 맞춤 (matchum) "fitting, customization" | 정확하다 (jeonghwakhada) "to be accurate" — overlaps with both factual correspondence and correctness evaluation; 옳다 (olda) — spans both procedural correctness and moral rightness | 옳다 (olda) spans this group and Group 6 (Legitimacy), can indicate both procedural correctness and moral rightness. 정확하다 (jeonghwakhada) overlaps Group 1 (Factual Correspondence) and this group. 그르다 (geureuda) is archaic with limited contemporary usage, primarily appears in fixed expression 옳고 그름. |
| GROUP 6: Legitimacy and Justification Terms | This group contains expressions used to evaluate whether actions, claims, rights, or arguments are properly grounded, justified, or legitimate according to legal, logical, or moral standards. These terms appear primarily in legal, political, philosophical, and argumentative discourse where the warrant or authorization for actions or claims is at issue, rather than simple factual truth or correctness. | 정당하다 (jeongdanghada) "to be legitimate, justified", 타당하다 (tadanghada) "to be valid, reasonable", 정당성 (jeongdangseong) "legitimacy, justification", 타당성 (tadangseong) "validity, reasonableness", 정당한 이유 (jeongdanghan iyu) "legitimate reason", 정당한 권리 (jeongdanghan gwonri) "legitimate right", 타당한 근거 (tadanghan geungeo) "valid grounds", 정당성을 확보하다 (jeongdangseongeul hwakbohada) "to secure legitimacy", 타당성을 검토하다 (tadangseongeul geomtohada) "to examine validity", 부정당하다 (bujeongdanghada) "to be illegitimate" | 옳다 (olda) "to be right" — can indicate both correctness and moral/logical rightness, overlapping with this group | Clusters in formal registers. Involves moral or normative evaluation. |
| GROUP 7: Credibility and Reliability Assessment Terms | This group includes expressions used to evaluate whether sources, statements, evidence, or testimony can be trusted or believed. These terms focus on the trustworthiness or believability of information rather than its verified truth-value, and they are particularly common in journalistic, investigative, and evaluative contexts where the reliability of sources must be assessed before verification is possible. | 신빙성 (sinbingseong) "credibility, reliability", 신빙성이 있다 (sinbingseongi itda) "to be credible", 신빙성이 없다 (sinbingseongi eopda) "to lack credibility", 신빙성이 떨어지다 (sinbingseongi tteoreojida) "to lose credibility", 그럴듯하다 (geureoldeuthada) "to be plausible, likely", 그럴듯한 이야기 (geureoldeuthan iyagi) "plausible story", 그럴듯하게 들리다 (geureoldeuthage deullida) "to sound plausible", 진실성 (jinsilseong) "truthfulness, veracity", 진실성이 의심되다 (jinsilseongi uissimdoeda) "truthfulness is doubted" | 확실하다 (hwaksilhada) "to be certain" — bridges certainty and reliability; 진실성 (jinsilseong) — can refer to both character quality and statement reliability | Involves processes of verification or assessment. |
| GROUP 8: Practical Reality and Implementation Terms | This group comprises expressions that contrast actual practice, concrete implementation, or real-world application with theory, planning, or nominal status. These terms emphasize what actually happens or exists in practice rather than what is planned, claimed, or theoretically possible, and they are common in administrative, technical, and evaluative contexts where the gap between theory and practice is relevant. | 실제 (silje) "reality, actuality, practice", 실제로 (siljero) "actually, in practice", 실질 (siljil) "substance, essence, reality", 실질적 (siljejeok) "substantial, actual", 실천 (silcheon) "practice, implementation", 실행 (silhaeng) "execution, implementation", 실현 (silhyeon) "realization, actualization", 실용 (silyong) "practical use, utility", 실무 (silmu) "practical work, actual duties", 실전 (siljeon) "actual combat, real situation", 실습 (silseup) "practical training", 실험 (silheom) "experiment", 실적 (siljeok) "actual results, performance", 실효 (silhyo) "actual effect, practical efficacy", 실력 (sillyeok) "actual ability, real skill" | 실제 (silje) — also appears in Group 1 (Factual Correspondence) when contrasting reality with appearance; 실상 (silsang), 실정 (siljeong), 실태 (siltae) — overlap with Group 1 but emphasize practical circumstances | Shows extensive vocabulary development, suggesting cultural emphasis on theory-practice distinction. |
| GROUP 9: Investigative and Diagnostic Terms | This group contains expressions used in contexts of examination, investigation, diagnosis, or determination of true states. These terms emphasize the process of discovering or establishing what is actually the case through systematic inquiry, and they appear primarily in medical, legal, investigative, and analytical contexts where expert examination is required. | 진단 (jindan) "diagnosis, assessment", 진찰 (jinchal) "medical examination", 진료 (jillyo) "medical examination and treatment", 진맥 (jinmaek) "pulse diagnosis", 진술 (jinsul) "statement, testimony", 진상 (jinsang) "truth, real situation", 진위를 가리다 (jinwireul garida) "to determine truth from falsehood", 사실을 확인하다 (sasireul hwaginhada) "to verify facts", 진실을 밝히다 (jinsireul balkhida) "to reveal the truth", 사실관계 (sasilgwangye) "facts of the case", 진위 여부 (jinwi yeobu) "whether true or false" | 진상 (jinsang) — overlaps with Group 1 (Factual Correspondence) but emphasizes investigative context; 진술 (jinsul) — while meaning "statement," primarily used in legal/investigative contexts | Involves processes of verification or assessment. The morpheme 진 (jin) appears in medical examination domain. |
