| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | *The prediction proved true.* | N/A | [CORE] | Retrospective confirmation; most natural with predictions, suspicions, fears. |
| 2 | *His fears proved true when the results were announced.* | N/A | [CORE] | Epistemic confirmation of a prior prediction or belief. |
| 3 | *The rumor turned out to be true.* | N/A | [CORE] | Discovery frame; implies prior uncertainty; available across registers. |
| 4 | *Her dream finally came true.* | N/A | [CORE] | Fixed idiom; restricted to wishes, dreams, predictions, fears as subject. Not a productive inchoative frame. |
| 5 | *Winning the award was a dream come true.* | N/A | [CORE] | Nominalized form of the same construction. |
| 6 | *The prediction became true.* | N/A | [MARGINAL] | Grammatical but uncommon; *prove true* and *turn out to be true* are strongly preferred. |
| 7 | *His suspicions proved true.* | N/A | [CORE] | Periphrastic inchoative expressing confirmation by events or evidence. |
| 8 | *This principle holds true in all contexts.* | N/A | [CORE] | Expresses continuation or extension of a truth-domain state to new cases rather than a change of state. Stability expression rather than strict inchoative. |
| 9 | *The prediction proved false within a year.* | N/A | [CORE] | Epistemic disconfirmation. Parallel to *prove true*. |
| 10 | *The hypothesis proved false.* | N/A | [CORE] | Parallel to *prove true* but not lexicalized. |
| 11 | *The account turned out to be false.* | N/A | [CORE] | General periphrastic inchoative. Register-neutral. |
| 12 | *The explanation rang false from the start.* | N/A | [CORE] | Expresses the impression of falseness upon hearing or reading rather than a change of state. Evaluative expression rather than strict inchoative. |
| 13 | *The official explanation rang false to many observers.* | N/A | [CORE] | The past tense (*rang*) marks the shift in evaluation. Restricted to informal and journalistic registers. |
| 14 | *His apology struck a false note with the audience.* | N/A | [CORE] | The apology comes to be perceived as discordant or insincere at the moment of delivery. |
| 15 | *The forecast proved accurate.* | N/A | [CORE] | Retrospective confirmation; natural with forecasts, descriptions, measurements. |
| 16 | *The prediction proved accurate.* | N/A | [CORE] | Parallel to *prove true*. |
| 17 | *The description turned out to be accurate.* | N/A | [CORE] | Discovery frame; available across registers. Standard construction; no lexicalized or dedicated form exists. |
| 18 | *The model became more accurate over time.* | N/A | [CORE] | *Accurate* accepts *become* naturally in contexts of gradual improvement. The comparative (*more accurate*) facilitates this. |
| 19 | *His assumption proved correct.* | N/A | [CORE] | Retrospective confirmation; very natural with assumptions, predictions, diagnoses. |
| 20 | *His prediction proved correct.* | N/A | [CORE] | Parallel to *prove true*; used where a definite right answer is at issue. |
| 21 | *The answer turned out to be correct.* | N/A | [CORE] | Discovery frame; common in educational and analytical contexts. |
| 22 | *I stand corrected.* | N/A | [CORE] | Fixed phrase; encodes a change from an incorrect to a corrected state in the speaker. Not a productive inchoative but a conventionalized acknowledgment of correction. |
| 23 | *I stand corrected — the date was in fact 1847, not 1874.* | N/A | [CORE] | The subject acknowledges having been shown to be in error and accepts the correction. |
| 24 | *The argument proved valid on closer inspection.* | N/A | [CORE] | Retrospective confirmation; natural in logical and legal contexts. |
| 25 | *The contract turned out to be valid.* | N/A | [CORE] | Discovery frame; natural in legal and administrative contexts. |
| 26 | *The contract remains valid until December.* | N/A | [CORE] | Stability/persistence frame. |
| 27 | *The passport became invalid after the expiry date.* | N/A | [CORE] | Change into the negated state; *become invalid* is more natural than *become valid* because validity is typically conferred by an act rather than arising spontaneously. |
| 28 | *The argument is still valid* / *The contract is still valid.* | N/A | [CORE] | Expresses that a legal or logical validity state persists despite the passage of time or changed circumstances. |
| 29 | *The painting proved authentic after testing.* | N/A | [CORE] | Retrospective confirmation; natural in archival, legal, and art-world contexts. |
| 30 | *The document proved genuine upon examination.* | N/A | [CORE] | Authenticity confirmed through investigation. |
| 31 | *The document turned out to be genuine.* | N/A | [CORE] | Discovery frame; natural in legal and investigative contexts. |
| 32 | *Her concern proved genuine.* | N/A | [CORE] | Retrospective confirmation; natural when applied to emotions and intentions as well as objects. |
| 33 | *The painting proved authentic after extensive testing.* | N/A | [CORE] | Authenticity confirmed through technical analysis. |
| 34 | *The performance became more authentic as the actor relaxed.* | N/A | [MARGINAL] | Grammatical in aesthetic and existential contexts; uncommon. The comparative (*more authentic*) facilitates the construction. |
| 35 | *The witness proved credible under cross-examination.* | N/A | [CORE] | Retrospective confirmation; natural in legal contexts. |
| 36 | *The accusation turned out to be credible.* | N/A | [CORE] | Discovery frame; natural in legal and journalistic contexts. |
| 37 | *The theory became credible as evidence accumulated.* | N/A | [CORE] | *Credible* accepts *become* naturally in contexts of gradual epistemic change. |
