# F2b Constructions Table: Indonesian Truth/Correctness Domain

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| benar | Cerita itu benar adanya. | benar adanya | it is true, it truly exists, it is indeed the case | Fixed phrase used to confirm that something truly exists or occurred. Common in testimonies, confirmations, and formal statements. | [CORE] |
| benar | Mana yang benar? | yang benar | the correct one, which is correct, what is true | Used to identify or ask about the correct option among alternatives. Very common in questions and comparative contexts. | [CORE] |
| benar | Kalau benar dia datang, kita harus siap. | kalau benar | if it's true, if correct | Conditional phrase introducing hypothetical situations based on truth of a premise. Common in reasoning and conditional statements. | [CORE] |
| benar | Itu tidak benar. | tidak benar | not true, incorrect, untrue | Standard negation of benar. Used to deny truth or correctness of statements or situations. | [CORE] |
| benar | Pendapat itu kurang benar. | kurang benar | not quite correct, somewhat incorrect | Softened negation indicating partial incorrectness. Common in polite disagreement or diplomatic criticism. | [CORE] |
| benar | Ini jawaban yang paling benar. | paling benar | most correct, most true | Superlative construction identifying the most correct option among alternatives. | [CORE] |
| benar | Cara ini lebih benar daripada itu. | lebih benar | more correct, more true | Comparative construction indicating greater correctness relative to alternatives. | [CORE] |
| benar | Soal ini benar atau salah? | benar atau salah | true or false, right or wrong | Binary opposition used in tests, logical reasoning, and moral evaluation. Very common in educational and evaluative contexts. | [CORE] |
| benar | Pernyataan itu setengah benar. | setengah benar | half true, partially correct | Indicates partial truth or correctness. Used when statements contain both true and false elements. | [CORE] |
| benar | Benar sekali! | benar sekali | very true, absolutely correct, exactly right | Emphatic agreement or confirmation. Common in conversational responses expressing strong agreement. | [CORE] |
| benar | Memang benar dia pintar, tapi... | memang benar | it is indeed true, it is true that | Concessive phrase acknowledging truth of a statement, often before introducing a contrasting point. | [CORE] |
| benar | Kecelakaan itu benar-benar terjadi. | benar-benar terjadi | really happened, actually occurred | Emphasizes that an event genuinely took place, not imagined or exaggerated. Common in narratives. | [CORE] |
| benar | Mereka bertindak atas nama kebenaran. | atas nama kebenaran | in the name of truth | Phrase invoking truth as justification or motivation for actions. Common in formal and rhetorical contexts. | [CORE] |
| benar | Dia mencari kebenaran tentang masa lalunya. | mencari kebenaran | to seek truth, to search for truth | Common phrase for the pursuit of truth. Used in investigative, intellectual, and spiritual contexts. | [CORE] |
| benar | Mereka mencari kebenaran hakiki. | kebenaran hakiki | essential truth, fundamental truth, ultimate truth | Philosophical or religious phrase referring to ultimate or fundamental truth. Common in spiritual discourse. | [CORE] |
| benar | Ini adalah kebenaran sejati. | kebenaran sejati | genuine truth, real truth, true truth | Emphasizes authenticity of truth, often contrasting with superficial or apparent truth. Used in philosophical and religious contexts. | [CORE] |
| benar | Lakukan dengan benar. | dengan benar | correctly, properly, in the right way | Prepositional phrase indicating correct manner of action. Very common in instructions and evaluations. | [CORE] |
| benar | Dia menjawab secara benar. | secara benar | correctly, in a correct manner | Formal adverbial phrase indicating correct manner. Common in formal speech and writing. | [CORE] |
| salah | Dia salah satu murid terbaik. | salah satu | one of, one among | Fixed phrase meaning "one of" in enumerations. Note: "salah" here functions as quantifier, not error marker. Extremely common across all registers. | [CORE] |
| salah | Kita salah paham. | salah paham | to misunderstand, misunderstanding | Compound indicating misunderstanding. Can function as verb or noun. Very common in everyday speech to explain communication failures. | [CORE] |
| salah | Jangan salah sangka! | salah sangka | to misjudge, to have wrong suspicion, misconception | Compound indicating incorrect assumption or suspicion about someone or something. Common in interpersonal contexts. | [CORE] |
| salah | Dia salah tingkah di depan bos. | salah tingkah | awkward, embarrassed, ill at ease | Compound describing feeling or appearing awkward or embarrassed. Common in descriptions of social discomfort. | [CORE] |
| salah | Itu adalah salah langkah yang fatal. | salah langkah | wrong move, misstep, error in judgment | Metaphorical expression for making a wrong decision or action. Common in strategic and political discourse. | [CORE] |
| salah | Kamu salah jalan, ini bukan ke rumahnya. | salah jalan | wrong way, wrong path, astray | Can be literal (wrong road) or metaphorical (wrong life path). Used for physical and moral deviation. | [CORE] |
| salah | Komplain kamu salah alamat. | salah alamat | wrong address, barking up the wrong tree | Can be literal (wrong address) or idiomatic (directing complaint/request to wrong person). Common in both senses. | [CORE] |
| salah | Perusahaan itu bangkrut karena salah urus. | salah urus | mismanagement, maladministration | Compound indicating poor or incorrect management. Common in administrative criticism. | [CORE] |
| salah | Ini adalah salah guna wewenang. | salah guna | misuse, abuse, improper use | Compound indicating improper use of resources, authority, or objects. Common in legal and administrative contexts. | [CORE] |
| salah | Kamu tidak salah. | tidak salah | not wrong, correct | Standard negation of salah, affirming correctness or appropriateness. | [CORE] |
| salah | Itu salah besar! | salah besar | big mistake, grave error | Emphasizes severity of error or mistake. Common in warnings and expressions of regret. | [CORE] |
| salah | Salah sendiri, kenapa tidak hati-hati. | salah sendiri | one's own fault, to blame oneself | Attributes fault to oneself. Used in self-blame or to dismiss others' complaints. | [CORE] |
| salah | Siapa yang salah dalam kasus ini? | siapa yang salah | who is wrong, who is at fault | Question form seeking to identify responsible party. Common in disputes and investigations. | [CORE] |
| salah | Dia mengakui kesalahannya. | mengakui kesalahan | to admit mistake, to acknowledge error | Phrase for admitting one's errors or wrongdoing. Important in reconciliation and accountability contexts. | [CORE] |
| salah | Kita harus memperbaiki kesalahan ini. | memperbaiki kesalahan | to correct mistakes, to rectify errors | Phrase for the act of correcting or fixing errors. Common in quality control and moral improvement contexts. | [CORE] |
| salah | Mereka salah tafsir ayat itu. | salah tafsir | misinterpretation, to misinterpret | Compound indicating incorrect interpretation of texts, events, or statements. Common in hermeneutic and legal contexts. | [CORE] |
| salah | Maaf, saya salah ucap. | salah ucap | slip of the tongue, verbal mistake | Refers to unintentional verbal errors or inappropriate statements. Common in describing speech errors. | [CORE] |
| salah | Ada salah tulis di dokumen ini. | salah tulis | typo, writing error, misspelling | Indicates written errors or typos. Common in editorial and clerical contexts. | [CORE] |
| salah | Kasir itu salah hitung. | salah hitung | miscalculation, calculation error | Indicates mathematical or strategic calculation errors. Used literally and metaphorically. | [CORE] |
| salah | Saya salah lihat, itu bukan dia. | salah lihat | to see wrongly, to mistake what one sees | Indicates visual misperception or misidentification. Common in everyday descriptions of perceptual errors. | [CORE] |
| salah | Maaf, saya salah dengar. | salah dengar | to mishear, to hear incorrectly | Indicates auditory misperception. Common in explaining communication failures. | [CORE] |
| salah | Penggunaan kata itu sudah salah kaprah. | salah kaprah | common error, widespread misconception | Fixed phrase for errors that have become widely accepted or normalized. Used in linguistic and cultural criticism. | [CORE] |
| salah | Salah atau benar, dia tetap keluarga kita. | salah atau benar | wrong or right, whether wrong or right | Binary opposition, often used concessively to indicate something holds regardless of correctness. Common in moral discourse. | [CORE] |
| salah | Dia lebih salah daripada kamu. | lebih salah | more wrong, more at fault | Comparative construction indicating greater degree of wrongness or fault. | [CORE] |
| salah | Dia yang paling salah. | paling salah | most wrong, most at fault | Superlative construction identifying the most wrong or most culpable party. | [CORE] |
| salah | Itu hanya salah kecil. | salah kecil | small mistake, minor error | Minimizes severity of error. Common in excuses or reassurances. | [CORE] |
