# F2a Derivational Table: Tagalog (tl)

| Base Form | Derived Form | Transliteration | Literal Breakdown | Translation | Usage Description | Epistemic Status |
|-----------|--------------|-----------------|-------------------|-------------|-------------------|------------------|
| totoo | katotohanan | katotohanan | ka- + totoo + -an (circumfix nominalizer) | truth, reality, fact | Abstract noun referring to truth as a concept or body of true statements. Used in formal and philosophical contexts when discussing truth itself rather than specific true statements. | [CORE] |
| totoo | makatotohanan | makatotohanan | maka- + totoo + -an (adjective-forming affix combination) | realistic, true-to-life, believable | Describes narratives, depictions, or representations that accurately reflect reality or have verisimilitude. Common in literary and artistic criticism. | [CORE] |
| totoo | pagkatotoo | pagkatotoo | pagka- + totoo (state/quality nominalizer) | truthfulness, reality, state of being true | Refers to the quality or state of being true or real. Used in abstract discussions about the nature of truth or reality. | [CORE] |
| totoo | totohanan | totohanan | totoo + -han (verbal suffix indicating reciprocal/mutual action) | to be honest with each other, to speak truthfully | Verb form indicating mutual honesty or serious truthful exchange between parties. Used when calling for frank discussion. | [CORE] |
| totoo | magkatotoo | magkatotoo | mag- + ka- + totoo (verb: to become) | to come true, to be realized, to become reality | Describes predictions, dreams, or wishes becoming reality. Common in discussing fulfillment of expectations or hopes. | [CORE] |
| totoo | magtotoo | magtotoo | mag- + totoo (future verb form) | will become true, will be realized | Future tense form indicating something will come true or be realized. Used in predictions about future fulfillment. | [CORE] |
| totoo | pagtotoo | pagtotoo | pag- + totoo (nominalized action) | act of being truthful, truthfulness | Refers to the act or practice of being truthful. Less common than "katotohanan" but used in moral discourse about truthful behavior. | [MARGINAL] |
| totoo | ikatotoo | ikatotoo | ika- + totoo (causative prefix) | to cause to be true, to make real | Causative form indicating making something true or real. Less common, used in formal or literary contexts. | [MARGINAL] |
| totoo | pakatotoo | pakatotoo | paka- + totoo (intensifier: as much as possible) | as true as possible, as real as can be | Expresses maximum degree of truth or reality. Used when emphasizing authenticity or genuineness to the highest extent. | [MARGINAL] |
| tunay | katunayan | katunayan | ka- + tunay + -an (circumfix nominalizer) | proof, evidence, verification | Refers to proof or evidence that verifies truth or authenticity. Common in formal contexts requiring verification or demonstration of truth. | [CORE] |
| tunay | pagkatunay | pagkatunay | pagka- + tunay (state nominalizer) | genuineness, authenticity, state of being true | Refers to the quality or state of being genuine or authentic. Used in discussions about authenticity and true nature. | [CORE] |
| tunay | tunayang | tunayang | tunay + -ang (linker) | genuine (that), true (which) | Linker form used before modified nouns in descriptive phrases. Common in attributive constructions. | [CORE] |
| tunay | magtunay | magtunay | mag- + tunay (verb) | to prove, to verify, to authenticate | Verb meaning to prove or verify the truth or authenticity of something. Used in contexts requiring demonstration or verification. | [CORE] |
| tunay | patunayan | patunayan | pa- + tunay + -an (causative verb) | to prove, to verify, to demonstrate | Causative verb meaning to prove or demonstrate truth. Very common in contexts requiring evidence or demonstration of claims. | [CORE] |
| tunay | pagpapatunay | pagpapatunay | pag- + pa- + tunay (nominalized causative action) | proof, verification, act of proving | Refers to the act or process of proving or verifying. Common in formal contexts discussing demonstration of truth. | [CORE] |
| tunay | napatunayan | napatunayan | na- + pa- + tunay + -an (completed causative) | was proven, was verified, was demonstrated | Completed aspect indicating something has been proven or verified. Common in reporting verified facts or demonstrated claims. | [CORE] |
| tama | katamaan | katamaan | ka- + tama + -an (circumfix nominalizer) | correctness, rightness, accuracy | Abstract noun for the quality of being correct or right. Used in evaluative and instructional contexts. | [CORE] |
| tama | tamaan | tamaan | tama + -an (locative/recipient verb suffix) | to be hit, to be struck, to be affected | Verb meaning to be hit or struck by something. Also used metaphorically for being affected by circumstances. **[Note: Semantic shift from correctness to physical impact]** | [CORE] |
| tama | tumama | tumama | -um- + tama (actor-focus verb infix) | to hit, to strike, to be correct | Verb with dual meaning: (1) to hit a target physically, (2) to guess or answer correctly. Common in both physical and evaluative contexts. | [CORE] |
| tama | pagtama | pagtama | pag- + tama (nominalized action) | act of being correct, hitting the mark | Refers to the act of being correct or hitting a target. Used in both literal and figurative senses. | [CORE] |
| tama | itama | itama | i- + tama (causative verb prefix) | to correct, to make right, to fix | Causative verb meaning to correct errors or make something right. Common in instructional and corrective contexts. | [CORE] |
| tama | pagtitama | pagtitama | pag- + -ti- + tama (nominalized repeated action) | correction, act of correcting, making right | Refers to the act or process of correcting. Common in educational and editorial contexts. | [CORE] |
| tama | itinatama | itinatama | i- + -in- + tama (progressive causative) | is correcting, being corrected | Progressive aspect indicating ongoing correction. Common in describing correction process. | [CORE] |
| tama | tamang | tamang | tama + -ng (linker) | correct (that), right (which) | Linker form used before modified nouns. Extremely common in descriptive phrases. | [CORE] |
| mali | kamali-malihan | kamali-malihan | ka- + mali~mali + -han (circumfix with reduplication) | wrongness, error, mistake | Abstract noun referring to wrongness or error. Less common than simple "mali" but used in formal discourse. | [MARGINAL] |
| mali | pagkakamali | pagkakamali | pagka- + ka- + mali (state nominalizer with ka-) | mistake, error, wrongdoing | Refers to a mistake or error that has been made. Very common in everyday speech for discussing errors and mistakes. | [CORE] |
| mali | magkamali | magkamali | mag- + ka- + mali (verb: to make/commit) | to make a mistake, to err, to be wrong | Verb meaning to make a mistake or commit an error. Very common in everyday contexts discussing errors. | [CORE] |
| mali | nagkamali | nagkamali | nag- + ka- + mali (completed aspect) | made a mistake, erred, was wrong | Completed aspect indicating a mistake was made. Common in admitting or reporting past errors. | [CORE] |
| mali | magkakamali | magkakamali | mag- + ka~ka- + mali (future with reduplication) | will make a mistake, will err | Future tense indicating a mistake will be made. Used in predictions or warnings about potential errors. | [CORE] |
| mali | pagkakamali-mali | pagkakamali-mali | pagkakamali + mali (compound with reduplication) | repeated mistakes, multiple errors | Refers to repeated or multiple mistakes. Used when emphasizing pattern of errors. | [MARGINAL] |
| tapat | matapat | matapat | ma- + tapat (adjective-forming prefix) | honest, sincere, truthful | Adjectival form describing honest persons or sincere conduct. Common in character evaluation and moral discourse. | [CORE] |
| tapat | katapatan | katapatan | ka- + tapat + -an (circumfix nominalizer) | honesty, sincerity, loyalty, faithfulness | Abstract noun for the quality of being honest or faithful. Used in moral discourse and character assessment. | [CORE] |
| tapat | pagkatapat | pagkatapat | pagka- + tapat (state nominalizer) | honesty, state of being honest/faithful | Refers to the state or quality of honesty. Similar to "katapatan" but emphasizes the condition or state. | [CORE] |
| tapat | magtapat | magtapat | mag- + tapat (verb prefix) | to confess, to be honest, to tell the truth | Verb meaning to reveal truth or confess honestly. Common in contexts of confession or frank disclosure. | [CORE] |
| tapat | nagtapat | nagtapat | nag- + tapat (completed aspect) | confessed, was honest, told the truth | Past/completed form indicating past acts of confession or honest disclosure. | [CORE] |
| tapat | magtapatan | magtapatan | mag- + tapat + -an (reciprocal verb) | to be honest with each other, to confess to one another | Reciprocal form indicating mutual honesty or confession. Used when calling for frank mutual exchange. | [CORE] |
| tapat | pagtapat | pagtapat | pag- + tapat (nominalized action) | confession, act of being honest, disclosure | Refers to the act of confessing or being honest. Common in discussing acts of truthful revelation. | [CORE] |
| tapat | tapatang | tapatang | tapat + -ang (linker) | honest (that), faithful (which) | Linker form used before modified nouns. Common in descriptive phrases. | [CORE] |
| tapat | magpakatapat | magpakatapat | mag- + paka- + tapat (verb with intensifier) | to be completely honest, to be as truthful as possible | Intensified verb form emphasizing maximum honesty. Used when urging complete frankness. | [CORE] |
| tapat | kawalang-katapatan | kawalang-katapatan | kawalan (lack) + ng (of) + katapatan | lack of honesty, dishonesty, disloyalty | Formal expression for absence of honesty or faithfulness. Used in formal moral or legal discourse. | [MARGINAL] |
| wasto | kawastuhan | kawastuhan | ka- + wasto + -han (circumfix nominalizer variant) | correctness, accuracy, propriety | Abstract noun for the quality of being correct or proper. Used in formal or technical contexts. | [CORE] |
| wasto | wastong | wastong | wasto + -ng (linker) | correct (that), proper (which) | Linker form used before modified nouns. Common in formal descriptive phrases. | [CORE] |
| wasto | iwasto | iwasto | i- + wasto (causative prefix) | to correct, to rectify, to make proper | Causative verb meaning to correct or make something proper. Common in formal corrective contexts. | [CORE] |
| wasto | pagwawasto | pagwawasto | pag- + wa~wasto (nominalized action with reduplication) | correction, rectification, act of correcting | Refers to the act or process of correcting. Used in formal or technical contexts. | [CORE] |
| hustó | kahustuhan | kahustuhan | ka- + hustó + -han (circumfix nominalizer variant) | exactness, appropriateness, fitness | Abstract noun for the quality of being exact or fitting. Used in formal contexts discussing precision or appropriateness. | [CORE] |
| hustó | hustong | hustong | hustó + -ng (linker) | exact (that), fitting (which) | Linker form used before modified nouns. Common in descriptive phrases about measurements or appropriateness. | [CORE] |
| hustó | ihustó | ihustó | i- + hustó (causative prefix) | to adjust exactly, to make fitting | Causative verb meaning to adjust or make something exactly right. Used in contexts requiring precise adjustment. | [CORE] |
| sinungaling | kasinungalingan | kasinungalingan | ka- + sinungaling + -an (circumfix nominalizer) | lie, falsehood, untruth | Refers to false statements made with intent to deceive. Common in everyday and moral discourse about dishonesty. | [CORE] |
| sinungaling | magsinungaling | magsinungaling | mag- + sinungaling (verb prefix) | to lie, to tell lies, to deceive | Verb meaning to tell lies or deceive. Common in everyday contexts discussing dishonest speech. | [CORE] |
| sinungaling | nagsinungaling | nagsinungaling | nag- + sinungaling (completed aspect) | lied, told lies, deceived | Past/completed form indicating past acts of lying. Common in reporting or admitting dishonest behavior. | [CORE] |
| sinungaling | pagsisinungaling | pagsisinungaling | pag- + si~sinungaling (nominalized action with reduplication) | lying, act of lying, deception | Refers to the act or practice of lying. Common in moral discourse about dishonest behavior. | [CORE] |
| peke | pagkapeke | pagkapeke | pagka- + peke (state nominalizer) | fakeness, state of being fake | Refers to the quality or state of being fake or counterfeit. Used in discussions about authenticity. | [CORE] |
| peke | magpeke | magpeke | mag- + peke (verb prefix) | to fake, to counterfeit, to pretend | Verb meaning to fake or counterfeit something. Used in contexts of deception or imitation. | [CORE] |
| peke | magpeke-peke | magpeke-peke | mag- + peke~peke (verb with reduplication) | to pretend, to act fake | Verb with reduplication indicating pretense or acting fake. Common in describing insincere behavior. | [CORE] |
| huwad | kahuwaran | kahuwaran | ka- + huwar + -an (circumfix nominalizer, variant root form) | model, example, pattern | Refers to a model or example to be followed. **[Note: Semantic shift - this derivation has moved away from falseness to exemplarity]** | [CORE] |
| huwad | paghuhuwad | paghuhuwad | pag- + hu~huwad (nominalized action with reduplication) | counterfeiting, falsification, act of faking | Refers to the act of counterfeiting or falsifying. Used in legal and formal contexts about fraud. | [CORE] |
| huwad | humarad | humarad | -um- + huwad (actor-focus verb infix, with phonological change) | to counterfeit, to falsify, to imitate | Verb meaning to counterfeit or falsify. Used in contexts of fraudulent imitation. | [CORE] |
| bulaán | kabulaanan | kabulaanan | ka- + bulaán + -an (circumfix nominalizer) | falsehood, falsity, untruth | Abstract noun referring to falsehood or falsity. Used in formal discourse about false statements. | [CORE] |
| bulaán | magbulaan | magbulaan | mag- + bulaán (verb prefix) | to lie to each other, to deceive one another | Reciprocal verb indicating mutual lying or deception. Used in contexts of mutual dishonesty. | [CORE] |
| bulaán | pagbubulaan | pagbubulaan | pag- + bu~bulaán (nominalized action with reduplication) | lying, mutual deception | Refers to the act of lying or mutual deception. Used in discussing dishonest behavior. | [CORE] |
| kathâ | kathang-isip | kathang-isip | kathâ + -ng + isip (mind/thought) | imagination, figment of imagination, made-up | Fixed compound referring to something imagined or made up. Common in dismissing fictional or imaginary claims. | [CORE] |
| kathâ | kumatha | kumatha | -um- + kathâ (actor-focus verb infix) | to invent, to fabricate, to create fiction | Verb meaning to invent or create fiction. Used in literary contexts and in describing fabrication. | [CORE] |
| kathâ | pagkakatha | pagkakatha | pag- + ka- + kathâ (nominalized action) | invention, creation, act of fabricating | Refers to the act of inventing or creating fiction. Used in literary and creative contexts. | [CORE] |
| kathâ | kathain | kathain | kathâ + -in (object-focus verb suffix) | to invent (something), to fabricate (something) | Object-focus verb form indicating invention or fabrication of specific object. Used in creative and deceptive contexts. | [CORE] |
| tiwala | magtiwala | magtiwala | mag- + tiwala (verb prefix) | to trust, to have confidence in | Verb meaning to trust or have confidence in someone or something. Very common in everyday contexts. | [CORE] |
| tiwala | pagtitiwala | pagtitiwala | pag- + ti~tiwala (nominalized action with reduplication) | trust, confidence, act of trusting | Refers to trust or the act of trusting. Common in discussing trust relationships. | [CORE] |
| tiwala | tiwalaang | tiwalaang | tiwala + -ang (linker) | trusted (that), reliable (which) | Linker form used before modified nouns. Common in descriptive phrases about trusted persons or things. | [CORE] |
| tiwala | ipagkatiwala | ipagkatiwala | i- + pag- + ka- + tiwala (complex causative) | to entrust, to place confidence in | Complex causative verb meaning to entrust something to someone. Common in contexts of delegation or trust. | [CORE] |
| tiwala | mapagkakatiwalaan | mapagkakatiwalaan | ma- + pag- + ka~ka- + tiwala + -an (complex derivation with multiple affixes) | trustworthy, reliable, dependable | Describes persons or things that can be trusted or relied upon. Used in evaluating character and reliability. | [CORE] |
| sigurado | magsigurado | magsigurado | mag- + sigurado (verb prefix) | to make sure, to ensure, to be certain | Verb meaning to make sure or ensure something. Common in contexts requiring verification or certainty. | [CORE] |
| sigurado | pagsisigurado | pagsisigurado | pag- + si~sigurado (nominalized action with reduplication) | making sure, ensuring, verification | Refers to the act of making sure or ensuring. Used in contexts of verification and confirmation. | [CORE] |
| sigurado | siguradong | siguradong | sigurado + -ng (linker) | sure (that), certain (which) | Linker form used before modified nouns or clauses. Very common in expressing certainty. | [CORE] |
