| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|---|---|---|---|---|---|---|
| *òtítọ́* | *irọ́* | òtítọ́ / irọ́ | truth, truthfulness / lie, falsehood, untruth | P1 explicitly identifies *irọ́* as "the direct antonym of *òtítọ́*" and "the standard antonym of *òtítọ́*." The two terms appear together in proverbs (*irọ́ àti òtítọ́ kò lè papọ̀ gbé*, "lie and truth cannot coexist"), in parallel verbal collocations (*sọ òtítọ́* / *sọ irọ́*), in parallel proverbs (*òtítọ́ kò ní kú* / *irọ́ kò ní dúró*), and in parallel negative future assertions about their respective fates. They appear in directly parallel syntactic frames: *Òtítọ́ ni ó sọ* vs. *Irọ́ ni ó sọ*; *Kò sí òtítọ́ nínú ọ̀rọ̀ rẹ̀* vs. *Kò sí irọ́ nínú ọ̀rọ̀ rẹ̀*. P3 identifies them as "the most consistently paired terms in the entire dataset." The contrast is between a statement that corresponds to reality and one that does not, used across moral, legal, and everyday discourse. | lexical | [CORE] |
| *sọ òtítọ́* | *sọ irọ́* | sọ òtítọ́ / sọ irọ́ | speak the truth, tell the truth / tell a lie, lie | Both constructions share the same verb (*sọ*, to say/speak) and differ only in the object noun. P2b documents them as parallel constructions and P3 identifies them as a "matched pair across moral, legal, and everyday discourse." Both are verbal collocations built on the same verb *sọ* with contrasting nominal objects; P2b documents them as the standard antonymic pair for truth-telling versus lying across all registers. The constructional parallelism is exact: same verb, contrasting object. *pa irọ́* is documented in P2b as a common alternative to *sọ irọ́* with the same meaning. | constructional | [CORE] |
| *òtítọ́ kò ní kú* | *irọ́ kò ní dúró* | òtítọ́ kò ní kú / irọ́ kò ní dúró | truth will not die / a lie will not stand | Two proverbial constructions documented in P2b that assert the permanence of truth and the impermanence of falsehood respectively. Both use the negative future construction *kò ní* but with different predicates (*kú* "die" vs. *dúró* "stand/endure"), producing a structural parallel with opposing semantic outcomes. | constructional | [CORE] |
| *ó tọ́* | *kò tọ́* | ó tọ́ / kò tọ́ | it is correct / it is not correct; it is right / it is wrong; it is proper / it is improper | P2b documents these as the affirmative and negative predicative forms of the root *tọ́*, described as "fully parallel" and "extremely common in everyday and formal discourse." P4a and P4b identify them as the core attributive and negative attributive construction pair in the truth domain. They appear in directly parallel constructions: *Ó tọ́ pé kí a sọ òtítọ́* vs. *Kò tọ́ pé kí o sọ irọ́*. The pair is documented as a highly productive evaluative construction used across factual, moral, procedural, and social domains. | constructional | [CORE] |
| *ó tọ́ pé* | *kò tọ́ pé* | ó tọ́ pé / kò tọ́ pé | it is right that / it is not right that | P2b documents these as the propositional-complement versions of the *ó tọ́* / *kò tọ́* pair, extending the correctness evaluation to embedded clauses. The contrast is structurally parallel to Opposition 4 but operates at the level of propositional content rather than simple predication. | constructional | [CORE] |
| *òtítọ́ ni* | *kò sí òtítọ́ nínú ọ̀rọ̀ rẹ̀* | òtítọ́ ni / kò sí òtítọ́ nínú ọ̀rọ̀ rẹ̀ | it is the truth; that is true / there is no truth in his/her words | P2b documents both as fixed assertive constructions used in legal testimony and everyday dispute; the first affirms the truth of a statement, the second denies it. The contrast is between existential affirmation and existential denial of truth within a specific speech act or account. | constructional | [CORE] |
| *ìmọ̀* | *àìmọ̀* | ìmọ̀ / àìmọ̀ | knowledge, understanding, awareness / ignorance, lack of knowledge, unawareness | P1 identifies *àìmọ̀* as formed by the negation prefix *àì-* on the root *mọ̀* and describes it as contrasting with *ìmọ̀* (ignorance). P2a documents *àìmọ̀* as "the standard negated nominal form of *ìmọ̀*," derived by the productive *àì-* prefix. P3 assigns both to the same group as antonyms and identifies the two as "the core opposition" in Group 4. The morphological negation is transparent and productive. The pair appears in directly parallel constructions: *Ó ní ìmọ̀ nípa rẹ̀* vs. *Kò ní ìmọ̀ nípa rẹ̀*. Both forms are used in legal and evaluative contexts to assess whether a person's testimony or conduct is epistemically grounded. | morphological | [CORE] |
| *olùmọ̀* | *aláìmọ̀* | olùmọ̀ / aláìmọ̀ | knowledgeable person, one who knows / ignorant person, one who lacks knowledge | These are the agentive nominals derived from *mọ̀* (to know) and its negation, respectively, documented in P2a. The contrast is between a person characterized by relevant knowledge and one characterized by its absence, used in evaluations of credibility and reliability. | morphological | [CORE] |
| *ó ní ìmọ̀ nípa rẹ̀* | *kò ní ìmọ̀ nípa rẹ̀* | ó ní ìmọ̀ nípa rẹ̀ / kò ní ìmọ̀ nípa rẹ̀ | he/she has knowledge of it / he/she has no knowledge of it | These are directly parallel possessive constructions documented in P2b, differing only in the presence of the negator *kò*. They are used in legal and evaluative contexts to assert or deny that a person has the knowledge required for reliable testimony or culpable conduct. | constructional | [CORE] |
| *ẹni tó mọ̀* | *ẹni tí kò mọ̀* | ẹni tó mọ̀ / ẹni tí kò mọ̀ | one who knows, a knowledgeable person / one who does not know, an uninformed person | P1b documents both as relative clause constructions that identify persons by their epistemic status. The contrast is between having and lacking the relevant knowledge, expressed through the positive and negative forms of the relative clause on the same verb *mọ̀*. | constructional | [CORE] |
| *ìwà rere* | *ìwà burúkú* | ìwà rere / ìwà burúkú | good character, virtue, moral goodness / bad character, wickedness, moral corruption | P1 identifies *ìwà burúkú* as "the antonym of *ìwà rere*" and "the standard antonym of *ìwà rere*." Both are documented as P1 base items and as the "core opposition" in P3 Group 6. They share the same head noun (*ìwà*) and differ only in the evaluative modifier (*rere* "good" vs. *burúkú* "bad/evil"). P3 places them at opposite poles of Group 4. They appear in parallel evaluative constructions: *Ó ní ìwà rere* vs. *Kò ní ìwà rere*; *Ìwà rere ló ń gbé ènìyàn ga* vs. *Ìwà búburú rẹ̀ ló pa á*. The contrast is between a person's fundamental nature being judged morally good versus morally deficient. *(Note: the modifier appears as both *burúkú* and *búburú* across probes; both forms are preserved as attested.)* | lexical | [CORE] |
