# F6 — NATURALNESS TABLE

| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|----------|---------------------------|-----------------|-------------------|-------|
| 1 | Ọ̀rọ̀ náà di òtítọ́ | Ọ̀rọ̀ náà di òtítọ́ | [CORE] | Standard change-of-state construction. Used when something previously uncertain is revealed to be true. |
| 1 | Ó di tọ́ | Ó di tọ́ | [CORE] | Common in narrative contexts describing verification or vindication. |
| 1 | Ìrò̩run rẹ̀ di òtítọ́ | Ìrò̩run rẹ̀ di òtítọ́ | [CORE] | "His/her dream came true" - very natural expression. |
| 2 | Ọ̀rọ̀ tí ó ti tọ́ di irọ́ | Ọ̀rọ̀ tí ó ti tọ́ di irọ́ | [MARGINAL] | Less common because statements don't typically "become lies" - they are lies from the start. |
| 2 | Ó di àìtọ́ | Ó di àìtọ́ | [CORE] | More common for describing something that turns out to be incorrect. |
| 3 | Kò tọ́ mọ́ | Kò tọ́ mọ́ | [CORE] | Standard expression for cessation of truth-states. |
| 3 | Ọ̀rọ̀ náà kò jẹ́ òtítọ́ mọ́ | Ọ̀rọ̀ náà kò jẹ́ òtítọ́ mọ́ | [CORE] | Emphasizes that something was previously true but is no longer the case. |
| 4 | Mo bẹ̀rẹ̀ sí gbàgbọ́ | Mo bẹ̀rẹ̀ sí gbàgbọ́ | [CORE] | Very common in contexts describing gradual acceptance of claims. |
| 4 | Ó bẹ̀rẹ̀ sí gbàgbọ́ pé ó tọ́ | Ó bẹ̀rẹ̀ sí gbàgbọ́ pé ó tọ́ | [CORE] | Standard inchoative construction with epistemic verbs. |
| 4 | Àwọn ènìyàn bẹ̀rẹ̀ sí gbàgbọ́ ọ̀rọ̀ rẹ̀ | Àwọn ènìyàn bẹ̀rẹ̀ sí gbàgbọ́ ọ̀rọ̀ rẹ̀ | [CORE] | Common in narrative contexts about growing conviction. |
| 5 | Mo dẹ́kun gbàgbọ́ | Mo dẹ́kun gbàgbọ́ | [CORE] | Emphasizes deliberate act of stopping belief. |
| 5 | Kò gbàgbọ́ mọ́ | Kò gbàgbọ́ mọ́ | [CORE] | Simply states current non-belief state. |
| 5 | Mo ti dẹ́kun gbàgbọ́ irọ́ rẹ̀ | Mo ti dẹ́kun gbàgbọ́ irọ́ rẹ̀ | [CORE] | Common in contexts of disillusionment or discovery of deception. |
| 6 | Mo di dájú | Mo di dájú | [CORE] | Describes transition from uncertainty to certainty. |
| 6 | Ó di dájú pé ó tọ́ | Ó di dájú pé ó tọ́ | [CORE] | Very common in investigative and epistemic contexts. |
| 6 | Lẹ́yìn ìwádìí, ó di dájú | Lẹ́yìn ìwádìí, ó di dájú | [CORE] | Can describe both personal and objective certainty. |
| 7 | Mo kò dájú mọ́ | Mo kò dájú mọ́ | [CORE] | Standard expression for loss of certainty. |
| 7 | Ó kò dájú mọ́ pé ó tọ́ | Ó kò dájú mọ́ pé ó tọ́ | [CORE] | Reflects conceptualization of uncertainty as absence of certainty. |
| 8 | Ó mú mi gbàgbọ́ | Ó mú mi gbàgbọ́ | [CORE] | Standard causative construction for inducing belief. |
| 8 | Ẹ̀rí rẹ̀ mú mi gbàgbọ́ | Ẹ̀rí rẹ̀ mú mi gbàgbọ́ | [CORE] | Very common in contexts of persuasion and evidence. |
| 8 | Ó mú wọn gbàgbọ́ pé ó tọ́ | Ó mú wọn gbàgbọ́ pé ó tọ́ | [CORE] | Common in argumentation contexts. |
| 8 | Jẹ́ kí wọ́n gbàgbọ́ | Jẹ́ kí wọ́n gbàgbọ́ | [CORE] | Permissive rather than directly causative. |
| 9 | Ó mú mi mọ̀ òtítọ́ | Ó mú mi mọ̀ òtítọ́ | [CORE] | Direct causation of knowledge. |
| 9 | Ẹ̀rí náà mú wọn mọ̀ òtítọ́ | Ẹ̀rí náà mú wọn mọ̀ òtítọ́ | [CORE] | Common in investigative contexts. |
| 9 | Fi òtítọ́ hàn fún mi | Fi òtítọ́ hàn fún mi | [CORE] | Standard construction for revelation or disclosure. |
| 9 | Ó fi òtítọ́ hàn fún àwọn ènìyàn | Ó fi òtítọ́ hàn fún àwọn ènìyàn | [CORE] | Very common in truth-revelation contexts. |
| 10 | Ó tan mi | Ó tan mi | [CORE] | Simple transitive verb for deception. |
| 10 | Ó tan àwọn ènìyàn | Ó tan àwọn ènìyàn | [CORE] | Very common in contexts of fraud. |
| 10 | Ó mú mi gbàgbọ́ irọ́ rẹ̀ | Ó mú mi gbàgbọ́ irọ́ rẹ̀ | [CORE] | More explicit about false content. |
| 10 | Ẹ̀tàn rẹ̀ mú wọn gbàgbọ́ irọ́ | Ẹ̀tàn rẹ̀ mú wọn gbàgbọ́ irọ́ | [CORE] | Common in contexts of elaborate deception. |
| 11 | Ó mú ọ̀rọ̀ náà di òtítọ́ | Ó mú ọ̀rọ̀ náà di òtítọ́ | [CORE] | Can mean "make become true" or "establish as true" depending on context. |
| 11 | Ìṣe rẹ̀ ṣe ọ̀rọ̀ náà di òtítọ́ | Ìṣe rẹ̀ ṣe ọ̀rọ̀ náà di òtítọ́ | [CORE] | Alternative causative construction. |
| 11 | Gbé òtítọ́ kalẹ̀ | Gbé òtítọ́ kalẹ̀ | [CORE] | Fixed expression for establishing or proving truth. |
| 11 | Ẹ̀rí rẹ̀ gbé òtítọ́ kalẹ̀ | Ẹ̀rí rẹ̀ gbé òtítọ́ kalẹ̀ | [CORE] | Common in legal and investigative contexts. |
| 12 | Fẹ̀sẹ̀múlẹ̀ pé ó tọ́ | Fẹ̀sẹ̀múlẹ̀ pé ó tọ́ | [CORE] | Standard verification construction. |
| 12 | Mo ṣe ìfẹ́sẹ̀múlẹ̀ ọ̀rọ̀ náà | Mo ṣe ìfẹ́sẹ̀múlẹ̀ ọ̀rọ̀ náà | [CORE] | Common in formal verification contexts. |
| 12 | Ẹ̀rí náà mú mi dájú | Ẹ̀rí náà mú mi dájú | [CORE] | Causative construction for inducing certainty. |
| 12 | Ó mú wọn dájú pé ó tọ́ | Ó mú wọn dájú pé ó tọ́ | [CORE] | Very common in investigative contexts. |
