| Prompt # | Expression (Native Script) | Transliteration | Naturalness Rating | Notes |
|---|---|---|---|---|
| 1 | (no common expression identified) | (no common expression identified) | (no common expression identified) | for ‘X becomes true / real’ with **chiqaq** |
| 2 | (no common expression identified) | (no common expression identified) | (no common expression identified) | for ‘X becomes truth / reality’ with **chiqaq kay** |
| 3 | (no common expression identified) | (no common expression identified) | (no common expression identified) | for ‘X becomes mistaken / wrong’ with **pantasqa** |
| 4 | (no common expression identified) | (no common expression identified) | (no common expression identified) | for ‘X becomes in error’ with **pantay** |
| 5 | (no common expression identified) | (no common expression identified) | (no common expression identified) | for ‘X becomes false’ with **llullasqa** |
| 6 | (no common expression identified) | (no common expression identified) | (no common expression identified) | for ‘X becomes a liar’ with **llullaq / llulla runa** |
| 7 | pantachiy | pantachiy | (no rating provided) | ‘to mislead; to cause to err; to confuse’ |
| 8 | pantayman churay | pantayman churay | (no rating provided) | ‘to lead into error; to misdirect’ |
| 9 | pantachiy | pantachiy | (no rating provided) | ‘to mislead; cause to err’ |
| 10 | pantachisqa | pantachisqa | (no rating provided) | ‘misled; mistaken through deception or confusion’ |
| 11 | llullakuy | llullakuy | (no rating provided) | ‘to lie; to tell lies; to deceive’ |
| 12 | chiqap | chiqap | (no rating provided) | ‘truly; really; in truth’ |
| 13 | chiqaqta | chiqaqta | (no rating provided) | ‘truly; really’ |
| 14 | allinmi | allinmi | (no rating provided) | ‘it is right / correct’ |
| 15 | pantasqa | pantasqa | (no rating provided) | ‘it is mistaken / wrong’ |
| 16 | mana allin | mana allin | (no rating provided) | ‘not right; wrong; improper’ |
| 17 | chiqaq | chiqaq | (no rating provided) | ‘true; real; genuine’ |
| 18 | huchayuq | huchayuq | (no rating provided) | ‘guilty; culpable; sinful’ |
