| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|---|---|---|---|---|---|
| egia | egia esan | — | to tell the truth; truth be told | Very common fixed expression in speech and writing. It introduces frankness, correction, or a candid personal stance. | [CORE] |
| egia | egia esateko | — | to tell the truth; honestly | Common discourse marker used much like English “to tell the truth.” Often introduces an admission, hesitation, or softened disagreement. | [CORE] |
| egia | egia da | — | it is true | Extremely common evaluative clause for affirming or conceding truth. Frequent in argumentation, narration, and everyday discussion. | [CORE] |
| egia | egia ote den | — | whether it is true | Common embedded construction for doubt, inquiry, or evidential uncertainty. Used in both everyday and formal prose. | [CORE] |
| egia | egia bilatu | — | seek the truth | Used in philosophical, journalistic, legal, and moral contexts. Refers to inquiry, investigation, or existential searching. | [CORE] |
| egia | egia jakin | — | know the truth; learn the truth | Common in narratives and interpersonal situations where concealed facts are revealed. Also used in legal and journalistic contexts. | [CORE] |
| egia | egia aurkitu | — | find the truth | Common in investigative and revelatory contexts. Used for discovering facts after uncertainty, concealment, or deception. | [CORE] |
| egia | egia agerian jarri | — | bring the truth to light | Common in legal, journalistic, and political discourse for exposing hidden facts. It has a strong public-revelation nuance. | [CORE] |
| egia | egia azaleratu | — | reveal the truth; bring out the truth | Used when hidden facts emerge or are made public. Slightly more formal in tone than some everyday alternatives. | [CORE] |
| egia | egia osoa | — | the whole truth | Common in legal, journalistic, and interpersonal settings where full disclosure is contrasted with partial disclosure. | [CORE] |
| egia | egia hutsa | — | pure truth; nothing but the truth | Emphatic expression used to insist that something is entirely true. Common in testimony, argument, and rhetorical emphasis. | [CORE] |
| egia | egia borobila | — | the plain truth; absolute truth | Idiomatic emphatic expression for an undeniable or complete truth. Common in expressive speech and writing. | [CORE] |
| egia | egia erdi | — | half-truth | Used for statements that are partly true but misleading. Common in political, journalistic, and interpersonal evaluation. | [CORE] |
| egiazko | egiazko adiskide | — | a true friend | Common collocation in interpersonal and moral evaluation. It stresses sincerity, loyalty, or authenticity in friendship. | [CORE] |
| egiazko | egiazko maitasun | — | true love; genuine love | Used in everyday, literary, and religious discourse. It emphasizes sincerity and authenticity of feeling. | [CORE] |
| egiazko | egiazko istorio | — | true story | Common for narratives presented as factually based rather than fictional. Used in media, publishing, and conversation. | [CORE] |
| egiazko | egiazko arrazoia | — | the real reason; true reason | Used when distinguishing an actual underlying reason from an apparent or stated one. Common in explanation and argument. | [CORE] |
| egiaz | (no common expression identified) | — | — | No clearly fixed multi-word construction is securely identifiable here beyond ordinary free adverbial use. | [CORE] |
| egiazki | (no common expression identified) | — | — | Although the adverb itself is attested, no specific common multi-word construction is securely supported by the provided material. | [CORE] |
| benetako | (no common expression identified) | — | — | The adjective is very common, but no specific fixed multi-word construction is securely established from the provided material. | [CORE] |
| benetan | (no common expression identified) | — | — | This is a very frequent adverb in free use, but no particular fixed construction is securely supported here. | [CORE] |
| zinez | (no common expression identified) | — | — | Common as an adverb of sincerity or emphasis, but no specific fixed multi-word construction is securely identifiable from the supplied material. | [CORE] |
| egoki | (no common expression identified) | — | — | The adjective is common, but no particular attested multi-word construction is securely supported in the present dataset. | [CORE] |
| zuzen | zuzen jokatu | — | act correctly; act properly | Common in moral, social, and procedural evaluation. It refers to fairness, propriety, or doing the right thing. | [CORE] |
| zuzen | zuzen ibili | — | behave properly; go straight | Used both literally and figuratively. In figurative use it often concerns proper conduct or staying on the right course. | [CORE] |
| zuzen | zuzen erantzun | — | answer correctly | Common in educational and evaluative settings. Also used in interviews and procedural exchanges. | [CORE] |
| zuzen | zuzen idatzi | — | write correctly | Common in language teaching, proofreading, and literacy contexts. Refers especially to orthographic or grammatical correctness. | [CORE] |
| zuzen | zuzen ahoskatu | — | pronounce correctly | Used in language learning and phonetic instruction. It evaluates correctness of pronunciation rather than truth. | [CORE] |
| zuzena | (no common expression identified) | — | — | Although highly frequent in discourse as an inflected evaluative form, no specific fixed multi-word construction is securely supported here. | [CORE] |
| zuzentasun | (no common expression identified) | — | — | The noun is established, but no particular multi-word construction is securely identifiable from the provided material. | [CORE] |
| oker | (no common expression identified) | — | — | The adjective/adverb is very common, but no fixed construction is securely supported by the present evidence. | [CORE] |
| faltsu | (no common expression identified) | — | — | Common adjective for falsity and fakery, but no specific attested multi-word construction is securely established here. | [CORE] |
| gezur | gezurra esan | — | tell a lie; lie | The most common verbal expression for lying. Used in everyday moral evaluation, parenting, education, and legal testimony. | [CORE] |
| gezur | gezurretan ari | — | be lying | Very common progressive expression in everyday speech for identifying or accusing someone of lying. | [CORE] |
| gezur | gezurrez salatu | — | accuse falsely | Common in legal, journalistic, and interpersonal contexts involving false accusation. It highlights the falsity of the accusation rather than mere error. | [CORE] |
| gezur | gezur hutsa | — | pure lie; complete falsehood | Common emphatic expression for rejecting a claim as entirely false. Frequent in argument, journalism, and everyday speech. | [CORE] |
| gezur | gezur borobila | — | outright lie; blatant lie | Idiomatic emphatic phrase for a clear and total lie. Common in colloquial and rhetorical use. | [CORE] |
| gezur | gezur erdi | — | half-lie | Used for statements that are not wholly fabricated but are still deceptive. Common in moral and political evaluation. | [CORE] |
| gezurrezko | gezurrezko testigantza | — | false testimony | Used in legal, religious, and moral contexts. Refers to testimony that is untrue or deceitful. | [CORE] |
| gezurrezko | gezurrezko agiri | — | false document; forged document | Common in legal and administrative contexts for fabricated or falsified documents. | [CORE] |
| gezurrezko | gezurrezko nortasun | — | false identity | Used in policing, legal, and journalistic contexts for assumed or fabricated identity. | [CORE] |
| gezurrezko | gezurrezko albiste | — | fake news; false news | Common in media criticism and public discourse about misinformation. | [CORE] |
| gezurrezko | gezurrezko akusazio | — | false accusation | Common in legal reporting and interpersonal conflict. It directly marks the accusation as false or fabricated. | [CORE] |
| gezurrezko | gezurrezko promesa | — | false promise | Used in political criticism, interpersonal judgment, and moral discourse for promises lacking sincerity or truth. | [CORE] |
| gezurrezko | gezurrezko itxaropen | — | false hope | Common in emotional, ethical, and medical discussion where unrealistic or deceptive hope is criticized. | [CORE] |
| gezurrezko | gezurrezko irudi | — | false image; fake image | Used for deceptive representation, manipulated appearance, or misleading public image. Appears in media, art, and social commentary. | [CORE] |
| gezurrezko | gezurrezko oroitzapen | — | false memory | Used in psychology, legal testimony, and public discussion of memory reliability. | [CORE] |
| fidagarri | (no common expression identified) | — | — | The adjective is common for reliability, but no specific fixed multi-word construction is securely supported by the provided material. | [CORE] |
| sinesgarri | (no common expression identified) | — | — | Common adjective for credibility or believability, but no particular fixed construction is securely identifiable here. | [CORE] |
| sinetsi | (no common expression identified) | — | — | The verb is central semantically, but no specific multi-word construction is securely supported in the supplied material. | [CORE] |
| autentiko | (no common expression identified) | — | — | Common adjective for authenticity, but no fixed construction is securely established from the present evidence. | [CORE] |
| jator | (no common expression identified) | — | — | Because of semantic spread and lack of specific support in the dataset, no particular multi-word construction is listed here. | [CORE] |
| itxurazko | (no common expression identified) | — | — | The adjective is established, but no specific fixed construction is securely supported by the provided material. | [CORE] |
| antzeko | (no common expression identified) | — | — | Common adjective of resemblance, but no particular attested construction is securely identifiable here. | [CORE] |
| berdin | (no common expression identified) | — | — | Very common in ordinary syntax, but no fixed multi-word construction is securely supported in the present material. | [CORE] |
| identiko | (no common expression identified) | — | — | Used in formal and technical contexts, but no specific multi-word construction is securely identifiable from the supplied data. | [CORE] |
| funtsean | (no common expression identified) | — | — | Common adverb in analytical prose, but no fixed multi-word construction is securely supported here. | [CORE] |
