# CLCA Protocol v3.2 — F5 Opposition Table
# Language: Tagalog (tl)

| Term A | Term B | Transliteration | Translation | Contrast Description | Contrast Type | Epistemic Status |
|--------|--------|-----------------|-------------|---------------------|---------------|------------------|
| totoo | hindi totoo / di-totoo | totoo vs. hindi totoo / di-totoo | "true, real" vs. "not true, false, unreal" | Direct morphological negation of factual truth using standard negator **hindi** or contracted **di-**. This is the primary opposition for factual correspondence to reality. | morphological | [CORE] |
| totoo | kasinungalingan | totoo vs. kasinungalingan | "true, real" vs. "lie, falsehood, untruth" | Lexical opposition between factual truth and intentional falsehood. **Kasinungalingan** specifically denotes false statements made with intent to deceive, contrasting with the factual reality denoted by **totoo**. | lexical | [CORE] |
| totoo | bulaán | totoo vs. bulaán | "true, real" vs. "false, untrue, fabricated" | Lexical opposition between truth and fabricated falsehood. **Bulaán** describes statements or accounts that are false or fabricated, directly contrasting with the factual reality of **totoo**. | lexical | [CORE] |
| totoo | kathâ / kathang-isip | totoo vs. kathâ / kathang-isip | "true, real" vs. "fiction, fabrication / figment of imagination" | Lexical opposition between factual reality and invented fiction. **Kathâ** and **kathang-isip** refer to things that are made up or imaginary, contrasting with the actual existence denoted by **totoo**. | lexical | [CORE] |
| katotohanan | walang-katotohanan | katotohanan vs. walang-katotohanan | "truth, reality, fact" vs. "without truth, baseless, false" | Morphological negation using **walang** (without) + nominalized form. This creates a stronger categorical negation than simple **hindi**, implying complete absence of truth rather than mere negation. | morphological | [CORE] |
| tunay | peke | tunay vs. peke | "genuine, authentic" vs. "fake, counterfeit, phony" | Lexical opposition between authenticity and fakeness. **Tunay** emphasizes genuineness while **peke** describes objects or representations that are not genuine or authentic. | lexical | [CORE] |
| tunay | huwad | tunay vs. huwad | "genuine, authentic" vs. "false, counterfeit, spurious" | Lexical opposition between authenticity and counterfeit status. **Huwad** is a more formal or literary term for something false or counterfeit, contrasting with the genuineness of **tunay**. | lexical | [CORE] |
| tama | mali | tama vs. mali | "correct, right" vs. "wrong, incorrect" | Primary lexical opposition for correctness evaluation. **Tama** indicates correctness of statements, actions, or judgments while **mali** denotes incorrectness or error. This is described in P1 as "direct opposite of 'tama' in most contexts." | lexical | [CORE] |
| tama | hindi tama / di-tama | tama vs. hindi tama / di-tama | "correct, right" vs. "not correct, wrong, improper" | Morphological negation of correctness using standard negator **hindi** or contracted **di-**. This is the standard negation pattern for denying correctness. | morphological | [CORE] |
| wasto | hindi wasto | wasto vs. hindi wasto | "correct, proper, accurate" vs. "not correct, improper, inaccurate" | Morphological negation of formal correctness term. **Wasto** indicates correctness with emphasis on precision or propriety, and its negation follows the standard **hindi** pattern. | morphological | [CORE] |
| tapat | hindi tapat / di-tapat | tapat vs. hindi tapat / di-tapat | "honest, faithful, loyal" vs. "not honest, dishonest, unfaithful" | Morphological negation of honesty/faithfulness using standard negator. This is the primary way to express dishonesty or unfaithfulness. | morphological | [CORE] |
| tapat / matapat | sinungaling | tapat / matapat vs. sinungaling | "honest, sincere, truthful" vs. "liar (one who lies)" | Lexical opposition between honest persons and liars. **Tapat/matapat** describes honest character while **sinungaling** characterizes someone who habitually tells lies, carrying strong negative moral judgment. | lexical | [CORE] |
| katapatan | walang-katapatan / kawalang-katapatan | katapatan vs. walang-katapatan / kawalang-katapatan | "honesty, sincerity, loyalty" vs. "without honesty, dishonest, disloyal" | Morphological negation using **walang** (without) + nominalized form. Creates categorical negation implying complete absence of honesty or loyalty. | morphological | [CORE] |
| magtapat (to confess, to be honest) | magsinungaling (to lie, to tell lies) | magtapat vs. magsinungaling | "to confess, to be honest, to tell the truth" vs. "to lie, to tell lies, to deceive" | Lexical opposition at the verbal level between honest disclosure and lying. These represent contrasting speech acts regarding truthfulness. | lexical | [CORE] |
| pagtapat (confession, act of being honest) | pagsisinungaling (lying, act of lying) | pagtapat vs. pagsisinungaling | "confession, act of being honest, disclosure" vs. "lying, act of lying, deception" | Lexical opposition between nominalized actions of honest disclosure and deceptive lying. These represent contrasting behavioral practices. | lexical | [CORE] |
| mapagkakatiwalaan (trustworthy, reliable) | hindi mapagkakatiwalaan | mapagkakatiwalaan vs. hindi mapagkakatiwalaan | "trustworthy, reliable, dependable" vs. "not trustworthy, unreliable, untrustworthy" | Morphological negation of trustworthiness. This opposition is central to evaluating reliability of persons or sources. | morphological | [CORE] |
| totoo ba (is it true?) | hindi totoo (not true) | totoo ba vs. hindi totoo | "is it true?" vs. "not true" | Constructional opposition between questioning truth (using **ba** particle) and denying truth (using **hindi** negator). These represent contrasting illocutionary acts regarding truth claims. | constructional | [CORE] |
| tama ka (you're right) | mali ka (you're wrong) | tama ka vs. mali ka | "you're right, you're correct" vs. "you're wrong, you're incorrect" | Constructional opposition using contrasting predicates with same subject pronoun. These are standard ways to affirm or deny someone's correctness in conversation. | constructional | [CORE] |
| may katotohanan (has truth, is truthful) | walang katotohanan (has no truth, is baseless) | may katotohanan vs. walang katotohanan | "has truth, is truthful" vs. "has no truth, is baseless" | Constructional opposition using existential **may** (has) vs. **walang** (without). This represents presence vs. absence of truth as a possessed quality. | constructional | [CORE] |
| totoo nga (truly, indeed, really is true) | hindi totoo (not true) | totoo nga vs. hindi totoo | "truly, indeed, really is true" vs. "not true" | Constructional opposition between emphatic affirmation (using **nga** particle) and negation. **Totoo nga** provides strong confirmation while **hindi totoo** denies truth. | constructional | [CORE] |
| sigurado (sure, certain) | hindi sigurado | sigurado vs. hindi sigurado | "sure, certain" vs. "not sure, uncertain" | Morphological negation of certainty. This opposition is central to expressing confidence or doubt about truth claims. | morphological | [CORE] |
| magkatotoo (to come true, to be realized) | hindi magkatotoo | magkatotoo vs. hindi magkatotoo | "to come true, to be realized" vs. "not to come true, to fail to be realized" | Morphological negation of realization/fulfillment. This represents the opposition between predictions or dreams becoming reality versus failing to materialize. | morphological | [CORE] |
| tama ang sagot (the answer is correct) | mali ang sagot (the answer is wrong) | tama ang sagot vs. mali ang sagot | "the answer is correct" vs. "the answer is wrong" | Constructional opposition using contrasting predicates with same subject. This is the standard pattern for evaluating correctness of answers in educational contexts. | constructional | [CORE] |
