# CLCA Protocol v3.2 — F1 VOCABULARY TABLE
# Language: Finnish (fi)

| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|----------------|-----------------|---------------------|-------------------|------------------|
| tosi | tosi | true | true, real, genuine | Used to describe statements that correspond to reality or facts ("tosi väite" = true claim). Also used colloquially as an intensifier meaning "really" or "very" ("tosi hyvä" = really good). Common in both everyday and formal discourse. | [CORE] |
| totuus | totuus | truth (derived from *tosi* + abstract noun suffix *-uus*) | truth | Abstract noun referring to the quality or state of being true, or to true statements/facts ("puhua totuutta" = speak the truth). Used in philosophical, legal, and everyday contexts when discussing veracity or reality. | [CORE] |
| totta | totta | partitive case of *tosi* | true (predicative) | Predicative form used in statements like "se on totta" (that is true) or "onko se totta?" (is that true?). Standard way to affirm or question the truth of a statement in Finnish. | [CORE] |
| valhe | valhe | lie, falsehood | lie, falsehood, untruth | Refers to deliberately false statements or deceptions ("puhua valhetta" = tell a lie). Used in moral, legal, and everyday contexts to denote intentional misrepresentation of facts. | [CORE] |
| valehdella | valehdella | to lie (verb derived from *valhe*) | to lie, to tell lies | Verb denoting the act of deliberately making false statements ("hän valehtelee" = he/she is lying). Implies intentional deception rather than unintentional error. | [CORE] |
| väärä | väärä | wrong, false, incorrect | wrong, false, incorrect, mistaken | Describes statements, beliefs, or actions that are incorrect or not in accordance with facts or norms ("väärä vastaus" = wrong answer). Used broadly across factual, moral, and practical domains. | [CORE] |
| väärin | väärin | wrongly, incorrectly (adverb from *väärä*) | wrongly, incorrectly, falsely | Adverbial form indicating incorrect manner ("ymmärtää väärin" = to understand wrongly). Evaluates both factual errors and moral transgressions in terms of manner. | [CORE] |
| oikea | oikea | right, correct, real | right, correct, true, real, genuine | Polysemous term meaning both "correct" in factual/moral sense and "right" as opposed to left, as well as "real/genuine" ("oikea nimi" = real name). Context determines which sense applies. | [CORE] |
| oikein | oikein | rightly, correctly (adverb from *oikea*) | correctly, rightly, properly | Adverbial form evaluating manner of action or statement ("tehdä oikein" = to do correctly). Used to affirm correctness or appropriateness of conduct or statements. | [CORE] |
| aito | aito | genuine, authentic | genuine, authentic, real | Emphasizes authenticity and genuineness of objects, materials, or persons ("aito nahka" = genuine leather, "aito ystävä" = true friend). Used when distinguishing originals from imitations or fakes. | [CORE] |
| todellinen | todellinen | real, actual (derived from *tosi* + adjectival suffix *-llinen*) | real, actual, true | Describes what actually exists or occurs as opposed to imaginary or apparent ("todellinen tilanne" = actual situation). Used to emphasize reality versus appearance or fiction. | [CORE] |
