# CLCA Protocol v3.4 — F2b Constructions Table
# Language: Sanskrit (sa)

| Base Form | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|-----------|---------|-----------------|-------------|-------------|------------------|
| सत्य / satya | सत्यं वद् | satyaṃ vad | speak truth, tell the truth | Common imperative construction combining satya (truth) with √vad (to speak). Appears in ethical instruction and Upaniṣadic teachings (e.g., Taittirīya Upaniṣad: satyaṃ vada, dharmaṃ cara "speak truth, practice dharma"). | [CORE] |
| सत्य / satya | सत्यं ब्रू | satyaṃ brū | speak truth, declare truth | Alternative to satyaṃ vad using √brū (to speak, declare). Common in classical and Vedic texts. | [CORE] |
| सत्य / satya | सत्यात् न चलितव्यम् | satyāt na chalitavyam | one should not deviate from truth | Gerundive construction expressing moral obligation not to abandon truth. Common in ethical discourse. | [CORE] |
| सत्य / satya | सत्यमेव जयते | satyam eva jayate | truth alone triumphs/conquers | Famous quotation from Muṇḍaka Upaniṣad (3.1.6), adopted as national motto of India. Expresses ultimate victory of truth. | [CORE] |
| सत्य / satya | सत्ये स्था | satye sthā | stand in/by truth, remain truthful | Construction with √sthā (to stand) expressing steadfastness in truth. Common in ethical exhortation. | [CORE] |
| सत्य / satya | सत्यं प्रतिज्ञा | satyaṃ pratijñā | promise truthfully, make a true promise | Construction combining satya with pratijñā (promise, assertion). Used for making truthful commitments. | [CORE] |
| सत्य / satya | सत्येन विजयते | satyena vijayate | conquers/triumphs by truth | Instrumental construction expressing means of victory through truth. Related to satyam eva jayate. | [CORE] |
| असत्य / asatya | असत्यं वद् | asatyaṃ vad | speak untruth, tell lies | Parallel to satyaṃ vad but with negative valence. Used in prohibitions and descriptions of immoral speech. | [CORE] |
| असत्य / asatya | असत्यं मा वद् | asatyaṃ mā vad | do not speak untruth | Prohibitive construction with mā (prohibitive particle). Common in ethical instruction. | [CORE] |
| असत्य / asatya | असत्यात् निवृत्त | asatyāt nivṛtta | turned away from untruth, abstaining from falsehood | Construction with √vṛt (to turn) expressing renunciation of falsehood. | [CORE] |
| ऋत / ṛta | ऋतं सत्यं च | ṛtaṃ satyaṃ ca | cosmic order and truth | Vedic collocation pairing ṛta and satya, emphasizing both cosmic and moral truth. Common in Vedic hymns. | [CORE] |
| ऋत / ṛta | ऋतस्य पथा | ṛtasya pathā | by the path of ṛta, according to cosmic order | Vedic expression for following the proper cosmic/moral path. Instrumental construction. | [CORE] |
| ऋत / ṛta | ऋतेन ऋतम् आप् | ṛtena ṛtam āp | attain ṛta through ṛta, reach truth through truth | Vedic construction expressing means and end both as ṛta. Found in Ṛgveda. | [CORE] |
| अनृत / anṛta | अनृतं वद् | anṛtaṃ vad | speak untruth, tell falsehood | Parallel to asatyaṃ vad but more archaic. Primarily Vedic and early classical usage. | [MARGINAL] |
| तथ्य / tathya | तथ्यं वच् | tathyaṃ vac | speak the truth, state facts | Construction emphasizing factual accuracy in speech. Less common than satyaṃ vad. | [CORE] |
| तथ्य / tathya | तथ्यं प्रति | tathyaṃ prati | toward the truth, according to fact | Prepositional construction indicating orientation toward factual truth. | [MARGINAL] |
| मृषा / mṛṣā | मृषा वद् | mṛṣā vad | speak falsely, lie | Common construction with adverb mṛṣā modifying √vad. Standard expression for lying. | [CORE] |
| मृषा / mṛṣā | मृषा कृ | mṛṣā kṛ | make false, falsify, do in vain | Construction with √kṛ (to make/do) expressing falsification or vain action. | [CORE] |
| मृषा / mṛṣā | मृषा भू | mṛṣā bhū | become false, prove false, be in vain | Construction with √bhū (to become) expressing falsification or futility. | [CORE] |
| मृषा / mṛṣā | मृषा न वक्तव्यम् | mṛṣā na vaktavyam | one should not speak falsely | Gerundive construction expressing prohibition against false speech. | [CORE] |
| प्रमाण / pramāṇa | प्रमाणं कृ | pramāṇaṃ kṛ | make authoritative, take as authority, validate | Construction expressing acceptance of something as valid authority or proof. | [CORE] |
| प्रमाण / pramāṇa | प्रमाणेन सिध् | pramāṇena sidh | be established by valid means, be proven | Instrumental construction expressing epistemic validation through pramāṇa. | [CORE] |
| प्रमाण / pramāṇa | प्रमाणं दा | pramāṇaṃ dā | give proof, provide evidence | Construction with √dā (to give) for providing validation or evidence. | [CORE] |
| प्रमाण / pramāṇa | प्रमाणाभावात् | pramāṇābhāvāt | due to absence of valid means, for lack of proof | Ablative construction expressing causal reasoning from lack of epistemic validation. | [CORE] |
| प्रमाण / pramāṇa | प्रमाणतया | pramāṇatayā | as valid means, in the capacity of authority | Instrumental abstract construction indicating functional role as pramāṇa. | [CORE] |
| प्रमाण / pramāṇa | किं प्रमाणम् | kiṃ pramāṇam | what is the proof?, what is the authority? | Interrogative construction challenging epistemic basis. Common in philosophical debate. | [CORE] |
| प्रमा / pramā | प्रमा भू | pramā bhū | become valid cognition, arise as true knowledge | Construction expressing the arising of epistemically valid cognition. | [CORE] |
| प्रमा / pramā | प्रमायाः विषयः | pramāyāḥ viṣayaḥ | object of valid cognition | Genitive construction specifying the intentional object of true knowledge. | [CORE] |
| भ्रम / bhrama | भ्रमं गम् | bhramaṃ gam | fall into error, become confused | Construction with √gam (to go) expressing entry into cognitive error. | [CORE] |
| भ्रम / bhrama | भ्रमात् | bhramāt | from error, due to confusion | Ablative construction expressing causal origin in cognitive error. | [CORE] |
| भ्रम / bhrama | भ्रमे पत् | bhrame pat | fall into error | Construction with √pat (to fall) expressing descent into error or confusion. | [CORE] |
| यथार्थ / yathārtha | यथार्थं ज्ञा | yathārthaṃ jñā | know accurately, know truly | Construction expressing accurate or true knowledge corresponding to reality. | [CORE] |
| यथार्थ / yathārtha | यथार्थं वद् | yathārthaṃ vad | speak accurately, tell truly | Construction emphasizing accurate correspondence between speech and fact. | [CORE] |
| यथार्थ / yathārtha | यथार्थतया | yathārthatayā | accurately, truly, according to reality | Instrumental abstract construction functioning adverbially for accurate representation. | [CORE] |
| धर्म / dharma | धर्मं चर् | dharmaṃ car | practice dharma, follow righteousness | Common construction with √car (to move, practice) for ethical conduct. Appears in Upaniṣadic instruction. | [CORE] |
| धर्म / dharma | धर्मं रक्ष् | dharmaṃ rakṣ | protect dharma, uphold righteousness | Construction with √rakṣ (to protect) expressing preservation of moral/cosmic order. | [CORE] |
| धर्म / dharma | धर्मात् न चलितव्यम् | dharmāt na chalitavyam | one should not deviate from dharma | Gerundive construction expressing moral obligation. Parallel to satyāt na chalitavyam. | [CORE] |
| धर्म / dharma | धर्मे स्था | dharme sthā | stand in dharma, remain righteous | Construction with √sthā expressing steadfastness in righteous conduct. | [CORE] |
| धर्म / dharma | धर्मेण | dharmeṇa | by dharma, righteously, according to law | Simple instrumental expressing means or manner according to dharma. Extremely common. | [CORE] |
| धर्म / dharma | धर्मं प्रति | dharmaṃ prati | toward dharma, concerning righteousness | Prepositional construction indicating orientation or relation to dharma. | [CORE] |
| धर्म / dharma | धर्मो रक्षति रक्षितः | dharmo rakṣati rakṣitaḥ | dharma protects those who protect it | Famous legal maxim expressing reciprocal relationship between dharma and its practitioners. Found in Manusmṛti. | [CORE] |
| अधर्म / adharma | अधर्मं चर् | adharmaṃ car | practice unrighteousness, act wrongly | Parallel to dharmaṃ car but with negative valence. Used in moral condemnation. | [CORE] |
| अधर्म / adharma | अधर्मात् निवृत्त | adharmāt nivṛtta | turned away from unrighteousness, abstaining from wrong | Construction expressing renunciation of immoral conduct. | [CORE] |
| अधर्म / adharma | अधर्मेण | adharmeṇa | by unrighteousness, wrongly, unjustly | Instrumental expressing wrongful means or manner. | [CORE] |
| साधु / sādhu | साधु साधु | sādhu sādhu | well done! excellent! bravo! | Reduplicative exclamation expressing strong approval or praise. Common in dramatic and narrative texts. | [CORE] |
| साधु / sādhu | साधु उक्तम् | sādhu uktam | well said, rightly spoken | Construction expressing approval of speech. Common in dialogue and debate. | [CORE] |
| साधु / sādhu | साधु कृतम् | sādhu kṛtam | well done, rightly done | Construction expressing approval of action. Parallel to sādhu uktam. | [CORE] |
| न्याय / nyāya | न्यायेन | nyāyena | by justice, logically, properly, according to reason | Instrumental expressing means or manner according to justice or logic. Very common. | [CORE] |
| न्याय / nyāya | न्यायं कृ | nyāyaṃ kṛ | do justice, judge rightly | Construction with √kṛ expressing administration of justice. | [CORE] |
| न्याय / nyāya | न्यायतः | nyāyataḥ | justly, logically, according to proper method | Ablative adverbial construction expressing manner according to justice or logic. | [CORE] |
| न्याय / nyāya | न्यायं प्रति | nyāyaṃ prati | toward justice, concerning logic | Prepositional construction indicating orientation toward justice or logical method. | [CORE] |
| युक्त / yukta | युक्तं यत् | yuktaṃ yat | it is proper that, it is fitting that | Construction introducing clause expressing propriety or logical necessity. | [CORE] |
| युक्त / yukta | न युक्तम् | na yuktam | it is not proper, it is unfitting | Negated construction expressing impropriety. Common in argumentation. | [CORE] |
| युक्त / yukta | युक्त्या | yuktyā | by reasoning, through argument, logically | Instrumental of yukti (reasoning) expressing logical means. Very common in philosophical texts. | [CORE] |
| अयुक्त / ayukta | अयुक्तं यत् | ayuktaṃ yat | it is improper that, it is unfitting that | Construction introducing clause expressing impropriety. Parallel to yuktaṃ yat. | [CORE] |
