| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|---|---|---|---|---|
| 1. Everyday truth / falsity of statements | These expressions are commonly used to accept, reject, or qualify what someone said, wrote, or claimed. In practice, they are especially frequent in conversation, argument, media discussion, and simple factual correction, often contrasting direct truth labels with softer correction. | **אמת** (*ʾemet*); **האמת** (*ha-ʾemet*); **לומר את האמת** (*lomar et ha-ʾemet*); **לדעת את האמת** (*ladaʿat et ha-ʾemet*); **זה נכון ש־** (*ze nakhon she-*); **נכון מאוד** (*nakhon meʾod*); **לא נכון** (*lo nakhon*); **זה לא נכון** (*ze lo nakhon*); **ממש לא נכון** (*mamash lo nakhon*); **שקר** (*sheqer*); **לספר שקר** (*lesaper sheqer*); **שקר מוחלט** (*sheqer muḥlat*); **כוזב** (*kozév*); **שקרי** (*sheqri*) | **אמיתי** (*ʾamiti*) — can also mean “genuine,” not only factually true; **לא נכון לומר ש־** (*lo nakhon lomar she-*) — often rejects wording, not only truth; **כוזב / שקרי** — overlap with formal/legal written style rather than everyday speech | In practice, they are especially frequent in conversation, argument, media discussion, and simple factual correction, often contrasting direct truth labels with softer correction. |
| 2. Softer correction, precision, and partial mismatch | This cluster is used when speakers avoid saying something is simply false and instead mark it as imprecise, overstated, or not fully exact. It is common in journalism, academic writing, careful conversation, and analytical discussion. | **מדויק** (*meduyaq*); **לא מדויק** (*lo meduyaq*); **לא לגמרי מדויק** (*lo le-gamrei meduyaq*); **דיוק** (*diyuq*); **בדיוק** (*be-diyuq*); **לא בדיוק** (*lo be-diyuq*); **ליתר דיוק** (*le-yeter diyuq*); **אם לדייק** (*ʾim ledayeq*); **לדייק** (*ledayeq*); **חוסר דיוק** (*ḥoser diyuq*); **אי-דיוק** (*ʾi-diyuq*); **ניסוח מדויק** (*nisuaḥ meduyaq*); **תיאור מדויק** (*teʾur meduyaq*); **ציטוט מדויק** (*tsitut meduyaq*) | **נכון** (*nakhon*) — can also be used where precision is at issue; **תואם את העובדות** (*toʾem et ha-uvdot*) — may function similarly in formal correction; **לא נכון לומר ש־** (*lo nakhon lomar she-*) — often belongs here as a wording-based correction | It is common in journalism, academic writing, careful conversation, and analytical discussion. |
| 3. Reliability and credibility of sources, testimony, systems, and data | These forms are used not mainly for whether one statement is true, but for whether a source, witness, report, device, or body of information can be trusted. In usage, this group is especially strong in legal, journalistic, research, technical, and administrative settings, with some colloquial alternatives. | **מהימן** (*meheman*); **מהימנות** (*mehemanut*); **אמין** (*ʾamin*); **אמינות** (*ʾaminut*); **מקור מהימן** (*maqor meheman*); **מידע מהימן** (*meidaʿ meheman*); **עדות מהימנה** (*ʿedut mehemanah*); **נתונים מהימנים** (*netunim mehemanim*); **מהימנות המקור** (*mehemanut ha-maqor*); **מהימנות הנתונים** (*mehemanut ha-netunim*); **מהימנות עדים** (*mehemanut ʿedim*); **מקור אמין** (*maqor amin*); **נראה אמין** (*nirʾeh amin*); **נשמע אמין** (*nishma amin*); **לא אמין** (*lo amin*); **בדיקת אמינות** (*bediqat ʾaminut*); **מבחן אמינות** (*mivḥan ʾaminut*); **אמינות גבוהה / נמוכה** (*ʾaminut gvohah / nemukhah*); **לפגוע באמינות** (*lifgoaʿ be-aminut*) | **נאמן / עד נאמן** (*neʾeman / ʿed neʾeman*) — adjacent, but often leans toward loyalty or witness trustworthiness depending on context; **אמת** (*ʾemet*) — may appear nearby in discourse, but usage is broader and not source-focused; **אמין** (*ʾamin*) — broader and more colloquial than **מהימן** | In usage, this group is especially strong in legal, journalistic, research, technical, and administrative settings, with some colloquial alternatives. |
| 4. Genuineness, authenticity, and “the real thing” | These expressions are used for people, objects, experiences, styles, and feelings judged as genuine rather than fake, staged, copied, or artificial. In practice they are common in cultural, culinary, interpersonal, artistic, and commercial contexts. | **אמיתי** (*ʾamiti*); **חבר אמיתי** (*ḥaver amiti*); **אהבה אמיתית** (*ahavah amitit*); **הדבר האמיתי** (*ha-davar ha-amiti*); **אותנטי** (*otenti*); **חוויה אותנטית** (*ḥavayah otentit*); **קול אותנטי** (*qol otenti*); **אוכל אותנטי** (*okhel otenti*); **לא אותנטי** (*lo otenti*); **מקורי** (*meqori*); **המסמך המקורי** (*ha-mismakh ha-meqori*); **הגרסה המקורית** (*ha-girsah ha-meqorit*); **במקור** (*ba-maqor*) | **אמיתי** (*ʾamiti*) — also used for factual truth; **מקורי** (*meqori*) — often means “original/creative,” not only “authentic”; **סיפור אמיתי** (*sipur amiti*) — can belong with factual truth rather than authenticity; **רעיון מקורי** (*raʿyon meqori*) — shifted toward creativity, not genuineness | In practice they are common in cultural, culinary, interpersonal, artistic, and commercial contexts. |
| 5. Forgery, counterfeit, and falsified items | This group is used where the issue is not just that something is wrong, but that an object, document, signature, or product is presented as genuine when it is not. The usage is especially common in legal, bureaucratic, commercial, and art-market contexts. | **זיוף** (*ziyuf*); **מזויף** (*mezuyaf*); **חשד לזיוף** (*ḥashad le-ziyuf*); **מקרה של זיוף** (*miqreh shel ziyuf*); **זיוף מסמכים** (*ziyuf mismakhim*); **זיוף חתימה** (*ziyuf ḥatimah*); **מסמך מזויף** (*mismakh mezuyaf*); **חתימה מזויפת** (*ḥatimah mezuyefet*); **מוצר מזויף** (*mutsar mezuyaf*); **יצירת אמנות מזויפת** (*yetsirat omanút mezuyefet*) | **אותנטי** (*otenti*) and **מקורי** (*meqori*) — often contrast naturally with this group; **שקרי** (*sheqri*) — can describe deceptive representation, but usually not specifically forged objects; **דומה למקור** (*dome la-maqor*) — may appear in discussions of imitation without necessarily implying forgery | The usage is especially common in legal, bureaucratic, commercial, and art-market contexts. |
| 6. Matching, correspondence, and sameness between things | These expressions are used when comparing one thing with another: records with facts, copies with originals, depictions with reality, one item with another item. In practice, they are common in technical, bureaucratic, legal, visual, and evaluative contexts, and they differ in strength from loose resemblance to exact identity. | **דומה ל־** (*dome le-*); **דומה למציאות** (*dome la-metsiʾut*); **דומה למקור** (*dome la-maqor*); **דומה מדי ל־** (*dome midei le-*); **זהה** (*zehe*); **זהה ל־** (*zehe le-*); **כמעט זהה ל־** (*kimʿat zehe le-*); **זהה לחלוטין** (*zehe la-ḥalutin*); **אינו זהה ל־** (*eino zehe le-*); **תואם** (*toʾem*); **תואם ל־** (*toʾem le-*); **תואם את** (*toʾem et*); **אינו תואם** (*eino toʾem*); **תואם לדרישות** (*toʾem le-drishot*); **תואם את העובדות** (*toʾem et ha-uvdot*); **תואם למציאות** (*toʾem la-metsiʾut*); **אינו תואם למציאות** (*eino toʾem la-metsiʾut*); **תיאור תואם למציאות** (*teʾur toʾem la-metsiʾut*) | **מדויק** (*meduyaq*) — often overlaps when the comparison is about exactness; **אמיתי / אותנטי / מקורי** — may enter the same contexts but focus more on genuineness than matching; **זהה** vs. **דומה ל־** — often contrasted directly in practice because one is exact sameness and the other is only resemblance | In practice, they are common in technical, bureaucratic, legal, visual, and evaluative contexts, and they differ in strength from loose resemblance to exact identity. |
| 7. Formal written labels for false or misleading claims | These items are especially typical of legal, bureaucratic, journalistic, and elevated written Hebrew. In usage, they often replace more colloquial **לא נכון** or **שקר**, especially when referring to declarations, testimony, representations, accusations, or publications. | **כוזב** (*kozév*); **פרסום כוזב** (*pirsum kozév*); **הצהרה כוזבת** (*hatsaharah kozevet*); **עדות כוזבת** (*ʿedut kozevet*); **מצג כוזב** (*matsag kozév*); **ידיעה כוזבת** (*yediʿah kozevet*); **שקרי** (*sheqri*); **טענה שקרית** (*taʿanah sheqrit*); **האשמה שקרית** (*haʾashamah sheqrit*); **מצג שקרי** (*matsag sheqri*); **רושם שקרי** (*roshem sheqri*) | **שקר** (*sheqer*) — broader and more everyday; **לא נכון** (*lo nakhon*) — common spoken alternative for many of the same situations; **מזויף** (*mezuyaf*) — overlaps only when the falsehood concerns objects/documents rather than claims | In usage, they often replace more colloquial **לא נכון** or **שקר**, especially when referring to declarations, testimony, representations, accusations, or publications. |
| 8. Being right, justified, or warranted in disputes and evaluations | These expressions are used when evaluating a person’s position, complaint, criticism, action, or demand as right or justified. In actual usage, this group often appears in argument, law, ethics, public commentary, and everyday concession, and it does not behave like simple truth-labeling. | **צודק** (*tsodek*); **אתה צודק** (*atah tsodek*); **צודק לגמרי** (*tsodek le-gamrei*); **יצא צודק** (*yatsa tsodek*); **לצדוק** (*litsdoq*); **צדק** (*tsedeq*); **בצדק** (*be-tsedeq*); **להצדיק** (*lehatsdiq*); **הצדקה** (*hatsdaqah*); **מוצדק** (*mutsdaq*); **בלתי מוצדק** (*bilti mutsdaq*); **טענה מוצדקת** (*taʿanah mutsdeqet*) | **נכון** (*nakhon*) — may also mean “right/correct,” but often for answers or facts; **ראוי** (*raʾuy*) — overlaps in evaluative settings, but tends toward propriety rather than being right in an argument; **צדק** (*tsedeq*) — also belongs with broader justice language below | In actual usage, this group often appears in argument, law, ethics, public commentary, and everyday concession, and it does not behave like simple truth-labeling. |
| 9. Justice, fairness, and public-moral evaluation | These expressions are used in legal, political, social, and rhetorical contexts where the issue is fairness, justice, or proper treatment rather than whether a statement is true. In practice, they often appear in institutional or public language and can extend from broad ideals to specific demands. | **צדק** (*tsedeq*); **לעשות צדק** (*laʿasot tsedeq*); **לבקש צדק** (*levaqesh tsedeq*); **למען הצדק** (*lemaʿan ha-tsedeq*); **תחושת צדק** (*teḥushat tsedeq*); **עשיית צדק** (*ʿasiyat tsedeq*); **צדק חברתי** (*tsedeq ḥevrati*); **צדק משפטי** (*tsedeq mishpati*); **צדק חלוקתי** (*tsedeq ḥaluqati*); **צדק מאחה** (*tsedeq meʾaḥeh*); **צדק פואטי** (*tsedeq poʾeti*) | **צודק** (*tsodek*) — often about a person being right, not broad justice; **מוצדק** (*mutsdaq*) — often about warrant or justification rather than justice as a social ideal; **ראוי** (*raʾuy*) — may overlap in moral evaluation without specifically invoking justice | In practice, they often appear in institutional or public language and can extend from broad ideals to specific demands. |
