# F3 — SEMANTIC GROUPS TABLE
# Language: Yoruba (yo)

| Group Label | Definition | Representative Expressions | Overlapping / Ambiguous Items | Boundary Notes |
|------------|------------|---------------------------|-------------------------------|----------------|
| GROUP 1: Statements and Their Accuracy | This group includes expressions used to evaluate whether spoken or written statements correspond to what actually occurred or exists. These terms appear in contexts where the accuracy of accounts, testimony, reports, or claims is being assessed. They are commonly used when comparing what someone says with what is known or observable about reality. | òtítọ́ (truth, truthfulness), irọ́ (lie, falsehood), tọ́ (to be true, to be correct), purọ́ (to lie), sọ òtítọ́ (to speak the truth), pa irọ́ / sọ irọ́ (to tell a lie), ọ̀rọ̀ tọ́ (true statement, correct account), irọ́ ọ̀rọ̀ (false statement, lying speech), òtítọ́ ọ̀rọ̀ (truth of the matter, the true account), tọ́ ọ̀rọ̀ (to speak truthfully, to get the matter right), ó tọ́ (it is true/correct), kò tọ́ (it is not true/correct), jẹ́ òtítọ́ (to be true, what is said is truth), jẹ́ irọ́ (to be a lie, what is said is false) | òtítọ́ ni (it is truth, truly) — functions both as statement evaluation and as emphatic affirmation; bẹ́ẹ̀ ni (it is so, that's right) — can confirm both statements and situations; jẹ́ bẹ́ẹ̀ (it is so) — evaluates both statements and states of affairs | |
| GROUP 2: Persons Characterized by Speech Patterns | This group consists of terms that characterize individuals based on their habitual patterns of truthful or deceptive speech. These expressions are used in moral evaluation of character, distinguishing people who consistently speak accurately from those who habitually lie. They appear in contexts of reputation, trust assessment, and moral judgment. | olótítọ́ (truthful person, honest person), apurọ́ (liar, one who lies), ẹlẹ́rọ́ / oníròrọ́ (liar, habitual liar), atọ́ (one who is correct, accurate person), aláìtọ́ (dishonest person, one who is incorrect), aláìlótítọ́ (dishonest person, untruthful person), máa purọ́ (to habitually lie, to be a liar), ẹnu irọ́ (lying mouth, deceitful speech) | ìpurọ́ (lying, the act of lying) — can refer both to the practice and to characterizing someone who engages in it; ìwà (character, behavior) — broader character evaluation that includes but extends beyond speech patterns | |
| GROUP 3: Moral and Legal Rightness | This group includes expressions used to evaluate conduct, judgments, and character against moral and legal standards. These terms assess whether actions, decisions, or persons conform to what is proper, just, or righteous. They appear in contexts of moral instruction, legal judgment, and evaluation of fairness. | òdodo (righteousness, justice, correctness), ṣe òdodo (to do what is right, to act justly), olódodo (righteous person, just person), ìwà òdodo (righteous character, just conduct), òdodo ọkàn (sincerity, uprightness of heart), ọ̀nà òdodo (the path of righteousness, the just way), dájọ́ ní òdodo (to judge righteously), ìwà rere (good character, good conduct), ìwà búburú (bad character, bad conduct), rere (good, right), burúkú (bad, evil, wrong), yẹ (to be fitting, to be proper) | tọ́ (to be correct, to be right) — used both for factual accuracy and moral rightness; òdodo àti òtítọ́ (righteousness and truth) — fixed pair linking moral and factual domains; ìwà (character, behavior) — general character term that encompasses moral evaluation | |
| GROUP 4: Genuineness and Authenticity | This group contains expressions that distinguish authentic instances from imitations, counterfeits, or false representations. These terms evaluate whether something is what it purports to be, assessing the genuineness of objects, persons, or situations. They appear in contexts where authenticity needs to be established or where fake versions must be distinguished from real ones. | gidi (genuine, real, authentic), gidi gidi (very genuine, absolutely real), jẹ́jẹ́ (genuine, real, authentic, veritable), pàtàkì (important, genuine, authentic), jẹ́ gidi (to be genuine, to be real), jẹ́ pàtàkì (to be genuine, to be authentic), kì í ṣe gidi (it is not genuine, it is not real) | òtítọ́ (truth) — can extend to evaluating genuineness of character or sincerity; tọ́ lọ́kàn (to be sincere, to be true in heart) — evaluates genuineness of inner disposition | |
| GROUP 5: Correspondence and Agreement | This group includes expressions that describe the relationship between things that match, align, or correspond to each other. These terms are used to assess whether statements align with facts, whether accounts agree with each other, or whether things conform to standards or models. They appear in contexts of verification, comparison, and checking for consistency. | ìbámu (agreement, correspondence, harmony), bá mu (to correspond, to match, to agree with), bá òtítọ́ mu (to correspond with truth), ní ìbámu (to have correspondence with), kò ní ìbámu (doesn't correspond, no agreement), bójúmu (to resemble, to look like), ṣe déédé (to be exact, to be accurate, to be precise), déédé (correctly, exactly, precisely), déédé ni (exactly, precisely so) | tọ́ (to be correct) — can indicate both correspondence to reality and general correctness; ìfẹ̀sẹ̀múlẹ̀ (confirmation, verification) — involves establishing correspondence but also proving truth | |
| GROUP 6: Errors and Incorrectness | This group consists of expressions that identify departures from correctness in statements, actions, or judgments. These terms mark deviations from proper standards, inaccuracies, or mistakes. They appear in contexts where accuracy is assessed and where corrections need to be made. | àṣìṣe (error, mistake, fault), ṣe àṣìṣe (to make a mistake, to commit an error), àìtọ́ (incorrectness, untruth, error), jẹ́ àìtọ́ (to be incorrect, to be untrue), kò tọ́ (it is not correct, it is not true), rí àṣìṣe (to find an error, to discover a mistake), ṣe àtúnṣe àṣìṣe (to correct an error), kò sí àṣìṣe (there is no error, it is without mistake), àṣìṣe ńlá (big mistake, serious error) | irọ́ (lie, falsehood) — can refer both to deliberate deception and to simple error; àìṣe òdodo (unrighteousness, injustice) — marks moral rather than factual error | |
| GROUP 7: Belief and Trust | This group includes expressions that describe the epistemic stance of accepting something as true or reliable. These terms are used both for belief in statements and for trust in persons, appearing in contexts where reliability, credibility, and faith are evaluated. They mark the relationship between believers and what is believed. | gbàgbọ́ (to believe, to trust), ìgbàgbọ́ (belief, faith, trust), gbàgbọ́ pé (to believe that...), gbàgbọ́ nínú (to believe in, to have faith in), agbàgbọ́ (believer, one who believes), aláìgbàgbọ́ (unbeliever, skeptic), kò gbàgbọ́ (does not believe, disbelieves), gbàgbọ́ tán (to believe completely, to be fully convinced), gbàgbọ́ láì rí (to believe without seeing), ìgbàgbọ́ ẹ̀sìn (religious faith, religious belief), gbàgbọ́ gidigidi (to believe firmly, to have strong faith) | gbà òtítọ́ (to accept the truth) — involves both belief and acknowledgment; gbà irọ́ (to believe a lie) — describes misplaced belief; gbàgbọ́ jù (to believe too much, to be gullible) — negative evaluation of excessive belief | |
| GROUP 8: Testimony and Evidence | This group consists of expressions related to providing evidence, giving testimony, or bearing witness about what one has observed or knows. These terms appear in legal contexts and in situations where establishing facts through reliable testimony is important. They mark the process of making knowledge available to others through testimony. | ẹ̀rí (witness, testimony, evidence), jẹ́rìí (to testify, to bear witness), ìjẹ́rìí (testimony, witnessing, giving evidence), ẹlẹ́rìí (witness, one who testifies), tọ́ ẹ̀rí (to give true testimony, to testify accurately), ìfẹ̀sẹ̀múlẹ̀ (confirmation, verification, proof), fẹsẹ̀ múlẹ̀ (to confirm, to verify, to establish as true), fi òtítọ́ hàn (to show/reveal the truth, to demonstrate what is true), fi ẹ̀rí hàn (to show evidence) | mú irọ́ (to catch in a lie, to expose falsehood) — involves evidence but focuses on detection; fi irọ́ hàn (to reveal a lie, to expose falsehood) — demonstrates falsity rather than truth | |
| GROUP 9: Judgment and Decision-Making | This group includes expressions related to making authoritative determinations about what is true, right, or proper. These terms appear in legal contexts and in situations requiring evaluation against standards. They mark the process and result of making judgments or decisions. | ìdájọ́ (judgment, verdict, decision), dájọ́ (to judge, to decide, to determine), adájọ́ (judge, one who judges), onídájọ́ (judge, arbiter, one with authority to judge), dájọ́ ní òdodo (to judge righteously, to make a just judgment), òdodo ìdájọ́ (just judgment, fair verdict) | ṣe òdodo (to do what is right) — can include making just decisions but extends beyond judgment; dájú (to be certain, to be sure) — involves judgment but focuses on certainty rather than authority | |
| GROUP 10: Affirmation and Confirmation | This group consists of expressions used to affirm, confirm, or validate that something is the case or that a characterization is accurate. These terms appear in conversational contexts where agreement, confirmation, or validation is being expressed. They mark acceptance or acknowledgment of what has been stated. | bẹ́ẹ̀ ni (it is so, that's right), bẹ́ẹ̀ ni gan-an (that's exactly right, it is precisely so), òtítọ́ ni (it is truth, truly), jẹ́ (to be, to affirm, to confirm), jẹ́ bẹ́ẹ̀ (it is so, it is like that), ó tọ́ (it is true/correct), ó tọ́ gan-an (it is absolutely correct), ṣe bẹ́ẹ̀ (it is so, it happened that way), gbà òtítọ́ (to accept the truth, to believe what is true), jẹ́wọ́ òtítọ́ (to confess the truth, to admit the truth) | tọ́ (to be correct) — used both for affirmation and for evaluation; jẹ́ òtítọ́ (to be true) — can be both affirmation and evaluation | |
| GROUP 11: Negation and Denial | This group includes expressions used to deny, reject, or contradict statements or claims. These terms appear in contexts where false claims are being rejected, errors are being corrected, or disagreement is being expressed. They mark opposition to what has been stated or claimed. | kò tọ́ (it is not true, it is not correct), kò tọ́ rárá (it is not correct at all, it is completely wrong), kì í tọ́ (it is not right, it is improper), kì í ṣe bẹ́ẹ̀ (it is not so, that's not how it is), kò jẹ́ bẹ́ẹ̀ (it is not so, it is not like that), kò ṣe bẹ́ẹ̀ (it is not so, it didn't happen that way), irọ́ ni (it is a lie), kò ṣe irọ́ (it is not a lie, it is true), kọ́ òtítọ́ (to reject the truth, to deny the truth), kọ irọ́ (to reject lies, to refuse falsehood) | kò gbàgbọ́ (does not believe) — expresses disbelief rather than direct denial; kò purọ́ (did not lie) — denies the act of lying rather than denying a claim | |
| GROUP 12: Discovery and Revelation | This group consists of expressions that describe the process of discovering, finding, or revealing what is true or false. These terms appear in contexts of investigation, exposure, or enlightenment. They mark the transition from hidden or unknown to visible or known. | rí òtítọ́ (to see/find the truth, to discover what is true), wá òtítọ́ (to seek the truth, to search for truth), mọ òtítọ́ (to know the truth, to be aware of what is true), fi òtítọ́ hàn (to show/reveal the truth), mú irọ́ (to catch in a lie, to expose falsehood), fi irọ́ hàn (to reveal a lie, to expose falsehood), irọ́ jáde (for a lie to be exposed, to come to light), purọ́ jáde (for a lie to be exposed), fi àìtọ́ hàn (to reveal the error, to show incorrectness) | rí àṣìṣe (to find an error) — involves discovery but focuses on errors rather than truth; tọ́ létí (to sound right, to ring true) — involves perception but not necessarily discovery | |
| GROUP 13: Maintaining and Holding Fast | This group includes expressions that describe steadfast adherence to truth, righteousness, or belief, especially under pressure or temptation. These terms appear in contexts emphasizing persistence, commitment, or moral courage. They mark sustained commitment rather than momentary action. | pa òtítọ́ mọ́ (to hold fast to truth, to maintain truthfulness), dúró lórí òtítọ́ (to stand on truth, to maintain truthfulness), pa òdodo mọ́ (to hold fast to righteousness), dúró nínú ìgbàgbọ́ (to stand in faith, to remain steadfast in belief), mú ìgbàgbọ́ (to hold faith, to maintain belief), dúró fún òdodo (to stand for righteousness, to advocate for justice) | gbé ní òdodo (to live in righteousness) — describes habitual state rather than active maintaining; dúró lórí irọ́ (to persist in a lie) — describes persistence but in negative context | |
| GROUP 14: Sincerity and Inner Truth | This group consists of expressions that evaluate whether someone's inner disposition matches their outward expression, assessing sincerity and genuineness of heart. These terms appear in contexts where the alignment between inner state and outer behavior is being evaluated. They mark the distinction between genuine and hypocritical conduct. | òdodo ọkàn (sincerity, uprightness of heart), tọ́ lọ́kàn (to be sincere, to be true in heart), ìgbàgbọ́ ọkàn (heartfelt belief, sincere faith), ní òtítọ́ (in truth, truthfully) — when used to frame sincere statements | olótítọ́ (truthful person) — can refer both to accurate speech and to sincere character; òdodo (righteousness) — can include but extends beyond inner sincerity | |
| GROUP 15: Degrees and Emphasis | This group includes expressions that mark degrees of truth, correctness, or emphasis in affirmations and denials. These terms appear when speakers need to strengthen or qualify their assertions. They mark intensity or completeness rather than simple binary truth-values. | tọ́ gan-an (absolutely correct, exactly right), kò tọ́ rárá (not correct at all, completely wrong), gidi gidi (very genuine, absolutely real), tọ́ tọ́ (very straight, completely correct), gbàgbọ́ tán (to believe completely, to be fully convinced), gbàgbọ́ gidigidi (to believe firmly, to have strong faith), déédé ni (exactly, precisely so), purọ́ tán (to finish lying, to lie completely), tọ́ káàkiri (to be correct throughout, to be entirely accurate) | ìgbàgbọ́ tí ó lágbára (strong faith) — describes degree but as a quality rather than emphasis | |
| (Ungrouped Items) | Items that do not fit cleanly into the above groups | tọ̀nà (to be correct, to be on the right path) — bridges factual correctness and proper conduct, could belong to multiple groups; ṣòro (to be serious, to be grave, to be important) — evaluates significance rather than truth or correctness; dájú (to be certain, to be sure) — relates to epistemic confidence but distinct from belief or truth; ìdájú (certainty, assurance) — marks epistemic state rather than truth-value; ṣàìṣe (innocence, blamelessness) — moral/legal status distinct from truth-evaluation; ẹ̀ṣẹ̀ (sin, offense, wrongdoing) — moral/religious transgression, not directly truth-related; ṣètò (to correct, to put right, to arrange properly) — action of correcting but not evaluation itself; tọ́jú (to care for properly, to tend correctly) — extends "correctness" to caregiving domain; ọ̀nà tọ́ (the right way, the correct path) — could belong to correspondence group or moral rightness group; irọ́ funfun (white lie) and irọ́ dúdú (serious lie) — grade lies by moral seriousness, bridging statement accuracy and moral evaluation; kún fún irọ́ (full of lies) — describes quantity rather than quality of falsehood; irọ́ kò lẹ́sẹ̀ (a lie has no legs - proverb) — proverbial wisdom about lies, meta-level commentary | Many expressions involving tọ́ (to be correct) can apply both to factual accuracy and to moral/practical rightness, making them difficult to assign to a single group; Expressions involving ìwà (character, behavior) bridge multiple domains including speech patterns, moral conduct, and sincerity; Several constructions with fi...hàn (to show/reveal) could belong to either the discovery group or the testimony/evidence group depending on context; The distinction between "correspondence" and "statement accuracy" is not always clear, as correspondence often involves statements corresponding to reality; Religious/spiritual uses of terms like ìgbàgbọ́ (faith) and òdodo (righteousness) sometimes pattern differently from their use in everyday contexts | |
