| Form | Transliteration | Literal Meaning | Common Translations | Usage Description | Epistemic Status |
|------|----------------|-----------------|--------------------|--------------------|-----------------|
| सत्य | satya | from *sat* (being, existing, real) + adjectival suffix *-ya*; "that which is" | truth, truthfulness, reality, the real, the true | Used across Vedic, epic, and philosophical literature to denote both the property of a statement's correspondence with reality and the moral virtue of speaking truthfully. Applied to speech acts (truthful utterance), to persons (one who speaks truly), and to metaphysical states (ultimate reality). Appears in legal and ritual contexts as an oath-formula and in philosophical contexts as a metaphysical category (e.g., *satyam brahma*). Participates in extensive derivation: *satyatā*, *satyavādin*, *satyavrata*, *satyāgraha*, etc. | [CORE] |
| ऋत | ṛta | from root *ṛ-* (to go, to fit, to be in order); "that which has gone rightly," cosmic order | cosmic order, truth, right, the fitting, the correct | A Vedic term designating the ordered functioning of the cosmos and the moral-ritual rightness aligned with it; statements and acts conforming to this order are *ṛta*. Contrasted with *anṛta* (disorder, falsehood). In the Ṛgveda it functions as a standard against which actions and utterances are evaluated for rightness. Closely related to *satya* in early texts but with stronger cosmological and ritual connotations. Less productive in post-Vedic derivation than *satya*; usage is largely confined to Vedic and archaic contexts. | [MARGINAL] |
| यथार्थ | yathārtha | *yathā* (as, according to) + *artha* (meaning, object, purpose); "as the object/meaning is" | accurate, true to the object, literal, correct, realistic, real | Used to characterize cognitions, statements, representations, or names that correspond accurately to their referent or intended meaning as those objects actually are. Common in philosophical, epistemological, and grammatical literature to evaluate whether a word, description, or account faithfully represents its referent. Also used in aesthetic and practical contexts to mean "appropriate" or "fitting." Appears as both adjective and adverb. | [CORE] |
| अयथार्थ | ayathārtha | *a-* (negation) + *yathārtha* (accurate, as the object is) | inaccurate, not corresponding to the object, false | The negation of *yathārtha*; used in epistemological contexts to characterize cognitions or statements that fail to represent their objects correctly. Less frequent than *yathārtha* but attested in commentarial literature. | [MARGINAL] |
| प्रमाण | pramāṇa | *pra-* (forth, correctly) + *māṇa* (measuring, from root *mā-*, to measure); "correct measure" | valid cognition, means of knowledge, proof, authority, standard, criterion | The central epistemological term across nearly all Sanskrit philosophical schools, denoting a reliable means of arriving at true cognition (perception, inference, testimony, etc.). Also used in legal and practical contexts for an authoritative standard, evidence, or text. Applied to persons, texts, and instruments regarded as authoritative standards. Generates a large derivational family: *pramātṛ* (knower), *prameya* (object of valid cognition), *pramā*, *apramāṇa*, *pramāṇatā* (the property of being a valid means), *aprāmāṇika* (lacking authority). | [CORE] |
| प्रमा | pramā | *pra-* + *mā-* (to measure); "correct measuring/cognition" | valid cognition, true knowledge, correct apprehension, valid knowledge | The result or product of a *pramāṇa*; a cognition that accurately apprehends its object as it is. Distinguished in epistemological literature from *apramā* (erroneous cognition), *saṃśaya* (doubt), and from mere belief. Used in *Nyāyasūtra* and commentarial traditions. Primarily a technical philosophical term. | [MARGINAL] |
| अप्रमा | apramā | *a-* (negation) + *pramā*; "non-valid cognition" | erroneous cognition, invalid apprehension, false knowledge | The counterpart to *pramā*, designating cognition that fails to apprehend its object correctly, including illusion, doubt, and memory in some classifications. Used in epistemological analysis to demarcate the boundary of reliable knowledge. Primarily technical. | [CORE] |
| सत् | sat | present participle of root *as-* (to be); "being, existing, real" | being, real, existent, good, true, genuine | Used both ontologically (what truly exists) and evaluatively (what is genuine or good). In compounds such as *sat-puruṣa* (a genuine/good man) and *sat-karman* (right action), it marks authenticity or moral worth. In Vedāntic contexts it names the ultimate reality. The evaluative and ontological senses are not always sharply distinguished in usage. Foundational to the *satya* family of terms. | [CORE] |
| असत् | asat | *a-* (negation) + *sat*; "non-being, unreal" | unreal, non-existent, false, bad, spurious | The negation of *sat*, used both ontologically for what lacks genuine existence and evaluatively for what is false, spurious, or morally bad. Appears in philosophical debate about the status of the phenomenal world and in ethical contexts contrasting genuine virtue with its absence. In Vedāntic literature, central to discussions of appearance versus reality. | [CORE] |
