# CLCA Protocol v3.4 — F4 Construction Table
# Language: Sanskrit (sa)

| Construction Type | Example | Transliteration | Translation | Usage Notes | Epistemic Status |
|------------------|---------|-----------------|-------------|-------------|------------------|
| **1. ATTRIBUTION** | सत्यं भवति | satyaṃ bhavati | "is true" | Standard copular construction in philosophical and narrative prose. Copula frequently omitted in present tense (satyam alone = "it is true"). Bhavati preferred in explicit predication; asti more existential. | [CORE] |
| **1. ATTRIBUTION** | मिथ्या भवति | mithyā bhavati | "is false/illusory" | Identical distribution to satyaṃ bhavati. Common in Vedāntic discourse for characterizing phenomenal reality. Zero-copula variant equally natural. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | सत्यं न भवति | satyaṃ na bhavati | "is not true" | Syntactic negation with na standard for denying predication. Used when explicitly negating a prior assertion or in dialectical contexts. | [CORE] |
| **2. NEGATIVE ATTRIBUTION** | असत्यं भवति | asatyaṃ bhavati | "is untrue/false" | Morphological negation (a- prefix) creates lexicalized antonym. Asatya functions as independent term with slightly different semantic range than na satya (includes "unreal" not just "not true"). Both constructions productive; choice often stylistic. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | सत्यवचनम् | satyavacanam | "true statement" | Tatpuruṣa compounds overwhelmingly preferred over analytic constructions for adnominal modification. Highly productive across all text types. Compound formation unrestricted with truth-domain terms. | [CORE] |
| **3. ADNOMINAL MODIFICATION** | सत्यस्य वचनम् | satyasya vacanam | "utterance of truth" | Genitive construction less common than compound for simple modification. Used when emphasizing possessive/partitive relationship or in metrical contexts requiring analytic form. Semantic difference: genitive suggests "belonging to truth" rather than "characterized by truth." | [MARGINAL] |
| **4. BECOME / INCHOATIVE** | मिथ्या भवति | mithyā bhavati | "becomes false/illusory" | Same form as copular construction; context disambiguates stative vs. inchoative reading. Inchoative sense common in narrative and philosophical argument describing change of epistemic status. | [CORE] |
| **4. BECOME / INCHOATIVE** | प्रमा जायते | pramā jāyate | "valid knowledge arises" | Jāyate specifically inchoative, emphasizing origination. Restricted to cognitive/epistemic states and abstract entities. Cannot substitute for bhavati in simple copular use. Common in epistemological texts describing knowledge-production. | [CORE] |
| **5. CAUSATIVE** | (no common expression identified) | — | — | Causative morphology (NIC suffix) theoretically available but not attested in corpus for truth-domain predicates. Causation expressed periphrastically through instrumental case or compound verbs (jñāpayati "causes to know" rather than *satyīkaraṇa). | [UNCERTAIN] |
| **6. ABSTRACT NOMINALIZATION** | सत्यता | satyatā | "truthfulness, truth, reality" | Both -tā and -tva highly productive. Satyatā more frequent in usage; satyatva appears but less common. No clear semantic distinction; may reflect metrical or phonological preferences. Used across all registers. | [CORE] |
| **6. ABSTRACT NOMINALIZATION** | मिथ्यात्व | mithyātva | "falsity, illusoriness" | Mithyātva standard form (mithyātā rare/unattested). Lexical preferences vary by base: some roots favor -tā, others -tva. Both suffixes denote abstract quality/state without functional difference. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | सत्यवादिन् | satyavādin | "truth-speaker, truthful person" | Highly productive pattern combining truth-term + vādin/jña/kārin. Common in ethical and philosophical characterization of persons. Vādin specifically for speech acts; jña for knowledge; kārin for action. | [CORE] |
| **7. AGENTIVE NOMINALIZATION** | मिथ्यावादिन् | mithyāvādin | "liar, one who speaks falsely" | Parallel productivity to satyavādin. Used in moral/legal contexts for characterizing deceitful persons. Can take further derivation (mithyāvāditva "state of being a liar"). | [CORE] |
| **8. INSTRUMENTAL MEANS CONSTRUCTION** | प्रमाणेन ज्ञायते | pramāṇena jñāyate | "is known through valid means" | Standard construction in epistemological discourse. Instrumental case unrestricted for expressing means of knowledge. Verb typically passive (jñāyate, gamyate, prāpyate). Extends to causal uses (hetunā "by reason"). | [CORE] |
| **8. INSTRUMENTAL MEANS CONSTRUCTION** | प्रत्यक्षेण ज्ञायते | pratyakṣeṇa jñāyate | "is known by perception" | Identical pattern with specific pramāṇa type. Common in pramāṇa-śāstra for specifying epistemic source. All six pramāṇas (perception, inference, testimony, etc.) appear in this construction. | [CORE] |
| **9. ABLATIVE STANDPOINT CONSTRUCTION** | परमार्थतः | paramārthataḥ | "from the ultimate standpoint, ultimately" | Specialized philosophical construction marking epistemic/metaphysical perspective. Highly productive in Madhyamaka and Advaita texts. Functions adverbially; can modify entire proposition. | [CORE] |
| **9. ABLATIVE STANDPOINT CONSTRUCTION** | व्यवहारतः | vyavahārataḥ | "from the conventional standpoint, practically" | Binary pair with paramārthataḥ in two-truths framework. Equally productive. Also used independently for "practically, in ordinary usage" without explicit contrast to paramārtha. | [CORE] |
| **10. LOCATIVE DOMAIN CONSTRUCTION** | व्यवहारे सत्यम् | vyavahāre satyam | "true at the conventional level" | Locative marks domain of truth-evaluation. Central to two-truths doctrine. Can appear with or without explicit predicate (vyavahāre alone implies "at conventional level"). | [CORE] |
| **10. LOCATIVE DOMAIN CONSTRUCTION** | परमार्थे सत्यम् | paramārthe satyam | "true at the ultimate level" | Parallel construction to vyavahāre. Forms binary system for relativizing truth-claims to level of analysis. Also used for circumstantial contexts beyond two-truths framework. | [CORE] |
| **11. IMPERATIVE EXHORTATION** | सत्यं वद | satyaṃ vada | "speak truth!" | Direct imperative common in prescriptive/didactic contexts. Appears in Upaniṣadic injunctions, dharmaśāstra, and gnomic literature. Accusative object + imperative verb standard word order. | [CORE] |
| **11. IMPERATIVE EXHORTATION** | धर्मं चर | dharmaṃ cara | "practice dharma!" | Same construction with dharma. Shows pattern extends beyond truth-domain to ethical terms generally. Frequent in religious instruction and ritual contexts. | [CORE] |
| **12. OPTATIVE OBLIGATION** | सत्यं ब्रूयात् | satyaṃ brūyāt | "one should speak truth" | Optative mood standard for expressing moral obligation. Common in legal and ethical texts. Less direct than imperative; implies general prescription rather than specific command. | [CORE] |
| **12. OPTATIVE OBLIGATION** | असत्यं न वक्तव्यम् | asatyaṃ na vaktavyam | "falsehood should not be spoken" | Gerundive construction (vaktavya) alternative for deontic modality. Stronger obligation than optative; emphasizes necessity. Both patterns productive; gerundive preferred for prohibitions and formal rules. | [CORE] |
| **13. DUAL CONTRAST CONSTRUCTION** | सत्यासत्ययोः | satyāsatyayoḥ | "of truth and falsehood" | Dual number highly productive for binary oppositions. Genitive dual standard for "between X and Y" or "of X and Y." Common in philosophical texts establishing fundamental contrasts. | [CORE] |
| **13. DUAL CONTRAST CONSTRUCTION** | व्यवहारपरमार्थयोः | vyavahāraparamārthayoḥ | "of conventional and ultimate [truth]" | Same pattern with two-truths terminology. Shows construction unrestricted across truth-domain terms. Can appear in various cases (dual locative, instrumental) depending on syntactic context. | [CORE] |
| **14. INTERROGATIVE CHALLENGE** | किं प्रमाणम् | kiṃ pramāṇam | "what is the proof?" | Standard construction in philosophical debate for demanding epistemic warrant. Kim for neuter, kaḥ for masculine/feminine. Functions as challenge requiring justification. Common in vāda (debate) literature. | [CORE] |
| **14. INTERROGATIVE CHALLENGE** | को धर्मः | ko dharmaḥ | "what is dharma?" | Same pattern with masculine noun. Shows construction extends to ethical/normative terms. Frequent in dharmaśāstra and philosophical dialogue for requesting definition or clarification. | [CORE] |
| **15. EMPHATIC AFFIRMATION** | सत्यमेव जयते | satyam eva jayate | "truth alone conquers" | Eva particle provides emphatic/exclusive force. Highly productive across all registers. Can appear with any truth-domain term. Position after noun standard; pre-verbal position possible for verb emphasis. | [CORE] |
| **15. EMPHATIC AFFIRMATION** | मिथ्यैव | mithyaiva | "merely false, only illusory" | Eva combines phonologically with preceding word (sandhi). Functions independently as emphatic predicate or modifies verb/copula. Common in Vedāntic texts for emphasizing illusory nature of phenomena. | [CORE] |
